BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2021-10-20,,0,0.0
TQBR,2021-10-21,118.0,4863470,581308641.4
TQBR,2021-10-22,115.0,2982260,344303186.9
TQBR,2021-10-25,116.0,1776080,207447085.1
TQBR,2021-10-26,113.0,1787510,203233672.2
TQBR,2021-10-27,112.96,1206110,134743167.3
TQBR,2021-10-28,110.0,842130,93097555.5
TQBR,2021-10-29,112.0,812270,91887987.9
TQBR,2021-11-01,114.0,418830,47891110.8
TQBR,2021-11-02,112.5,861540,98432967.6
TQBR,2021-11-03,113.0,349540,39313374.1
TQBR,2021-11-05,115.0,882120,100554683.4
TQBR,2021-11-08,113.15,631830,72043403.4
TQBR,2021-11-09,112.0,869720,98064253.9
TQBR,2021-11-10,113.0,1199120,132742610.5
TQBR,2021-11-11,115.0,529340,60133705.6
TQBR,2021-11-12,115.0,912870,103266115.4
TQBR,2021-11-15,116.0,963950,110791889.9
TQBR,2021-11-16,116.0,876910,101015435.7
TQBR,2021-11-17,116.0,1259900,144277157.2
TQBR,2021-11-18,114.17,680600,78119052.2
TQBR,2021-11-19,119.0,4463790,521152498.9
TQBR,2021-11-22,113.51,545560,62208454.5
TQBR,2021-11-23,114.32,606550,68534958.3
TQBR,2021-11-24,111.5,217340,24803290.2
TQBR,2021-11-25,113.35,341140,38624654.3
TQBR,2021-11-26,106.2,1167950,126213006.3
TQBR,2021-11-29,109.96,571080,62585384.7
TQBR,2021-11-30,112.12,1333160,150048363.3
TQBR,2021-12-01,113.0,555590,63832452.3
TQBR,2021-12-02,112.02,222660,25357293.0
TQBR,2021-12-03,113.11,336700,38768348.3
TQBR,2021-12-06,112.01,181560,20625298.8
TQBR,2021-12-07,114.2,190010,21419814.0
TQBR,2021-12-08,110.5,100580,11275746.7
TQBR,2021-12-09,111.3,196150,21723150.5
TQBR,2021-12-10,112.0,141920,15742515.2
TQBR,2021-12-13,107.01,144020,15909810.0
TQBR,2021-12-14,109.59,549390,58370461.5
TQBR,2021-12-15,106.1,195930,21153563.7
TQBR,2021-12-16,105.8,307980,32843526.3
TQBR,2021-12-17,103.86,352960,36976390.2
TQBR,2021-12-20,101.97,274940,28406923.7
TQBR,2021-12-21,101.47,343060,34772000.2
TQBR,2021-12-22,101.9,390350,39521329.0
TQBR,2021-12-23,98.03,225550,22132423.9
TQBR,2021-12-24,98.0,468210,45556606.5
TQBR,2021-12-27,98.26,439790,43198014.6
TQBR,2021-12-28,96.25,439660,42554786.9
TQBR,2021-12-29,96.92,176670,17141500.7
TQBR,2021-12-30,101.0,504030,49294907.6
TQBR,2022-01-03,98.81,85630,8606062.9
TQBR,2022-01-04,98.0,111810,10988537.9
TQBR,2022-01-05,96.95,67350,6549958.3
TQBR,2022-01-06,94.03,110710,10495342.0
TQBR,2022-01-07,,0,0.0
TQBR,2022-01-10,93.01,145370,13609952.7
TQBR,2022-01-11,94.0,169620,15687815.2
TQBR,2022-01-12,93.0,559870,52887032.2
TQBR,2022-01-13,91.2,168760,15707553.9
TQBR,2022-01-14,89.22,232580,21028102.9
TQBR,2022-01-17,82.75,981500,84138900.7
TQBR,2022-01-18,76.0,815710,63574431.5
TQBR,2022-01-19,73.53,966130,71708183.5
TQBR,2022-01-20,75.02,1006790,75280457.8
TQBR,2022-01-21,70.5,641560,45937536.2
TQBR,2022-01-24,66.03,589410,39479812.9
TQBR,2022-01-25,65.38,334330,22482518.4
TQBR,2022-01-26,65.23,680790,45167061.1
TQBR,2022-01-27,67.95,339470,22337616.1
TQBR,2022-01-28,66.0,241130,16046099.3
TQBR,2022-01-31,69.5,594000,42067458.0
TQBR,2022-02-01,67.56,462060,32361947.6
TQBR,2022-02-02,67.68,574810,39276375.7
TQBR,2022-02-03,67.44,166780,11269047.3
TQBR,2022-02-04,67.23,191870,13036443.9
TQBR,2022-02-07,68.34,64550,4390799.2
TQBR,2022-02-08,67.62,302140,20556195.0
TQBR,2022-02-09,70.62,552930,37672976.7
TQBR,2022-02-10,68.0,257220,17490838.3
TQBR,2022-02-11,65.91,159120,10566125.8
TQBR,2022-02-14,64.0,277910,17957434.1
TQBR,2022-02-15,62.55,1183030,74013965.4
TQBR,2022-02-16,62.2,196770,12416290.2
TQBR,2022-02-17,60.19,385420,23361592.9
TQBR,2022-02-18,60.0,186150,11349457.1
TQBR,2022-02-21,50.0,628190,35766735.7
TQBR,2022-02-22,50.01,586330,28627537.6
TQBR,2022-02-23,,0,0.0
TQBR,2022-02-24,42.03,552140,19434906.1
TQBR,2022-02-25,43.81,95060,4190353.4
TQBR,2022-02-28,,0,0.0
TQBR,2022-03-01,,0,0.0
TQBR,2022-03-02,,0,0.0
TQBR,2022-03-03,,0,0.0
TQBR,2022-03-04,,0,0.0
TQBR,2022-03-09,,0,0.0
TQBR,2022-03-10,,0,0.0
TQBR,2022-03-11,,0,0.0
TQBR,2022-03-14,,0,0.0
TQBR,2022-03-15,,0,0.0
TQBR,2022-03-16,,0,0.0
TQBR,2022-03-17,,0,0.0
TQBR,2022-03-18,,0,0.0
TQBR,2022-03-21,,0,0.0
TQBR,2022-03-22,,0,0.0
TQBR,2022-03-23,,0,0.0
TQBR,2022-03-24,,0,0.0
TQBR,2022-03-25,,0,0.0
TQBR,2022-03-28,36.74,201770,7693058.3
TQBR,2022-03-29,37.31,230520,8777969.8
TQBR,2022-03-30,43.13,198180,8661816.2
TQBR,2022-03-31,54.37,1997070,112505266.1
TQBR,2022-04-01,52.36,450470,24168047.1
TQBR,2022-04-04,50.74,280920,14333753.9
TQBR,2022-04-05,48.98,129050,6470171.5
TQBR,2022-04-06,46.62,76670,3630105.9
TQBR,2022-04-07,45.72,108630,4977645.4
TQBR,2022-04-08,45.23,128730,5873075.0
TQBR,2022-04-11,45.2,319110,15244585.0
TQBR,2022-04-12,44.71,74100,3243365.4
TQBR,2022-04-13,44.01,200960,8963687.3
TQBR,2022-04-14,43.07,91000,4045396.1
TQBR,2022-04-15,42.46,94680,4044423.3
TQBR,2022-04-18,41.06,78270,3250127.6
TQBR,2022-04-19,40.77,60950,2493781.3
TQBR,2022-04-20,41.0,51140,2112321.9
TQBR,2022-04-21,40.51,232570,9861408.1
TQBR,2022-04-22,40.33,66940,2722869.3
TQBR,2022-04-25,39.6,90090,3610111.8
TQBR,2022-04-26,40.26,127530,5119347.5
TQBR,2022-04-27,40.99,79060,3225368.2
TQBR,2022-04-28,41.0,205610,8872402.0
