BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-12-26,4.325,1270028000,5403968350.0
TQBR,2013-12-27,4.65,141123000,633628510.0
TQBR,2013-12-30,,0,0.0
TQBR,2014-01-06,,0,0.0
TQBR,2014-01-08,4.305,29000,125040.0
TQBR,2014-01-09,,0,0.0
TQBR,2014-01-10,,0,0.0
TQBR,2014-01-13,,0,0.0
TQBR,2014-01-14,,0,0.0
TQBR,2014-01-15,,0,0.0
TQBR,2014-01-16,,0,0.0
TQBR,2014-01-17,4.4125,1000,4412.5
TQBR,2014-01-20,,0,0.0
TQBR,2014-01-21,,0,0.0
TQBR,2014-01-22,,0,0.0
TQBR,2014-01-23,,0,0.0
TQBR,2014-01-24,,0,0.0
TQBR,2014-01-27,,0,0.0
TQBR,2014-01-28,,0,0.0
TQBR,2014-01-29,,0,0.0
TQBR,2014-01-30,,0,0.0
TQBR,2014-01-31,,0,0.0
TQBR,2014-02-03,,0,0.0
TQBR,2014-02-04,,0,0.0
TQBR,2014-02-05,,0,0.0
TQBR,2014-02-06,,0,0.0
TQBR,2014-02-07,,0,0.0
TQBR,2014-02-10,,0,0.0
TQBR,2014-02-11,,0,0.0
TQBR,2014-02-12,,0,0.0
TQBR,2014-02-13,,0,0.0
TQBR,2014-02-14,4.392,35000000,153720000.0
TQBR,2014-02-17,4.3932,102000000,448084000.0
TQBR,2014-02-18,,0,0.0
TQBR,2014-02-19,4.3915,64000000,281056000.0
TQBR,2014-02-20,4.42,71025000,313930312.5
TQBR,2014-02-21,4.5225,65026000,287742585.0
TQBR,2014-02-24,4.6325,25000,115812.5
TQBR,2014-02-25,4.431,50050000,221778875.0
TQBR,2014-02-26,4.424,85023000,376142085.5
TQBR,2014-02-27,,0,0.0
TQBR,2014-02-28,,0,0.0
TQBR,2014-03-03,4.2,67001000,296255700.0
TQBR,2014-03-04,4.4447,68000000,301739000.0
TQBR,2014-03-05,4.457,67000000,298605600.0
TQBR,2014-03-06,4.4582,65000000,289783000.0
TQBR,2014-03-07,4.4585,66000000,294314800.0
TQBR,2014-03-11,4.4555,65000000,289637400.0
TQBR,2014-03-12,4.4565,60000000,267396000.0
TQBR,2014-03-13,4.4563,65002000,289674825.0
