BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0
TQBR,2014-06-10,4000.0,228,904240
TQBR,2014-06-11,,0,0
TQBR,2014-06-16,3900.0,9,35100
TQBR,2014-06-17,3900.0,30,117322
TQBR,2014-06-18,3910.0,9,35191
TQBR,2014-06-19,,0,0
TQBR,2014-06-20,4090.0,1,4090
TQBR,2014-06-23,4100.0,52,213188
TQBR,2014-06-24,3900.0,112,437344
TQBR,2014-06-25,,0,0
TQBR,2014-06-26,,0,0
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,,0,0
TQBR,2014-07-02,4040.0,14,54990
TQBR,2014-07-03,3900.0,49,191299
TQBR,2014-07-04,3900.0,95,370505
TQBR,2014-07-07,,0,0
TQBR,2014-07-08,,0,0
TQBR,2014-07-09,3903.0,2,7806
TQBR,2014-07-10,3880.0,2,7760
TQBR,2014-07-11,,0,0
TQBR,2014-07-14,3900.0,43,167700
TQBR,2014-07-15,3900.0,39,152100
TQBR,2014-07-16,3900.0,244,951600
TQBR,2014-07-17,,0,0
TQBR,2014-07-18,3901.0,99,386106
TQBR,2014-07-21,3800.0,29,108202
TQBR,2014-07-22,,0,0
TQBR,2014-07-23,3900.0,186,725400
TQBR,2014-07-24,3850.0,5,19250
TQBR,2014-07-25,,0,0
TQBR,2014-07-28,3800.0,6,22800
TQBR,2014-07-29,,0,0
TQBR,2014-07-30,,0,0
TQBR,2014-07-31,3900.0,802,3127800
TQBR,2014-08-01,,0,0
TQBR,2014-08-04,,0,0
TQBR,2014-08-05,3501.0,1,3501
TQBR,2014-08-06,,0,0
TQBR,2014-08-07,,0,0
TQBR,2014-08-08,,0,0
TQBR,2014-08-11,,0,0
TQBR,2014-08-12,,0,0
TQBR,2014-08-13,,0,0
TQBR,2014-08-14,,0,0
TQBR,2014-08-15,,0,0
TQBR,2014-08-18,,0,0
TQBR,2014-08-19,,0,0
TQBR,2014-08-20,,0,0
TQBR,2014-08-21,3704.0,54,200215
TQBR,2014-08-22,,0,0
TQBR,2014-08-25,,0,0
TQBR,2014-08-26,,0,0
TQBR,2014-08-27,3660.0,4,14650
TQBR,2014-08-28,,0,0
TQBR,2014-08-29,,0,0
TQBR,2014-09-01,,0,0
TQBR,2014-09-02,,0,0
TQBR,2014-09-03,,0,0
TQBR,2014-09-04,,0,0
TQBR,2014-09-05,,0,0
TQBR,2014-09-08,3775.0,1,3775
TQBR,2014-09-09,4048.0,4,16053
TQBR,2014-09-10,3999.0,112,420523
TQBR,2014-09-11,,0,0
TQBR,2014-09-12,,0,0
TQBR,2014-09-15,,0,0
TQBR,2014-09-16,3760.0,3,11660
TQBR,2014-09-17,,0,0
TQBR,2014-09-18,3960.0,1,3960
TQBR,2014-09-19,,0,0
TQBR,2014-09-22,,0,0
TQBR,2014-09-23,,0,0
TQBR,2014-09-24,,0,0
TQBR,2014-09-25,3998.0,1,3998
TQBR,2014-09-26,3961.0,4,17562
TQBR,2014-09-29,4001.0,182,728163
TQBR,2014-09-30,4010.0,88,352880
TQBR,2014-10-01,4030.0,185,745190
TQBR,2014-10-02,3990.0,14,55960
TQBR,2014-10-03,4000.0,11,44010
TQBR,2014-10-06,4010.0,5,20050
TQBR,2014-10-07,,0,0
TQBR,2014-10-08,3990.0,16,63940
TQBR,2014-10-09,,0,0
TQBR,2014-10-10,3960.0,2,7920
TQBR,2014-10-13,,0,0
TQBR,2014-10-14,3980.0,27,107460
TQBR,2014-10-15,3980.0,24,95520
TQBR,2014-10-16,4000.0,4,16000
TQBR,2014-10-17,4000.0,111,444000
TQBR,2014-10-20,4050.0,392,1592490
TQBR,2014-10-21,4080.0,162,655640
TQBR,2014-10-22,4000.0,30,120300
TQBR,2014-10-23,4010.0,79,317470
TQBR,2014-10-24,4000.0,86,344000
TQBR,2014-10-27,,0,0
TQBR,2014-10-28,4000.0,48,192000
TQBR,2014-10-29,4000.0,183,733040
TQBR,2014-10-30,4000.0,228,912730
TQBR,2014-10-31,4000.0,79,316640
TQBR,2014-11-03,4000.0,44,176000
TQBR,2014-11-05,4040.0,106,425510
TQBR,2014-11-06,4000.0,43,172000
TQBR,2014-11-07,,0,0
TQBR,2014-11-10,4000.0,39,156000
TQBR,2014-11-11,,0,0
