BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,0.8333,1000,833.3
TQBR,2014-06-11,0.737,5000,3663.2
TQBR,2014-06-16,0.7809,2578000,2470246.8
TQBR,2014-06-17,0.7607,5000,3804.1
TQBR,2014-06-18,0.77,6000,4644.1
TQBR,2014-06-19,0.8,5000,4000.0
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,0.7301,24000,17539.7
TQBR,2014-06-25,0.84,21000,16638.0
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,0.77,45000,34417.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,0.756,27000,25237.2
TQBR,2014-07-02,0.7641,29000,27664.9
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,0.97,10000,9669.9
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,0.8245,1000,824.5
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,0.787,4000,3149.8
TQBR,2014-07-16,0.784,11000,8717.1
TQBR,2014-07-17,0.75,45000,34031.8
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,0.7302,3000,2193.8
TQBR,2014-08-01,0.85,40000,33209.0
TQBR,2014-08-04,0.8059,63000,62710.1
TQBR,2014-08-05,1.0,16000,14902.0
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,0.9595,202000,193622.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,1.01,145000,145943.6
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,0.9999,3000,2615.9
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,0.8109,1000,810.9
TQBR,2014-08-28,0.835,40000,34968.1
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,0.8215,1000,821.5
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,0.994,7000,6941.0
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,,0,0.0
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,0.8465,1000,846.5
TQBR,2014-09-11,0.8279,4000,3311.8
TQBR,2014-09-12,0.9984,1000,998.4
TQBR,2014-09-15,0.8315,1000,831.5
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,,0,0.0
TQBR,2014-09-18,0.9848,1000,984.8
