BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-07-08,,0,0.0
TQBR,2013-07-09,,0,0.0
TQBR,2013-07-10,,0,0.0
TQBR,2013-07-11,,0,0.0
TQBR,2013-07-12,,0,0.0
TQBR,2013-07-15,,0,0.0
TQBR,2013-07-16,,0,0.0
TQBR,2013-07-17,,0,0.0
TQBR,2013-07-18,,0,0.0
TQBR,2013-07-19,,0,0.0
TQBR,2013-07-22,,0,0.0
TQBR,2013-07-23,,0,0.0
TQBR,2013-07-24,,0,0.0
TQBR,2013-07-25,,0,0.0
TQBR,2013-07-26,,0,0.0
TQBR,2013-07-29,,0,0.0
TQBR,2013-07-30,,0,0.0
TQBR,2013-07-31,,0,0.0
TQBR,2013-08-01,77.5,400,31100.0
TQBR,2013-08-02,,0,0.0
TQBR,2013-08-05,,0,0.0
TQBR,2013-08-06,,0,0.0
TQBR,2013-08-07,,0,0.0
TQBR,2013-08-08,,0,0.0
TQBR,2013-08-09,,0,0.0
TQBR,2013-08-12,,0,0.0
TQBR,2013-08-13,,0,0.0
TQBR,2013-08-14,,0,0.0
TQBR,2013-08-15,,0,0.0
TQBR,2013-08-16,,0,0.0
TQBR,2013-08-19,,0,0.0
TQBR,2013-08-20,,0,0.0
TQBR,2013-08-21,,0,0.0
TQBR,2013-08-22,,0,0.0
TQBR,2013-08-23,,0,0.0
TQBR,2013-08-26,,0,0.0
TQBR,2013-08-27,,0,0.0
TQBR,2013-08-28,75.4,100,7540.0
TQBR,2013-08-29,74.5,100,7450.0
TQBR,2013-08-30,,0,0.0
TQBR,2013-09-02,71.97,198400,14219526.0
TQBR,2013-09-03,72.51,220000,16028408.0
TQBR,2013-09-04,73.25,340400,24593260.0
TQBR,2013-09-05,72.85,586300,42400344.0
TQBR,2013-09-06,72.99,653700,47590977.0
TQBR,2013-09-09,73.04,656100,48065113.0
TQBR,2013-09-10,73.39,635000,47079923.0
TQBR,2013-09-11,73.4,680300,49938240.0
TQBR,2013-09-12,72.49,671100,49481615.0
TQBR,2013-09-13,72.03,368200,26677535.0
TQBR,2013-09-16,71.97,565800,40911821.0
TQBR,2013-09-17,72.05,503000,36277905.0
TQBR,2013-09-18,71.67,328700,23651136.0
TQBR,2013-09-19,71.95,791300,56882685.0
TQBR,2013-09-20,71.47,472100,33822245.0
TQBR,2013-09-23,70.49,392500,27849246.0
TQBR,2013-09-24,70.35,583000,40883314.0
TQBR,2013-09-25,71.16,438900,31136646.0
TQBR,2013-09-26,71.5,481800,34619781.0
TQBR,2013-09-27,71.31,262100,18745211.0
TQBR,2013-09-30,70.98,104700,7460554.0
TQBR,2013-10-01,71.1,111300,7896844.0
TQBR,2013-10-02,70.66,844800,60073097.0
TQBR,2013-10-03,70.58,343400,24255948.0
TQBR,2013-10-04,71.0,440000,31119024.0
TQBR,2013-10-07,71.1,608800,43273287.0
TQBR,2013-10-08,71.84,4595800,331139435.0
TQBR,2013-10-09,71.85,888900,63974300.0
TQBR,2013-10-10,72.33,2327200,168000046.0
TQBR,2013-10-11,72.14,638800,46265343.0
TQBR,2013-10-14,72.0,395800,28511700.0
TQBR,2013-10-15,71.99,664500,47810314.0
TQBR,2013-10-16,72.08,1006500,72545877.0
TQBR,2013-10-17,71.91,173500,12480336.0
TQBR,2013-10-18,71.9,485500,34986343.0
TQBR,2013-10-21,72.06,746200,53736878.0
TQBR,2013-10-22,71.94,233500,16791619.0
TQBR,2013-10-23,71.94,463600,33372040.0
TQBR,2013-10-24,72.15,2785800,201379914.0
TQBR,2013-10-25,73.04,3750700,272745827.0
TQBR,2013-10-28,72.51,658100,47883299.0
TQBR,2013-10-29,72.42,1246200,90185694.0
TQBR,2013-10-30,72.6,3163600,229262957.0
TQBR,2013-10-31,73.16,4149500,302068678.0
TQBR,2013-11-01,75.6,3983600,298295529.0
TQBR,2013-11-05,76.99,2198700,169017143.0
TQBR,2013-11-06,77.7,2461000,191027498.0
TQBR,2013-11-07,77.29,620400,47944212.0
TQBR,2013-11-08,76.49,762300,58395234.0
TQBR,2013-11-11,75.4,1503900,113515253.0
TQBR,2013-11-12,77.01,2174300,166053631.0
TQBR,2013-11-13,78.99,3804500,297232613.0
TQBR,2013-11-14,78.9,2332400,185116817.0
TQBR,2013-11-15,78.5,6659500,509505643.0
TQBR,2013-11-18,78.29,490900,38132686.0
