BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.2,120000,23909.7
TQBR,2014-06-10,0.2,80000,15900.2
TQBR,2014-06-11,0.2,200000,39978.0
TQBR,2014-06-16,0.19788,20000,3998.7
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,0.19801,310000,61930.2
TQBR,2014-06-19,0.19,810000,159226.8
TQBR,2014-06-20,0.19,150000,28513.2
TQBR,2014-06-23,0.19,40000,7794.9
TQBR,2014-06-24,0.2,1030000,209173.0
TQBR,2014-06-25,0.219,1310000,269427.2
TQBR,2014-06-26,0.215,90000,19549.5
TQBR,2014-06-27,0.215,20000,4300.0
TQBR,2014-06-30,0.215,440000,94329.7
TQBR,2014-07-01,0.215,560000,121544.5
TQBR,2014-07-02,0.22,160000,34812.9
TQBR,2014-07-03,0.2121,280000,61591.7
TQBR,2014-07-04,0.222,380000,84570.6
TQBR,2014-07-07,0.21501,210000,45083.2
TQBR,2014-07-08,0.22442,620000,133504.7
TQBR,2014-07-09,0.22442,320000,69222.8
TQBR,2014-07-10,0.22446,370000,80364.3
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,0.21498,230000,48534.0
TQBR,2014-07-16,0.216,130000,28159.9
TQBR,2014-07-17,0.21555,20000,4355.5
TQBR,2014-07-18,0.20999,240000,51203.5
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,0.20105,620000,124651.2
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,0.209,730000,160268.9
TQBR,2014-07-28,0.22397,450000,95138.7
TQBR,2014-07-29,0.215,10000,2150.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,0.2239,20000,4477.9
TQBR,2014-08-01,0.213,540000,115020.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,0.215,800000,168631.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,0.2145,200000,44277.6
TQBR,2014-08-12,0.2155,370000,80705.5
TQBR,2014-08-13,0.21701,570000,124354.0
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,0.211,70000,14308.0
TQBR,2014-08-18,0.22299,140000,28096.9
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,0.22402,100000,20450.5
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,0.22488,60000,13318.1
TQBR,2014-08-28,0.2248,110000,22383.1
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,0.22485,90000,20210.9
TQBR,2014-09-02,0.22878,450000,101232.9
TQBR,2014-09-03,0.22842,20000,4526.3
TQBR,2014-09-04,0.22878,60000,13726.8
TQBR,2014-09-05,0.22997,210000,47897.8
TQBR,2014-09-08,0.22601,750000,170976.4
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,0.2499,210000,49751.7
TQBR,2014-09-11,0.241,140000,33640.1
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,,0,0.0
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,0.2,110000,22020.7
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,0.20001,110000,22202.2
TQBR,2014-09-22,0.22,40000,8800.0
TQBR,2014-09-23,0.2398,40000,9356.2
TQBR,2014-09-24,,0,0.0
TQBR,2014-09-25,,0,0.0
TQBR,2014-09-26,0.23495,10000,2349.5
TQBR,2014-09-29,,0,0.0
TQBR,2014-09-30,,0,0.0
TQBR,2014-10-01,,0,0.0
TQBR,2014-10-02,0.218,560000,127160.0
TQBR,2014-10-03,0.239,150000,35780.0
TQBR,2014-10-06,,0,0.0
TQBR,2014-10-07,,0,0.0
TQBR,2014-10-08,,0,0.0
TQBR,2014-10-09,0.237,10000,2370.0
TQBR,2014-10-10,0.22,310000,70150.0
TQBR,2014-10-13,0.243,410000,96850.0
TQBR,2014-10-14,,0,0.0
TQBR,2014-10-15,,0,0.0
TQBR,2014-10-16,,0,0.0
TQBR,2014-10-17,,0,0.0
TQBR,2014-10-20,,0,0.0
TQBR,2014-10-21,0.22,10000,2200.0
TQBR,2014-10-22,,0,0.0
TQBR,2014-10-23,,0,0.0
TQBR,2014-10-24,0.22,60000,13500.0
TQBR,2014-10-27,,0,0.0
TQBR,2014-10-28,0.224,100000,22040.0
TQBR,2014-10-29,0.232,260000,57510.0
TQBR,2014-10-30,0.235,870000,208730.0
TQBR,2014-10-31,0.23,30000,6900.0
TQBR,2014-11-03,0.224,30000,6650.0
TQBR,2014-11-05,0.227,40000,9010.0
TQBR,2014-11-06,0.216,5260000,1066410.0
TQBR,2014-11-07,,0,0.0
TQBR,2014-11-10,,0,0.0
TQBR,2014-11-11,0.207,20000,4150.0
TQBR,2014-11-12,,0,0.0
TQBR,2014-11-13,0.209,20000,4180.0
TQBR,2014-11-14,,0,0.0
TQBR,2014-11-17,,0,0.0
TQBR,2014-11-18,,0,0.0
TQBR,2014-11-19,0.208,30000,6240.0
TQBR,2014-11-20,0.205,10000,2050.0
TQBR,2014-11-21,,0,0.0
TQBR,2014-11-24,,0,0.0
TQBR,2014-11-25,,0,0.0
TQBR,2014-11-26,,0,0.0
TQBR,2014-11-27,,0,0.0
TQBR,2014-11-28,0.235,80000,16780.0
TQBR,2014-12-01,,0,0.0
TQBR,2014-12-02,0.207,10000,2070.0
TQBR,2014-12-03,0.217,140000,29560.0
TQBR,2014-12-04,0.21,60000,12690.0
TQBR,2014-12-05,0.21,550000,115990.0
TQBR,2014-12-08,0.229,1230000,276150.0
TQBR,2014-12-09,0.226,10000,2260.0
TQBR,2014-12-10,0.22,130000,28600.0
TQBR,2014-12-11,0.208,480000,104050.0
TQBR,2014-12-12,0.21,60000,13260.0
TQBR,2014-12-15,0.171,1550000,310860.0
TQBR,2014-12-16,0.151,270000,44860.0
TQBR,2014-12-17,0.184,230000,39460.0
TQBR,2014-12-18,0.183,60000,11780.0
TQBR,2014-12-19,,0,0.0
TQBR,2014-12-22,,0,0.0
TQBR,2014-12-23,0.199,20000,3830.0
TQBR,2014-12-24,0.19,30000,5840.0
TQBR,2014-12-25,0.192,180000,35790.0
TQBR,2014-12-26,0.204,90000,18090.0
TQBR,2014-12-29,0.226,290000,61310.0
TQBR,2014-12-30,0.202,60000,12170.0
TQBR,2015-01-05,,0,0.0
TQBR,2015-01-06,,0,0.0
TQBR,2015-01-08,0.205,50000,10250.0
TQBR,2015-01-09,0.215,100000,21490.0
TQBR,2015-01-12,,0,0.0
TQBR,2015-01-13,,0,0.0
TQBR,2015-01-14,,0,0.0
TQBR,2015-01-15,0.226,150000,33620.0
TQBR,2015-01-16,0.225,30000,6740.0
TQBR,2015-01-19,0.19,1230000,235660.0
TQBR,2015-01-20,0.19,10000,1900.0
TQBR,2015-01-21,0.19,140000,27850.0
TQBR,2015-01-22,0.188,330000,62620.0
TQBR,2015-01-23,0.19,470000,89100.0
TQBR,2015-01-26,,0,0.0
TQBR,2015-01-27,,0,0.0
TQBR,2015-01-28,,0,0.0
TQBR,2015-01-29,0.186,440000,82220.0
TQBR,2015-01-30,0.18,980000,179050.0
TQBR,2015-02-02,0.177,40000,7220.0
TQBR,2015-02-03,0.177,270000,48010.0
TQBR,2015-02-04,0.174,170000,29690.0
TQBR,2015-02-05,0.185,1470000,252180.0
TQBR,2015-02-06,0.17,540000,93770.0
TQBR,2015-02-09,0.179,40000,7190.0
TQBR,2015-02-10,0.176,120000,21060.0
TQBR,2015-02-11,0.17,1060000,180680.0
TQBR,2015-02-12,0.203,1020000,192290.0
TQBR,2015-02-13,0.19,10000,1900.0
TQBR,2015-02-16,0.195,60000,11570.0
TQBR,2015-02-17,0.19,30000,5760.0
TQBR,2015-02-18,0.192,160000,29480.0
TQBR,2015-02-19,0.183,190000,34940.0
TQBR,2015-02-20,,0,0.0
TQBR,2015-02-24,,0,0.0
TQBR,2015-02-25,0.181,150000,27530.0
TQBR,2015-02-26,0.181,100000,18100.0
TQBR,2015-02-27,0.185,50000,9250.0
TQBR,2015-03-02,0.189,30000,5650.0
TQBR,2015-03-03,,0,0.0
TQBR,2015-03-04,0.188,220000,41260.0
TQBR,2015-03-05,0.187,120000,22550.0
TQBR,2015-03-06,0.185,200000,37250.0
