BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,5.818,800,4626.2
TQBR,2014-06-10,5.648,6500,36583.3
TQBR,2014-06-11,5.595,6600,36764.5
TQBR,2014-06-16,5.416,895700,5253648.6
TQBR,2014-06-17,5.538,37900,206612.3
TQBR,2014-06-18,5.538,1600,8776.6
TQBR,2014-06-19,5.884,933900,5554394.0
TQBR,2014-06-20,5.8,21300,123192.8
TQBR,2014-06-23,5.745,2100,12159.9
TQBR,2014-06-24,5.799,70600,401027.5
TQBR,2014-06-25,5.799,200,1159.7
TQBR,2014-06-26,5.866,40600,236609.6
TQBR,2014-06-27,5.887,29100,164668.5
TQBR,2014-06-30,4.999,305500,1563653.6
TQBR,2014-07-01,4.735,165300,767521.5
TQBR,2014-07-02,4.83,447600,2201092.4
TQBR,2014-07-03,4.808,5400,25975.5
TQBR,2014-07-04,4.898,50600,240798.8
TQBR,2014-07-07,4.935,53200,252586.7
TQBR,2014-07-08,4.898,22100,107657.7
TQBR,2014-07-09,4.8,9300,44884.2
TQBR,2014-07-10,4.913,24800,120677.2
TQBR,2014-07-11,4.81,21300,103635.5
TQBR,2014-07-14,4.92,29400,143647.9
TQBR,2014-07-15,4.915,5200,25530.3
TQBR,2014-07-16,4.867,700,3403.4
TQBR,2014-07-17,4.802,1100,5282.0
TQBR,2014-07-18,4.848,1800,8674.7
TQBR,2014-07-21,4.75,16400,79370.5
TQBR,2014-07-22,4.639,34100,158018.2
TQBR,2014-07-23,4.7,105700,493067.0
TQBR,2014-07-24,4.85,3100,14662.1
TQBR,2014-07-25,4.6,15400,70957.6
TQBR,2014-07-28,4.4,48000,212787.4
TQBR,2014-07-29,4.5,161900,722149.5
TQBR,2014-07-30,4.55,26600,121604.3
TQBR,2014-07-31,4.699,13800,63829.9
TQBR,2014-08-01,4.688,25300,115238.4
TQBR,2014-08-04,4.6,3200,14737.0
TQBR,2014-08-05,4.547,16200,72555.6
TQBR,2014-08-06,4.544,800,3649.1
TQBR,2014-08-07,4.45,6500,28785.6
TQBR,2014-08-08,4.25,259400,1117492.5
TQBR,2014-08-11,4.149,33200,138855.4
TQBR,2014-08-12,3.949,36700,147284.1
TQBR,2014-08-13,3.756,113700,441956.9
TQBR,2014-08-14,3.61,631300,2295942.9
TQBR,2014-08-15,3.599,147700,534693.9
TQBR,2014-08-18,3.519,306100,1076694.4
TQBR,2014-08-19,3.599,274100,968298.1
TQBR,2014-08-20,3.817,262000,971062.2
TQBR,2014-08-21,4.031,618600,2475426.9
TQBR,2014-08-22,4.45,164300,698110.8
TQBR,2014-08-25,4.5,98300,449308.9
TQBR,2014-08-26,4.572,22100,102724.2
TQBR,2014-08-27,4.56,87500,397043.8
TQBR,2014-08-28,4.261,40400,172680.2
TQBR,2014-08-29,4.454,6300,27814.3
TQBR,2014-09-01,4.652,203100,954934.9
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,4.598,22100,101347.7
TQBR,2014-09-04,4.598,12000,56939.2
TQBR,2014-09-05,4.616,3400,15615.8
TQBR,2014-09-08,4.598,2100,9611.6
TQBR,2014-09-09,4.479,18400,81915.4
TQBR,2014-09-10,4.7,211700,993771.5
TQBR,2014-09-11,4.461,25000,114015.3
TQBR,2014-09-12,4.399,24700,107797.2
TQBR,2014-09-15,4.258,25200,108337.7
TQBR,2014-09-16,4.217,18400,77521.3
TQBR,2014-09-17,4.07,52000,203235.3
TQBR,2014-09-18,4.05,9400,38105.0
TQBR,2014-09-19,4.044,1000,3950.5
TQBR,2014-09-22,3.898,22100,87621.4
TQBR,2014-09-23,3.763,17000,62978.8
TQBR,2014-09-24,3.947,10600,41258.5
TQBR,2014-09-25,3.999,400,1587.5
TQBR,2014-09-26,3.91,25800,101080.2
TQBR,2014-09-29,3.925,1900,7457.8
TQBR,2014-09-30,3.879,2000,7706.2
TQBR,2014-10-01,3.815,11800,45047.0
TQBR,2014-10-02,3.67,6000,22622.0
TQBR,2014-10-03,3.885,20200,79277.0
TQBR,2014-10-06,3.91,3500,13481.5
TQBR,2014-10-07,4.085,31400,125937.0
TQBR,2014-10-08,3.955,2800,11139.0
TQBR,2014-10-09,4.005,1000,4010.0
TQBR,2014-10-10,4.02,37800,154327.0
TQBR,2014-10-13,3.94,4700,18540.0
TQBR,2014-10-14,3.995,200,798.5
TQBR,2014-10-15,3.885,18100,69115.5
TQBR,2014-10-16,3.99,15900,62282.0
TQBR,2014-10-17,3.99,12600,48754.0
TQBR,2014-10-20,4.0,1600,6400.5
TQBR,2014-10-21,4.025,6400,25628.0
TQBR,2014-10-22,4.1,1500,6099.5
TQBR,2014-10-23,3.95,14500,57493.5
TQBR,2014-10-24,3.955,9600,37914.5
TQBR,2014-10-27,3.99,3100,12244.5
TQBR,2014-10-28,4.11,16400,68266.0
TQBR,2014-10-29,4.0,36500,141521.5
TQBR,2014-10-30,3.99,5500,21837.5
TQBR,2014-10-31,4.0,4400,17594.0
TQBR,2014-11-03,4.0,8200,35200.0
TQBR,2014-11-05,3.98,1700,6781.0
TQBR,2014-11-06,3.66,95900,360902.0
TQBR,2014-11-07,3.7,23400,86752.0
TQBR,2014-11-10,3.825,35600,133160.5
TQBR,2014-11-11,3.9,1800,6945.0
TQBR,2014-11-12,3.905,31600,122892.5
