BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2021-04-28,7.968,193813200,1543283700.8
TQBR,2021-04-29,7.9,83221800,660017517.7
TQBR,2021-04-30,7.88,81990900,643659631.6
TQBR,2021-05-04,7.91,89185600,705215228.9
TQBR,2021-05-05,8.0,43793000,349100371.3
TQBR,2021-05-06,8.0,28732500,229360893.9
TQBR,2021-05-07,8.0,15066500,120316494.2
TQBR,2021-05-10,7.981,10029400,80054032.9
TQBR,2021-05-11,7.994,35602500,283849279.6
TQBR,2021-05-12,7.965,18815300,150058728.7
TQBR,2021-05-13,7.97,26952800,214188425.0
TQBR,2021-05-14,7.951,12328200,98013876.5
TQBR,2021-05-17,7.95,12625800,100343085.9
TQBR,2021-05-18,7.926,30066100,238996558.6
TQBR,2021-05-19,7.95,24439200,193749073.4
TQBR,2021-05-20,7.994,56073500,446020901.4
TQBR,2021-05-21,7.96,24606500,195796935.7
TQBR,2021-05-24,7.99,58127800,463589017.4
TQBR,2021-05-25,7.97,25357000,202305091.3
TQBR,2021-05-26,7.97,17751900,141301060.9
TQBR,2021-05-27,8.0,40490300,323122764.1
TQBR,2021-05-28,7.8,24166000,190144899.9
TQBR,2021-05-31,7.824,8569500,67562726.8
TQBR,2021-06-01,7.86,5604700,44171482.8
TQBR,2021-06-02,7.8,8139000,63579628.2
TQBR,2021-06-03,7.767,7463000,58138122.9
TQBR,2021-06-04,7.659,10149600,78009128.0
TQBR,2021-06-07,7.6,8932300,68368342.9
TQBR,2021-06-08,7.612,16280700,124091939.6
TQBR,2021-06-09,7.894,12820900,100175538.7
TQBR,2021-06-10,7.931,21791600,172125931.2
TQBR,2021-06-11,7.949,5666500,44991968.1
TQBR,2021-06-14,7.965,5736000,45594844.4
TQBR,2021-06-15,7.869,13578800,107205236.6
TQBR,2021-06-16,7.783,3808600,29718072.2
TQBR,2021-06-17,7.774,4262200,33131193.9
TQBR,2021-06-18,7.603,7221300,55370939.8
TQBR,2021-06-21,7.68,3278600,25242120.9
TQBR,2021-06-22,7.66,3858100,29598864.3
TQBR,2021-06-23,7.685,7875500,60444235.4
TQBR,2021-06-24,7.6,15695800,120129599.3
TQBR,2021-06-25,7.554,9845300,74641047.4
TQBR,2021-06-28,7.63,4546800,34637669.5
TQBR,2021-06-29,7.523,15833000,119107963.0
TQBR,2021-06-30,7.62,5233800,39686498.5
TQBR,2021-07-01,7.652,4186400,32078584.7
TQBR,2021-07-02,7.563,3562400,27041518.2
TQBR,2021-07-05,7.65,4891300,37098557.3
TQBR,2021-07-06,7.556,10048900,76388992.0
TQBR,2021-07-07,7.555,6510100,49099340.6
TQBR,2021-07-08,7.455,10849900,81307582.8
TQBR,2021-07-09,7.45,6165300,45889657.1
TQBR,2021-07-12,7.421,5538500,41143745.4
TQBR,2021-07-13,7.4,7003000,51933311.9
TQBR,2021-07-14,7.291,9324000,68304645.7
TQBR,2021-07-15,7.205,9263900,66896754.9
TQBR,2021-07-16,7.186,5216200,37595280.5
TQBR,2021-07-19,6.805,17292700,120386455.8
TQBR,2021-07-20,6.95,5773900,40197580.1
TQBR,2021-07-21,7.027,14131700,98965524.9
TQBR,2021-07-22,7.289,6094400,44056021.9
TQBR,2021-07-23,7.41,5874300,43438485.3
TQBR,2021-07-26,7.233,7317100,53934033.3
TQBR,2021-07-27,7.286,3202400,23436255.3
TQBR,2021-07-28,7.38,2564600,18838117.7
TQBR,2021-07-29,7.46,5660000,42259311.9
TQBR,2021-07-30,7.35,5142800,37759968.8
TQBR,2021-08-02,7.366,2641300,19542384.3
TQBR,2021-08-03,7.321,3054100,22420334.6
TQBR,2021-08-04,7.342,4132800,30191332.7
TQBR,2021-08-05,7.34,4487400,32815397.9
TQBR,2021-08-06,7.25,5282000,38373368.6
TQBR,2021-08-09,7.17,6231400,44818133.2
TQBR,2021-08-10,7.219,2953100,21368793.8
TQBR,2021-08-11,7.31,3408000,24806596.4
TQBR,2021-08-12,7.23,3133500,22856057.0
TQBR,2021-08-13,7.23,5644500,40869284.8
TQBR,2021-08-16,7.161,2825200,20363310.2
TQBR,2021-08-17,7.211,5002300,35940202.4
TQBR,2021-08-18,7.23,2061500,14915828.3
TQBR,2021-08-19,7.32,7006600,50807706.9
TQBR,2021-08-20,7.45,5015800,37070004.1
TQBR,2021-08-23,7.53,20017300,150475070.9
TQBR,2021-08-24,7.69,17083700,130111727.3
TQBR,2021-08-25,8.005,30679000,243420658.3
TQBR,2021-08-26,8.029,19099100,152138285.0
TQBR,2021-08-27,8.181,42872500,351500338.9
TQBR,2021-08-30,8.688,60113200,520164414.0
TQBR,2021-08-31,8.463,59238900,514410367.4
TQBR,2021-09-01,8.621,23653900,203133729.1
TQBR,2021-09-02,8.557,22287300,193113097.7
TQBR,2021-09-03,8.821,29449100,258740025.5
TQBR,2021-09-06,8.994,37696000,337758278.8
TQBR,2021-09-07,8.938,31623800,281281066.8
TQBR,2021-09-08,8.869,11680900,103416691.6
TQBR,2021-09-09,8.637,18113600,157194545.0
TQBR,2021-09-10,8.681,11816400,103101766.8
TQBR,2021-09-13,8.817,14800900,130678313.6
TQBR,2021-09-14,8.805,13766500,121689616.1
TQBR,2021-09-15,8.702,36306000,316087608.0
TQBR,2021-09-16,8.686,13993400,122259473.7
TQBR,2021-09-17,8.78,42695400,374310035.6
TQBR,2021-09-20,8.536,29730100,254468816.3
TQBR,2021-09-21,8.508,8300800,70977688.8
TQBR,2021-09-22,8.571,13163500,112979748.3
TQBR,2021-09-23,8.639,15261900,132452497.7
TQBR,2021-09-24,8.683,10517900,91658052.1
TQBR,2021-09-27,8.797,21715000,190953287.4
TQBR,2021-09-28,8.717,9789200,85377494.2
TQBR,2021-09-29,8.7,7103500,61960268.1
TQBR,2021-09-30,8.788,10825700,95049260.3
TQBR,2021-10-01,8.696,9007200,78782103.2
TQBR,2021-10-04,8.728,6995100,61040604.8
TQBR,2021-10-05,8.754,14578200,128054929.6
TQBR,2021-10-06,8.77,11788600,102944160.0
TQBR,2021-10-07,8.971,36906400,329625415.5
TQBR,2021-10-08,9.481,66353000,611274052.8
TQBR,2021-10-11,9.99,139986100,1387120676.6
TQBR,2021-10-12,9.78,54139900,535344288.9
TQBR,2021-10-13,10.359,77491400,792167887.2
TQBR,2021-10-14,10.451,129839400,1401170174.5
TQBR,2021-10-15,10.75,38507400,412749777.9
TQBR,2021-10-18,11.134,92681300,1038583025.1
TQBR,2021-10-19,11.0,67972000,750761440.2
