BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2017-02-06,50.0,300,15000.0
TQBR,2017-02-07,17.991,106100,1949257.6
TQBR,2017-02-08,10.789,57500,621915.8
TQBR,2017-02-09,7.95,240500,2024500.6
TQBR,2017-02-10,7.579,74800,552492.8
TQBR,2017-02-13,6.85,89500,623431.7
TQBR,2017-02-14,6.25,81800,518199.1
TQBR,2017-02-15,6.313,75000,474538.5
TQBR,2017-02-16,6.3,167700,1062574.2
TQBR,2017-02-17,6.151,49700,315183.7
TQBR,2017-02-20,6.041,20200,121287.8
TQBR,2017-02-21,5.959,11900,70246.6
TQBR,2017-02-22,5.678,4600,26430.8
TQBR,2017-02-24,5.889,2300,13430.5
TQBR,2017-02-27,5.896,1200,7063.1
TQBR,2017-02-28,5.693,6100,34727.6
TQBR,2017-03-01,5.695,9100,51741.4
TQBR,2017-03-02,5.709,12700,72389.4
TQBR,2017-03-03,5.815,102000,601772.7
TQBR,2017-03-06,5.807,10100,58668.8
TQBR,2017-03-07,5.798,11400,64525.3
TQBR,2017-03-09,5.686,10600,56803.1
TQBR,2017-03-10,5.687,200,1137.4
TQBR,2017-03-13,5.76,900,5187.7
TQBR,2017-03-14,5.748,2100,12048.0
TQBR,2017-03-15,,0,0.0
TQBR,2017-03-16,5.633,3000,16579.2
TQBR,2017-03-17,5.499,8400,46222.9
TQBR,2017-03-20,,0,0.0
TQBR,2017-03-21,5.73,3000,16553.6
TQBR,2017-03-22,5.628,2900,15803.0
TQBR,2017-03-23,5.4,1000,5461.9
TQBR,2017-03-24,5.458,2000,10847.0
TQBR,2017-03-27,4.921,16400,82902.9
TQBR,2017-03-28,4.63,16100,76106.6
TQBR,2017-03-29,4.74,200,943.0
TQBR,2017-03-30,6.632,363800,2228695.6
TQBR,2017-03-31,7.94,930200,6806568.7
TQBR,2017-04-03,7.499,455600,3185601.6
TQBR,2017-04-04,6.65,107900,733617.8
TQBR,2017-04-05,7.27,189000,1293814.7
TQBR,2017-04-06,6.8,94400,634371.9
TQBR,2017-04-07,6.33,348200,2301268.0
TQBR,2017-04-10,5.95,26400,159159.4
TQBR,2017-04-11,5.77,41400,238140.4
TQBR,2017-04-12,5.494,43700,242105.5
TQBR,2017-04-13,5.488,3100,16622.8
TQBR,2017-04-14,5.499,25900,143052.7
TQBR,2017-04-17,5.367,51800,282832.1
TQBR,2017-04-18,5.772,51200,288933.9
TQBR,2017-04-19,5.494,89300,506849.0
TQBR,2017-04-20,5.45,187600,1109352.8
TQBR,2017-04-21,5.88,64800,362234.6
TQBR,2017-04-24,7.96,1000400,7272209.8
TQBR,2017-04-25,7.4,643900,5296549.8
TQBR,2017-04-26,8.218,168400,1387444.7
TQBR,2017-04-27,8.1,95300,745104.9
TQBR,2017-04-28,8.195,42300,342961.2
TQBR,2017-05-02,7.17,247800,1850024.0
TQBR,2017-05-03,6.99,105200,745325.0
TQBR,2017-05-04,7.11,9300,65424.0
TQBR,2017-05-05,7.1,18200,126684.0
TQBR,2017-05-10,7.03,42900,299240.0
TQBR,2017-05-11,7.11,1400,9845.0
TQBR,2017-05-12,7.09,11800,82496.0
TQBR,2017-05-15,6.84,31700,213268.0
TQBR,2017-05-16,6.7,12600,84697.0
TQBR,2017-05-17,7.03,43900,301023.0
TQBR,2017-05-18,7.06,48900,346412.0
TQBR,2017-05-19,7.1,405700,3227187.0
TQBR,2017-05-22,7.69,110000,833814.0
TQBR,2017-05-23,7.9,43700,339785.0
TQBR,2017-05-24,7.57,39400,299680.0
TQBR,2017-05-25,7.6,27300,202490.0
TQBR,2017-05-26,7.3,67500,477659.0
TQBR,2017-05-29,7.1,42200,290509.0
