BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,0.18,21000,3700.0
TQBR,2014-06-16,0.1799,15000,2698.5
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,0.1799,1000,179.9
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,0.1812,1000,181.2
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,0.1891,1000,189.1
TQBR,2014-07-01,0.176,2000,352.1
TQBR,2014-07-02,0.1885,1000,188.5
TQBR,2014-07-03,0.1893,39000,7052.9
TQBR,2014-07-04,0.1801,5000,925.3
TQBR,2014-07-07,0.1893,3000,559.3
TQBR,2014-07-08,0.18,21000,3964.3
TQBR,2014-07-09,0.18,2000,360.0
TQBR,2014-07-10,0.175,170000,29993.0
TQBR,2014-07-11,0.18,23000,4140.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,0.1799,809000,137646.0
TQBR,2014-07-16,0.1753,2000,350.6
TQBR,2014-07-17,0.1868,212000,36118.7
TQBR,2014-07-18,0.1701,1000,170.1
TQBR,2014-07-21,0.1798,2000,351.9
TQBR,2014-07-22,0.1795,204000,34759.7
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,0.1703,200000,34060.3
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,0.1836,1000,183.6
TQBR,2014-08-01,0.1839,2000,367.9
TQBR,2014-08-04,0.1842,1000,184.2
TQBR,2014-08-05,0.1837,2000,351.3
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,0.1842,1000,184.2
TQBR,2014-08-12,0.1799,10000,1711.4
TQBR,2014-08-13,0.1797,3000,538.9
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,0.1798,3000,539.3
TQBR,2014-08-18,0.1751,13000,2330.2
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,0.184,1000,184.0
TQBR,2014-08-21,,0,0.0
