BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,648.0,52410,33633402.0
TQBR,2014-06-10,593.0,39190,23222914.0
TQBR,2014-06-11,584.0,42330,24529686.0
TQBR,2014-06-16,575.4,38610,21942198.0
TQBR,2014-06-17,569.5,18200,10326483.0
TQBR,2014-06-18,565.0,6020,3411804.0
TQBR,2014-06-19,567.6,7200,4075387.0
TQBR,2014-06-20,571.0,3100,1761485.0
TQBR,2014-06-23,575.8,6930,3987967.0
TQBR,2014-06-24,585.5,22310,12983678.0
TQBR,2014-06-25,580.1,11830,6861296.0
TQBR,2014-06-26,588.4,12160,7119026.0
TQBR,2014-06-27,595.0,15850,9351627.0
TQBR,2014-06-30,595.0,16560,9810296.0
TQBR,2014-07-01,597.3,8460,5040786.0
TQBR,2014-07-02,597.0,2350,1402928.0
TQBR,2014-07-03,597.6,3620,2161610.0
TQBR,2014-07-04,597.0,22720,13561650.0
TQBR,2014-07-07,595.9,5020,2988290.0
TQBR,2014-07-08,618.0,15990,9753947.0
TQBR,2014-07-09,616.0,7590,4661834.0
TQBR,2014-07-10,615.1,12430,7598854.0
TQBR,2014-07-11,600.0,7870,4801111.0
TQBR,2014-07-14,611.0,4540,2770119.0
TQBR,2014-07-15,617.4,13040,8209279.0
TQBR,2014-07-16,621.0,4490,2763966.0
TQBR,2014-07-17,609.0,7040,4277774.0
TQBR,2014-07-18,597.0,2980,1784865.0
TQBR,2014-07-21,580.0,10300,5984981.0
TQBR,2014-07-22,582.9,21060,12226195.0
TQBR,2014-07-23,583.3,1900,1104859.0
TQBR,2014-07-24,574.8,3250,1875760.0
TQBR,2014-07-25,536.0,19810,10996435.0
TQBR,2014-07-28,500.0,24050,12364786.0
TQBR,2014-07-29,493.5,14170,6994175.0
TQBR,2014-07-30,515.0,15980,8200572.0
TQBR,2014-07-31,535.4,16170,8627515.0
TQBR,2014-08-01,535.0,13440,7157307.0
TQBR,2014-08-04,536.0,4320,2316279.0
TQBR,2014-08-05,522.7,4190,2202991.0
