BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2023-12-15,12.505,235374000,3084380873.0
TQBR,2023-12-18,12.9,122471200,1578800595.5
TQBR,2023-12-19,12.61,40704700,518997169.0
TQBR,2023-12-20,12.805,30497500,387314486.0
TQBR,2023-12-21,13.16,52074600,679410689.5
TQBR,2023-12-22,13.71,55191300,749686421.0
TQBR,2023-12-25,13.5,53860800,745150100.5
TQBR,2023-12-26,13.52,16156300,219021571.0
TQBR,2023-12-27,13.655,15586800,212196940.5
TQBR,2023-12-28,13.605,28859900,395605262.0
TQBR,2023-12-29,13.7,9784100,133784108.0
TQBR,2024-01-03,14.245,15686700,220245328.5
TQBR,2024-01-04,14.155,9865300,140108905.5
TQBR,2024-01-05,14.185,6228600,88174313.5
TQBR,2024-01-08,14.315,13652800,196135179.5
TQBR,2024-01-09,14.15,12704800,180605762.0
TQBR,2024-01-10,14.2,20891800,297238354.0
TQBR,2024-01-11,13.995,24124100,337538875.0
TQBR,2024-01-12,13.81,23023400,318222543.5
TQBR,2024-01-15,13.805,13083600,181283925.5
TQBR,2024-01-16,13.755,20835400,285187703.0
TQBR,2024-01-17,13.85,15155000,209337893.0
TQBR,2024-01-18,13.7,9904100,136548026.5
TQBR,2024-01-19,13.7,13604100,186094078.5
TQBR,2024-01-22,13.9,24588100,340599483.5
TQBR,2024-01-23,14.895,132442400,1910239537.0
TQBR,2024-01-24,14.78,164047600,2490609054.0
TQBR,2024-01-25,14.975,45665400,680953516.5
TQBR,2024-01-26,14.965,41773600,631821221.0
TQBR,2024-01-29,15.05,25012600,375609616.0
TQBR,2024-01-30,15.28,68644700,1053751167.0
TQBR,2024-01-31,15.465,64351200,1000534934.5
TQBR,2024-02-01,15.34,27503500,426278784.5
TQBR,2024-02-02,15.3,30495100,463407324.5
TQBR,2024-02-05,15.405,27669400,425044360.0
TQBR,2024-02-06,16.065,61259500,967924638.5
TQBR,2024-02-07,17.69,347733900,6080004819.5
TQBR,2024-02-08,18.06,263518900,4827177952.0
TQBR,2024-02-09,17.355,113769800,1979656640.0
TQBR,2024-02-12,17.21,55526300,948181863.0
TQBR,2024-02-13,17.8,87905900,1555198473.0
TQBR,2024-02-14,17.54,31862700,565209645.0
TQBR,2024-02-15,17.51,39025000,681068931.5
TQBR,2024-02-16,17.48,72599400,1281327429.0
TQBR,2024-02-19,18.85,221001600,4054226467.5
TQBR,2024-02-20,18.25,138571800,2562280899.5
TQBR,2024-02-21,18.19,84738500,1530854464.5
TQBR,2024-02-22,18.17,39798400,723790012.0
TQBR,2024-02-26,18.645,52137800,966785285.0
TQBR,2024-02-27,18.475,33259300,614607980.0
TQBR,2024-02-28,18.285,28203200,516115865.5
TQBR,2024-02-29,18.475,38746400,713405723.5
TQBR,2024-03-01,19.28,158723800,3013897230.0
TQBR,2024-03-04,19.17,96795200,1860515144.5
TQBR,2024-03-05,19.28,33942000,649390562.0
TQBR,2024-03-06,19.565,74222000,1445899244.0
TQBR,2024-03-07,19.59,56524200,1110011860.0
TQBR,2024-03-11,19.4,49216400,960011999.5
TQBR,2024-03-12,19.215,45409900,869923380.0
TQBR,2024-03-13,19.175,28328500,545799652.5
TQBR,2024-03-14,19.03,45681800,864056605.0
TQBR,2024-03-15,18.97,35708000,680740682.0
TQBR,2024-03-18,19.32,55892200,1066326334.5
TQBR,2024-03-19,19.06,38955700,748416732.0
TQBR,2024-03-20,18.865,24715200,468651734.0
TQBR,2024-03-21,19.1,17555600,333678808.0
