BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2021-01-15,,0,0.0
TQBR,2021-01-18,105.13,55470,5110201.6
TQBR,2021-01-19,147.14,317130,45319454.5
TQBR,2021-01-20,138.82,169000,23994191.6
TQBR,2021-01-21,142.25,191550,27192099.2
TQBR,2021-01-22,131.5,45080,5953060.6
TQBR,2021-01-25,132.04,19220,2545367.4
TQBR,2021-01-26,123.14,52660,6523521.7
TQBR,2021-01-27,123.7,10300,1276583.6
TQBR,2021-01-28,121.0,38670,4654264.8
TQBR,2021-01-29,118.51,17460,2076760.6
TQBR,2021-02-01,116.0,24650,2869224.8
TQBR,2021-02-02,118.0,7370,865642.9
TQBR,2021-02-03,117.0,8800,1034399.3
TQBR,2021-02-04,117.01,13170,1550398.7
TQBR,2021-02-05,117.33,50450,6121701.5
TQBR,2021-02-08,121.01,41980,5104016.8
TQBR,2021-02-09,120.99,28850,3541761.3
TQBR,2021-02-10,118.6,30500,3658377.1
TQBR,2021-02-11,119.6,7440,891381.5
TQBR,2021-02-12,119.0,20660,2443494.3
TQBR,2021-02-15,119.55,9810,1177509.1
TQBR,2021-02-16,119.12,31720,3776694.6
TQBR,2021-02-17,118.0,14560,1720274.5
TQBR,2021-02-18,118.21,11200,1326158.0
TQBR,2021-02-19,117.1,13900,1630830.4
TQBR,2021-02-20,117.95,3410,403013.3
TQBR,2021-02-22,118.0,1980,233619.8
TQBR,2021-02-24,116.96,6060,707942.6
TQBR,2021-02-25,116.0,13100,1529721.5
TQBR,2021-02-26,114.9,9910,1140415.7
TQBR,2021-03-01,113.2,7550,858427.0
TQBR,2021-03-02,114.9,13030,1487429.2
TQBR,2021-03-03,113.5,6680,758639.6
TQBR,2021-03-04,115.4,19300,2208785.6
TQBR,2021-03-05,,0,0.0
TQBR,2021-03-09,,0,0.0
TQBR,2021-12-15,76.05,13885,1085835.45
TQBR,2021-12-16,77.1,5670,446564.95
TQBR,2021-12-17,78.5,4734,376977.05
TQBR,2021-12-20,77.5,1329,103082.65
TQBR,2021-12-21,77.4,896,69969.4
TQBR,2021-12-22,78.0,3532,267919.0
TQBR,2021-12-23,77.4,1899,146151.75
TQBR,2021-12-24,77.15,1247,96188.5
TQBR,2021-12-27,77.25,2708,209473.05
TQBR,2021-12-28,76.1,1906,144897.85
TQBR,2021-12-29,77.65,7125,562453.4
TQBR,2021-12-30,78.45,1559,120065.6
TQBR,2022-01-03,78.0,1121,87442.4
TQBR,2022-01-04,78.45,1280,100125.15
