BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-05-27,55.95,32152,1791172.75
TQBR,2024-05-28,55.5,7335,398701.8
TQBR,2024-05-29,56.3,8236,461875.55
TQBR,2024-05-30,53.6,5197,287252.35
TQBR,2024-05-31,49.85,15690,770884.1
TQBR,2024-06-03,57.0,70121,3570248.9
TQBR,2024-06-04,55.95,24570,1330573.15
TQBR,2024-06-05,54.5,29103,1585395.95
TQBR,2024-06-06,53.15,4933,262023.35
TQBR,2024-06-07,53.3,8154,433489.9
TQBR,2024-06-10,52.85,4028,215867.35
TQBR,2024-06-11,53.15,6861,370651.05
TQBR,2024-06-13,52.35,7113,363794.35
TQBR,2024-06-14,53.95,15915,855960.2
TQBR,2024-06-17,53.5,6463,346831.45
TQBR,2024-06-18,52.5,3002,160370.5
TQBR,2024-06-19,51.85,4272,221742.0
TQBR,2024-06-20,51.0,2724,139872.05
TQBR,2024-06-21,51.9,6508,340679.45
TQBR,2024-06-24,48.8,9528,474196.95
TQBR,2024-06-25,57.4,44302,2543250.65
TQBR,2024-06-26,56.2,26932,1517769.15
TQBR,2024-06-27,55.5,9128,519725.0
TQBR,2024-06-28,55.6,22376,1224964.95
TQBR,2024-07-01,54.5,10429,572083.65
TQBR,2024-07-02,55.0,17615,957298.1
TQBR,2024-07-03,54.9,17614,975080.45
TQBR,2024-07-04,54.7,16652,909271.55
TQBR,2024-07-05,55.0,27980,1530571.45
TQBR,2024-07-08,55.5,32649,1777996.0
TQBR,2024-07-09,49.95,50674,2590485.85
TQBR,2024-07-10,49.5,27031,1385128.5
TQBR,2024-07-11,50.0,5527,275858.85
TQBR,2024-07-12,49.65,3626,180473.05
TQBR,2024-07-15,51.4,21569,1103612.3
TQBR,2024-07-16,51.8,21293,1093494.0
TQBR,2024-07-17,51.4,25839,1324909.2
TQBR,2024-07-18,50.7,20115,1013612.4
TQBR,2024-07-19,51.0,13910,710205.1
TQBR,2024-07-22,50.55,49051,2487971.3
TQBR,2024-07-23,50.1,28602,1445075.75
TQBR,2024-07-24,50.95,35155,1804786.9
TQBR,2024-07-25,51.65,44257,2290893.0
TQBR,2024-07-26,50.8,36727,1851472.6
TQBR,2024-07-29,47.8,17756,865133.75
TQBR,2024-07-30,46.5,48542,2267568.7
TQBR,2024-07-31,45.5,62527,2867211.25
TQBR,2024-08-01,44.85,51119,2308242.65
TQBR,2024-08-02,43.7,111995,5114205.3
TQBR,2024-08-05,43.6,62810,2740781.4
TQBR,2024-08-06,43.2,75312,3242444.75
TQBR,2024-08-07,43.4,35814,1549971.15
TQBR,2024-08-08,42.95,38719,1681274.3
TQBR,2024-08-09,43.2,34255,1470997.25
TQBR,2024-08-12,42.45,64713,2746212.7
TQBR,2024-08-13,42.6,52048,2206728.75
TQBR,2024-08-14,41.95,41191,1731967.0
TQBR,2024-08-15,41.25,78489,3319816.55
TQBR,2024-08-16,39.9,62840,2566161.85
TQBR,2024-08-19,39.25,55566,2219254.15
TQBR,2024-08-20,38.6,52663,2071139.3
TQBR,2024-08-21,37.6,56018,2161580.7
TQBR,2024-08-22,36.3,55209,2066603.2
TQBR,2024-08-23,38.0,73047,2672014.9
TQBR,2024-08-26,37.75,46490,1776181.45
TQBR,2024-08-27,36.8,58790,2205176.25
TQBR,2024-08-28,37.35,59601,2206713.2
TQBR,2024-08-29,38.3,56838,2091180.5
TQBR,2024-08-30,36.9,54612,2038326.65
TQBR,2024-09-02,36.05,7644,275418.85
TQBR,2024-09-03,35.65,3302,118944.8
TQBR,2024-09-04,36.15,3364,121398.4
TQBR,2024-09-05,35.6,53390,1932581.5
TQBR,2024-09-06,34.55,60116,2096661.6
TQBR,2024-09-09,35.05,67583,2379321.7
TQBR,2024-09-10,37.3,66644,2325943.6
TQBR,2024-09-11,34.7,131194,4647936.6
TQBR,2024-09-12,33.75,96479,3211139.35
TQBR,2024-09-13,33.75,65901,2192938.9
TQBR,2024-09-16,33.3,182460,6080264.15
TQBR,2024-09-17,33.3,72114,2393670.35
TQBR,2024-09-18,33.25,61840,2061317.9
TQBR,2024-09-19,34.65,355546,12597711.2
TQBR,2024-09-20,35.5,129347,4630917.65
TQBR,2024-09-23,34.7,222437,7901156.25
TQBR,2024-09-24,34.0,138364,4724271.8
TQBR,2024-09-25,33.25,76647,2600911.6
TQBR,2024-09-26,33.05,29674,979902.25
TQBR,2024-09-27,32.9,55196,1801357.7
TQBR,2024-09-30,30.65,387595,12004412.0
TQBR,2024-10-01,29.75,72756,2181223.2
TQBR,2024-10-02,29.3,39589,1170297.35
TQBR,2024-10-03,28.65,61252,1753210.2
TQBR,2024-10-04,28.5,39865,1146912.95
TQBR,2024-10-07,27.85,59531,1681651.85
TQBR,2024-10-08,27.9,53007,1467824.85
TQBR,2024-10-09,26.85,62828,1715012.15
TQBR,2024-10-10,27.1,82981,2189813.5
TQBR,2024-10-11,26.5,24121,646997.15
TQBR,2024-10-14,26.4,83906,2238098.6
TQBR,2024-10-15,26.55,67884,1820653.6
TQBR,2024-10-16,26.25,55861,1486647.65
TQBR,2024-10-17,25.3,59710,1532923.3
TQBR,2024-10-18,24.45,90906,2224434.55
TQBR,2024-10-21,24.05,51277,1226252.9
TQBR,2024-10-22,23.7,33811,804053.05
TQBR,2024-10-23,22.1,110559,2484104.35
TQBR,2024-10-24,21.2,118744,2553396.6
TQBR,2024-10-25,20.35,80471,1676452.7
TQBR,2024-10-28,20.2,55133,1127735.35
TQBR,2024-10-29,20.65,23684,486141.25
TQBR,2024-10-30,20.85,45998,971545.5
TQBR,2024-10-31,20.75,22238,464682.05
TQBR,2024-11-01,20.75,45416,951120.85
TQBR,2024-11-02,20.75,9530,198280.2
TQBR,2024-11-05,20.8,30705,639626.8
TQBR,2024-11-06,20.75,164836,3464175.85
TQBR,2024-11-07,20.6,31162,640404.8
TQBR,2024-11-08,20.45,128085,2621673.05
TQBR,2024-11-11,20.8,91394,1908128.95
TQBR,2024-11-12,20.6,54526,1122069.4
TQBR,2024-11-13,20.75,154811,3216252.55
TQBR,2024-11-14,20.55,47953,985464.55
TQBR,2024-11-15,20.6,42421,872005.35
TQBR,2024-11-18,20.05,92621,1871525.6
TQBR,2024-11-19,18.95,199984,3862939.85
TQBR,2024-11-20,18.9,103231,1942759.05
TQBR,2024-11-21,18.5,69229,1282522.4
TQBR,2024-11-22,18.5,24453,453869.9
TQBR,2024-11-25,17.95,71595,1271975.1
TQBR,2024-11-26,18.0,116518,2027092.95
TQBR,2024-11-27,18.1,72494,1267551.65
TQBR,2024-11-28,19.3,123284,2278188.9
TQBR,2024-11-29,18.4,67187,1263593.35
TQBR,2024-12-02,18.3,9331,171760.5
TQBR,2024-12-03,18.0,13898,251086.7
TQBR,2024-12-04,17.5,50150,878674.05
TQBR,2024-12-05,17.0,129579,2213172.95
TQBR,2024-12-06,16.95,149299,2605521.2
TQBR,2024-12-09,16.95,87342,1462628.65
TQBR,2024-12-10,16.5,33107,546116.25
TQBR,2024-12-11,16.6,52470,877641.05
TQBR,2024-12-12,16.5,17780,295945.15
TQBR,2024-12-13,16.45,29765,481993.35
TQBR,2024-12-16,17.3,308881,5171472.1
TQBR,2024-12-17,17.2,262958,4681767.6
TQBR,2024-12-18,17.05,57369,962859.65
TQBR,2024-12-19,17.35,201078,3608216.0
TQBR,2024-12-20,17.7,188242,3351808.85
TQBR,2024-12-23,20.35,295600,5753870.4
TQBR,2024-12-24,19.45,85338,1683664.6
TQBR,2024-12-25,23.7,770807,17217957.45
TQBR,2024-12-26,23.7,981380,24971831.95
TQBR,2024-12-27,22.8,196777,4422728.1
TQBR,2024-12-28,22.1,223410,4961707.6
TQBR,2024-12-30,22.55,111192,2505161.2
TQBR,2025-01-03,22.3,88962,1985043.25
TQBR,2025-01-06,22.3,42005,927760.65
TQBR,2025-01-08,22.45,96337,2159056.8
TQBR,2025-01-09,21.65,83196,1844908.95
TQBR,2025-01-10,22.1,24982,548058.2
TQBR,2025-01-13,22.1,70320,1551489.75
TQBR,2025-01-14,21.85,68065,1494929.75
TQBR,2025-01-15,21.85,74026,1609380.3
TQBR,2025-01-16,22.0,279404,6109519.75
TQBR,2025-01-17,21.9,79928,1741714.5
TQBR,2025-01-20,21.85,60214,1319749.15
TQBR,2025-01-21,21.8,22051,478987.25
