BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-11-28,2367.0,9862491,23428426684.4
TQBR,2024-11-29,2387.8,7774611,18591390509.4
TQBR,2024-12-02,2392.2,6214953,14937026672.0
TQBR,2024-12-03,2352.0,6196687,14655955327.6
TQBR,2024-12-04,2288.6,8309368,19466965200.0
TQBR,2024-12-05,2371.0,9736023,22623542126.8
TQBR,2024-12-06,2350.0,8375821,19800420078.8
TQBR,2024-12-09,2395.0,6292380,15012071993.4
TQBR,2024-12-10,2345.2,6593828,15573120671.0
TQBR,2024-12-11,2346.4,5209213,12192565896.8
TQBR,2024-12-12,2305.4,4913532,11496911970.6
TQBR,2024-12-13,2289.0,4275645,9826702135.6
TQBR,2024-12-16,2182.0,8219587,18389508970.2
TQBR,2024-12-17,2221.4,6763471,14929723726.8
TQBR,2024-12-18,2260.2,7497003,16729124418.4
TQBR,2024-12-19,2272.0,9957933,22657561453.0
TQBR,2024-12-20,2543.0,16773829,41703474309.8
TQBR,2024-12-23,2624.4,12442170,32578025912.6
TQBR,2024-12-24,2569.6,9703547,25233988696.0
TQBR,2024-12-25,2634.4,11111715,28959363765.4
TQBR,2024-12-26,2625.8,7248883,19155557491.6
TQBR,2024-12-27,2637.0,4518292,11902731198.8
TQBR,2024-12-28,2662.8,4057613,10772956712.0
TQBR,2024-12-30,2752.2,5333925,14525287923.6
TQBR,2025-01-03,2687.6,4642298,12596905547.2
TQBR,2025-01-06,2714.0,5521016,14854270161.6
TQBR,2025-01-08,2750.6,4910929,13450649051.2
TQBR,2025-01-09,2734.0,11102461,30489107348.0
TQBR,2025-01-10,2900.0,16996299,48046472579.0
TQBR,2025-01-13,2891.6,16744413,49310997904.8
TQBR,2025-01-14,2938.0,11165469,32657515056.6
TQBR,2025-01-15,2985.6,7182072,21195414451.8
TQBR,2025-01-16,2980.8,4857781,14527497013.2
TQBR,2025-01-17,3052.8,5197476,15641355708.6
TQBR,2025-01-20,2969.8,6848888,20770481956.0
TQBR,2025-01-21,3041.8,3969570,11947011547.4
