BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-07-08,,0,0.0
TQBR,2013-07-09,,0,0.0
TQBR,2013-07-10,199.18,10,1991.8
TQBR,2013-07-11,199.17,190,37753.2
TQBR,2013-07-12,201.29,100,20129.0
TQBR,2013-07-15,,0,0.0
TQBR,2013-07-16,,0,0.0
TQBR,2013-07-17,210.0,800,165900.0
TQBR,2013-07-18,209.99,400,83598.0
TQBR,2013-07-19,211.0,2180,462299.2
TQBR,2013-07-22,213.0,400,85600.0
TQBR,2013-07-23,210.0,400,84240.0
TQBR,2013-07-24,207.0,400,82800.0
TQBR,2013-07-25,206.0,200,41200.0
TQBR,2013-07-26,204.0,800,164200.0
TQBR,2013-07-29,,0,0.0
TQBR,2013-07-30,205.5,400,82100.0
TQBR,2013-07-31,,0,0.0
TQBR,2013-08-01,206.0,200,41200.0
TQBR,2013-08-02,,0,0.0
TQBR,2013-08-05,209.0,200,41800.0
TQBR,2013-08-06,201.13,1240,251028.0
TQBR,2013-08-07,203.0,320,64681.8
TQBR,2013-08-08,201.5,200,40300.0
TQBR,2013-08-09,205.0,600,122700.0
TQBR,2013-08-12,,0,0.0
TQBR,2013-08-13,209.0,900,188100.0
TQBR,2013-08-14,212.6,450,94835.0
TQBR,2013-08-15,204.0,700,143872.0
TQBR,2013-08-16,,0,0.0
TQBR,2013-08-19,208.0,850,175260.0
TQBR,2013-08-20,207.8,420,86376.0
TQBR,2013-08-21,208.0,420,87374.2
TQBR,2013-08-22,210.0,590,123900.0
TQBR,2013-08-23,,0,0.0
TQBR,2013-08-26,210.48,40,8416.9
TQBR,2013-08-27,204.0,20550,4248572.1
TQBR,2013-08-28,203.53,230,46404.2
TQBR,2013-08-29,206.5,22370,4568066.1
TQBR,2013-08-30,201.4,2000,414429.3
TQBR,2013-09-02,207.5,797410,166719112.4
TQBR,2013-09-03,207.32,821150,169994980.6
TQBR,2013-09-04,207.99,361040,74623559.9
TQBR,2013-09-05,213.65,1909150,402469124.3
TQBR,2013-09-06,216.92,2236390,485680701.4
TQBR,2013-09-09,220.0,1277620,280538830.3
TQBR,2013-09-10,221.85,2630450,581498433.1
TQBR,2013-09-11,221.64,1399030,308046643.2
TQBR,2013-09-12,219.0,1488390,326009078.7
TQBR,2013-09-13,219.38,889970,195172739.4
TQBR,2013-09-16,221.65,2000230,442369851.2
TQBR,2013-09-17,223.0,1780690,394484901.1
TQBR,2013-09-18,220.45,1605950,356239997.1
TQBR,2013-09-19,223.3,3159990,704001930.1
TQBR,2013-09-20,225.62,2299530,515561364.2
TQBR,2013-09-23,220.83,2170870,480630715.2
TQBR,2013-09-24,219.0,1883610,413580725.0
TQBR,2013-09-25,217.34,2126240,464016063.8
TQBR,2013-09-26,215.68,2641440,571546578.2
TQBR,2013-09-27,216.4,1936960,418036048.5
TQBR,2013-09-30,212.92,1859760,397740949.5
TQBR,2013-10-01,213.45,1789060,379820242.1
TQBR,2013-10-02,208.21,1543510,325008941.7
TQBR,2013-10-03,209.05,1748410,366738457.5
TQBR,2013-10-04,211.25,1486480,311553055.9
TQBR,2013-10-07,210.24,1583940,332352514.0
TQBR,2013-10-08,215.18,1928080,411987387.6
TQBR,2013-10-09,214.33,1386560,297301438.9
TQBR,2013-10-10,218.44,1487440,323436173.7
TQBR,2013-10-11,217.81,863710,187911064.4
TQBR,2013-10-14,218.83,632780,137769247.6
TQBR,2013-10-15,221.99,1562760,345198147.3
TQBR,2013-10-16,220.38,1216610,268919172.2
TQBR,2013-10-17,219.6,1021580,223542957.1
TQBR,2013-10-18,222.96,2412560,533542197.7
TQBR,2013-10-21,221.51,915740,202495294.5
TQBR,2013-10-22,220.58,980480,215873691.9
TQBR,2013-10-23,216.7,1160880,252991084.6
TQBR,2013-10-24,212.86,1049430,224846099.8
TQBR,2013-10-25,214.13,903120,192515189.8
TQBR,2013-10-28,216.49,1115410,240950092.4
TQBR,2013-10-29,217.0,761410,165102946.0
TQBR,2013-10-30,219.83,959350,210036585.4
TQBR,2013-10-31,220.54,1207460,264019211.9
TQBR,2013-11-01,220.7,1521400,336544935.0
TQBR,2013-11-05,219.18,1057010,232863549.2
TQBR,2013-11-06,218.5,1249280,273063263.7
TQBR,2013-11-07,219.17,1326580,290127049.3
TQBR,2013-11-08,214.28,1982390,427042322.3
