BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.001103,33000000,36504
TQBR,2014-06-10,0.001099,63000000,72094
TQBR,2014-06-11,0.001071,40000000,43398
TQBR,2014-06-16,0.00109,10000000,10623
TQBR,2014-06-17,0.00109,4000000,4320
TQBR,2014-06-18,0.001051,22000000,23213
TQBR,2014-06-19,0.001059,15000000,15747
TQBR,2014-06-20,0.001022,20000000,20557
TQBR,2014-06-23,0.001045,56000000,56157
TQBR,2014-06-24,,0,0
TQBR,2014-06-25,0.001048,59000000,57976
TQBR,2014-06-26,,0,0
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,0.000997,12000000,12095
TQBR,2014-07-02,0.000962,88000000,85810
TQBR,2014-07-03,0.00102,285000000,290713
TQBR,2014-07-04,0.00102,6000000,6120
TQBR,2014-07-07,0.001088,15000000,16191
TQBR,2014-07-08,,0,0
TQBR,2014-07-09,,0,0
TQBR,2014-07-10,,0,0
TQBR,2014-07-11,0.001112,13000000,14473
TQBR,2014-07-14,,0,0
TQBR,2014-07-15,0.001003,1000000,1003
TQBR,2014-07-16,,0,0
TQBR,2014-07-17,,0,0
TQBR,2014-07-18,,0,0
TQBR,2014-07-21,,0,0
TQBR,2014-07-22,0.001001,3000000,2833
TQBR,2014-07-23,,0,0
TQBR,2014-07-24,,0,0
TQBR,2014-07-25,0.001001,2000000,2001
TQBR,2014-07-28,0.001,17000000,16769
TQBR,2014-07-29,,0,0
TQBR,2014-07-30,,0,0
TQBR,2014-07-31,0.001079,4000000,4315
TQBR,2014-08-01,0.000946,3000000,2804
TQBR,2014-08-04,0.000931,4000000,3752
TQBR,2014-08-05,,0,0
TQBR,2014-08-06,0.000977,4000000,3910
TQBR,2014-08-07,0.001032,1000000,1032
TQBR,2014-08-08,,0,0
TQBR,2014-08-11,,0,0
TQBR,2014-08-12,0.000951,7000000,6512
TQBR,2014-08-13,0.000923,1000000,923
TQBR,2014-08-14,0.000951,31000000,29871
TQBR,2014-08-15,0.000903,27000000,25215
TQBR,2014-08-18,0.000949,2000000,1898
TQBR,2014-08-19,0.000933,22000000,20520
TQBR,2014-08-20,0.0009,398000000,358997
