BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2015-06-17,1245.0,9084,10385334.5
TQBR,2015-06-18,1271.0,1023,1293694.0
TQBR,2015-06-19,1350.0,387,511544.0
TQBR,2015-06-22,1268.5,1681,2099178.0
TQBR,2015-06-23,1245.0,3232,4036577.5
TQBR,2015-06-24,1260.0,3545,4438145.5
TQBR,2015-06-25,1299.0,3045,3822577.5
TQBR,2015-06-26,1300.0,685,882664.5
TQBR,2015-06-29,1314.5,285,376687.0
TQBR,2015-06-30,1344.0,1116,1455536.5
TQBR,2015-07-01,1340.0,410,533986.0
TQBR,2015-07-02,1328.0,95,126241.5
TQBR,2015-07-03,1445.0,1955,2756648.0
TQBR,2015-07-06,1339.5,7794,10138611.5
TQBR,2015-07-07,1332.5,1226,1594175.0
TQBR,2015-07-08,1314.5,2607,3381979.0
TQBR,2015-07-09,1310.0,1068,1389095.5
TQBR,2015-07-10,1310.0,58,74970.5
TQBR,2015-07-13,1285.0,267,344317.0
TQBR,2015-07-14,1297.0,160,205054.0
TQBR,2015-07-15,1290.0,58,74962.5
TQBR,2015-07-16,1300.0,144,185535.0
TQBR,2015-07-17,1319.5,25,32885.0
TQBR,2015-07-20,1305.5,33,43089.5
TQBR,2015-07-21,1300.5,48,62608.0
TQBR,2015-07-22,1320.5,114,152627.5
TQBR,2015-07-23,1289.0,7364,9401429.0
TQBR,2015-07-24,1300.0,2924,3759084.0
TQBR,2015-07-27,1285.5,1020,1311260.0
TQBR,2015-07-28,1305.0,84,109615.0
TQBR,2015-07-29,1305.0,309,403104.0
TQBR,2015-07-30,1315.0,1048,1363646.0
TQBR,2015-07-31,1320.0,300,395600.0
TQBR,2015-08-03,1290.0,234,302082.0
TQBR,2015-08-04,1300.0,629,812243.5
TQBR,2015-08-05,1300.0,847,1100787.5
TQBR,2015-08-06,1310.0,162,210715.5
TQBR,2015-08-07,1320.0,287,376955.5
TQBR,2015-08-10,1339.0,141,185625.0
TQBR,2015-08-11,1330.0,669,884087.0
TQBR,2015-08-12,1320.0,105,138631.0
TQBR,2015-08-13,1320.0,451,595020.5
TQBR,2015-08-14,1337.0,844,1108606.0
TQBR,2015-08-17,1320.0,375,495000.0
TQBR,2015-08-18,1310.0,30,39350.0
TQBR,2015-08-19,1325.0,203,268931.5
TQBR,2015-08-20,1300.5,571,747252.0
TQBR,2015-08-21,1305.0,100,130500.0
TQBR,2015-08-24,1334.5,421,547352.0
TQBR,2015-08-25,1325.0,1,1325.0
TQBR,2015-08-26,1303.0,800,1042400.0
TQBR,2015-08-27,,0,0.0
TQBR,2015-08-28,1305.0,7,9135.0
TQBR,2015-08-31,1300.0,540,702900.0
TQBR,2015-09-01,1305.0,1,1305.0
TQBR,2015-09-02,1305.0,1647,2149336.5
TQBR,2015-09-03,,0,0.0
TQBR,2015-09-04,1305.0,337,444285.0
TQBR,2015-09-07,1338.5,16,21371.5
TQBR,2015-09-08,1315.0,261,343215.0
TQBR,2015-09-09,1339.5,1401,1870339.5
TQBR,2015-09-10,,0,0.0
TQBR,2015-09-11,1353.5,1572,2086573.5
TQBR,2015-09-14,1330.0,356,472577.0
TQBR,2015-09-15,1327.0,405,537750.0
TQBR,2015-09-16,1340.0,455,609700.0
