BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-12-16,85985.0,2859,245604792.0
TQBR,2013-12-17,85800.0,2844,243934892.0
TQBR,2013-12-18,85500.0,1552,132664409.0
TQBR,2013-12-19,85875.0,2848,245372022.0
TQBR,2013-12-20,85300.0,6067,516354366.0
TQBR,2013-12-23,85725.0,2610,222335854.0
TQBR,2013-12-24,86151.0,1786,153738244.0
TQBR,2013-12-25,86721.0,2136,185054931.0
TQBR,2013-12-26,87386.0,2699,235719665.0
TQBR,2013-12-27,85888.0,3637,314124241.0
TQBR,2013-12-30,85900.0,2662,227504114.0
TQBR,2014-01-06,83817.0,3074,260837233.0
TQBR,2014-01-08,82800.0,5103,422832302.0
TQBR,2014-01-09,83251.0,2724,227066991.0
TQBR,2014-01-10,83635.0,5957,496209815.0
TQBR,2014-01-13,83620.0,3424,285766722.0
TQBR,2014-01-14,83920.0,5838,487808016.0
TQBR,2014-01-15,83902.0,2341,196264053.0
TQBR,2014-01-16,83557.0,4275,357470663.0
TQBR,2014-01-17,83731.0,2988,250153943.0
TQBR,2014-01-20,83645.0,980,82051128.0
TQBR,2014-01-21,84172.0,4030,338463742.0
TQBR,2014-01-22,84400.0,3845,326214086.0
TQBR,2014-01-23,85000.0,6195,526021690.0
TQBR,2014-01-24,85446.0,5252,447639904.0
TQBR,2014-01-27,84850.0,7358,624021480.0
TQBR,2014-01-28,83765.0,10797,890738281.0
TQBR,2014-01-29,81480.0,12777,1044338752.0
TQBR,2014-01-30,80450.0,8690,700375595.0
TQBR,2014-01-31,80182.0,13250,1059174154.0
TQBR,2014-02-03,79447.0,4885,389192832.0
TQBR,2014-02-04,79986.0,10022,800263307.0
TQBR,2014-02-05,79642.0,3196,255541463.0
TQBR,2014-02-06,79246.0,4875,386292436.0
TQBR,2014-02-07,78680.0,4143,327096956.0
TQBR,2014-02-10,79570.0,3485,276866948.0
TQBR,2014-02-11,78395.0,7754,609803728.0
TQBR,2014-02-12,80290.0,7202,568876509.0
TQBR,2014-02-13,81499.0,8553,694870517.0
TQBR,2014-02-14,81703.0,2332,190132675.0
TQBR,2014-02-17,81300.0,2996,243375244.0
TQBR,2014-02-18,80262.0,4087,330603513.0
TQBR,2014-02-19,80350.0,6213,497797597.0
TQBR,2014-02-20,81200.0,6308,507392251.0
TQBR,2014-02-21,80229.0,2704,217464068.0
TQBR,2014-02-24,79859.0,1297,103772859.0
TQBR,2014-02-25,79901.0,1757,140326845.0
TQBR,2014-02-26,80492.0,14096,1131197774.0
TQBR,2014-02-27,80951.0,4950,399257719.0
TQBR,2014-02-28,81190.0,3878,311963850.0
TQBR,2014-03-03,78350.0,21906,1696386242.0
TQBR,2014-03-04,77250.0,14131,1096182015.0
TQBR,2014-03-05,77900.0,5632,432474876.0
TQBR,2014-03-06,77901.0,7442,576110126.0
TQBR,2014-03-07,77895.0,14119,1098041604.0
TQBR,2014-03-11,77000.0,8463,651470671.0
TQBR,2014-03-12,76060.0,11431,873773911.0
TQBR,2014-03-13,75710.0,13242,1025855944.0
TQBR,2014-03-14,74100.0,9131,671538757.0
TQBR,2014-03-17,73951.0,12156,896499964.0
TQBR,2014-03-18,73500.0,8391,613272203.0
TQBR,2014-03-19,72600.0,16823,1211439336.0
TQBR,2014-03-20,73000.0,6925,504157512.0
TQBR,2014-03-21,72299.0,10709,775145399.0
TQBR,2014-03-24,74000.0,6651,493125834.0
TQBR,2014-03-25,74803.0,6039,449394286.0
TQBR,2014-03-26,75300.0,5064,382725384.0
TQBR,2014-03-27,74199.0,6775,503344167.0
TQBR,2014-03-28,75650.0,10015,756264784.0
TQBR,2014-03-31,76299.0,13625,1035865187.0
TQBR,2014-04-01,77034.0,7669,587068725.0
TQBR,2014-04-02,77189.0,9135,702229569.0
TQBR,2014-04-03,77200.0,8313,642812933.0
TQBR,2014-04-04,77000.0,8240,636315319.0
TQBR,2014-04-07,77500.0,7704,594325762.0
TQBR,2014-04-08,79999.0,10809,851651124.0
TQBR,2014-04-09,79200.0,4534,361920147.0
TQBR,2014-04-10,81245.0,5563,444569713.0
TQBR,2014-04-11,79540.0,4838,387385852.0
TQBR,2014-04-14,80600.0,3869,309006438.0
TQBR,2014-04-15,80551.0,8508,682987880.0
TQBR,2014-04-16,80900.0,6194,498798472.0
TQBR,2014-04-17,80400.0,3021,243827870.0
TQBR,2014-04-18,81075.0,1626,132675614.0
TQBR,2014-04-21,79805.0,1453,117023406.0
TQBR,2014-04-22,80325.0,4099,328170421.0
TQBR,2014-04-23,80387.0,2349,189139315.0
TQBR,2014-04-24,80800.0,5510,442824034.0
TQBR,2014-04-25,76582.0,6351,503265155.0
TQBR,2014-04-28,78303.0,6166,479899292.0
TQBR,2014-04-29,78425.0,4170,327164380.0
TQBR,2014-04-30,78880.0,5777,455749995.0
TQBR,2014-05-02,79502.0,6365,499357487.0
TQBR,2014-05-05,79000.0,2744,216146611.0
TQBR,2014-05-06,79497.0,5131,406628046.0
TQBR,2014-05-07,80350.0,4708,376816404.0
TQBR,2014-05-08,79865.0,2640,212018209.0
TQBR,2014-05-12,80369.0,3295,265069850.0
TQBR,2014-05-13,80800.0,2580,209037828.0
TQBR,2014-05-14,83000.0,2949,241199287.0
TQBR,2014-05-15,83830.0,4354,363267265.0
TQBR,2014-05-16,83594.0,2054,171252291.0
TQBR,2014-05-19,84688.0,2879,243076181.0
TQBR,2014-05-20,85165.0,3977,337110287.0
TQBR,2014-05-21,86448.0,3374,288126234.0
TQBR,2014-05-22,86007.0,2873,248100456.0
TQBR,2014-05-23,86960.0,3336,288293695.0
TQBR,2014-05-26,86770.0,1233,107076433.0
TQBR,2014-05-27,81600.0,9380,773324395.0
TQBR,2014-05-28,77759.0,14261,1120794759.0
TQBR,2014-05-29,80000.0,14502,1141228979.0
TQBR,2014-05-30,79894.0,9619,763580453.0
TQBR,2014-06-02,79989.0,4224,338540097.0
TQBR,2014-06-03,78488.0,4413,346738855.0
TQBR,2014-06-04,77663.0,3194,247705197.0
TQBR,2014-06-05,76500.0,4244,325434026.0
TQBR,2014-06-06,77870.0,3532,273371375.0
TQBR,2014-06-09,77050.0,2737,213721305.0
TQBR,2014-06-10,77055.0,2766,213078132.0
TQBR,2014-06-11,76510.0,3207,247348370.0
TQBR,2014-06-16,75637.0,11594,881733169.0
TQBR,2014-06-17,76065.0,5014,381077626.0
TQBR,2014-06-18,78160.0,4847,376461710.0
TQBR,2014-06-19,76627.0,5020,390863689.0
TQBR,2014-06-20,75124.0,3925,297454368.0
TQBR,2014-06-23,74623.0,3404,255529880.0
TQBR,2014-06-24,77600.0,5289,403385991.0
TQBR,2014-06-25,74504.0,3922,296721469.0
TQBR,2014-06-26,73855.0,3918,289562080.0
TQBR,2014-06-27,74000.0,3097,229181652.0
TQBR,2014-06-30,74460.0,2580,191376354.0
TQBR,2014-07-01,75425.0,5153,387696190.0
TQBR,2014-07-02,76855.0,5554,423133083.0
TQBR,2014-07-03,75850.0,2570,196044305.0
TQBR,2014-07-04,76525.0,5817,442382540.0
TQBR,2014-07-07,77163.0,2232,171559149.0
TQBR,2014-07-08,76250.0,2556,196676383.0
TQBR,2014-07-09,74800.0,2964,222629333.0
TQBR,2014-07-10,74062.0,6180,460156306.0
TQBR,2014-07-11,74505.0,3326,249195323.0
TQBR,2014-07-14,74810.0,3235,242554729.0
TQBR,2014-07-15,74997.0,2352,176372510.0
TQBR,2014-07-16,75450.0,2811,211421786.0
TQBR,2014-07-17,75000.0,4715,353709522.0
TQBR,2014-07-18,72990.0,8047,585409751.0
TQBR,2014-07-21,73140.0,8981,652710493.0
TQBR,2014-07-22,74210.0,5131,382226047.0
TQBR,2014-07-23,74200.0,2827,210190809.0
TQBR,2014-07-24,73790.0,3251,240260587.0
TQBR,2014-07-25,73036.0,4279,314009543.0
TQBR,2014-07-28,73470.0,3651,267786300.0
TQBR,2014-07-29,74096.0,3255,241062939.0
TQBR,2014-07-30,73728.0,6708,497311329.0
TQBR,2014-07-31,73800.0,4245,312716607.0
TQBR,2014-08-01,73580.0,2465,181898876.0
TQBR,2014-08-04,72900.0,8156,592351906.0
TQBR,2014-08-05,73557.0,3651,267009048.0
TQBR,2014-08-06,74060.0,4586,339353338.0
TQBR,2014-08-07,74486.0,3710,276232654.0
TQBR,2014-08-08,76300.0,5044,382967368.0
TQBR,2014-08-11,77055.0,4093,317078558.0
TQBR,2014-08-12,77455.0,2764,214592155.0
TQBR,2014-08-13,78849.0,3530,276588039.0
TQBR,2014-08-14,80989.0,10537,843390042.0
TQBR,2014-08-15,81780.0,9113,744178140.0
TQBR,2014-08-18,82049.0,3355,275085126.0
TQBR,2014-08-19,81300.0,3681,302240363.0
TQBR,2014-08-20,81280.0,3302,269278373.0
TQBR,2014-08-21,83697.0,5671,468663858.0
TQBR,2014-08-22,82400.0,3270,271191978.0
TQBR,2014-08-25,82764.0,1319,109208696.0
TQBR,2014-08-26,82243.0,2182,180136202.0
TQBR,2014-08-27,81200.0,3110,253935071.0
TQBR,2014-08-28,80800.0,4869,390686783.0
TQBR,2014-08-29,81499.0,3197,259031463.0
TQBR,2014-09-01,81717.0,3646,299834629.0
TQBR,2014-09-02,82219.0,2061,168783020.0
TQBR,2014-09-03,83743.0,3702,309069076.0
TQBR,2014-09-04,85400.0,2942,248630657.0
TQBR,2014-09-05,86492.0,7725,669660634.0
TQBR,2014-09-08,84500.0,3794,324069898.0
TQBR,2014-09-09,84398.0,2616,220755982.0
TQBR,2014-09-10,84800.0,1605,135187760.0
TQBR,2014-09-11,82850.0,3758,314540758.0
TQBR,2014-09-12,84369.0,2570,215640787.0
TQBR,2014-09-15,84598.0,5931,497924627.0
TQBR,2014-09-16,85509.0,4456,381492357.0
TQBR,2014-09-17,84900.0,2353,201016815.0
TQBR,2014-09-18,84881.0,1889,160991569.0
TQBR,2014-09-19,86900.0,6104,518184845.0
TQBR,2014-09-22,84446.0,1654,141193841.0
TQBR,2014-09-23,86063.0,1999,171478393.0
TQBR,2014-09-24,88600.0,4500,395708520.0
TQBR,2014-09-25,90150.0,4290,385355998.0
TQBR,2014-09-26,89000.0,3924,353454133.0
TQBR,2014-09-29,87080.0,2879,253654285.0
TQBR,2014-09-30,87399.0,6089,528218271.0
TQBR,2014-10-01,85930.0,5488,473076510.0
TQBR,2014-10-02,84880.0,5975,508080520.0
TQBR,2014-10-03,85310.0,4507,382784180.0
