BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.152,2030000,307351.4
TQBR,2014-06-10,0.15092,7580000,1143714.1
TQBR,2014-06-11,0.152,2440000,370707.8
TQBR,2014-06-16,0.15223,60000,9123.4
TQBR,2014-06-17,0.152,2420000,367937.4
TQBR,2014-06-18,0.15223,220000,33442.7
TQBR,2014-06-19,0.15202,20000,3040.3
TQBR,2014-06-20,0.15202,150000,22801.7
TQBR,2014-06-23,0.1543,830000,126906.7
TQBR,2014-06-24,0.15231,170000,26067.7
TQBR,2014-06-25,0.15023,40000,6002.9
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,0.15237,250000,37956.0
TQBR,2014-07-01,0.15669,60000,9213.8
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,0.152,260000,39887.6
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,0.152,3000000,456000.0
TQBR,2014-07-08,0.154,160000,24319.8
TQBR,2014-07-09,0.15101,10000,1510.1
TQBR,2014-07-10,0.1505,190000,28644.1
TQBR,2014-07-11,0.15183,80000,12066.6
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,0.152,330000,50222.5
TQBR,2014-07-16,0.15202,150000,22880.0
TQBR,2014-07-17,0.15297,90000,13694.3
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,0.15151,60000,9090.6
TQBR,2014-07-22,0.15197,40000,6076.4
TQBR,2014-07-23,0.15201,3130000,475753.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,0.15049,40000,6053.9
TQBR,2014-07-28,0.15257,190000,28638.7
TQBR,2014-07-29,0.152,100000,15197.3
TQBR,2014-07-30,0.15199,530000,80191.4
TQBR,2014-07-31,0.15072,80000,12077.4
TQBR,2014-08-01,0.15247,220000,33545.2
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,0.1526,50000,7630.0
TQBR,2014-08-06,0.15038,2120000,335672.7
TQBR,2014-08-07,0.15052,130000,19570.6
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,0.15151,370000,56068.7
TQBR,2014-08-12,0.152,10000,1520.0
TQBR,2014-08-13,0.15334,700000,106775.8
TQBR,2014-08-14,0.1525,30000,4565.2
TQBR,2014-08-15,0.15389,30000,4616.6
TQBR,2014-08-18,0.1548,200000,30945.0
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,0.154,1240000,193715.9
TQBR,2014-08-21,0.1576,330000,52253.1
TQBR,2014-08-22,0.15697,350000,53535.7
TQBR,2014-08-25,0.153,1070000,163736.5
TQBR,2014-08-26,0.15347,240000,36725.6
TQBR,2014-08-27,0.154,640000,97318.7
TQBR,2014-08-28,0.1545,190000,29062.9
TQBR,2014-08-29,0.15689,10000,1568.9
TQBR,2014-09-01,,0,0.0
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,,0,0.0
TQBR,2014-09-04,0.157,1600000,251199.0
TQBR,2014-09-05,0.157,1430000,224509.0
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,0.1591,30000,4781.8
TQBR,2014-09-10,0.151,610000,92675.1
TQBR,2014-09-11,0.15101,600000,91299.3
TQBR,2014-09-12,0.156,300000,46494.3
TQBR,2014-09-15,,0,0.0
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,0.156,1040000,162229.5
TQBR,2014-09-18,0.155,70000,10919.8
TQBR,2014-09-19,,0,0.0
TQBR,2014-09-22,0.15331,230000,34870.7
TQBR,2014-09-23,0.15217,1940000,299873.0
TQBR,2014-09-24,0.15329,20000,3065.8
TQBR,2014-09-25,,0,0.0
TQBR,2014-09-26,0.15596,250000,38820.2
TQBR,2014-09-29,,0,0.0
TQBR,2014-09-30,,0,0.0
