BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,1470.0,41,49222.2
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,1201.0,55,66450.1
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,1400.0,1,1400.0
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,1459.8,22,30439.8
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,1500.0,3,4500.0
TQBR,2014-07-03,1450.0,2,2950.0
TQBR,2014-07-04,1495.0,40,59402.0
TQBR,2014-07-07,1485.8,2,2971.6
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,1333.0,1,1333.0
TQBR,2014-07-11,1500.0,3,4500.0
TQBR,2014-07-14,1500.0,1,1500.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,1600.0,3,4400.0
TQBR,2014-07-18,1301.0,2,2432.0
TQBR,2014-07-21,1450.0,2,2899.0
TQBR,2014-07-22,1300.0,8,10400.0
TQBR,2014-07-23,1300.0,51,65800.0
TQBR,2014-07-24,1200.0,1202,1264616.3
TQBR,2014-07-25,1100.0,165,181040.1
TQBR,2014-07-28,1100.0,1889,2051149.9
TQBR,2014-07-29,1100.0,303,363499.0
TQBR,2014-07-30,1250.0,39,48741.8
TQBR,2014-07-31,1240.0,2,2489.9
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,1200.0,2,2440.0
TQBR,2014-08-06,1300.0,2,2600.0
TQBR,2014-08-07,1300.0,2,2600.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,1300.0,3,3696.9
TQBR,2014-08-12,1300.0,2,2600.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,1156.4,2,2456.4
TQBR,2014-08-15,1290.0,2,2580.0
TQBR,2014-08-18,1333.0,2,2666.0
TQBR,2014-08-19,1300.0,2,2600.0
TQBR,2014-08-20,1300.0,2,2600.0
TQBR,2014-08-21,,0,0.0
