BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2016-07-01,2.604,26293000,67898436
TQBR,2016-07-04,2.608,11478000,29922945
TQBR,2016-07-05,2.598,14489000,37685637
TQBR,2016-07-06,2.65,25264000,66418134
TQBR,2016-07-07,2.65,14296000,38070243
TQBR,2016-07-08,2.638,9133000,24025705
TQBR,2016-07-11,2.65,19562000,51815931
TQBR,2016-07-12,2.663,18258000,48520423
TQBR,2016-07-13,2.654,13632000,36262870
TQBR,2016-07-14,2.666,16331000,43423696
TQBR,2016-07-15,2.723,28978000,78376945
TQBR,2016-07-18,2.773,22772000,62703259
TQBR,2016-07-19,2.76,7558000,20892082
TQBR,2016-07-20,2.76,13634000,37599921
TQBR,2016-07-21,2.803,13737000,38231025
TQBR,2016-07-22,2.812,34681000,97287414
TQBR,2016-07-25,2.851,18187000,51784261
TQBR,2016-07-26,2.847,9408000,26853530
TQBR,2016-07-27,2.858,6217000,17663019
TQBR,2016-07-28,2.95,15655000,45883877
TQBR,2016-07-29,3.0,28880000,86438331
TQBR,2016-08-01,2.941,18729000,55672503
TQBR,2016-08-02,2.845,8087000,23168940
TQBR,2016-08-03,2.848,17973000,50426355
TQBR,2016-08-04,2.874,20409000,59192001
TQBR,2016-08-05,2.88,4105000,11813033
TQBR,2016-08-08,2.923,14457000,42063619
TQBR,2016-08-09,2.954,9984000,29316531
TQBR,2016-08-10,2.923,34146000,101605682
TQBR,2016-08-11,2.92,25349000,74291064
TQBR,2016-08-12,2.9,11413000,33153221
TQBR,2016-08-15,2.883,7206000,20767117
TQBR,2016-08-16,2.84,30673000,87147807
TQBR,2016-08-17,2.885,12766000,36617833
TQBR,2016-08-18,2.9,18277000,52917469
TQBR,2016-08-19,2.892,2035000,5870805
TQBR,2016-08-22,2.874,5619000,16045891
TQBR,2016-08-23,2.83,27162000,77163068
TQBR,2016-08-24,2.794,11926000,33434181
TQBR,2016-08-25,2.824,3794000,10682751
TQBR,2016-08-26,2.83,13946000,39096806
TQBR,2016-08-29,2.81,4860000,13625780
TQBR,2016-08-30,2.83,10569000,29762569
TQBR,2016-08-31,2.83,27661000,78282387
TQBR,2016-09-01,2.8,31877000,89891699
TQBR,2016-09-02,2.807,31860000,89496289
TQBR,2016-09-05,2.795,18422000,51607143
TQBR,2016-09-06,2.796,45004000,126573786
TQBR,2016-09-07,2.801,3985000,11160982
TQBR,2016-09-08,2.797,9221000,25835719
TQBR,2016-09-09,2.818,24010000,67256835
TQBR,2016-09-12,2.81,5440000,15281719
TQBR,2016-09-13,2.79,24632000,68789361
TQBR,2016-09-14,2.791,4258000,11902515
TQBR,2016-09-15,2.783,4136000,11526849
TQBR,2016-09-16,2.797,37292000,103933349
TQBR,2016-09-19,2.72,19070000,52403558
TQBR,2016-09-20,2.735,18045000,49312284
TQBR,2016-09-21,2.773,11943000,33007305
TQBR,2016-09-22,2.81,12182000,33959605
TQBR,2016-09-23,2.794,7269000,20231517
TQBR,2016-09-26,2.771,3437000,9564047
TQBR,2016-09-27,2.85,33051000,94173562
TQBR,2016-09-28,2.888,45632000,132003748
TQBR,2016-09-29,2.86,10131000,29084181
TQBR,2016-09-30,2.899,17114000,49116089
TQBR,2016-10-03,2.836,3931000,11238799
TQBR,2016-10-04,2.853,38235000,107692370
TQBR,2016-10-05,2.837,6911000,19622726
TQBR,2016-10-06,2.801,19367000,54695698
TQBR,2016-10-07,2.774,13734000,37984121
TQBR,2016-10-10,2.785,6501000,18100114
TQBR,2016-10-11,2.769,5169000,14324114
TQBR,2016-10-12,2.743,4052000,11118117
TQBR,2016-10-13,2.705,7179000,19544099
TQBR,2016-10-14,2.737,3602000,9792638
TQBR,2016-10-17,2.719,5736000,15622504
TQBR,2016-10-18,2.729,3885000,10567948
TQBR,2016-10-19,2.736,14681000,39944532
TQBR,2016-10-20,2.711,5031000,13680972
TQBR,2016-10-21,2.702,5134000,13864223
TQBR,2016-10-24,2.71,7388000,20067234
TQBR,2016-10-25,2.737,8842000,24150581
TQBR,2016-10-26,2.761,5597000,15424352
TQBR,2016-10-27,2.78,9717000,26848949
TQBR,2016-10-28,2.795,6245000,17356865
TQBR,2016-10-31,2.918,15414000,44283075
TQBR,2016-11-01,2.869,4754000,13791692
TQBR,2016-11-02,2.88,3918000,11315079
TQBR,2016-11-03,2.82,10322000,29592628
TQBR,2016-11-07,2.779,13123000,36584025
TQBR,2016-11-08,2.748,5890000,16234010
TQBR,2016-11-09,2.775,15690000,43189254
TQBR,2016-11-10,2.781,11234000,31469856
TQBR,2016-11-11,2.74,17208000,47171048
TQBR,2016-11-14,2.74,11759000,32123676
TQBR,2016-11-15,2.741,6652000,18243550
TQBR,2016-11-16,2.743,2591000,7096943
TQBR,2016-11-17,2.793,12319000,34106977
TQBR,2016-11-18,2.809,5536000,15578963
TQBR,2016-11-21,2.818,5819000,16310773
TQBR,2016-11-22,2.862,23236000,66929863
TQBR,2016-11-23,2.873,5400000,15551638
TQBR,2016-11-24,2.897,8601000,24830348
TQBR,2016-11-25,2.918,9029000,26240702
TQBR,2016-11-28,2.877,5946000,17184798
TQBR,2016-11-29,2.88,30703000,89171157
TQBR,2016-11-30,2.82,51253000,145049335
TQBR,2016-12-01,2.855,15257000,43619906
TQBR,2016-12-02,2.855,6407000,18319662
TQBR,2016-12-05,2.895,18560000,53387358
TQBR,2016-12-06,2.92,44431000,130007145
TQBR,2016-12-07,2.93,11313000,33091198
TQBR,2016-12-08,2.92,13440000,39359896
TQBR,2016-12-09,2.92,9922000,28957966
TQBR,2016-12-12,2.919,22260000,65006038
TQBR,2016-12-13,2.95,27704000,81333439
TQBR,2016-12-14,2.962,24023000,71112136
TQBR,2016-12-15,2.971,44530000,132074796
TQBR,2016-12-16,2.86,100932000,291982300
TQBR,2016-12-19,2.866,20943000,60362200
TQBR,2016-12-20,2.85,24676000,70258102
TQBR,2016-12-21,2.8,37383000,104968829
TQBR,2016-12-22,2.767,13438000,37356572
TQBR,2016-12-23,2.774,34305000,95133907
TQBR,2016-12-26,2.778,17239000,47700266
TQBR,2016-12-27,2.81,14684000,41026064
TQBR,2016-12-28,2.849,8943000,25366307
TQBR,2016-12-29,2.88,10811000,30837291
TQBR,2016-12-30,2.878,11539000,33288101
TQBR,2017-01-03,2.914,4723000,13719154
TQBR,2017-01-04,2.909,16286000,46897003
