BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0
TQBR,2014-06-10,6100.0,80,495990
TQBR,2014-06-11,,0,0
TQBR,2014-06-16,,0,0
TQBR,2014-06-17,,0,0
TQBR,2014-06-18,,0,0
TQBR,2014-06-19,,0,0
TQBR,2014-06-20,6000.0,6,36001
TQBR,2014-06-23,,0,0
TQBR,2014-06-24,,0,0
TQBR,2014-06-25,,0,0
TQBR,2014-06-26,,0,0
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,6000.0,15,89700
TQBR,2014-07-02,,0,0
TQBR,2014-07-03,6000.0,16,96000
TQBR,2014-07-04,6000.0,56,323399
TQBR,2014-07-07,,0,0
TQBR,2014-07-08,,0,0
TQBR,2014-07-09,,0,0
TQBR,2014-07-10,,0,0
TQBR,2014-07-11,,0,0
TQBR,2014-07-14,6350.0,20,126947
TQBR,2014-07-15,,0,0
TQBR,2014-07-16,,0,0
TQBR,2014-07-17,,0,0
TQBR,2014-07-18,6949.0,8,55592
TQBR,2014-07-21,,0,0
TQBR,2014-07-22,,0,0
TQBR,2014-07-23,6350.0,15,95000
TQBR,2014-07-24,,0,0
TQBR,2014-07-25,,0,0
TQBR,2014-07-28,,0,0
TQBR,2014-07-29,,0,0
TQBR,2014-07-30,,0,0
TQBR,2014-07-31,,0,0
TQBR,2014-08-01,,0,0
TQBR,2014-08-04,6000.0,40,241000
TQBR,2014-08-05,,0,0
TQBR,2014-08-06,,0,0
TQBR,2014-08-07,,0,0
TQBR,2014-08-08,6300.0,30,189000
TQBR,2014-08-11,,0,0
TQBR,2014-08-12,6300.0,1,6300
TQBR,2014-08-13,,0,0
TQBR,2014-08-14,,0,0
TQBR,2014-08-15,,0,0
TQBR,2014-08-18,,0,0
TQBR,2014-08-19,6000.0,10,60000
TQBR,2014-08-20,,0,0
TQBR,2014-08-21,,0,0
TQBR,2014-08-22,,0,0
TQBR,2014-08-25,,0,0
TQBR,2014-08-26,6400.0,52,331790
TQBR,2014-08-27,,0,0
TQBR,2014-08-28,6200.0,22,136401
TQBR,2014-08-29,,0,0
TQBR,2014-09-01,,0,0
TQBR,2014-09-02,,0,0
TQBR,2014-09-03,,0,0
TQBR,2014-09-04,,0,0
TQBR,2014-09-05,6499.0,1,6499
TQBR,2014-09-08,6555.0,2,13110
TQBR,2014-09-09,6200.0,11,68399
TQBR,2014-09-10,6200.0,14,86802
TQBR,2014-09-11,6400.0,44,282671
TQBR,2014-09-12,6700.0,16,105511
TQBR,2014-09-15,6800.0,3,20385
TQBR,2014-09-16,6880.0,46,314739
TQBR,2014-09-17,6801.0,34,231569
TQBR,2014-09-18,7062.0,15,105062
TQBR,2014-09-19,,0,0
