BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.03049,510000,15890.0
TQBR,2014-06-10,0.03048,480000,14435.7
TQBR,2014-06-11,0.0305,880000,26982.2
TQBR,2014-06-16,0.02988,400000,11950.6
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,0.02952,2000000,59040.0
TQBR,2014-06-19,0.03,520000,15636.9
TQBR,2014-06-20,0.0305,3280000,96634.8
TQBR,2014-06-23,0.02999,480000,14413.8
TQBR,2014-06-24,0.03043,20000,608.6
TQBR,2014-06-25,0.02965,210000,6273.8
TQBR,2014-06-26,0.03027,570000,16647.1
TQBR,2014-06-27,0.03,350000,10497.7
TQBR,2014-06-30,0.02943,370000,10911.2
TQBR,2014-07-01,0.02941,140000,4125.0
TQBR,2014-07-02,0.02999,1150000,34446.7
TQBR,2014-07-03,0.02935,1170000,34842.6
TQBR,2014-07-04,0.0295,740000,21978.9
TQBR,2014-07-07,0.02999,530000,15804.6
TQBR,2014-07-08,0.02915,4860000,139108.9
TQBR,2014-07-09,0.02915,1630000,47468.0
TQBR,2014-07-10,0.02886,1010000,29210.0
TQBR,2014-07-11,0.02831,140000,4156.4
TQBR,2014-07-14,0.02873,200000,5784.4
TQBR,2014-07-15,0.027,10730000,292323.9
TQBR,2014-07-16,0.027,940000,25395.0
TQBR,2014-07-17,0.02695,1410000,38223.1
TQBR,2014-07-18,0.0267,830000,22524.7
TQBR,2014-07-21,0.02681,600000,15952.6
TQBR,2014-07-22,0.0259,1920000,49917.9
TQBR,2014-07-23,0.026,190000,4949.8
TQBR,2014-07-24,0.026,620000,16120.0
TQBR,2014-07-25,0.02785,2180000,57059.3
TQBR,2014-07-28,0.02796,650000,17508.4
TQBR,2014-07-29,0.0279,80000,2214.1
TQBR,2014-07-30,0.02599,1200000,31498.5
TQBR,2014-07-31,0.0265,620000,16460.8
TQBR,2014-08-01,0.0269,630000,16671.9
TQBR,2014-08-04,0.025,12200000,305871.4
TQBR,2014-08-05,0.024,2810000,69068.8
TQBR,2014-08-06,0.024,260000,6175.4
TQBR,2014-08-07,0.02299,1800000,41875.7
TQBR,2014-08-08,0.023,7500000,172497.3
TQBR,2014-08-11,0.0243,12100000,288898.3
TQBR,2014-08-12,0.02399,160000,3853.4
TQBR,2014-08-13,0.024,18540000,445009.2
TQBR,2014-08-14,0.02599,3200000,80495.4
TQBR,2014-08-15,0.0268,170000,4531.1
TQBR,2014-08-18,0.027,770000,20786.5
TQBR,2014-08-19,0.02599,1220000,31200.5
TQBR,2014-08-20,0.027,1730000,47236.6
TQBR,2014-08-21,0.02589,6850000,176804.2
TQBR,2014-08-22,0.026,410000,10684.3
TQBR,2014-08-25,0.0255,330000,8429.1
TQBR,2014-08-26,0.0255,7780000,201001.1
TQBR,2014-08-27,0.02506,4550000,116019.7
TQBR,2014-08-28,0.025,13790000,344848.6
TQBR,2014-08-29,0.02451,260000,6392.3
TQBR,2014-09-01,0.025,180000,4730.6
TQBR,2014-09-02,0.026,130000,3393.9
TQBR,2014-09-03,0.026,7790000,197579.9
TQBR,2014-09-04,0.02664,110000,2881.8
TQBR,2014-09-05,0.0269,2070000,55636.8
TQBR,2014-09-08,0.02652,1150000,28014.5
TQBR,2014-09-09,0.02589,7590000,192608.0
TQBR,2014-09-10,0.02594,510000,13060.8
TQBR,2014-09-11,0.02475,2130000,53145.8
TQBR,2014-09-12,0.02597,300000,7760.8
TQBR,2014-09-15,0.02461,890000,22708.4
TQBR,2014-09-16,0.02598,50000,1261.0
TQBR,2014-09-17,0.02594,250000,6306.4
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,0.0246,180000,4371.0
TQBR,2014-09-22,0.02698,10000,269.8
TQBR,2014-09-23,0.025,1610000,39093.5
TQBR,2014-09-24,0.02451,5030000,122784.7
TQBR,2014-09-25,0.02587,80000,1961.6
TQBR,2014-09-26,,0,0.0
TQBR,2014-09-29,0.02574,40000,1036.0
TQBR,2014-09-30,0.02515,320000,7676.2
TQBR,2014-10-01,0.0241,870000,22405.0
TQBR,2014-10-02,0.0229,8830000,205810.0
TQBR,2014-10-03,0.0229,14230000,321644.0
TQBR,2014-10-06,0.023,1220000,28273.0
TQBR,2014-10-07,0.0235,22660000,533733.0
TQBR,2014-10-08,0.0228,14410000,335223.0
TQBR,2014-10-09,0.0224,3260000,72813.0
TQBR,2014-10-10,0.0226,2760000,59659.0
TQBR,2014-10-13,0.021,210000,4526.0
TQBR,2014-10-14,0.0191,21090000,413801.0
TQBR,2014-10-15,0.0224,6120000,123210.0
TQBR,2014-10-16,0.0213,270000,5391.0
TQBR,2014-10-17,0.0212,60000,1242.0
TQBR,2014-10-20,0.0231,18520000,441911.0
TQBR,2014-10-21,0.0198,32280000,647139.0
TQBR,2014-10-22,0.0215,30510000,609742.0
TQBR,2014-10-23,0.0207,200000,4156.0
TQBR,2014-10-24,0.0204,50000,985.0
TQBR,2014-10-27,0.0207,2180000,43653.0
TQBR,2014-10-28,,0,0.0
TQBR,2014-10-29,0.0199,780000,15410.0
TQBR,2014-10-30,0.0204,900000,17516.0
TQBR,2014-10-31,0.0201,14110000,269355.0
TQBR,2014-11-03,0.0207,50000,1013.0
TQBR,2014-11-05,0.0203,8390000,160683.0
TQBR,2014-11-06,0.0208,3450000,69576.0
TQBR,2014-11-07,0.0206,480000,9517.0
TQBR,2014-11-10,0.02,90000,1794.0
TQBR,2014-11-11,0.0214,210000,4232.0
TQBR,2014-11-12,0.0208,920000,18722.0
TQBR,2014-11-13,0.0211,440000,9328.0
TQBR,2014-11-14,0.02,1330000,27091.0
TQBR,2014-11-17,0.0207,490000,10143.0
TQBR,2014-11-18,,0,0.0
TQBR,2014-11-19,0.0203,130000,2645.0
TQBR,2014-11-20,0.0206,1130000,22715.0
TQBR,2014-11-21,0.0209,3170000,64513.0
TQBR,2014-11-24,0.0214,1410000,30185.0
TQBR,2014-11-25,0.0211,450000,9403.0
TQBR,2014-11-26,0.0208,49760000,1020086.0
TQBR,2014-11-27,0.0215,860000,18604.0
TQBR,2014-11-28,0.0222,5400000,120801.0
TQBR,2014-12-01,0.0228,3010000,68734.0
TQBR,2014-12-02,0.0228,90000,1958.0
TQBR,2014-12-03,0.022,700000,15486.0
TQBR,2014-12-04,0.0214,9170000,186584.0
TQBR,2014-12-05,0.0209,2520000,51438.0
TQBR,2014-12-08,0.02,2170000,43482.0
TQBR,2014-12-09,0.019,6500000,122519.0
TQBR,2014-12-10,0.02,3890000,77959.0
TQBR,2014-12-11,0.0189,1740000,33104.0
TQBR,2014-12-12,0.0188,810000,15724.0
TQBR,2014-12-15,0.0194,2080000,38741.0
TQBR,2014-12-16,0.017,15020000,269119.0
TQBR,2014-12-17,0.0182,930000,16269.0
TQBR,2014-12-18,0.0199,1270000,24520.0
TQBR,2014-12-19,0.0199,350000,7146.0
TQBR,2014-12-22,0.0199,2080000,41138.0
TQBR,2014-12-23,0.0197,1230000,24595.0
TQBR,2014-12-24,0.019,3310000,62883.0
TQBR,2014-12-25,0.0185,590000,11312.0
TQBR,2014-12-26,0.019,14610000,287862.0
TQBR,2014-12-29,0.0198,80000,1548.0
TQBR,2014-12-30,0.0194,110000,2123.0
TQBR,2015-01-05,0.0194,250000,5028.0
TQBR,2015-01-06,0.0201,180000,3505.0
TQBR,2015-01-08,0.0208,60000,1226.0
TQBR,2015-01-09,,0,0.0
TQBR,2015-01-12,0.0196,540000,10478.0
TQBR,2015-01-13,0.0189,50000,945.0
TQBR,2015-01-14,0.02,830000,16825.0
TQBR,2015-01-15,0.0211,670000,13539.0
TQBR,2015-01-16,0.021,550000,11543.0
TQBR,2015-01-19,0.02,210000,4158.0
TQBR,2015-01-20,0.0209,180000,3555.0
TQBR,2015-01-21,0.0208,9910000,197789.0
TQBR,2015-01-22,0.0206,490000,9968.0
TQBR,2015-01-23,0.0207,390000,8025.0
