BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-09-02,22.4,100,2240.0
TQBR,2013-09-03,22.4,100,2240.0
TQBR,2013-09-04,22.351,500,11273.1
TQBR,2013-09-05,22.729,100,2272.9
TQBR,2013-09-06,22.63,2000,44929.9
TQBR,2013-09-09,22.928,100,2292.8
TQBR,2013-09-10,22.3,300,6690.0
TQBR,2013-09-11,22.5,200,4500.0
TQBR,2013-09-12,22.5,400,9000.0
TQBR,2013-09-13,,0,0.0
TQBR,2013-09-16,22.7,21000,476700.0
TQBR,2013-09-17,,0,0.0
TQBR,2013-09-18,22.2,27000,600530.3
TQBR,2013-09-19,22.5,1100,24769.7
TQBR,2013-09-20,22.5,1500,33749.2
TQBR,2013-09-23,22.5,43600,982165.6
TQBR,2013-09-24,,0,0.0
TQBR,2013-09-25,22.5,12200,274497.9
TQBR,2013-09-26,23.0,87500,2050725.6
TQBR,2013-09-27,23.0,25100,577300.0
TQBR,2013-09-30,23.35,17700,414024.1
TQBR,2013-10-01,,0,0.0
TQBR,2013-10-02,23.001,1100,25301.1
TQBR,2013-10-03,23.0,2300,52901.4
TQBR,2013-10-04,23.0,3900,89700.3
TQBR,2013-10-07,22.9,1000,22900.0
TQBR,2013-10-08,22.9,2600,59660.0
TQBR,2013-10-09,22.998,13800,318567.2
TQBR,2013-10-10,22.8,19800,452573.5
TQBR,2013-10-11,22.8,13100,298791.4
TQBR,2013-10-14,22.75,18000,409500.0
TQBR,2013-10-15,,0,0.0
TQBR,2013-10-16,22.7,1000,22700.0
TQBR,2013-10-17,22.909,900,20670.3
TQBR,2013-10-18,22.701,6900,156630.3
TQBR,2013-10-21,,0,0.0
TQBR,2013-10-22,22.899,1100,25165.2
TQBR,2013-10-23,22.7,20400,463089.3
TQBR,2013-10-24,22.8,21600,483840.0
TQBR,2013-10-25,,0,0.0
TQBR,2013-10-28,,0,0.0
TQBR,2013-10-29,,0,0.0
TQBR,2013-10-30,,0,0.0
TQBR,2013-10-31,22.8,400,9120.0
TQBR,2013-11-01,22.7,22300,508310.0
TQBR,2013-11-05,22.7,5000,113500.0
TQBR,2013-11-06,,0,0.0
TQBR,2013-11-07,22.7,1600,36489.5
TQBR,2013-11-08,22.6,19200,435020.0
TQBR,2013-11-11,22.51,100,2251.0
TQBR,2013-11-12,22.3,200,4460.0
TQBR,2013-11-13,21.85,1100,24365.0
TQBR,2013-11-14,22.102,300,6650.2
TQBR,2013-11-15,21.908,2800,61817.3
TQBR,2013-11-18,21.703,12600,273600.3
TQBR,2013-11-19,21.302,12700,273416.8
TQBR,2013-11-20,21.001,200,4230.1
TQBR,2013-11-21,20.802,2600,54180.2
TQBR,2013-11-22,20.601,13600,282119.6
TQBR,2013-11-25,20.599,1000,20129.4
