BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,555.0,210,116550.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,555.0,100,55500.0
TQBR,2014-06-27,555.0,140,77700.0
TQBR,2014-06-30,555.0,210,116029.8
TQBR,2014-07-01,401.03,350,193010.3
TQBR,2014-07-02,555.0,200,111000.0
TQBR,2014-07-03,555.0,100,55500.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,442.0,2870,1591439.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,525.0,200,105000.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,555.0,100,55500.0
TQBR,2014-07-24,425.0,10,4250.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,570.0,440,246498.4
TQBR,2014-08-05,457.0,520,287669.9
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,490.1,10,4901.0
TQBR,2014-08-08,560.0,1000,560000.0
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,599.0,140,83860.0
TQBR,2014-08-15,550.0,460,253000.0
TQBR,2014-08-18,500.5,1020,610010.0
TQBR,2014-08-19,650.0,290,165500.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,549.99,380,192143.8
TQBR,2014-08-27,,0,0.0
