BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,160.0,200,31830.1
TQBR,2014-06-11,162.96,10,1629.6
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,168.75,10,1687.5
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,161.97,340,53633.5
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,163.6,80,13036.6
TQBR,2014-07-07,162.97,120,19074.5
TQBR,2014-07-08,161.07,20,3191.0
TQBR,2014-07-09,158.5,40,6353.5
TQBR,2014-07-10,160.09,30,4802.7
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,159.0,190,30139.0
TQBR,2014-07-15,161.0,10,1610.0
TQBR,2014-07-16,158.0,130,20534.0
TQBR,2014-07-17,159.98,80,12740.4
TQBR,2014-07-18,160.98,10,1609.8
TQBR,2014-07-21,160.98,10,1609.8
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,157.3,50,7890.9
TQBR,2014-07-24,156.0,270,42295.1
TQBR,2014-07-25,153.75,120,18316.6
TQBR,2014-07-28,157.44,110,16576.6
TQBR,2014-07-29,155.0,240,36739.9
TQBR,2014-07-30,154.88,110,17045.8
TQBR,2014-07-31,153.77,60,9237.3
TQBR,2014-08-01,158.76,320,48475.5
TQBR,2014-08-04,154.4,490,74130.1
TQBR,2014-08-05,149.76,270,39601.1
TQBR,2014-08-06,147.73,90,13168.0
TQBR,2014-08-07,155.0,100,14960.0
TQBR,2014-08-08,156.0,110,16560.0
TQBR,2014-08-11,149.8,10,1498.0
TQBR,2014-08-12,149.8,30,4494.0
TQBR,2014-08-13,151.8,10,1518.0
TQBR,2014-08-14,151.11,10,1511.1
TQBR,2014-08-15,147.99,220,32264.8
TQBR,2014-08-18,145.0,180,25901.5
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,143.02,60,8631.0
TQBR,2014-08-29,142.78,170,24070.8
TQBR,2014-09-01,,0,0.0
TQBR,2014-09-02,153.37,10,1533.7
TQBR,2014-09-03,,0,0.0
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,149.74,20,2915.5
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,147.77,30,4406.9
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,151.76,30,4552.8
TQBR,2014-09-15,151.77,20,3035.4
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,,0,0.0
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,,0,0.0
TQBR,2014-09-22,,0,0.0
TQBR,2014-09-23,,0,0.0
TQBR,2014-09-24,151.0,10,1510.0
TQBR,2014-09-25,150.0,30,4520.1
TQBR,2014-09-26,147.99,10,1479.9
TQBR,2014-09-29,,0,0.0
TQBR,2014-09-30,,0,0.0
TQBR,2014-10-01,,0,0.0
TQBR,2014-10-02,,0,0.0
TQBR,2014-10-03,,0,0.0
TQBR,2014-10-06,,0,0.0
TQBR,2014-10-07,,0,0.0
TQBR,2014-10-08,154.5,10,1545.0
TQBR,2014-10-09,,0,0.0
TQBR,2014-10-10,151.5,100,15385.0
TQBR,2014-10-13,150.0,10,1500.0
TQBR,2014-10-14,142.5,160,22490.0
TQBR,2014-10-15,,0,0.0
TQBR,2014-10-16,,0,0.0
TQBR,2014-10-17,140.5,90,12620.0
TQBR,2014-10-20,140.5,300,42315.0
TQBR,2014-10-21,147.0,130,18460.0
TQBR,2014-10-22,142.0,20,2885.0
TQBR,2014-10-23,139.5,510,70125.0
TQBR,2014-10-24,131.5,2410,319015.0
TQBR,2014-10-27,131.5,820,107170.0
TQBR,2014-10-28,132.0,190,25095.0
TQBR,2014-10-29,131.0,260,33505.0
TQBR,2014-10-30,132.0,110,14170.0
TQBR,2014-10-31,131.5,10,1315.0
TQBR,2014-11-03,134.0,250,33375.0
TQBR,2014-11-05,133.0,120,15990.0
TQBR,2014-11-06,137.0,50,6810.0
TQBR,2014-11-07,133.0,150,20400.0
TQBR,2014-11-10,133.5,30,4005.0
TQBR,2014-11-11,,0,0.0
TQBR,2014-11-12,,0,0.0
TQBR,2014-11-13,,0,0.0
TQBR,2014-11-14,133.5,10,1335.0
