BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0
TQBR,2014-06-10,,0,0
TQBR,2014-06-11,,0,0
TQBR,2014-06-16,,0,0
TQBR,2014-06-17,,0,0
TQBR,2014-06-18,18.0,1000,18000
TQBR,2014-06-19,,0,0
TQBR,2014-06-20,,0,0
TQBR,2014-06-23,,0,0
TQBR,2014-06-24,,0,0
TQBR,2014-06-25,,0,0
TQBR,2014-06-26,23.6,65000,1542688
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,,0,0
TQBR,2014-07-02,,0,0
TQBR,2014-07-03,,0,0
TQBR,2014-07-04,,0,0
TQBR,2014-07-07,,0,0
TQBR,2014-07-08,,0,0
TQBR,2014-07-09,,0,0
TQBR,2014-07-10,,0,0
TQBR,2014-07-11,,0,0
TQBR,2014-07-14,,0,0
TQBR,2014-07-15,15.0,2000,30000
TQBR,2014-07-16,,0,0
TQBR,2014-07-17,,0,0
TQBR,2014-07-18,,0,0
TQBR,2014-07-21,,0,0
TQBR,2014-07-22,,0,0
TQBR,2014-07-23,,0,0
TQBR,2014-07-24,,0,0
TQBR,2014-07-25,,0,0
TQBR,2014-07-28,,0,0
TQBR,2014-07-29,,0,0
TQBR,2014-07-30,,0,0
TQBR,2014-07-31,,0,0
TQBR,2014-08-01,,0,0
TQBR,2014-08-04,,0,0
TQBR,2014-08-05,17.0,2000,34000
TQBR,2014-08-06,,0,0
TQBR,2014-08-07,17.0,1000,17000
TQBR,2014-08-08,,0,0
TQBR,2014-08-11,,0,0
TQBR,2014-08-12,,0,0
TQBR,2014-08-13,,0,0
TQBR,2014-08-14,,0,0
TQBR,2014-08-15,19.0,9000,170999
TQBR,2014-08-18,,0,0
TQBR,2014-08-19,,0,0
TQBR,2014-08-20,,0,0
TQBR,2014-08-21,,0,0
TQBR,2014-08-22,,0,0
TQBR,2014-08-25,,0,0
TQBR,2014-08-26,,0,0
TQBR,2014-08-27,,0,0
TQBR,2014-08-28,,0,0
TQBR,2014-08-29,,0,0
TQBR,2014-09-01,17.0,50000,813613
TQBR,2014-09-02,19.0,40000,760000
TQBR,2014-09-03,19.0,1000,19000
TQBR,2014-09-04,,0,0
TQBR,2014-09-05,,0,0
TQBR,2014-09-08,,0,0
TQBR,2014-09-09,,0,0
TQBR,2014-09-10,,0,0
TQBR,2014-09-11,,0,0
TQBR,2014-09-12,,0,0
TQBR,2014-09-15,,0,0
TQBR,2014-09-16,,0,0
TQBR,2014-09-17,,0,0
TQBR,2014-09-18,,0,0
TQBR,2014-09-19,,0,0
TQBR,2014-09-22,,0,0
TQBR,2014-09-23,,0,0
TQBR,2014-09-24,,0,0
TQBR,2014-09-25,,0,0
TQBR,2014-09-26,,0,0
TQBR,2014-09-29,,0,0
TQBR,2014-09-30,,0,0
TQBR,2014-10-01,,0,0
TQBR,2014-10-02,,0,0
TQBR,2014-10-03,,0,0
TQBR,2014-10-06,,0,0
TQBR,2014-10-07,,0,0
TQBR,2014-10-08,,0,0
TQBR,2014-10-09,,0,0
TQBR,2014-10-10,,0,0
TQBR,2014-10-13,17.75,44000,781000
TQBR,2014-10-14,,0,0
TQBR,2014-10-15,,0,0
TQBR,2014-10-16,,0,0
TQBR,2014-10-17,,0,0
TQBR,2014-10-20,,0,0
TQBR,2014-10-21,,0,0
TQBR,2014-10-22,,0,0
TQBR,2014-10-23,12.0,1000,12000
TQBR,2014-10-24,,0,0
TQBR,2014-10-27,12.25,2000,30400
TQBR,2014-10-28,17.6,3000,49000
TQBR,2014-10-29,14.0,1000,14000
TQBR,2014-10-30,12.1,10000,174100
TQBR,2014-10-31,,0,0
TQBR,2014-11-03,,0,0
TQBR,2014-11-05,,0,0
TQBR,2014-11-06,,0,0
TQBR,2014-11-07,,0,0
TQBR,2014-11-10,16.0,2000,27300
TQBR,2014-11-11,,0,0
TQBR,2014-11-12,,0,0
TQBR,2014-11-13,,0,0
TQBR,2014-11-14,,0,0
TQBR,2014-11-17,,0,0
TQBR,2014-11-18,11.5,1000,11500
TQBR,2014-11-19,,0,0
TQBR,2014-11-20,,0,0
