BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-07-05,199.0,4829091,948277441.95
TQBR,2024-07-08,190.6,1506514,292073117.15
TQBR,2024-07-09,186.0,1000101,183374155.65
TQBR,2024-07-10,188.0,532225,99535493.3
TQBR,2024-07-11,190.5,646072,121388023.75
TQBR,2024-07-12,198.0,575494,111096506.45
TQBR,2024-07-15,192.2,336624,64670923.3
TQBR,2024-07-16,186.4,320671,60162044.2
TQBR,2024-07-17,188.55,191180,36096031.3
TQBR,2024-07-18,190.85,247493,46035246.45
TQBR,2024-07-19,187.2,178145,33635322.7
TQBR,2024-07-22,188.25,191466,35782952.5
TQBR,2024-07-23,184.0,172436,32019931.6
TQBR,2024-07-24,181.65,341118,62035074.0
TQBR,2024-07-25,183.95,130655,23994234.35
TQBR,2024-07-26,180.55,130788,23769829.55
TQBR,2024-07-29,174.7,240455,42626734.65
TQBR,2024-07-30,175.95,301094,51915378.6
TQBR,2024-07-31,177.9,119967,21336069.9
TQBR,2024-08-01,179.35,160656,28716457.55
TQBR,2024-08-02,179.8,173737,31140862.8
TQBR,2024-08-05,175.35,164935,28745179.4
TQBR,2024-08-06,171.55,150897,26204773.5
TQBR,2024-08-07,169.1,476059,80295357.35
TQBR,2024-08-08,170.1,118874,20126212.6
TQBR,2024-08-09,171.0,84589,14407997.5
TQBR,2024-08-12,177.45,169631,29720878.05
TQBR,2024-08-13,176.05,67142,11941030.15
TQBR,2024-08-14,174.2,36298,6403047.55
TQBR,2024-08-15,174.8,121420,21241526.9
TQBR,2024-08-16,174.4,84235,14712307.45
TQBR,2024-08-19,164.75,396300,66540461.25
TQBR,2024-08-20,157.7,326670,52278343.15
TQBR,2024-08-21,154.95,300184,46862318.15
TQBR,2024-08-22,157.05,245877,39548653.95
TQBR,2024-08-23,160.45,120719,19180438.4
TQBR,2024-08-26,166.25,94120,15501145.2
TQBR,2024-08-27,164.1,232447,38961719.9
TQBR,2024-08-28,167.8,64354,10642200.3
TQBR,2024-08-29,164.9,53727,8886918.65
TQBR,2024-08-30,153.35,358934,55616850.2
TQBR,2024-09-02,143.65,239307,34524929.6
TQBR,2024-09-03,137.5,713862,100219599.6
TQBR,2024-09-04,142.0,174870,24632614.1
TQBR,2024-09-05,140.0,423087,60779858.75
TQBR,2024-09-06,137.7,168877,23637149.25
TQBR,2024-09-09,137.8,191725,26667045.45
TQBR,2024-09-10,134.7,192148,26079753.6
TQBR,2024-09-11,131.6,194707,25717699.25
TQBR,2024-09-12,124.6,376908,47295385.35
TQBR,2024-09-13,121.45,604428,73760926.05
TQBR,2024-09-16,120.5,1053973,127310525.4
TQBR,2024-09-17,122.9,424250,51901727.55
TQBR,2024-09-18,124.8,667440,83594757.65
TQBR,2024-09-19,137.25,2044793,278468745.65
TQBR,2024-09-20,137.65,400092,55014182.55
TQBR,2024-09-23,135.1,424763,57816406.35
TQBR,2024-09-24,130.25,798329,103939358.15
TQBR,2024-09-25,127.75,240300,31107647.1
TQBR,2024-09-26,128.0,270953,34647581.65
TQBR,2024-09-27,127.9,120521,15455312.95
TQBR,2024-09-30,128.95,164078,21280279.95
TQBR,2024-10-01,123.9,410764,51429410.8
TQBR,2024-10-02,121.0,196706,24310810.9
TQBR,2024-10-03,125.1,341476,42407939.8
TQBR,2024-10-04,124.15,179515,22327797.5
TQBR,2024-10-07,121.9,151361,18532607.2
TQBR,2024-10-08,120.5,226779,27411401.15
TQBR,2024-10-09,118.9,201340,24138666.1
TQBR,2024-10-10,119.75,107580,12870276.65
TQBR,2024-10-11,116.0,198046,23241945.25
TQBR,2024-10-14,119.3,224385,26474355.85
TQBR,2024-10-15,119.05,216620,25876806.7
TQBR,2024-10-16,118.9,209246,25069585.75
