BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,8020.0,213,1723443.2
TQBR,2014-06-10,8096.4,408,3286105.8
TQBR,2014-06-11,8015.3,336,2694431.9
TQBR,2014-06-16,8000.0,1836,14881767.9
TQBR,2014-06-17,7927.4,53,412635.7
TQBR,2014-06-18,7777.7,486,3768116.4
TQBR,2014-06-19,7710.1,81,633155.7
TQBR,2014-06-20,7081.0,869,6233725.4
TQBR,2014-06-23,7297.7,929,6649932.7
TQBR,2014-06-24,7385.0,943,6937612.7
TQBR,2014-06-25,7331.2,170,1249948.2
TQBR,2014-06-26,7310.0,435,3193088.5
TQBR,2014-06-27,7469.3,814,5998842.2
TQBR,2014-06-30,7400.0,145,1075907.0
TQBR,2014-07-01,7400.0,509,3767315.8
TQBR,2014-07-02,7555.7,58,436569.1
TQBR,2014-07-03,7710.0,84,653424.9
TQBR,2014-07-04,7800.0,100,778254.2
TQBR,2014-07-07,7900.0,125,983820.2
TQBR,2014-07-08,7999.0,1994,15885280.9
TQBR,2014-07-09,8099.9,2749,21962607.5
TQBR,2014-07-10,7990.0,114,907230.4
TQBR,2014-07-11,7999.0,147,1162304.6
TQBR,2014-07-14,8000.0,49,389971.7
TQBR,2014-07-15,7999.0,285,2266735.6
TQBR,2014-07-16,7999.0,150,1203060.3
TQBR,2014-07-17,7915.5,415,3273715.0
TQBR,2014-07-18,7756.7,44,342906.2
TQBR,2014-07-21,7736.9,57,449522.1
TQBR,2014-07-22,7773.3,183,1434594.3
TQBR,2014-07-23,7713.1,160,1222847.8
TQBR,2014-07-24,7619.4,85,634426.4
TQBR,2014-07-25,7421.5,92,696087.2
TQBR,2014-07-28,7500.0,225,1670117.9
TQBR,2014-07-29,7490.0,128,957961.0
TQBR,2014-07-30,7600.0,216,1641588.4
TQBR,2014-07-31,7501.0,84,629655.1
TQBR,2014-08-01,7489.8,42,312966.7
TQBR,2014-08-04,7600.0,143,1071806.9
TQBR,2014-08-05,7700.0,180,1373570.9
TQBR,2014-08-06,7399.6,89,662506.0
TQBR,2014-08-07,7000.0,678,4772883.8
TQBR,2014-08-08,7006.3,174,1220571.4
TQBR,2014-08-11,7255.7,88,631014.7
TQBR,2014-08-12,7150.0,31,222590.2
TQBR,2014-08-13,7100.0,148,1050953.9
TQBR,2014-08-14,7300.0,192,1373108.8
TQBR,2014-08-15,7350.0,31,228416.5
TQBR,2014-08-18,7300.0,110,804998.9
TQBR,2014-08-19,7399.0,409,2983453.4
TQBR,2014-08-20,7411.0,63,469981.4
TQBR,2014-08-21,7569.8,185,1386264.3
TQBR,2014-08-22,7582.5,202,1517422.1
TQBR,2014-08-25,7540.5,46,346640.0
TQBR,2014-08-26,7580.1,40,304141.4
TQBR,2014-08-27,7629.9,5,38022.7
TQBR,2014-08-28,7500.0,109,817239.0
TQBR,2014-08-29,7550.0,127,958398.6
TQBR,2014-09-01,7450.0,43,319160.4
TQBR,2014-09-02,7400.9,52,385298.2
TQBR,2014-09-03,7559.7,14,105087.8
TQBR,2014-09-04,7500.3,71,530814.7
TQBR,2014-09-05,7430.0,55,413368.9
TQBR,2014-09-08,7435.0,16,117930.8
TQBR,2014-09-09,7456.8,116,873697.4
TQBR,2014-09-10,7470.0,110,820698.3
TQBR,2014-09-11,7700.0,583,4505601.2
TQBR,2014-09-12,7546.5,28,213591.2
TQBR,2014-09-15,7160.4,563,4056790.5
TQBR,2014-09-16,7399.9,361,2650785.4
TQBR,2014-09-17,7240.0,42,304083.8
TQBR,2014-09-18,7300.0,227,1627905.2
TQBR,2014-09-19,7079.6,289,2039277.8
TQBR,2014-09-22,7032.0,27,190563.0
TQBR,2014-09-23,7080.0,17,120221.0
TQBR,2014-09-24,7297.8,177,1281952.2
TQBR,2014-09-25,7329.8,104,761715.7
TQBR,2014-09-26,7200.0,38,275263.6
TQBR,2014-09-29,6977.4,336,2359201.7
TQBR,2014-09-30,7000.0,82,574862.0
TQBR,2014-10-01,7000.0,70,488230.0
TQBR,2014-10-02,6680.0,389,2617250.0
TQBR,2014-10-03,6710.0,53,356390.0
TQBR,2014-10-06,6850.0,88,600160.0
TQBR,2014-10-07,6850.0,16,109350.0
TQBR,2014-10-08,6830.0,128,875650.0
TQBR,2014-10-09,6450.0,1113,7268200.0
TQBR,2014-10-10,5850.0,1469,8890010.0
TQBR,2014-10-13,5910.0,1197,7083130.0
TQBR,2014-10-14,5860.0,144,846710.0
TQBR,2014-10-15,6000.0,6675,41546090.0
TQBR,2014-10-16,6390.0,6751,42491400.0
TQBR,2014-10-17,6500.0,329,2127190.0
