BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,10.3,105200,1104842.5
TQBR,2014-06-10,10.2,10200,104040.2
TQBR,2014-06-11,10.5,13200,136569.1
TQBR,2014-06-16,10.8,10100,109175.5
TQBR,2014-06-17,10.8,31200,325178.0
TQBR,2014-06-18,10.8,1000,10800.0
TQBR,2014-06-19,11.6,2100,22760.0
TQBR,2014-06-20,10.3,10100,104050.0
TQBR,2014-06-23,10.0,11900,119013.0
TQBR,2014-06-24,10.0,6500,65000.0
TQBR,2014-06-25,10.0,10000,100000.0
TQBR,2014-06-26,10.99,1600,16877.9
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,10.95,37600,393184.4
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,10.498,400,4568.0
TQBR,2014-07-03,11.3,6100,69588.0
TQBR,2014-07-04,11.0,2400,26994.4
TQBR,2014-07-07,11.5,1000,11500.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,12.0,200,2398.8
TQBR,2014-07-10,11.585,206600,2397038.9
TQBR,2014-07-11,12.0,500,5999.9
TQBR,2014-07-14,11.0,87800,967300.2
TQBR,2014-07-15,12.0,500,6000.0
TQBR,2014-07-16,11.5,15400,176880.0
TQBR,2014-07-17,12.0,500,6000.0
TQBR,2014-07-18,11.5,3300,39600.0
TQBR,2014-07-21,11.9,111900,1288650.0
TQBR,2014-07-22,12.5,82500,989218.1
TQBR,2014-07-23,12.499,249800,3001785.5
TQBR,2014-07-24,12.499,1160200,13957499.8
TQBR,2014-07-25,12.899,1300,16069.9
TQBR,2014-07-28,11.9,50200,597440.0
TQBR,2014-07-29,12.5,71100,860927.5
TQBR,2014-07-30,12.75,70900,886234.0
TQBR,2014-07-31,14.0,23800,309035.0
TQBR,2014-08-01,12.899,10200,127540.0
TQBR,2014-08-04,12.75,21200,262710.0
TQBR,2014-08-05,12.75,503500,6293500.0
TQBR,2014-08-06,13.0,200,2600.0
TQBR,2014-08-07,12.95,1500,18990.0
TQBR,2014-08-08,13.0,100,1300.0
TQBR,2014-08-11,12.75,1300,16375.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,12.0,14200,171161.3
TQBR,2014-08-14,12.2,3300,40540.0
TQBR,2014-08-15,12.87,27400,329760.4
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,13.1,200,2620.0
TQBR,2014-08-20,13.1,1300,16469.9
TQBR,2014-08-21,12.401,400,5170.1
TQBR,2014-08-22,13.499,100,1349.9
TQBR,2014-08-25,12.75,2500,32043.7
TQBR,2014-08-26,12.7,3500,43710.0
TQBR,2014-08-27,13.2,200,2640.0
TQBR,2014-08-28,13.4,100,1340.0
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,13.4,500,6700.0
TQBR,2014-09-02,12.107,9900,121471.5
TQBR,2014-09-03,13.399,3300,41255.9
TQBR,2014-09-04,11.8,81700,963085.9
TQBR,2014-09-05,12.0,1400,16540.6
TQBR,2014-09-08,12.249,200,2448.9
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,11.603,200,2360.3
TQBR,2014-09-11,12.249,200,2522.9
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,,0,0.0
TQBR,2014-09-16,12.0,25900,313367.1
TQBR,2014-09-17,12.35,2900,34427.5
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,11.501,1000,11950.1
TQBR,2014-09-22,11.898,1000,11948.5
TQBR,2014-09-23,11.503,700,8050.9
TQBR,2014-09-24,11.3,78400,896212.1
TQBR,2014-09-25,,0,0.0
TQBR,2014-09-26,11.503,1000,11503.0
TQBR,2014-09-29,,0,0.0
TQBR,2014-09-30,12.969,31500,367829.6
TQBR,2014-10-01,11.5,48500,557030.0
TQBR,2014-10-02,,0,0.0
TQBR,2014-10-03,,0,0.0
TQBR,2014-10-06,,0,0.0
TQBR,2014-10-07,12.15,100,1215.0
TQBR,2014-10-08,11.5,3500,39500.0
TQBR,2014-10-09,,0,0.0
TQBR,2014-10-10,11.25,5500,61875.0
TQBR,2014-10-13,,0,0.0
TQBR,2014-10-14,,0,0.0
TQBR,2014-10-15,,0,0.0
TQBR,2014-10-16,,0,0.0
TQBR,2014-10-17,,0,0.0
TQBR,2014-10-20,,0,0.0
TQBR,2014-10-21,,0,0.0
TQBR,2014-10-22,,0,0.0
TQBR,2014-10-23,11.5,600,6720.0
TQBR,2014-10-24,11.7,100,1170.0
TQBR,2014-10-27,,0,0.0
TQBR,2014-10-28,10.95,1900,20255.0
TQBR,2014-10-29,,0,0.0
TQBR,2014-10-30,,0,0.0
TQBR,2014-10-31,,0,0.0
TQBR,2014-11-03,,0,0.0
TQBR,2014-11-05,10.4,19200,194570.0
TQBR,2014-11-06,10.85,2900,29865.0
TQBR,2014-11-07,,0,0.0
TQBR,2014-11-10,,0,0.0
TQBR,2014-11-11,10.5,1900,19710.0
TQBR,2014-11-12,10.8,2000,21600.0
TQBR,2014-11-13,,0,0.0
TQBR,2014-11-14,,0,0.0
TQBR,2014-11-17,11.25,100,1125.0
TQBR,2014-11-18,,0,0.0
TQBR,2014-11-19,10.2,200,2140.0
TQBR,2014-11-20,,0,0.0
TQBR,2014-11-21,,0,0.0
TQBR,2014-11-24,10.2,100,1020.0
