BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-07-08,,0,0.0
TQBR,2024-07-09,,0,0.0
TQBR,2024-07-10,,0,0.0
TQBR,2024-07-11,,0,0.0
TQBR,2024-07-12,,0,0.0
TQBR,2024-07-15,,0,0.0
TQBR,2024-07-16,,0,0.0
TQBR,2024-07-17,,0,0.0
TQBR,2024-07-18,,0,0.0
TQBR,2024-07-19,,0,0.0
TQBR,2024-07-22,,0,0.0
TQBR,2024-07-23,,0,0.0
TQBR,2024-07-24,4148.5,5300782,22320577653.5
TQBR,2024-07-25,4137.5,1905603,7829606352.0
TQBR,2024-07-26,3962.5,4187989,16904130984.5
TQBR,2024-07-29,3867.0,4730950,18208188588.0
TQBR,2024-07-30,3910.0,4070128,15843727512.5
TQBR,2024-07-31,3892.0,2007544,7830245296.5
TQBR,2024-08-01,3871.5,1226606,4780686748.0
TQBR,2024-08-02,3728.5,2611364,9903454083.0
TQBR,2024-08-05,3585.0,3840829,13833300061.0
TQBR,2024-08-06,3644.0,2341885,8526866247.0
TQBR,2024-08-07,3854.0,4359542,16375286919.0
TQBR,2024-08-08,3828.0,3522485,13650847754.0
TQBR,2024-08-09,3854.5,1123907,4317354418.0
TQBR,2024-08-12,3923.0,1658809,6430124026.0
TQBR,2024-08-13,3911.0,1118537,4388712872.5
TQBR,2024-08-14,3831.5,996717,3870788320.0
TQBR,2024-08-15,3828.0,1129756,4323806429.0
TQBR,2024-08-16,3776.5,1084178,4132482329.0
TQBR,2024-08-19,3725.5,1905573,7133017020.0
TQBR,2024-08-20,3753.0,1234119,4619093843.0
TQBR,2024-08-21,3836.5,1344017,5089330925.0
TQBR,2024-08-22,3794.0,1505016,5767631658.5
TQBR,2024-08-23,3807.0,1390128,5279733790.0
TQBR,2024-08-26,3913.5,1751792,6841437892.5
TQBR,2024-08-27,3844.0,910370,3535268111.5
TQBR,2024-08-28,3892.5,1268153,4906349096.5
TQBR,2024-08-29,3926.0,1113382,4327875699.0
TQBR,2024-08-30,3765.5,1671578,6406318939.5
TQBR,2024-09-02,3620.5,2474527,9028183174.0
TQBR,2024-09-03,3652.0,1935125,7051789113.0
TQBR,2024-09-04,3737.0,1025998,3782591110.5
TQBR,2024-09-05,3679.5,962185,3587219979.0
TQBR,2024-09-06,3715.0,677793,2505889134.5
TQBR,2024-09-09,3883.5,1424505,5462855886.0
TQBR,2024-09-10,3825.0,1116225,4283306393.5
TQBR,2024-09-11,3782.0,1316846,5042863024.0
TQBR,2024-09-12,3828.5,1164435,4410876752.5
TQBR,2024-09-13,3914.5,1698703,6545615808.5
TQBR,2024-09-16,4119.0,3001023,12152293472.5
TQBR,2024-09-17,4106.0,1989210,8166144965.5
TQBR,2024-09-18,4031.0,1030090,4192030569.5
TQBR,2024-09-19,4137.5,1409406,5789713635.0
TQBR,2024-09-20,4100.0,1216895,4993947761.5
TQBR,2024-09-23,4202.5,1880461,7855140431.0
TQBR,2024-09-24,4160.0,910741,3795585295.0
TQBR,2024-09-25,4035.5,1367988,5576757909.0
TQBR,2024-09-26,4001.5,1118056,4471082105.5
TQBR,2024-09-27,4024.0,604750,2441435330.5
TQBR,2024-09-30,4007.5,712975,2884533680.0
TQBR,2024-10-01,3963.0,747533,2967736092.5
TQBR,2024-10-02,3907.5,692597,2740383086.5
TQBR,2024-10-03,3969.0,926244,3628267558.5
TQBR,2024-10-04,3945.5,594341,2356173822.5
TQBR,2024-10-07,3928.5,386502,1517719617.5
TQBR,2024-10-08,3982.5,729549,2892744986.0
TQBR,2024-10-09,3933.5,436752,1720866357.5
TQBR,2024-10-10,3979.5,389312,1541405736.0
TQBR,2024-10-11,3975.0,578368,2300383700.5
TQBR,2024-10-14,4074.0,1113527,4493665710.5
TQBR,2024-10-15,4091.0,660263,2707673071.0
TQBR,2024-10-16,4057.0,659146,2683159454.0
TQBR,2024-10-17,3983.5,457459,1838556994.0
TQBR,2024-10-18,3968.5,497735,1979207858.0
TQBR,2024-10-21,4031.0,524893,2108450168.0
TQBR,2024-10-22,3964.5,434138,1733915210.0
TQBR,2024-10-23,3883.5,512803,2014115017.0
TQBR,2024-10-24,3969.5,603034,2363396059.0
TQBR,2024-10-25,3834.5,1414297,5547977540.5
TQBR,2024-10-28,3743.0,1583721,5960463977.5
TQBR,2024-10-29,3758.0,1097054,4104353968.0
TQBR,2024-10-30,3710.0,730830,2751686642.0
TQBR,2024-10-31,3666.5,763630,2815400301.5
TQBR,2024-11-01,3674.0,797602,2917417562.5
TQBR,2024-11-02,3683.5,246235,904472795.5
TQBR,2024-11-05,3646.0,658674,2403240212.0
TQBR,2024-11-06,3677.0,1495191,5573265896.5
TQBR,2024-11-07,3811.5,1055346,3908824914.0
TQBR,2024-11-08,3888.0,958019,3669011551.5
TQBR,2024-11-11,3885.0,912789,3570573113.5
TQBR,2024-11-12,3758.5,1169912,4444684945.0
TQBR,2024-11-13,3693.0,1402920,5242560697.5
TQBR,2024-11-14,3678.0,829316,3056941297.5
TQBR,2024-11-15,3712.0,745992,2752137305.0
TQBR,2024-11-18,3649.0,977063,3571677479.5
TQBR,2024-11-19,3560.0,1429056,5145314989.0
TQBR,2024-11-20,3460.0,1309971,4607870229.5
TQBR,2024-11-21,3509.0,1732661,5916849697.5
TQBR,2024-11-22,3415.0,864748,2986700098.0
TQBR,2024-11-25,3299.5,1162821,3904587488.0
TQBR,2024-11-26,3211.0,1708968,5551179194.5
TQBR,2024-11-27,3385.0,2662375,8656375815.0
TQBR,2024-11-28,3365.5,1487341,4994561167.0
TQBR,2024-11-29,3320.0,981630,3297252128.0
TQBR,2024-12-02,3434.0,874686,2954620231.0
TQBR,2024-12-03,3380.0,984841,3331691322.0
TQBR,2024-12-04,3252.0,1236787,4092791644.0
TQBR,2024-12-05,3378.5,1401732,4635555718.0
TQBR,2024-12-06,3376.0,902947,3053171935.5
TQBR,2024-12-09,3466.0,1048233,3623789498.5
TQBR,2024-12-10,3379.5,912035,3111152953.5
TQBR,2024-12-11,3397.0,787424,2653385177.5
TQBR,2024-12-12,3284.0,769352,2578817773.5
TQBR,2024-12-13,3321.0,510914,1690183522.0
TQBR,2024-12-16,3232.5,949418,3090360039.0
TQBR,2024-12-17,3248.5,822069,2665390660.5
TQBR,2024-12-18,3255.0,972336,3140637527.0
TQBR,2024-12-19,3339.0,1490324,4928462008.5
TQBR,2024-12-20,3683.5,3331764,11972558225.5
TQBR,2024-12-23,3800.0,2515776,9624639681.0
TQBR,2024-12-24,3702.5,1529965,5713706034.5
TQBR,2024-12-25,3790.0,1744041,6488216283.5
TQBR,2024-12-26,3785.0,1431775,5417542104.0
TQBR,2024-12-27,3848.0,831850,3188453198.5
TQBR,2024-12-28,3928.5,674205,2625851735.0
TQBR,2024-12-30,3994.0,615777,2444258396.0
TQBR,2025-01-03,3872.5,906073,3574667419.0
TQBR,2025-01-06,3891.5,403754,1554675540.5
TQBR,2025-01-08,3926.0,292714,1145499935.5
TQBR,2025-01-09,3811.5,591919,2282066964.5
TQBR,2025-01-10,3934.0,953680,3704305356.5
TQBR,2025-01-13,4014.0,1372689,5523899910.5
TQBR,2025-01-14,4083.5,895832,3624947720.5
TQBR,2025-01-15,4114.5,1125794,4590236648.5
TQBR,2025-01-16,4065.5,973577,3983305214.5
TQBR,2025-01-17,4113.0,715044,2927574899.5
TQBR,2025-01-20,4020.0,1078094,4418975780.0
TQBR,2025-01-21,4070.0,838241,3374813037.5
