BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0
TQBR,2014-06-10,0.136,10000,1360
TQBR,2014-06-11,,0,0
TQBR,2014-06-16,0.132,310000,40691
TQBR,2014-06-17,,0,0
TQBR,2014-06-18,,0,0
TQBR,2014-06-19,0.131,140000,18268
TQBR,2014-06-20,0.1251,20000,2502
TQBR,2014-06-23,0.145,1830000,270659
TQBR,2014-06-24,0.157,1160000,179146
TQBR,2014-06-25,,0,0
TQBR,2014-06-26,0.15,80000,12045
TQBR,2014-06-27,0.143,70000,10518
TQBR,2014-06-30,0.14,50000,7000
TQBR,2014-07-01,0.1401,20000,2802
TQBR,2014-07-02,0.157,300000,46930
TQBR,2014-07-03,0.1351,10000,1351
TQBR,2014-07-04,,0,0
TQBR,2014-07-07,0.1409,130000,18317
TQBR,2014-07-08,,0,0
TQBR,2014-07-09,,0,0
TQBR,2014-07-10,0.145,650000,93838
TQBR,2014-07-11,0.14,230000,32214
TQBR,2014-07-14,,0,0
TQBR,2014-07-15,,0,0
TQBR,2014-07-16,,0,0
TQBR,2014-07-17,,0,0
TQBR,2014-07-18,0.1444,60000,8294
TQBR,2014-07-21,,0,0
TQBR,2014-07-22,0.1361,500000,66051
TQBR,2014-07-23,0.1417,190000,25428
TQBR,2014-07-24,0.1384,50000,6924
TQBR,2014-07-25,,0,0
TQBR,2014-07-28,,0,0
TQBR,2014-07-29,,0,0
TQBR,2014-07-30,0.122,10000,1220
TQBR,2014-07-31,0.1417,650000,82506
TQBR,2014-08-01,0.1311,1020000,130495
TQBR,2014-08-04,0.1314,800000,104858
TQBR,2014-08-05,,0,0
TQBR,2014-08-06,0.13,90000,10160
TQBR,2014-08-07,0.1293,30000,3600
TQBR,2014-08-08,0.1285,80000,9813
TQBR,2014-08-11,0.1283,130000,16778
TQBR,2014-08-12,0.1305,40000,5220
TQBR,2014-08-13,,0,0
TQBR,2014-08-14,0.1291,40000,5206
TQBR,2014-08-15,0.132,710000,95557
TQBR,2014-08-18,0.1327,860000,116342
TQBR,2014-08-19,0.1303,10000,1303
TQBR,2014-08-20,,0,0
TQBR,2014-08-21,0.1152,30000,3472
TQBR,2014-08-22,0.116,10000,1160
TQBR,2014-08-25,,0,0
TQBR,2014-08-26,0.1346,50000,6444
TQBR,2014-08-27,,0,0
TQBR,2014-08-28,,0,0
TQBR,2014-08-29,0.1161,420000,48742
TQBR,2014-09-01,,0,0
TQBR,2014-09-02,0.1181,6000000,709807
TQBR,2014-09-03,,0,0
TQBR,2014-09-04,,0,0
TQBR,2014-09-05,,0,0
TQBR,2014-09-08,,0,0
TQBR,2014-09-09,0.1266,2070000,263302
TQBR,2014-09-10,0.1371,10000,1371
TQBR,2014-09-11,,0,0
TQBR,2014-09-12,0.1367,30000,4100
TQBR,2014-09-15,0.1368,30000,4165
TQBR,2014-09-16,0.1279,110000,14905
TQBR,2014-09-17,,0,0
TQBR,2014-09-18,,0,0
TQBR,2014-09-19,0.137,180000,23279
TQBR,2014-09-22,,0,0
TQBR,2014-09-23,0.1373,470000,63957
TQBR,2014-09-24,0.1369,280000,37478
TQBR,2014-09-25,0.14,410000,57798
TQBR,2014-09-26,0.142,500000,70828
TQBR,2014-09-29,0.1401,60000,8406
TQBR,2014-09-30,0.144,1080000,155494
TQBR,2014-10-01,0.128,420000,58445
TQBR,2014-10-02,,0,0
TQBR,2014-10-03,0.1465,810000,118100
TQBR,2014-10-06,0.15,500000,74570
TQBR,2014-10-07,0.1485,100000,15295
TQBR,2014-10-08,0.145,180000,26100
TQBR,2014-10-09,,0,0
TQBR,2014-10-10,0.1465,600000,87450
TQBR,2014-10-13,,0,0
TQBR,2014-10-14,0.1445,80000,11560
TQBR,2014-10-15,0.1495,810000,106275
TQBR,2014-10-16,0.1495,1970000,292755
TQBR,2014-10-17,0.171,2230000,355470
TQBR,2014-10-20,0.18,5630000,986295
TQBR,2014-10-21,0.1945,2760000,519310
TQBR,2014-10-22,0.189,220000,40715
TQBR,2014-10-23,0.19,30000,5700
TQBR,2014-10-24,0.189,10000,1890
TQBR,2014-10-27,0.188,420000,77715
TQBR,2014-10-28,,0,0
TQBR,2014-10-29,0.187,1660000,307020
TQBR,2014-10-30,0.187,440000,80460
TQBR,2014-10-31,,0,0
TQBR,2014-11-03,0.19,990000,181830
TQBR,2014-11-05,0.189,10000,1890
TQBR,2014-11-06,0.1605,160000,25895
TQBR,2014-11-07,,0,0
TQBR,2014-11-10,0.1565,170000,27835
TQBR,2014-11-11,,0,0
TQBR,2014-11-12,0.17,120000,20750
TQBR,2014-11-13,,0,0
TQBR,2014-11-14,,0,0
TQBR,2014-11-17,0.179,40000,6860
TQBR,2014-11-18,0.185,40000,7350
TQBR,2014-11-19,0.1885,40000,7145
TQBR,2014-11-20,0.188,70000,11680
TQBR,2014-11-21,,0,0
TQBR,2014-11-24,0.188,50000,9395
TQBR,2014-11-25,,0,0
TQBR,2014-11-26,,0,0
TQBR,2014-11-27,0.165,50000,8255
TQBR,2014-11-28,0.163,20000,3260
TQBR,2014-12-01,0.165,130000,21090
TQBR,2014-12-02,0.167,130000,21225
TQBR,2014-12-03,0.155,10000,1550
TQBR,2014-12-04,0.1455,570000,85120
TQBR,2014-12-05,0.175,120000,21050
TQBR,2014-12-08,0.168,80000,11920
TQBR,2014-12-09,,0,0
TQBR,2014-12-10,,0,0
TQBR,2014-12-11,0.154,830000,120520
TQBR,2014-12-12,0.1575,50000,7670
TQBR,2014-12-15,,0,0
TQBR,2014-12-16,0.135,840000,111060
TQBR,2014-12-17,0.1395,360000,46685
TQBR,2014-12-18,0.1355,190000,25845
TQBR,2014-12-19,,0,0
TQBR,2014-12-22,0.145,1460000,204205
TQBR,2014-12-23,0.149,290000,42365
TQBR,2014-12-24,0.164,60000,8550
TQBR,2014-12-25,0.13,130000,17525
TQBR,2014-12-26,0.151,60000,8140
TQBR,2014-12-29,0.15,20000,3000
TQBR,2014-12-30,0.1515,20000,3065
TQBR,2015-01-05,,0,0
TQBR,2015-01-06,,0,0
TQBR,2015-01-08,0.1635,50000,8125
TQBR,2015-01-09,0.1415,40000,5185
TQBR,2015-01-12,,0,0
TQBR,2015-01-13,,0,0
TQBR,2015-01-14,,0,0
TQBR,2015-01-15,,0,0
TQBR,2015-01-16,0.147,290000,41250
TQBR,2015-01-19,0.145,40000,6000
TQBR,2015-01-20,0.141,20000,2985
TQBR,2015-01-21,,0,0
TQBR,2015-01-22,,0,0
TQBR,2015-01-23,0.136,80000,10940
TQBR,2015-01-26,,0,0
TQBR,2015-01-27,0.166,350000,53230
TQBR,2015-01-28,0.1535,790000,116415
TQBR,2015-01-29,0.1395,90000,13030
TQBR,2015-01-30,0.16,230000,39580
TQBR,2015-02-02,0.17,360000,60625
TQBR,2015-02-03,0.15,370000,51770
TQBR,2015-02-04,,0,0
TQBR,2015-02-05,0.1505,30000,4435
TQBR,2015-02-06,0.1505,220000,33845
TQBR,2015-02-09,0.149,290000,40465
TQBR,2015-02-10,,0,0
TQBR,2015-02-11,0.15,10000,1500
TQBR,2015-02-12,,0,0
TQBR,2015-02-13,0.1555,1820000,273105
TQBR,2015-02-16,,0,0
TQBR,2015-02-17,0.1645,140000,22045
TQBR,2015-02-18,,0,0
TQBR,2015-02-19,0.1615,10000,1615
TQBR,2015-02-20,0.147,200000,29700
TQBR,2015-02-24,0.146,120000,19280
TQBR,2015-02-25,0.15,620000,97015
TQBR,2015-02-26,,0,0
TQBR,2015-02-27,0.157,100000,16055
TQBR,2015-03-02,0.165,220000,35195
TQBR,2015-03-03,0.166,110000,18260
TQBR,2015-03-04,0.167,50000,8350
TQBR,2015-03-05,0.1595,110000,18065
TQBR,2015-03-06,0.162,40000,6480
TQBR,2015-03-10,0.1515,10000,1515
TQBR,2015-03-11,0.17,10000,1700
TQBR,2015-03-12,,0,0
TQBR,2015-03-13,,0,0
TQBR,2015-03-16,0.172,1980000,338685
TQBR,2015-03-17,0.172,1770000,288740
TQBR,2015-03-18,0.1725,580000,99375
TQBR,2015-03-19,0.165,1400000,239450
TQBR,2015-03-20,0.17,10000,1700
TQBR,2015-03-23,0.179,160000,26590
TQBR,2015-03-24,0.16,380000,59850
TQBR,2015-03-25,,0,0
TQBR,2015-03-26,0.168,10000,1680
TQBR,2015-03-27,0.1645,1310000,212620
TQBR,2015-03-30,,0,0
TQBR,2015-03-31,,0,0
TQBR,2015-04-01,0.162,2660000,475370
TQBR,2015-04-02,,0,0
TQBR,2015-04-03,,0,0
TQBR,2015-04-06,,0,0
TQBR,2015-04-07,0.18,1040000,185320
TQBR,2015-04-08,0.18,840000,151355
TQBR,2015-04-09,0.1805,40000,7220
TQBR,2015-04-10,0.18,550000,99000
TQBR,2015-04-13,0.1945,110000,20805
TQBR,2015-04-14,0.193,20000,3860
TQBR,2015-04-15,0.177,30000,5550
TQBR,2015-04-16,0.189,40000,6840
TQBR,2015-04-17,0.19,10000,1900
TQBR,2015-04-20,,0,0
TQBR,2015-04-21,0.1985,150000,29685
TQBR,2015-04-22,0.17,110000,18580
TQBR,2015-04-23,0.1585,60000,10565
TQBR,2015-04-24,,0,0
TQBR,2015-04-27,,0,0
TQBR,2015-04-28,,0,0
TQBR,2015-04-29,0.159,830000,131525
TQBR,2015-04-30,0.182,60000,10570
TQBR,2015-05-05,0.175,540000,94500
TQBR,2015-05-06,0.18,560000,95115
TQBR,2015-05-07,0.1795,10000,1795
TQBR,2015-05-08,0.175,30000,5250
TQBR,2015-05-12,,0,0
TQBR,2015-05-13,,0,0
TQBR,2015-05-14,,0,0
TQBR,2015-05-15,,0,0
TQBR,2015-05-18,,0,0
TQBR,2015-05-19,0.169,50000,8120
TQBR,2015-05-20,0.1835,30000,5235
TQBR,2015-05-21,,0,0
TQBR,2015-05-22,,0,0
TQBR,2015-05-25,0.185,280000,52820
TQBR,2015-05-26,0.1985,20000,3885
TQBR,2015-05-27,0.1875,10000,1875
TQBR,2015-05-28,,0,0
TQBR,2015-05-29,,0,0
TQBR,2015-06-01,0.1695,40000,6770
TQBR,2015-06-02,0.1695,20000,3390
TQBR,2015-06-03,0.18,20000,3500
TQBR,2015-06-04,0.1705,10000,1705
TQBR,2015-06-05,0.164,560000,89375
TQBR,2015-06-08,0.1565,190000,29840
TQBR,2015-06-09,0.162,60000,9990
TQBR,2015-06-10,0.1735,120000,20730
TQBR,2015-06-11,0.172,110000,16630
TQBR,2015-06-15,0.1825,1420000,267270
TQBR,2015-06-16,0.185,1000000,185000
TQBR,2015-06-17,0.1845,210000,37300
TQBR,2015-06-18,,0,0
TQBR,2015-06-19,0.182,1100000,201740
TQBR,2015-06-22,,0,0
TQBR,2015-06-23,0.1855,290000,54435
TQBR,2015-06-24,0.19,90000,17330
TQBR,2015-06-25,0.1895,10000,1895
TQBR,2015-06-26,0.19,10000,1900
TQBR,2015-06-29,0.181,10000,1810
TQBR,2015-06-30,,0,0
TQBR,2015-07-01,0.181,20000,3620
TQBR,2015-07-02,,0,0
TQBR,2015-07-03,0.18,10000,1800
TQBR,2015-07-06,,0,0
TQBR,2015-07-07,0.1785,20000,3545
TQBR,2015-07-08,0.1765,10000,1765
TQBR,2015-07-09,,0,0
TQBR,2015-07-10,,0,0
TQBR,2015-07-13,0.176,30000,5380
TQBR,2015-07-14,0.17,140000,23720
TQBR,2015-07-15,,0,0
TQBR,2015-07-16,,0,0
TQBR,2015-07-17,0.166,20000,3460
TQBR,2015-07-20,,0,0
TQBR,2015-07-21,0.1635,10000,1635
TQBR,2015-07-22,0.176,10000,1760
TQBR,2015-07-23,,0,0
TQBR,2015-07-24,0.1775,30000,5305
TQBR,2015-07-27,,0,0
TQBR,2015-07-28,,0,0
TQBR,2015-07-29,0.174,40000,7120
TQBR,2015-07-30,0.18,20000,3600
TQBR,2015-07-31,0.18,360000,64125
TQBR,2015-08-03,0.182,40000,7000
TQBR,2015-08-04,0.174,100000,17820
TQBR,2015-08-05,,0,0
TQBR,2015-08-06,0.1835,20000,3510
TQBR,2015-08-07,0.166,30000,5025
TQBR,2015-08-10,0.168,10000,1680
TQBR,2015-08-11,0.178,120000,21280
TQBR,2015-08-12,0.1685,20000,3495
TQBR,2015-08-13,0.183,10000,1830
TQBR,2015-08-14,0.188,20000,3725
TQBR,2015-08-17,0.19,10000,1900
TQBR,2015-08-18,,0,0
TQBR,2015-08-19,0.1725,10000,1725
TQBR,2015-08-20,0.1665,10000,1665
TQBR,2015-08-21,0.183,20000,3660
TQBR,2015-08-24,0.174,70000,12100
TQBR,2015-08-25,0.1785,50000,9160
TQBR,2015-08-26,0.187,50000,9420
TQBR,2015-08-27,,0,0
TQBR,2015-08-28,,0,0
TQBR,2015-08-31,0.175,110000,19845
TQBR,2015-09-01,0.173,130000,23110
TQBR,2015-09-02,0.173,10000,1730
TQBR,2015-09-03,0.168,110000,18525
TQBR,2015-09-04,0.166,1200000,194195
TQBR,2015-09-07,,0,0
TQBR,2015-09-08,0.16,260000,41600
TQBR,2015-09-09,0.18,6660000,1116215
TQBR,2015-09-10,0.188,320000,60205
TQBR,2015-09-11,0.1905,20000,3805
TQBR,2015-09-14,0.1965,520000,101280
TQBR,2015-09-15,0.197,50000,9780
TQBR,2015-09-16,0.18,290000,53905
TQBR,2015-09-17,0.19,220000,41800
TQBR,2015-09-18,0.185,1300000,252425
TQBR,2015-09-21,,0,0
TQBR,2015-09-22,0.175,1080000,196000
TQBR,2015-09-23,0.194,10000,1940
TQBR,2015-09-24,0.181,20000,3620
TQBR,2015-09-25,0.174,130000,22720
TQBR,2015-09-28,,0,0
TQBR,2015-09-29,0.1685,170000,29245
TQBR,2015-09-30,0.185,20000,3690
TQBR,2015-10-01,0.185,10000,1850
TQBR,2015-10-02,0.186,70000,12465
TQBR,2015-10-05,0.18,70000,12270
TQBR,2015-10-06,,0,0
TQBR,2015-10-07,,0,0
TQBR,2015-10-08,0.184,540000,93510
TQBR,2015-10-09,0.176,100000,17675
TQBR,2015-10-12,0.1935,2690000,533735
TQBR,2015-10-13,0.198,1440000,298950
TQBR,2015-10-14,0.271,3250000,772950
TQBR,2015-10-15,0.221,3060000,739660
TQBR,2015-10-16,0.23,450000,97650
TQBR,2015-10-19,0.23,230000,52885
TQBR,2015-10-20,0.215,1090000,240620
TQBR,2015-10-21,0.2115,370000,75360
TQBR,2015-10-22,0.198,250000,49535
TQBR,2015-10-23,0.2,80000,16050
TQBR,2015-10-26,0.1985,180000,36535
TQBR,2015-10-27,0.1965,90000,17930
TQBR,2015-10-28,0.2125,420000,85890
TQBR,2015-10-29,0.2085,490000,98755
TQBR,2015-10-30,0.207,160000,33135
TQBR,2015-11-02,0.204,260000,52430
TQBR,2015-11-03,0.205,630000,127180
TQBR,2015-11-05,0.212,520000,110990
TQBR,2015-11-06,0.236,720000,164620
TQBR,2015-11-09,0.233,1100000,265380
TQBR,2015-11-10,0.247,70000,17190
TQBR,2015-11-11,0.233,110000,25710
TQBR,2015-11-12,0.241,400000,92400
TQBR,2015-11-13,0.23,120000,27580
TQBR,2015-11-16,0.231,100000,23440
TQBR,2015-11-17,0.23,330000,74660
TQBR,2015-11-18,0.246,1900000,464760
TQBR,2015-11-19,0.236,790000,188320
TQBR,2015-11-20,0.244,230000,53700
TQBR,2015-11-23,0.237,80000,19220
TQBR,2015-11-24,0.24,210000,48930
TQBR,2015-11-25,0.225,1090000,245380
TQBR,2015-11-26,0.226,10000,2260
TQBR,2015-11-27,0.226,340000,77500
TQBR,2015-11-30,0.219,730000,160770
TQBR,2015-12-01,0.22,50000,10920
TQBR,2015-12-02,0.214,180000,39080
TQBR,2015-12-03,0.215,100000,21570
TQBR,2015-12-04,0.22,60000,13250
TQBR,2015-12-07,0.223,370000,83460
TQBR,2015-12-08,0.223,30000,6690
TQBR,2015-12-09,0.237,1000000,233640
TQBR,2015-12-10,0.25,150000,37010
TQBR,2015-12-11,0.25,160000,39750
TQBR,2015-12-14,0.248,110000,26530
TQBR,2015-12-15,0.24,970000,233420
TQBR,2015-12-16,0.238,190000,43100
TQBR,2015-12-17,0.24,230000,52850
TQBR,2015-12-18,0.244,90000,22350
TQBR,2015-12-21,0.24,150000,36460
TQBR,2015-12-22,0.239,1250000,283180
TQBR,2015-12-23,0.222,1970000,439920
TQBR,2015-12-24,0.22,1330000,295310
TQBR,2015-12-25,0.226,140000,30670
TQBR,2015-12-28,0.211,1720000,365350
TQBR,2015-12-29,0.217,110000,23360
TQBR,2015-12-30,0.22,150000,32810
TQBR,2016-01-04,0.221,350000,79130
TQBR,2016-01-05,0.224,40000,8930
TQBR,2016-01-06,0.231,390000,97050
TQBR,2016-01-11,0.222,190000,42960
TQBR,2016-01-12,0.223,320000,72290
TQBR,2016-01-13,0.237,10000,2370
TQBR,2016-01-14,0.235,200000,45580
TQBR,2016-01-15,0.217,880000,197130
TQBR,2016-01-18,0.214,360000,77110
TQBR,2016-01-19,0.222,70000,15550
TQBR,2016-01-20,0.227,440000,94640
TQBR,2016-01-21,,0,0
TQBR,2016-01-22,0.233,10000,2330
TQBR,2016-01-25,,0,0
TQBR,2016-01-26,0.228,160000,36390
TQBR,2016-01-27,0.226,10000,2260
TQBR,2016-01-28,0.237,590000,139790
TQBR,2016-01-29,0.241,760000,183370
TQBR,2016-02-01,0.242,640000,160400
TQBR,2016-02-02,0.247,270000,65150
TQBR,2016-02-03,0.255,200000,50260
TQBR,2016-02-04,0.25,380000,92640
TQBR,2016-02-05,0.24,400000,96140
TQBR,2016-02-08,0.242,450000,109880
TQBR,2016-02-09,0.236,130000,31300
TQBR,2016-02-10,0.237,70000,16690
TQBR,2016-02-11,0.231,670000,150550
TQBR,2016-02-12,0.24,50000,12020
TQBR,2016-02-15,,0,0
TQBR,2016-02-16,0.228,50000,11500
TQBR,2016-02-17,0.243,40000,9630
TQBR,2016-02-18,,0,0
TQBR,2016-02-19,0.242,890000,217810
TQBR,2016-02-20,0.253,80000,19680
TQBR,2016-02-22,0.244,80000,19960
TQBR,2016-02-24,0.259,540000,142630
TQBR,2016-02-25,0.243,10000,2430
TQBR,2016-02-26,0.248,50000,12640
TQBR,2016-02-29,0.251,430000,108130
TQBR,2016-03-01,0.246,10000,2460
TQBR,2016-03-02,0.251,10000,2510
TQBR,2016-03-03,0.251,80000,19780
TQBR,2016-03-04,0.265,70000,18490
TQBR,2016-03-07,0.248,20000,5000
TQBR,2016-03-09,0.243,120000,31030
TQBR,2016-03-10,0.254,10000,2540
TQBR,2016-03-11,0.254,330000,82430
TQBR,2016-03-14,0.24,480000,114560
TQBR,2016-03-15,0.242,270000,66150
TQBR,2016-03-16,0.25,150000,37720
TQBR,2016-03-17,0.253,210000,53610
TQBR,2016-03-18,0.25,50000,12610
TQBR,2016-03-21,0.253,10000,2530
TQBR,2016-03-22,0.245,80000,19790
TQBR,2016-03-23,0.249,500000,127720
TQBR,2016-03-24,0.24,260000,61500
TQBR,2016-03-25,0.253,90000,22940
TQBR,2016-03-28,,0,0
TQBR,2016-03-29,0.257,3390000,941770
TQBR,2016-03-30,0.275,1060000,291190
TQBR,2016-03-31,0.32,12430000,3756170
TQBR,2016-04-01,0.394,14940000,5569580
TQBR,2016-04-04,0.466,10360000,4532910
TQBR,2016-04-05,0.369,13930000,5395000
TQBR,2016-04-06,0.363,3360000,1253380
TQBR,2016-04-07,0.33,4010000,1414300
TQBR,2016-04-08,0.343,8220000,2668400
TQBR,2016-04-11,0.382,5990000,2295670
TQBR,2016-04-12,0.373,5370000,2027480
TQBR,2016-04-13,0.346,9590000,3120640
TQBR,2016-04-14,0.344,1590000,542500
TQBR,2016-04-15,0.344,1950000,679770
TQBR,2016-04-18,0.347,1200000,399240
TQBR,2016-04-19,0.338,530000,180580
TQBR,2016-04-20,0.34,890000,301350
TQBR,2016-04-21,0.35,2170000,758600
TQBR,2016-04-22,0.342,5190000,1807240
TQBR,2016-04-25,0.347,1080000,366410
TQBR,2016-04-26,0.339,900000,308370
TQBR,2016-04-27,0.34,5690000,1989570
TQBR,2016-04-28,0.35,3260000,1143100
TQBR,2016-04-29,0.365,4480000,1576490
TQBR,2016-05-04,0.421,2450000,951020
TQBR,2016-05-05,0.397,1670000,663950
TQBR,2016-05-06,0.413,3590000,1537380
TQBR,2016-05-10,0.386,3090000,1251430
TQBR,2016-05-11,0.39,170000,66190
TQBR,2016-05-12,0.363,1400000,530690
TQBR,2016-05-13,0.368,1710000,600900
TQBR,2016-05-16,0.365,140000,49620
TQBR,2016-05-17,0.356,390000,136160
TQBR,2016-05-18,0.369,230000,82540
TQBR,2016-05-19,0.381,2890000,1073710
TQBR,2016-05-20,0.379,680000,267880
TQBR,2016-05-23,0.37,760000,287670
TQBR,2016-05-24,0.354,1390000,494050
TQBR,2016-05-25,0.375,2050000,743950
TQBR,2016-05-26,0.381,550000,209000
TQBR,2016-05-27,0.394,120000,45660
TQBR,2016-05-30,0.369,3270000,1171170
TQBR,2016-05-31,0.393,1540000,600190
