BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0
TQBR,2014-06-10,,0,0
TQBR,2014-06-11,,0,0
TQBR,2014-06-16,,0,0
TQBR,2014-06-17,,0,0
TQBR,2014-06-18,,0,0
TQBR,2014-06-19,0.1315,10000,1315
TQBR,2014-06-20,0.135,300000,40500
TQBR,2014-06-23,,0,0
TQBR,2014-06-24,0.14,1060000,150964
TQBR,2014-06-25,,0,0
TQBR,2014-06-26,,0,0
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,,0,0
TQBR,2014-07-02,0.1305,30000,3915
TQBR,2014-07-03,,0,0
TQBR,2014-07-04,,0,0
TQBR,2014-07-07,0.145,730000,105850
TQBR,2014-07-08,,0,0
TQBR,2014-07-09,0.1449,10000,1449
TQBR,2014-07-10,,0,0
TQBR,2014-07-11,,0,0
TQBR,2014-07-14,,0,0
TQBR,2014-07-15,,0,0
TQBR,2014-07-16,,0,0
TQBR,2014-07-17,,0,0
TQBR,2014-07-18,,0,0
TQBR,2014-07-21,,0,0
TQBR,2014-07-22,,0,0
TQBR,2014-07-23,0.1395,140000,19534
TQBR,2014-07-24,0.1399,80000,10800
TQBR,2014-07-25,0.1388,160000,22316
TQBR,2014-07-28,0.136,150000,19741
TQBR,2014-07-29,0.1399,150000,20901
TQBR,2014-07-30,0.132,80000,10104
TQBR,2014-07-31,,0,0
TQBR,2014-08-01,0.135,100000,13551
TQBR,2014-08-04,,0,0
TQBR,2014-08-05,0.135,80000,10228
TQBR,2014-08-06,0.1394,60000,7395
TQBR,2014-08-07,0.136,190000,25508
TQBR,2014-08-08,0.1355,90000,12022
TQBR,2014-08-11,0.135,340000,45610
TQBR,2014-08-12,0.1424,50000,6900
TQBR,2014-08-13,0.1399,120000,16356
TQBR,2014-08-14,0.1253,100000,12104
TQBR,2014-08-15,0.13,60000,7800
TQBR,2014-08-18,0.1289,230000,28276
TQBR,2014-08-19,0.127,740000,94819
TQBR,2014-08-20,0.1259,50000,6312
TQBR,2014-08-21,0.1344,60000,8064
TQBR,2014-08-22,,0,0
TQBR,2014-08-25,0.125,60000,7500
TQBR,2014-08-26,,0,0
TQBR,2014-08-27,,0,0
TQBR,2014-08-28,,0,0
TQBR,2014-08-29,0.1377,70000,9639
TQBR,2014-09-01,,0,0
TQBR,2014-09-02,0.1215,2800000,340200
TQBR,2014-09-03,,0,0
TQBR,2014-09-04,0.1292,120000,15012
TQBR,2014-09-05,0.13,300000,38310
TQBR,2014-09-08,,0,0
TQBR,2014-09-09,0.13,120000,15600
TQBR,2014-09-10,0.13,780000,101468
TQBR,2014-09-11,,0,0
TQBR,2014-09-12,,0,0
TQBR,2014-09-15,0.137,50000,6862
TQBR,2014-09-16,0.1367,100000,13504
TQBR,2014-09-17,0.13,200000,26000
TQBR,2014-09-18,0.1367,70000,9568
TQBR,2014-09-19,,0,0
TQBR,2014-09-22,,0,0
TQBR,2014-09-23,,0,0
TQBR,2014-09-24,,0,0
TQBR,2014-09-25,0.1586,10000,1586
TQBR,2014-09-26,,0,0
TQBR,2014-09-29,,0,0
TQBR,2014-09-30,,0,0
TQBR,2014-10-01,,0,0
TQBR,2014-10-02,0.136,670000,91050
TQBR,2014-10-03,0.13,60000,8185
TQBR,2014-10-06,0.144,190000,27360
TQBR,2014-10-07,0.136,1600000,215000
TQBR,2014-10-08,,0,0
TQBR,2014-10-09,0.146,20000,2915
TQBR,2014-10-10,,0,0
TQBR,2014-10-13,0.149,50000,7380
TQBR,2014-10-14,,0,0
TQBR,2014-10-15,0.149,50000,7450
TQBR,2014-10-16,,0,0
TQBR,2014-10-17,0.157,1970000,295190
TQBR,2014-10-20,0.168,110000,17960
TQBR,2014-10-21,0.155,1770000,283100
TQBR,2014-10-22,0.167,10000,1670
TQBR,2014-10-23,,0,0
TQBR,2014-10-24,0.165,500000,82430
TQBR,2014-10-27,0.1505,10000,1505
TQBR,2014-10-28,0.167,10000,1670
TQBR,2014-10-29,,0,0
TQBR,2014-10-30,0.155,710000,108335
TQBR,2014-10-31,,0,0
TQBR,2014-11-03,,0,0
