BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,465.01,30,14060.0
TQBR,2014-06-10,451.0,90,40630.0
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,435.01,10,4350.1
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,468.97,100,46357.2
TQBR,2014-06-23,425.0,490,213724.2
TQBR,2014-06-24,449.0,140,62909.8
TQBR,2014-06-25,439.01,80,35935.2
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,425.0,30,12800.0
TQBR,2014-06-30,441.0,40,16741.4
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,405.0,170,69060.9
TQBR,2014-07-03,418.0,10,4180.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,440.0,150,65785.3
TQBR,2014-07-08,435.0,10,4350.0
TQBR,2014-07-09,438.0,20,8730.0
TQBR,2014-07-10,478.0,380,174263.9
TQBR,2014-07-11,479.0,10,4790.0
TQBR,2014-07-14,451.64,30,13846.4
TQBR,2014-07-15,470.0,20,9400.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,472.25,120,52499.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,421.0,10,4210.0
TQBR,2014-07-22,450.0,50,22040.2
TQBR,2014-07-23,459.97,110,47515.9
TQBR,2014-07-24,468.97,10,4689.7
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,435.0,110,45078.1
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,438.97,20,8779.4
TQBR,2014-08-01,390.0,20,7780.1
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,400.0,120,48301.1
TQBR,2014-08-06,377.0,110,41926.5
TQBR,2014-08-07,395.99,30,11879.7
TQBR,2014-08-08,374.0,300,110455.3
TQBR,2014-08-11,393.5,10,3935.0
TQBR,2014-08-12,394.94,60,23599.2
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,400.0,50,19791.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,407.99,20,8159.8
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,,0,0.0
TQBR,2014-08-29,369.5,30,11061.3
TQBR,2014-09-01,369.5,10,3695.0
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,379.97,40,14811.1
TQBR,2014-09-04,380.0,10,3800.0
TQBR,2014-09-05,,0,0.0
TQBR,2014-09-08,403.99,230,88219.8
TQBR,2014-09-09,377.21,110,41811.0
TQBR,2014-09-10,,0,0.0
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,410.05,350,135199.8
TQBR,2014-09-15,405.0,140,53799.1
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,394.68,10,3946.8
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,386.0,80,29210.9
TQBR,2014-09-22,,0,0.0
TQBR,2014-09-23,381.97,240,86554.9
TQBR,2014-09-24,,0,0.0
TQBR,2014-09-25,370.0,80,29599.9
TQBR,2014-09-26,350.0,30,10500.1
TQBR,2014-09-29,387.0,10,3870.0
TQBR,2014-09-30,387.0,10,3870.0
TQBR,2014-10-01,425.0,140,55170.0
