BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-10-31,57.4,2779400,156598263.0
TQBR,2013-11-01,57.38,2286300,131227948.0
TQBR,2013-11-05,56.85,729000,41543271.0
TQBR,2013-11-06,57.4,1320900,75264008.0
TQBR,2013-11-07,58.45,2112000,122199101.0
TQBR,2013-11-08,57.1,1361500,78191105.0
TQBR,2013-11-11,57.47,1259600,72225288.0
TQBR,2013-11-12,57.88,887500,51213212.0
TQBR,2013-11-13,57.83,2883100,167734982.0
TQBR,2013-11-14,59.51,1796800,106069302.0
TQBR,2013-11-15,59.88,1285200,76964489.0
TQBR,2013-11-18,59.81,996700,59696769.0
TQBR,2013-11-19,58.68,1317300,77679614.0
TQBR,2013-11-20,57.6,1302300,75213507.0
TQBR,2013-11-21,57.78,1284700,73428192.0
TQBR,2013-11-22,58.29,1151600,67169449.0
TQBR,2013-11-25,58.26,839200,49352589.0
TQBR,2013-11-26,57.57,2121700,122287839.0
TQBR,2013-11-27,57.19,2265700,129291228.0
TQBR,2013-11-28,58.44,1295600,74999482.0
TQBR,2013-11-29,60.42,2363400,140163123.0
TQBR,2013-12-02,62.69,4906000,307983727.0
TQBR,2013-12-03,63.12,3190100,198059166.0
TQBR,2013-12-04,67.46,10394800,684278618.0
TQBR,2013-12-05,66.72,3849500,259157245.0
TQBR,2013-12-06,68.8,6598100,447120554.0
TQBR,2013-12-09,72.48,6947300,495543439.0
TQBR,2013-12-10,74.1,4618400,337518839.0
TQBR,2013-12-11,73.09,3249000,238743034.0
TQBR,2013-12-12,73.65,3573200,261480712.0
TQBR,2013-12-13,76.75,7171800,542434086.0
TQBR,2013-12-16,79.66,7016200,553817346.0
TQBR,2013-12-17,79.24,4191300,331857150.0
TQBR,2013-12-18,77.17,5061900,392780335.0
TQBR,2013-12-19,78.0,5901800,452300271.0
TQBR,2013-12-20,79.23,6211000,486422167.0
TQBR,2013-12-23,81.56,4570900,370241287.0
TQBR,2013-12-24,85.0,6281600,524722471.0
TQBR,2013-12-25,85.05,6262600,542324741.0
TQBR,2013-12-26,84.54,4731100,401562039.0
TQBR,2013-12-27,82.5,3836100,323773620.0
TQBR,2013-12-30,83.7,5262600,442418845.0
TQBR,2014-01-06,83.24,2490000,207610825.0
TQBR,2014-01-08,83.41,2345100,195229144.0
TQBR,2014-01-09,82.9,2751400,230837432.0
TQBR,2014-01-10,82.83,3849100,319517671.0
TQBR,2014-01-13,87.87,7404300,640165555.0
TQBR,2014-01-14,84.96,7910200,680526450.0
TQBR,2014-01-15,83.9,5388900,456702923.0
TQBR,2014-01-16,84.8,4117300,347051490.0
TQBR,2014-01-17,84.25,3629900,306428460.0
TQBR,2014-01-20,85.46,3448100,293805434.0
TQBR,2014-01-21,81.35,7934600,661276098.0
TQBR,2014-01-22,78.78,9903800,778944231.0
TQBR,2014-01-23,79.79,4992100,398173014.0
TQBR,2014-01-24,78.7,4305900,339836747.0
TQBR,2014-01-27,81.9,5141500,413560728.0
TQBR,2014-01-28,81.75,3446600,281708041.0
TQBR,2014-01-29,81.38,3340700,272197623.0
TQBR,2014-01-30,81.44,2806800,228455031.0
TQBR,2014-01-31,83.0,2906200,239794252.0
TQBR,2014-02-03,80.0,4761000,388760220.0
TQBR,2014-02-04,76.65,6241600,480112421.0
TQBR,2014-02-05,76.12,6699700,509543268.0
TQBR,2014-02-06,78.9,4932600,384223550.0
TQBR,2014-02-07,79.5,4324400,345619848.0
TQBR,2014-02-10,79.51,2914700,231729234.0
TQBR,2014-02-11,80.7,1913300,153837181.0
TQBR,2014-02-12,82.02,5062700,417179306.0
TQBR,2014-02-13,80.6,3901700,315764051.0
TQBR,2014-02-14,80.28,2766200,222541678.0
TQBR,2014-02-17,80.75,618300,49900182.0
TQBR,2014-02-18,80.0,2795900,225674413.0
TQBR,2014-02-19,78.1,1965100,155628254.0
TQBR,2014-02-20,77.8,2274900,176508907.0
TQBR,2014-02-21,77.88,1468300,114822981.0
TQBR,2014-02-24,76.9,1934400,149205988.0
TQBR,2014-02-25,77.39,1124800,86643940.0
TQBR,2014-02-26,77.6,2172700,169023850.0
TQBR,2014-02-27,72.71,5895700,441834303.0
TQBR,2014-02-28,70.61,5484400,388862322.0
TQBR,2014-03-03,59.0,11263800,695529804.0
TQBR,2014-03-04,60.6,9257400,572680317.0
TQBR,2014-03-05,62.18,6152100,383704942.0
TQBR,2014-03-06,62.4,10299200,651926021.0
TQBR,2014-03-07,61.08,4844000,300612115.0
TQBR,2014-03-11,59.38,9663100,581788462.0
TQBR,2014-03-12,58.55,6743300,396725013.0
TQBR,2014-03-13,52.8,11087900,608512545.0
TQBR,2014-03-14,47.29,17220200,830264985.0
TQBR,2014-03-17,46.62,21583400,1014463654.0
TQBR,2014-03-18,48.6,28154600,1362128846.0
TQBR,2014-03-19,53.89,36318300,1885708921.0
TQBR,2014-03-20,56.45,26956600,1514274872.0
TQBR,2014-03-21,55.15,18254900,1002479141.0
TQBR,2014-03-24,53.74,11757400,649992008.0
TQBR,2014-03-25,54.24,9431100,512368003.0
TQBR,2014-03-26,55.35,8451700,469196210.0
TQBR,2014-03-27,53.11,11717600,648569819.0
TQBR,2014-03-28,53.85,5615500,303216032.0
TQBR,2014-03-31,55.2,3938700,215614419.0
TQBR,2014-04-01,55.97,6133300,342960277.0
TQBR,2014-04-02,55.78,5091000,281898151.0
TQBR,2014-04-03,55.8,3501000,195744459.0
TQBR,2014-04-04,56.02,3127200,175047285.0
TQBR,2014-04-07,53.45,8021700,432699695.0
TQBR,2014-04-08,53.39,5300800,281751479.0
TQBR,2014-04-09,53.85,4252200,227258758.0
TQBR,2014-04-10,54.15,3094800,167275983.0
TQBR,2014-04-11,53.4,2410400,129141105.0
TQBR,2014-04-14,52.85,2759900,145706328.0
TQBR,2014-04-15,49.68,5589200,286209076.0
TQBR,2014-04-16,51.8,4995400,256166495.0
TQBR,2014-04-17,53.0,5023600,263834636.0
TQBR,2014-04-18,53.75,3085200,166889928.0
TQBR,2014-04-21,53.65,2028400,108340678.0
TQBR,2014-04-22,52.34,3584200,188949158.0
TQBR,2014-04-23,51.76,2606400,134517725.0
TQBR,2014-04-24,50.64,4354400,222158955.0
TQBR,2014-04-25,49.25,3068900,152756637.0
TQBR,2014-04-28,50.46,4029400,198805476.0
TQBR,2014-04-29,50.95,2887400,147599383.0
TQBR,2014-04-30,50.92,6413300,330838492.0
TQBR,2014-05-02,50.35,1797900,90549632.0
TQBR,2014-05-05,50.25,1908800,95756301.0
TQBR,2014-05-06,50.55,3968600,200921651.0
TQBR,2014-05-07,52.17,8383200,429546171.0
TQBR,2014-05-08,51.49,6072500,315317962.0
TQBR,2014-05-12,51.61,2578000,133553010.0
TQBR,2014-05-13,52.8,5709800,299129843.0
TQBR,2014-05-14,53.0,3534100,186809755.0
TQBR,2014-05-15,52.24,5548000,296842921.0
TQBR,2014-05-16,52.65,1906500,100489095.0
TQBR,2014-05-19,53.55,2859300,152397732.0
TQBR,2014-05-20,53.61,3325000,178215458.0
TQBR,2014-05-21,54.2,4463100,242306739.0
TQBR,2014-05-22,53.11,5545400,295228667.0
TQBR,2014-05-23,53.89,2498700,132916426.0
TQBR,2014-05-26,53.99,4314200,233634127.0
TQBR,2014-05-27,53.32,3977600,211159766.0
TQBR,2014-05-28,54.0,2405700,129284751.0
TQBR,2014-05-29,55.3,6940900,382149846.0
TQBR,2014-05-30,55.15,2366200,130402528.0
TQBR,2014-06-02,57.04,8564500,490271322.0
TQBR,2014-06-03,57.8,2457400,140255239.0
TQBR,2014-06-04,57.2,5340600,305911130.0
TQBR,2014-06-05,57.57,1807900,103757332.0
TQBR,2014-06-06,57.59,2912200,166823798.0
TQBR,2014-06-09,58.84,3416600,200028041.0
TQBR,2014-06-10,58.85,2656000,156643221.0
TQBR,2014-06-11,58.74,2161900,126577862.0
TQBR,2014-06-16,56.89,5026200,286320759.0
TQBR,2014-06-17,55.06,3918200,218818327.0
TQBR,2014-06-18,55.3,1922000,106280239.0
TQBR,2014-06-19,55.64,2889600,161223517.0
TQBR,2014-06-20,55.68,1973200,110537241.0
TQBR,2014-06-23,56.38,1730800,97216177.0
TQBR,2014-06-24,58.49,4575300,262900211.0
TQBR,2014-06-25,56.75,2611100,150010517.0
TQBR,2014-06-26,56.44,2400400,135513656.0
TQBR,2014-06-27,55.6,2292900,128704231.0
TQBR,2014-06-30,56.43,2701800,151395373.0
TQBR,2014-07-01,56.68,1256600,70870939.0
TQBR,2014-07-02,57.1,2940000,168280789.0
TQBR,2014-07-03,57.09,2695800,153142417.0
