BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-07-08,,0,0.0
TQBR,2013-07-09,,0,0.0
TQBR,2013-07-10,,0,0.0
TQBR,2013-07-11,,0,0.0
TQBR,2013-07-12,,0,0.0
TQBR,2013-07-15,,0,0.0
TQBR,2013-07-16,,0,0.0
TQBR,2013-07-17,,0,0.0
TQBR,2013-07-18,,0,0.0
TQBR,2013-07-19,,0,0.0
TQBR,2013-07-22,,0,0.0
TQBR,2013-07-23,,0,0.0
TQBR,2013-07-24,,0,0.0
TQBR,2013-07-25,,0,0.0
TQBR,2013-07-26,,0,0.0
TQBR,2013-07-29,,0,0.0
TQBR,2013-07-30,,0,0.0
TQBR,2013-07-31,,0,0.0
TQBR,2013-08-01,,0,0.0
TQBR,2013-08-02,,0,0.0
TQBR,2013-08-05,,0,0.0
TQBR,2013-08-06,,0,0.0
TQBR,2013-08-07,,0,0.0
TQBR,2013-08-08,,0,0.0
TQBR,2013-08-09,,0,0.0
TQBR,2013-08-12,,0,0.0
TQBR,2013-08-13,,0,0.0
TQBR,2013-08-14,,0,0.0
TQBR,2013-08-15,,0,0.0
TQBR,2013-08-16,,0,0.0
TQBR,2013-08-19,,0,0.0
TQBR,2013-08-20,,0,0.0
TQBR,2013-08-21,,0,0.0
TQBR,2013-08-22,,0,0.0
TQBR,2013-08-23,,0,0.0
TQBR,2013-08-26,,0,0.0
TQBR,2013-08-27,,0,0.0
TQBR,2013-08-28,,0,0.0
TQBR,2013-08-29,,0,0.0
TQBR,2013-08-30,,0,0.0
TQBR,2013-09-02,33.0,696800,22997872.7
TQBR,2013-09-03,33.198,1257800,41523227.5
TQBR,2013-09-04,33.327,161400,5384544.8
TQBR,2013-09-05,33.34,177200,5868282.9
TQBR,2013-09-06,33.061,370500,12323816.5
TQBR,2013-09-09,33.299,242400,8038508.9
TQBR,2013-09-10,33.01,376400,12489335.1
TQBR,2013-09-11,32.896,362000,11889055.1
TQBR,2013-09-12,32.999,757200,24908865.9
TQBR,2013-09-13,32.678,202200,6627853.7
TQBR,2013-09-16,33.25,41507100,1366439118.4
TQBR,2013-09-17,33.748,3411700,114455152.0
TQBR,2013-09-18,35.1,2413900,84496218.1
TQBR,2013-09-19,35.099,973900,34078549.9
TQBR,2013-09-20,34.51,339700,11837004.5
TQBR,2013-09-23,35.115,301900,10561680.1
TQBR,2013-09-24,34.9,353900,12367780.4
TQBR,2013-09-25,35.488,1479100,51901548.9
TQBR,2013-09-26,35.5,1008400,35562441.3
TQBR,2013-09-27,36.8,1252700,45756329.0
TQBR,2013-09-30,36.0,665100,24502218.0
TQBR,2013-10-01,36.255,492600,17959425.8
TQBR,2013-10-02,38.502,2876100,110991072.3
TQBR,2013-10-03,39.0,1938800,75876702.4
TQBR,2013-10-04,38.7,725600,27738779.0
TQBR,2013-10-07,37.652,905600,34352488.1
TQBR,2013-10-08,37.777,714400,26957647.7
TQBR,2013-10-09,37.0,868400,32340229.3
TQBR,2013-10-10,36.88,1944900,71903514.0
TQBR,2013-10-11,34.75,2621700,94396880.2
TQBR,2013-10-14,34.823,929400,32568639.9
TQBR,2013-10-15,35.0,1490900,52104722.5
TQBR,2013-10-16,34.999,530500,18560749.7
TQBR,2013-10-17,35.1,468400,16402128.3
TQBR,2013-10-18,35.244,1079000,38038002.3
TQBR,2013-10-21,35.003,366500,12868201.1
TQBR,2013-10-22,34.96,270000,9451137.6
TQBR,2013-10-23,34.85,790600,27530475.6
TQBR,2013-10-24,34.9,1112900,38802970.1
TQBR,2013-10-25,34.95,1977500,68929891.2
TQBR,2013-10-28,35.25,37784000,1327898860.4
TQBR,2013-10-29,36.153,31713200,1125724501.7
TQBR,2013-10-30,37.4,29626300,1102132926.9
TQBR,2013-10-31,36.219,5338300,197005399.3
TQBR,2013-11-01,35.951,4123000,149276407.3
TQBR,2013-11-05,35.2,4857100,172839072.4
TQBR,2013-11-06,36.0,4257500,151738794.0
TQBR,2013-11-07,36.1,3862900,138859929.7
TQBR,2013-11-08,36.1,1820100,65508798.9
TQBR,2013-11-11,36.14,1104200,39866999.3
TQBR,2013-11-12,35.712,1203400,42993166.7
TQBR,2013-11-13,34.753,8015100,281695717.3
TQBR,2013-11-14,35.484,2417300,84885614.4
TQBR,2013-11-15,35.361,2790400,98429955.2
