BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,5.826,6100,35364.9
TQBR,2014-06-10,5.599,15200,85563.9
TQBR,2014-06-11,5.812,15000,86818.2
TQBR,2014-06-16,5.958,12100,71526.6
TQBR,2014-06-17,5.964,4300,24895.4
TQBR,2014-06-18,5.945,21800,125835.3
TQBR,2014-06-19,5.514,211800,1146825.4
TQBR,2014-06-20,5.235,100100,523391.8
TQBR,2014-06-23,5.16,24500,126470.6
TQBR,2014-06-24,5.4,56400,297292.6
TQBR,2014-06-25,5.699,11900,65503.5
TQBR,2014-06-26,6.0,80600,473887.7
TQBR,2014-06-27,6.45,73400,446963.0
TQBR,2014-06-30,6.401,682800,4418307.4
TQBR,2014-07-01,5.9,103900,621568.9
TQBR,2014-07-02,5.6,20200,116744.5
TQBR,2014-07-03,5.38,311600,1701959.1
TQBR,2014-07-04,5.53,21600,117161.1
TQBR,2014-07-07,5.499,9400,51686.4
TQBR,2014-07-08,5.719,29600,163701.1
TQBR,2014-07-09,5.75,15500,87298.2
TQBR,2014-07-10,5.85,11400,65257.3
TQBR,2014-07-11,5.9,5800,33330.3
TQBR,2014-07-14,5.798,200,1136.0
TQBR,2014-07-15,5.5,26700,153499.2
TQBR,2014-07-16,5.735,5800,32330.4
TQBR,2014-07-17,5.55,35500,199832.9
TQBR,2014-07-18,5.501,7700,42043.5
TQBR,2014-07-21,5.8,90400,498639.1
TQBR,2014-07-22,6.094,92700,548633.0
TQBR,2014-07-23,5.985,121400,719684.7
TQBR,2014-07-24,6.15,147600,871491.2
TQBR,2014-07-25,6.195,31200,192557.3
TQBR,2014-07-28,6.1,68900,405885.5
TQBR,2014-07-29,6.2,106200,645518.2
TQBR,2014-07-30,6.248,53600,337079.0
TQBR,2014-07-31,6.55,1934500,13169810.6
TQBR,2014-08-01,6.071,317100,1956404.3
TQBR,2014-08-04,5.911,152500,914615.4
TQBR,2014-08-05,5.84,12300,72314.5
TQBR,2014-08-06,5.52,250900,1390322.0
TQBR,2014-08-07,5.403,737800,4088923.6
TQBR,2014-08-08,5.714,132000,739959.6
TQBR,2014-08-11,5.741,5300,29787.8
TQBR,2014-08-12,5.676,11800,65950.2
TQBR,2014-08-13,5.68,8700,49422.5
TQBR,2014-08-14,5.747,63700,356535.8
TQBR,2014-08-15,5.895,11200,64438.4
TQBR,2014-08-18,5.954,24000,139258.1
TQBR,2014-08-19,5.957,600,3557.7
TQBR,2014-08-20,5.95,1600,9426.9
TQBR,2014-08-21,5.936,362700,2047833.9
TQBR,2014-08-22,6.149,35400,216479.7
TQBR,2014-08-25,6.232,95100,592842.2
TQBR,2014-08-26,6.198,32100,196770.9
TQBR,2014-08-27,6.085,42800,260425.6
TQBR,2014-08-28,6.296,427800,2741734.6
TQBR,2014-08-29,6.16,5740400,38414168.4
TQBR,2014-09-01,6.1,53100,322874.8
TQBR,2014-09-02,6.04,18500,111675.4
TQBR,2014-09-03,6.1,16900,103531.4
TQBR,2014-09-04,6.082,26800,162023.9
TQBR,2014-09-05,6.05,21400,128913.3
TQBR,2014-09-08,6.1,35400,212677.4
TQBR,2014-09-09,6.15,5000,30748.6
TQBR,2014-09-10,6.25,58600,366206.0
TQBR,2014-09-11,6.056,50400,311692.9
TQBR,2014-09-12,6.126,248600,1557465.5
TQBR,2014-09-15,6.14,51700,316109.6
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,6.037,25500,150620.1
TQBR,2014-09-18,5.899,10400,61345.9
TQBR,2014-09-19,5.76,89000,511627.6
TQBR,2014-09-22,5.9,11900,70023.3
TQBR,2014-09-23,6.096,10000,58660.7
TQBR,2014-09-24,6.05,9900,58138.7
TQBR,2014-09-25,6.049,96900,585632.6
TQBR,2014-09-26,6.3,108700,670604.6
TQBR,2014-09-29,6.299,58600,368745.3
TQBR,2014-09-30,6.1,2010100,13458320.8
TQBR,2014-10-01,6.13,57600,349047.0
TQBR,2014-10-02,6.19,3000,18254.0
TQBR,2014-10-03,6.29,21900,139337.0
TQBR,2014-10-06,6.26,19700,122126.0
TQBR,2014-10-07,6.29,12700,84457.0
TQBR,2014-10-08,,0,0.0
TQBR,2014-10-09,6.37,167100,1053445.0
TQBR,2014-10-10,6.27,61200,374596.0
TQBR,2014-10-13,6.15,54100,330162.0
TQBR,2014-10-14,6.19,600,3674.0
TQBR,2014-10-15,6.18,400,2472.0
TQBR,2014-10-16,6.11,55400,332092.0
TQBR,2014-10-17,6.08,700,4163.0
TQBR,2014-10-20,6.16,100,616.0
TQBR,2014-10-21,6.15,42300,251348.0
TQBR,2014-10-22,6.15,300,1829.0
TQBR,2014-10-23,5.94,993200,5889070.0
TQBR,2014-10-24,5.73,649800,3707988.0
TQBR,2014-10-27,5.5,169900,934059.0
TQBR,2014-10-28,5.67,112300,627595.0
TQBR,2014-10-29,5.68,229100,1297979.0
TQBR,2014-10-30,5.7,35100,197705.0
TQBR,2014-10-31,5.44,232000,1256770.0
TQBR,2014-11-03,5.24,50500,264738.0
TQBR,2014-11-05,5.15,124000,630282.0
TQBR,2014-11-06,5.05,126200,623342.0
TQBR,2014-11-07,4.85,183800,877175.0
TQBR,2014-11-10,4.94,14500,70941.0
