BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,14.23,68540,974091.6
TQBR,2014-06-10,14.27,92530,1319109.8
TQBR,2014-06-11,14.2,371250,5270235.0
TQBR,2014-06-16,14.08,203550,2868754.9
TQBR,2014-06-17,14.13,86750,1223088.2
TQBR,2014-06-18,14.11,54310,767793.7
TQBR,2014-06-19,14.11,45220,637822.9
TQBR,2014-06-20,14.09,59290,836140.3
TQBR,2014-06-23,14.08,50400,710753.8
TQBR,2014-06-24,14.26,444700,6346056.6
TQBR,2014-06-25,14.29,311560,4456356.1
TQBR,2014-06-26,14.25,76100,1084433.5
TQBR,2014-06-27,14.2,27660,391792.9
TQBR,2014-06-30,14.23,58320,829303.6
TQBR,2014-07-01,14.2,11500,163423.5
TQBR,2014-07-02,14.2,14070,199682.5
TQBR,2014-07-03,14.14,119690,1691930.3
TQBR,2014-07-04,13.5,296520,4132512.1
TQBR,2014-07-07,13.83,151020,2076531.2
TQBR,2014-07-08,13.7,335830,4745235.2
TQBR,2014-07-09,13.55,199920,2726492.7
TQBR,2014-07-10,12.91,427280,5636303.6
TQBR,2014-07-11,12.61,238320,3022663.6
TQBR,2014-07-14,12.8,52650,666261.3
TQBR,2014-07-15,13.2,84080,1099734.2
TQBR,2014-07-16,13.1,91890,1220325.6
TQBR,2014-07-17,12.86,18100,230870.4
TQBR,2014-07-18,12.61,130270,1622942.2
TQBR,2014-07-21,12.32,128940,1616245.5
TQBR,2014-07-22,12.54,12360,154488.9
TQBR,2014-07-23,12.41,68920,855487.6
TQBR,2014-07-24,12.33,32970,404554.1
TQBR,2014-07-25,12.25,52050,637629.6
TQBR,2014-07-28,12.12,34970,421628.4
TQBR,2014-07-29,12.21,56740,695489.1
TQBR,2014-07-30,12.36,25340,314227.0
TQBR,2014-07-31,12.4,11410,141071.8
TQBR,2014-08-01,12.3,7650,93395.8
TQBR,2014-08-04,12.08,69090,831570.6
TQBR,2014-08-05,12.05,33720,405856.7
TQBR,2014-08-06,11.88,111990,1310807.0
TQBR,2014-08-07,11.96,73070,884475.0
TQBR,2014-08-08,11.64,192650,2245372.7
TQBR,2014-08-11,11.72,59430,694860.9
TQBR,2014-08-12,11.65,57540,668876.9
TQBR,2014-08-13,11.55,40900,471364.6
TQBR,2014-08-14,11.61,135830,1576109.9
TQBR,2014-08-15,11.81,92080,1084203.2
TQBR,2014-08-18,12.06,66120,798717.1
TQBR,2014-08-19,12.22,38140,464846.0
TQBR,2014-08-20,12.07,35010,422093.4
TQBR,2014-08-21,12.85,428340,5496311.4
TQBR,2014-08-22,12.76,999140,13269050.3
TQBR,2014-08-25,12.32,376160,4598657.8
TQBR,2014-08-26,12.27,159140,1958241.3
TQBR,2014-08-27,12.26,74950,923473.2
TQBR,2014-08-28,12.05,55760,675156.6
TQBR,2014-08-29,12.0,64810,774687.4
TQBR,2014-09-01,12.4,134240,1646964.8
TQBR,2014-09-02,12.34,10910,134448.8
TQBR,2014-09-03,12.94,175160,2215961.5
TQBR,2014-09-04,14.1,1110470,15693568.8
TQBR,2014-09-05,13.8,879310,12177734.1
TQBR,2014-09-08,14.05,77520,1085938.9
TQBR,2014-09-09,14.06,29630,416643.3
TQBR,2014-09-10,14.1,103480,1459197.0
TQBR,2014-09-11,14.05,100980,1416228.6
TQBR,2014-09-12,14.05,12850,180671.8
TQBR,2014-09-15,14.1,57780,815140.9
TQBR,2014-09-16,14.08,228100,3202793.0
TQBR,2014-09-17,14.06,239140,3353764.0
TQBR,2014-09-18,14.02,89570,1255349.7
TQBR,2014-09-19,14.03,385940,5407337.5
TQBR,2014-09-22,14.06,79190,1111067.9
TQBR,2014-09-23,14.07,497280,6983599.2
TQBR,2014-09-24,14.07,14830,208860.7
TQBR,2014-09-25,14.09,52680,742262.2
TQBR,2014-09-26,14.13,1056590,14917240.6
TQBR,2014-09-29,14.13,50940,718723.5
TQBR,2014-09-30,14.15,205420,2901199.5
TQBR,2014-10-01,14.18,586360,8292585.6
TQBR,2014-10-02,14.1,111490,1568569.1
TQBR,2014-10-03,14.06,24900,350398.6
TQBR,2014-10-06,14.05,8440,118752.5
TQBR,2014-10-07,14.08,62790,883389.1
TQBR,2014-10-08,14.09,46600,657601.9
TQBR,2014-10-09,14.1,30650,431942.0
TQBR,2014-10-10,14.05,66730,939751.3
TQBR,2014-10-13,14.2,1139800,16257650.9
TQBR,2014-10-14,14.24,23330,331243.4
TQBR,2014-10-15,14.26,109670,1557252.0
TQBR,2014-10-16,14.23,24740,351832.6
TQBR,2014-10-17,14.25,37480,532995.3
TQBR,2014-10-20,14.28,108640,1546644.5
TQBR,2014-10-21,14.3,265440,3792135.7
TQBR,2014-10-22,14.3,15370,219382.5
TQBR,2014-10-23,14.34,145090,2075918.3
TQBR,2014-10-24,14.33,828030,11911495.1
TQBR,2014-10-27,14.34,44640,640266.1
TQBR,2014-10-28,14.36,22210,319110.8
TQBR,2014-10-29,14.37,44350,635040.5
TQBR,2014-10-30,14.35,7090,101563.0
TQBR,2014-10-31,14.3,18110,259023.2
TQBR,2014-11-03,14.33,57500,823987.0
TQBR,2014-11-05,14.38,696610,10010153.1
TQBR,2014-11-06,15.9,1024730,17948393.7
TQBR,2014-11-07,14.56,415390,6125090.3
TQBR,2014-11-10,14.44,134250,1924229.8
TQBR,2014-11-11,14.74,487900,7224448.2
TQBR,2014-11-12,14.31,183320,2626029.2
TQBR,2014-11-13,14.27,221750,3139266.0
TQBR,2014-11-14,14.25,188540,2681870.8
TQBR,2014-11-17,14.28,35660,508293.7
TQBR,2014-11-18,14.3,139540,1993322.4
TQBR,2014-11-19,14.3,49080,700250.3
TQBR,2014-11-20,14.35,108980,1559351.6
TQBR,2014-11-21,14.4,148080,2124401.5
TQBR,2014-11-24,14.4,176330,2532742.1
TQBR,2014-11-25,14.87,444300,6751728.6
TQBR,2014-11-26,14.68,216320,3190761.4
TQBR,2014-11-27,14.39,137670,1999906.0
TQBR,2014-11-28,14.15,83490,1182078.8
TQBR,2014-12-01,13.96,77620,1083689.1
TQBR,2014-12-02,14.01,114220,1595937.8
TQBR,2014-12-03,14.2,51560,728045.3
TQBR,2014-12-04,14.04,67520,957623.6
TQBR,2014-12-05,14.24,51540,726654.4
TQBR,2014-12-08,13.8,48640,666482.4
TQBR,2014-12-09,13.8,64120,871382.3
TQBR,2014-12-10,13.79,59870,823389.0
TQBR,2014-12-11,13.65,73420,988265.8
TQBR,2014-12-12,13.66,20350,272015.1
TQBR,2014-12-15,13.14,46220,604471.4
TQBR,2014-12-16,11.66,287900,3343667.6
TQBR,2014-12-17,11.95,113870,1351347.0
TQBR,2014-12-18,12.68,180760,2315445.1
TQBR,2014-12-19,14.17,254590,3558917.2
TQBR,2014-12-22,13.62,45600,617809.1
TQBR,2014-12-23,13.65,15050,202496.1
TQBR,2014-12-24,13.35,24510,321964.7
TQBR,2014-12-25,13.35,11090,147018.7
TQBR,2014-12-26,12.88,55970,725869.8
TQBR,2014-12-29,13.11,20150,260020.5
TQBR,2014-12-30,12.94,40290,515102.2
TQBR,2015-01-05,12.94,24900,322583.8
TQBR,2015-01-06,13.46,69890,958321.4
TQBR,2015-01-08,13.9,105410,1478020.4
TQBR,2015-01-09,13.69,16030,217738.4
TQBR,2015-01-12,13.57,13420,180648.4
TQBR,2015-01-13,13.49,9070,121148.2
TQBR,2015-01-14,13.59,45130,613911.7
TQBR,2015-01-15,13.95,22210,308577.1
TQBR,2015-01-16,14.04,36350,516726.6
TQBR,2015-01-19,14.09,32350,460884.1
TQBR,2015-01-20,13.8,18570,257099.8
TQBR,2015-01-21,13.86,14130,196533.7
TQBR,2015-01-22,13.95,38850,544537.2
TQBR,2015-01-23,13.96,31440,436772.7
TQBR,2015-01-26,13.46,44930,604311.7
TQBR,2015-01-27,13.27,55640,740659.9
TQBR,2015-01-28,13.17,49740,663530.0
TQBR,2015-01-29,13.15,21520,279958.8
TQBR,2015-01-30,13.61,44130,595825.5
TQBR,2015-02-02,13.23,42180,565621.5
TQBR,2015-02-03,12.5,1175460,14760073.3
TQBR,2015-02-04,12.57,134480,1683291.2
