BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.75,35000,26260.0
TQBR,2014-06-10,0.7532,31000,23390.0
TQBR,2014-06-11,0.7705,55000,42638.0
TQBR,2014-06-16,0.75,16000,12067.9
TQBR,2014-06-17,0.7906,75000,60174.7
TQBR,2014-06-18,0.805,3000,2423.8
TQBR,2014-06-19,0.765,19000,15355.8
TQBR,2014-06-20,0.7701,3000,2310.3
TQBR,2014-06-23,0.834,111000,92739.6
TQBR,2014-06-24,0.848,65000,55827.7
TQBR,2014-06-25,0.84,234000,196880.9
TQBR,2014-06-26,0.8692,3000,2607.5
TQBR,2014-06-27,0.8765,27000,23550.5
TQBR,2014-06-30,0.8723,61000,53271.3
TQBR,2014-07-01,0.8501,11000,9414.9
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,0.8551,59000,49512.8
TQBR,2014-07-04,0.8265,21000,17794.2
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,0.844,15000,12660.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,0.8002,2000,1600.5
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,0.8357,128000,103466.7
TQBR,2014-07-15,0.802,5000,4226.5
TQBR,2014-07-16,0.8205,13000,10668.9
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,0.8205,1000,820.5
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,0.7862,21000,16745.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,0.8,6000,4799.9
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,0.87,31000,26674.9
TQBR,2014-07-30,0.8015,2000,1603.1
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,0.9202,510000,476652.9
TQBR,2014-08-04,0.9003,10000,9121.8
TQBR,2014-08-05,0.87,87000,76630.8
TQBR,2014-08-06,0.88,71000,62629.9
TQBR,2014-08-07,0.8531,78000,66676.0
TQBR,2014-08-08,0.853,139000,118685.9
TQBR,2014-08-11,0.853,60000,51864.1
TQBR,2014-08-12,0.8535,1000,853.5
TQBR,2014-08-13,0.8449,56000,46746.7
TQBR,2014-08-14,0.8008,74000,59538.0
TQBR,2014-08-15,0.82,11000,8825.0
TQBR,2014-08-18,0.8051,79000,63993.5
TQBR,2014-08-19,0.83,4000,3233.0
TQBR,2014-08-20,0.8128,3000,2438.4
TQBR,2014-08-21,0.8165,25000,20017.8
TQBR,2014-08-22,0.83,1000,830.0
TQBR,2014-08-25,0.825,2000,1649.6
TQBR,2014-08-26,0.8294,7000,5817.2
TQBR,2014-08-27,0.8329,4000,3328.7
TQBR,2014-08-28,0.814,2000,1634.0
TQBR,2014-08-29,,0,0.0
