BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.2006,2000,404.6
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,0.1977,2000,398.1
TQBR,2014-06-16,0.2,81000,16200.0
TQBR,2014-06-17,0.2,15000,3000.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,0.2209,4000,880.7
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,0.1912,8000,1529.4
TQBR,2014-08-11,0.19,49000,9310.5
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,0.239,20000,4439.5
TQBR,2014-08-26,0.25,5000,1244.6
TQBR,2014-08-27,0.1861,12000,2338.3
TQBR,2014-08-28,0.2493,6000,1501.2
TQBR,2014-08-29,0.267,52000,13434.3
TQBR,2014-09-01,0.2496,16000,3509.0
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,0.269,8000,2025.0
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,,0,0.0
TQBR,2014-09-08,0.24,16000,4019.9
TQBR,2014-09-09,0.2698,4000,1027.8
TQBR,2014-09-10,0.26,177000,46233.7
TQBR,2014-09-11,0.27,1000,270.0
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,,0,0.0
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,0.25,3000,750.0
