BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,2464.7,16540,40955891.0
TQBR,2014-06-10,2439.4,29841,72987620.2
TQBR,2014-06-11,2424.1,18532,44930914.5
TQBR,2014-06-16,2470.0,61821,153456546.4
TQBR,2014-06-17,2438.6,52766,128774444.1
TQBR,2014-06-18,2500.0,36120,90204984.1
TQBR,2014-06-19,2430.0,81651,203525318.8
TQBR,2014-06-20,2365.0,51204,118891988.4
TQBR,2014-06-23,2300.3,30113,69644393.5
TQBR,2014-06-24,2409.4,39529,94241438.9
TQBR,2014-06-25,2382.1,32054,77617362.3
TQBR,2014-06-26,2390.7,18485,44271631.6
TQBR,2014-06-27,2404.9,5217,12493566.4
TQBR,2014-06-30,2400.0,15327,36641710.8
TQBR,2014-07-01,2410.0,14089,33875797.5
TQBR,2014-07-02,2591.0,29302,74524405.4
TQBR,2014-07-03,2531.0,22098,57469099.0
TQBR,2014-07-04,2470.0,23741,59505161.4
TQBR,2014-07-07,2554.9,49363,126219069.0
TQBR,2014-07-08,2615.0,23785,61815977.7
TQBR,2014-07-09,2588.0,28482,73166567.5
TQBR,2014-07-10,2563.8,32821,84386514.3
TQBR,2014-07-11,2517.0,17087,43593343.4
TQBR,2014-07-14,2502.2,48398,122139659.1
TQBR,2014-07-15,2522.0,13088,32773332.3
TQBR,2014-07-16,2436.7,47122,116487749.4
TQBR,2014-07-17,2271.0,90462,208142787.0
TQBR,2014-07-18,2135.0,62602,137395642.2
TQBR,2014-07-21,1990.0,170198,344303581.6
TQBR,2014-07-22,2174.9,72082,152965268.8
TQBR,2014-07-23,2035.0,157496,330176422.7
TQBR,2014-07-24,2067.0,49457,101822855.6
TQBR,2014-07-25,2028.2,83559,170061512.4
TQBR,2014-07-28,1874.0,110871,211109097.5
TQBR,2014-07-29,1905.0,103878,196984773.0
TQBR,2014-07-30,1919.2,57528,110925561.4
TQBR,2014-07-31,1963.0,34115,66765185.8
TQBR,2014-08-01,1990.9,42065,81891464.2
TQBR,2014-08-04,1985.0,10490,20793230.6
TQBR,2014-08-05,1952.0,25201,49452361.3
TQBR,2014-08-06,1852.0,36790,69639859.8
TQBR,2014-08-07,1848.0,29886,55383465.4
TQBR,2014-08-08,1884.9,21345,39872295.4
TQBR,2014-08-11,1925.0,8541,16390228.6
TQBR,2014-08-12,1908.0,14242,27458846.4
TQBR,2014-08-13,1952.8,31883,61347900.1
TQBR,2014-08-14,2005.0,68018,133285612.9
TQBR,2014-08-15,2080.0,36195,74011110.8
TQBR,2014-08-18,2056.9,22338,46743162.5
TQBR,2014-08-19,2079.0,14550,30248357.6
TQBR,2014-08-20,2065.1,5899,12183525.6
TQBR,2014-08-21,2088.0,79496,166772053.3
TQBR,2014-08-22,2040.0,64415,132154923.4
TQBR,2014-08-25,2055.0,6631,13586719.5
TQBR,2014-08-26,2085.1,19664,40603441.5
TQBR,2014-08-27,2010.0,53933,109614730.2
TQBR,2014-08-28,1940.0,90332,176770800.3
TQBR,2014-08-29,1943.8,33578,64895651.6
TQBR,2014-09-01,1875.0,23827,45454829.1
TQBR,2014-09-02,1880.0,10779,20343347.7
TQBR,2014-09-03,1903.0,18621,35495123.9
TQBR,2014-09-04,1876.1,20377,38229558.8
TQBR,2014-09-05,1861.0,18890,35277289.4
TQBR,2014-09-08,1845.0,66032,121223732.2
TQBR,2014-09-09,1890.0,45953,87196074.3
TQBR,2014-09-10,1890.0,22964,43445486.1
TQBR,2014-09-11,1850.0,23187,43217895.2
TQBR,2014-09-12,1890.6,16691,31567996.4
TQBR,2014-09-15,1847.5,32839,60970485.0
TQBR,2014-09-16,1849.4,30466,56415151.1
TQBR,2014-09-17,1469.1,682296,1006865288.3
TQBR,2014-09-18,1430.0,140762,205094305.3
TQBR,2014-09-19,1403.0,300546,420444756.8
TQBR,2014-09-22,1330.7,53978,73561537.5
TQBR,2014-09-23,1352.5,194379,259466677.3
TQBR,2014-09-24,1402.4,163351,230381325.9
TQBR,2014-09-25,1330.7,112096,152705298.1
TQBR,2014-09-26,1263.0,297674,373113005.6
TQBR,2014-09-29,1241.3,112431,141883383.6
TQBR,2014-09-30,1255.0,77690,97418514.3
TQBR,2014-10-01,1212.0,146325,183977562.0
TQBR,2014-10-02,1216.0,50636,61936901.0
TQBR,2014-10-03,1228.0,20243,24766142.0
TQBR,2014-10-06,1227.0,48245,59671805.0
TQBR,2014-10-07,1205.0,18583,22502877.0
TQBR,2014-10-08,1175.0,18491,21947101.0
TQBR,2014-10-09,1095.0,52772,60308440.0
TQBR,2014-10-10,1070.0,59401,63251362.0
TQBR,2014-10-13,1038.0,43475,46283433.0
TQBR,2014-10-14,1028.0,59093,60752757.0
TQBR,2014-10-15,994.0,47499,47565348.0
TQBR,2014-10-16,963.0,58292,56333057.0
TQBR,2014-10-17,980.0,89622,87948716.0
TQBR,2014-10-20,980.0,46228,45894535.0
TQBR,2014-10-21,981.0,52537,51184275.0
TQBR,2014-10-22,955.0,62051,60693784.0
TQBR,2014-10-23,940.0,32655,30705337.0
TQBR,2014-10-24,945.0,21919,20672115.0
TQBR,2014-10-27,1031.0,50518,50222900.0
TQBR,2014-10-28,1040.0,143014,153944028.0
TQBR,2014-10-29,1059.0,70839,75709995.0
TQBR,2014-10-30,1165.0,307485,346411809.0
TQBR,2014-10-31,1326.0,359719,450492332.0
TQBR,2014-11-03,1350.0,129534,176090090.0
TQBR,2014-11-05,1334.0,103670,135414206.0
TQBR,2014-11-06,1300.0,72660,96264844.0
TQBR,2014-11-07,1260.0,57132,72352877.0
TQBR,2014-11-10,1343.0,81741,108583667.0
TQBR,2014-11-11,1312.0,41829,55595655.0
TQBR,2014-11-12,1355.0,55753,74279556.0
TQBR,2014-11-13,1340.0,55613,75735324.0
TQBR,2014-11-14,1317.0,43789,57558840.0
TQBR,2014-11-17,1308.0,8815,11545239.0
TQBR,2014-11-18,1365.0,65264,88453466.0
TQBR,2014-11-19,1399.0,87536,121359427.0
TQBR,2014-11-20,1407.0,52256,72504895.0
TQBR,2014-11-21,1403.0,31175,43608316.0
TQBR,2014-11-24,1394.0,37817,52839527.0
TQBR,2014-11-25,1373.0,26310,35891524.0
TQBR,2014-11-26,1338.0,30106,40303260.0
TQBR,2014-11-27,1299.0,31854,41712094.0
TQBR,2014-11-28,1255.0,36178,45845160.0
TQBR,2014-12-01,1219.0,52786,64569831.0
TQBR,2014-12-02,1227.0,47718,59701260.0
TQBR,2014-12-03,1258.0,40736,51122933.0
TQBR,2014-12-04,1269.0,75941,96016268.0
TQBR,2014-12-05,1244.0,60255,76270942.0
TQBR,2014-12-08,1155.0,58625,72569592.0
TQBR,2014-12-09,1082.0,86147,94863856.0
TQBR,2014-12-10,1144.0,69330,79618464.0
TQBR,2014-12-11,1235.0,169376,206889565.0
TQBR,2014-12-12,1425.0,256201,342457802.0
TQBR,2014-12-15,1282.0,238805,335549095.0
TQBR,2014-12-16,1201.0,267821,297143649.0
TQBR,2014-12-17,1240.0,110219,139974778.0
TQBR,2014-12-18,1302.0,129867,172201409.0
TQBR,2014-12-19,1273.0,78275,97055113.0
TQBR,2014-12-22,1235.0,38085,48095467.0
TQBR,2014-12-23,1241.0,16450,20043498.0
TQBR,2014-12-24,1268.0,40397,50785110.0
TQBR,2014-12-25,1276.0,62513,79790800.0
TQBR,2014-12-26,1265.0,11691,14837652.0
TQBR,2014-12-29,1239.0,48585,61298605.0
TQBR,2014-12-30,1250.0,52981,64245827.0
TQBR,2015-01-05,1245.0,6831,8509087.0
TQBR,2015-01-06,1241.0,5982,7405488.0
TQBR,2015-01-08,1281.0,74213,94939623.0
TQBR,2015-01-09,1291.0,30701,39431989.0
TQBR,2015-01-12,1270.0,21739,27458320.0
TQBR,2015-01-13,1262.0,36121,45395780.0
TQBR,2015-01-14,1273.0,26239,33269963.0
TQBR,2015-01-15,1302.0,120593,158582623.0
TQBR,2015-01-16,1320.0,30889,40715493.0
TQBR,2015-01-19,1450.0,170591,238142881.0
TQBR,2015-01-20,1426.0,57618,82010710.0
TQBR,2015-01-21,1458.0,53759,77586902.0
TQBR,2015-01-22,1531.0,135152,203157586.0
TQBR,2015-01-23,1550.0,116127,180460717.0
TQBR,2015-01-26,1475.0,113329,169504766.0
TQBR,2015-01-27,1475.0,71617,105709859.0
TQBR,2015-01-28,1485.0,75913,114796266.0
TQBR,2015-01-29,1445.0,65115,95155009.0
TQBR,2015-01-30,1497.0,50543,74503012.0
TQBR,2015-02-02,1560.0,191044,298196406.0
TQBR,2015-02-03,1605.0,71748,114276987.0
TQBR,2015-02-04,1610.0,64656,103451640.0
TQBR,2015-02-05,1599.0,77437,122462637.0
TQBR,2015-02-06,1648.0,133161,220553598.0
TQBR,2015-02-09,1689.0,70967,119851388.0
TQBR,2015-02-10,1710.0,53273,91393227.0
TQBR,2015-02-11,1700.0,51628,88014509.0
TQBR,2015-02-12,1705.0,45360,77463732.0
TQBR,2015-02-13,1778.0,120816,209131708.0
TQBR,2015-02-16,1776.0,65278,116827805.0
TQBR,2015-02-17,1684.0,107704,186376259.0
TQBR,2015-02-18,1675.0,52057,87955717.0
TQBR,2015-02-19,1650.0,44991,73655147.0
TQBR,2015-02-20,1655.0,23690,39229867.0
TQBR,2015-02-24,1620.0,27039,43949650.0
TQBR,2015-02-25,1619.0,32437,52111043.0
TQBR,2015-02-26,1658.0,54415,88446540.0
TQBR,2015-02-27,1670.0,30719,51126628.0
TQBR,2015-03-02,1669.0,19238,32276792.0
TQBR,2015-03-03,1692.0,24755,41448195.0
TQBR,2015-03-04,1660.0,41677,69933407.0
TQBR,2015-03-05,1750.0,163590,280358196.0
TQBR,2015-03-06,1795.0,78878,139250811.0
TQBR,2015-03-10,1772.0,58511,103853498.0
TQBR,2015-03-11,1746.0,50266,87274068.0
TQBR,2015-03-12,1760.0,82267,145088078.0
TQBR,2015-03-13,1753.0,29124,50979269.0
TQBR,2015-03-16,1725.0,22629,39305801.0
TQBR,2015-03-17,1749.0,40335,69800675.0
TQBR,2015-03-18,1829.0,53147,95118462.0
TQBR,2015-03-19,1793.0,73481,132232944.0
TQBR,2015-03-20,1912.0,619666,1166831742.0
TQBR,2015-03-23,1851.0,68328,126669808.0
TQBR,2015-03-24,1800.0,67410,121732367.0
TQBR,2015-03-25,1770.0,78112,137749987.0
TQBR,2015-03-26,1885.0,157973,286178143.0
TQBR,2015-03-27,1890.0,72020,132400832.0
TQBR,2015-03-30,1833.0,78943,145486326.0
TQBR,2015-03-31,1897.0,48464,90543082.0
TQBR,2015-04-01,1855.0,58297,108966712.0
TQBR,2015-04-02,1861.0,73640,136830477.0
TQBR,2015-04-03,1864.0,15444,28592858.0
TQBR,2015-04-06,1850.0,18225,33776504.0
TQBR,2015-04-07,1925.0,80398,154001107.0
TQBR,2015-04-08,1910.0,79532,151153433.0
TQBR,2015-04-09,1916.0,35314,67147575.0
TQBR,2015-04-10,1923.0,45051,86484395.0
TQBR,2015-04-13,1971.0,49383,97640227.0
TQBR,2015-04-14,1974.0,19676,38965517.0
TQBR,2015-04-15,2067.0,32480,65812783.0
TQBR,2015-04-16,2060.0,56736,117120933.0
TQBR,2015-04-17,2117.0,52782,109263462.0
TQBR,2015-04-20,2239.0,115614,255657179.0
TQBR,2015-04-21,2190.0,62680,140346448.0
TQBR,2015-04-22,2195.0,27099,58813238.0
TQBR,2015-04-23,2150.0,46338,99130310.0
TQBR,2015-04-24,2132.0,6120,13114422.0
TQBR,2015-04-27,2061.0,21104,44520221.0
TQBR,2015-04-28,2073.0,41735,85386520.0
TQBR,2015-04-29,2059.0,68245,141156009.0
TQBR,2015-04-30,2147.0,10057,21131766.0
TQBR,2015-05-05,2269.0,48797,107625245.0
TQBR,2015-05-06,2232.0,78000,180123358.0
TQBR,2015-05-07,2178.0,27091,59210996.0
TQBR,2015-05-08,2244.0,23891,53233012.0
TQBR,2015-05-12,2280.0,19916,45045612.0
TQBR,2015-05-13,2239.0,7400,16764054.0
TQBR,2015-05-14,2190.0,12639,27886695.0
TQBR,2015-05-15,2148.0,14749,31445311.0
TQBR,2015-05-18,2081.0,20420,43003024.0
TQBR,2015-05-19,2040.0,24367,49821049.0
TQBR,2015-05-20,1968.0,38600,76076853.0
TQBR,2015-05-21,2021.0,22123,44449371.0
TQBR,2015-05-22,2034.0,14062,28263656.0
TQBR,2015-05-25,2019.0,8562,17421070.0
TQBR,2015-05-26,2034.0,16266,33156057.0
TQBR,2015-05-27,2025.0,4795,9768674.0
TQBR,2015-05-28,1990.0,16525,33172083.0
TQBR,2015-05-29,2000.0,18774,37830558.0
TQBR,2015-06-01,2045.0,10296,21057661.0
TQBR,2015-06-02,2004.0,21580,43562439.0
TQBR,2015-06-03,1980.0,14340,28544564.0
TQBR,2015-06-04,1980.0,15391,30294244.0
TQBR,2015-06-05,1965.0,9704,19015337.0
TQBR,2015-06-08,1966.0,7748,15214931.0
TQBR,2015-06-09,1896.0,30594,58859727.0
TQBR,2015-06-10,1851.0,13304,24762874.0
TQBR,2015-06-11,1887.0,13274,24440278.0
TQBR,2015-06-15,1880.0,16296,30256606.0
TQBR,2015-06-16,1903.0,8314,15798431.0
TQBR,2015-06-17,1968.0,27903,53988872.0
TQBR,2015-06-18,1996.0,59504,119320133.0
TQBR,2015-06-19,1926.0,56812,113550672.0
TQBR,2015-06-22,1950.0,5322,10484791.0
TQBR,2015-06-23,1935.0,2429,4728831.0
TQBR,2015-06-24,1927.0,13766,26727200.0
TQBR,2015-06-25,1889.0,7534,14321790.0
TQBR,2015-06-26,1890.0,9351,17897416.0
TQBR,2015-06-29,1903.0,10710,20365291.0
TQBR,2015-06-30,1907.0,4915,9303891.0
TQBR,2015-07-01,1931.0,7026,13422886.0
TQBR,2015-07-02,1908.0,5794,11134895.0
TQBR,2015-07-03,1901.0,2725,5172639.0
TQBR,2015-07-06,1910.0,14357,27095134.0
TQBR,2015-07-07,1865.0,57803,108601747.0
TQBR,2015-07-08,1869.0,52878,98454424.0
TQBR,2015-07-09,1900.0,2312,4377203.0
TQBR,2015-07-10,1875.0,20200,38090348.0
TQBR,2015-07-13,1900.0,14247,26868564.0
TQBR,2015-07-14,1872.0,36292,68139421.0
TQBR,2015-07-15,1929.0,26163,49410034.0
TQBR,2015-07-16,1869.0,21064,39334328.0
TQBR,2015-07-17,1881.0,20419,38387286.0
TQBR,2015-07-20,1886.0,20026,38015636.0
TQBR,2015-07-21,1889.0,7939,15055238.0
TQBR,2015-07-22,1885.0,25329,47818985.0
TQBR,2015-07-23,1888.0,7484,14127339.0
TQBR,2015-07-24,1895.0,24613,46466996.0
TQBR,2015-07-27,1888.0,7460,14082412.0
TQBR,2015-07-28,1857.0,19025,35427141.0
TQBR,2015-07-29,1867.0,3523,6561600.0
TQBR,2015-07-30,1875.0,8477,15879206.0
TQBR,2015-07-31,1900.0,9490,17936788.0
TQBR,2015-08-03,1900.0,10278,19499834.0
TQBR,2015-08-04,1894.0,23961,45388048.0
TQBR,2015-08-05,1895.0,14484,27503877.0
TQBR,2015-08-06,1917.0,9064,17293986.0
TQBR,2015-08-07,1906.0,5525,10544488.0
TQBR,2015-08-10,1900.0,2902,5499089.0
TQBR,2015-08-11,1890.0,10180,19373808.0
