BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,4.57,13000,57974
TQBR,2014-06-10,4.449,114000,506825
TQBR,2014-06-11,4.432,48000,214084
TQBR,2014-06-16,4.689,167000,766067
TQBR,2014-06-17,4.655,12000,55898
TQBR,2014-06-18,4.795,110000,519489
TQBR,2014-06-19,4.578,99000,436281
TQBR,2014-06-20,4.39,6000,26657
TQBR,2014-06-23,4.3,10000,42132
TQBR,2014-06-24,4.35,34000,146006
TQBR,2014-06-25,,0,0
TQBR,2014-06-26,4.386,20000,84377
TQBR,2014-06-27,4.542,10000,44399
TQBR,2014-06-30,4.104,66000,277646
TQBR,2014-07-01,4.499,8000,34647
TQBR,2014-07-02,4.246,9000,37852
TQBR,2014-07-03,4.211,7000,29741
TQBR,2014-07-04,4.2,8000,34645
TQBR,2014-07-07,4.399,39000,160412
TQBR,2014-07-08,4.27,4000,16870
TQBR,2014-07-09,4.39,2000,8780
TQBR,2014-07-10,4.399,34000,142822
TQBR,2014-07-11,4.33,8000,33979
TQBR,2014-07-14,4.2,2000,8800
TQBR,2014-07-15,,0,0
TQBR,2014-07-16,,0,0
TQBR,2014-07-17,,0,0
TQBR,2014-07-18,,0,0
TQBR,2014-07-21,4.3,1000,4300
TQBR,2014-07-22,4.349,2000,8698
TQBR,2014-07-23,,0,0
TQBR,2014-07-24,4.27,1000,4270
TQBR,2014-07-25,4.6,1000,4600
TQBR,2014-07-28,4.395,9000,37790
TQBR,2014-07-29,4.392,32000,133431
TQBR,2014-07-30,,0,0
TQBR,2014-07-31,,0,0
TQBR,2014-08-01,4.476,4000,17698
TQBR,2014-08-04,4.47,2000,8607
TQBR,2014-08-05,4.484,1000,4484
TQBR,2014-08-06,,0,0
TQBR,2014-08-07,4.101,4000,16461
TQBR,2014-08-08,4.101,3000,12322
TQBR,2014-08-11,4.45,1000,4450
TQBR,2014-08-12,,0,0
TQBR,2014-08-13,,0,0
TQBR,2014-08-14,4.32,3000,12826
TQBR,2014-08-15,4.489,1000,4489
TQBR,2014-08-18,4.484,9000,38663
TQBR,2014-08-19,4.491,74000,313054
TQBR,2014-08-20,,0,0
TQBR,2014-08-21,4.499,22000,98177
TQBR,2014-08-22,4.499,23000,99103
TQBR,2014-08-25,,0,0
TQBR,2014-08-26,4.3,15000,63779
TQBR,2014-08-27,4.3,5000,22100
TQBR,2014-08-28,4.151,3000,12406
TQBR,2014-08-29,4.589,42000,175530
TQBR,2014-09-01,,0,0
TQBR,2014-09-02,,0,0
TQBR,2014-09-03,4.299,15000,64496
TQBR,2014-09-04,4.444,1000,4444
TQBR,2014-09-05,4.2,29000,123299
TQBR,2014-09-08,4.2,2000,8400
TQBR,2014-09-09,4.2,15000,63000
TQBR,2014-09-10,4.3,1000,4300
TQBR,2014-09-11,4.499,5000,22593
TQBR,2014-09-12,4.15,259000,1041164
TQBR,2014-09-15,4.2,13000,53452
TQBR,2014-09-16,,0,0
TQBR,2014-09-17,4.2,3000,12427
TQBR,2014-09-18,,0,0
TQBR,2014-09-19,4.269,1000,4269
TQBR,2014-09-22,4.248,3000,12746
TQBR,2014-09-23,,0,0
TQBR,2014-09-24,,0,0
TQBR,2014-09-25,,0,0
TQBR,2014-09-26,4.1,36000,149395
TQBR,2014-09-29,4.28,22000,90389
TQBR,2014-09-30,4.08,1000,4080
TQBR,2014-10-01,4.0,137000,546990
TQBR,2014-10-02,4.0,4000,16000
TQBR,2014-10-03,4.0,10000,40000
TQBR,2014-10-06,4.0,23000,92000
TQBR,2014-10-07,3.9,26000,101520
TQBR,2014-10-08,,0,0
TQBR,2014-10-09,,0,0
TQBR,2014-10-10,,0,0
TQBR,2014-10-13,3.9,14000,54600
TQBR,2014-10-14,,0,0
TQBR,2014-10-15,3.99,2000,7980
TQBR,2014-10-16,,0,0
TQBR,2014-10-17,3.98,9000,35020
TQBR,2014-10-20,,0,0
TQBR,2014-10-21,,0,0
TQBR,2014-10-22,4.0,1000,4000
TQBR,2014-10-23,,0,0
TQBR,2014-10-24,3.88,30000,112720
TQBR,2014-10-27,3.7,81000,300300
TQBR,2014-10-28,4.06,1000,4060
TQBR,2014-10-29,3.79,4000,15980
TQBR,2014-10-30,,0,0
TQBR,2014-10-31,3.8,7000,26600
TQBR,2014-11-03,,0,0
TQBR,2014-11-05,3.92,8000,31510
TQBR,2014-11-06,3.96,14000,53290
TQBR,2014-11-07,,0,0
TQBR,2014-11-10,3.93,9000,35350
TQBR,2014-11-11,,0,0
TQBR,2014-11-12,4.08,2000,8160
TQBR,2014-11-13,,0,0
TQBR,2014-11-14,,0,0
TQBR,2014-11-17,,0,0
TQBR,2014-11-18,4.09,6000,24490
TQBR,2014-11-19,3.9,1000,3900
TQBR,2014-11-20,4.01,11000,44740
TQBR,2014-11-21,4.29,1000,4290
TQBR,2014-11-24,4.18,4000,16040
TQBR,2014-11-25,3.98,3000,12260
TQBR,2014-11-26,,0,0
TQBR,2014-11-27,4.19,2000,8380
TQBR,2014-11-28,,0,0
TQBR,2014-12-01,4.19,4000,16690
TQBR,2014-12-02,4.01,1000,4010
TQBR,2014-12-03,4.32,4000,16680
TQBR,2014-12-04,4.2,6000,25200
TQBR,2014-12-05,,0,0
TQBR,2014-12-08,,0,0
TQBR,2014-12-09,4.0,1000,4000
TQBR,2014-12-10,,0,0
TQBR,2014-12-11,3.8,13000,51020
TQBR,2014-12-12,4.04,1000,4040
TQBR,2014-12-15,,0,0
TQBR,2014-12-16,3.62,22000,80370
TQBR,2014-12-17,3.82,21000,74830
TQBR,2014-12-18,3.85,11000,42400
TQBR,2014-12-19,3.64,2000,7520
TQBR,2014-12-22,3.97,3000,11810
TQBR,2014-12-23,3.92,11000,43680
TQBR,2014-12-24,3.85,2000,7700
TQBR,2014-12-25,,0,0
TQBR,2014-12-26,3.73,5000,19170
TQBR,2014-12-29,,0,0
TQBR,2014-12-30,,0,0
TQBR,2015-01-05,,0,0
TQBR,2015-01-06,3.91,1000,3910
TQBR,2015-01-08,,0,0
TQBR,2015-01-09,3.9,6000,23360
TQBR,2015-01-12,3.69,3000,11080
TQBR,2015-01-13,,0,0
TQBR,2015-01-14,3.8,6000,22840
TQBR,2015-01-15,,0,0
TQBR,2015-01-16,3.8,2000,7690
TQBR,2015-01-19,,0,0
TQBR,2015-01-20,3.99,2000,7970
TQBR,2015-01-21,,0,0
TQBR,2015-01-22,4.04,20000,80240
TQBR,2015-01-23,,0,0
TQBR,2015-01-26,4.17,1000,4170
TQBR,2015-01-27,,0,0
TQBR,2015-01-28,4.13,1000,4130
TQBR,2015-01-29,4.2,1000,4200
TQBR,2015-01-30,4.0,3000,11940
TQBR,2015-02-02,4.01,1000,4010
TQBR,2015-02-03,,0,0
TQBR,2015-02-04,,0,0
TQBR,2015-02-05,,0,0
TQBR,2015-02-06,4.25,2000,8490
TQBR,2015-02-09,,0,0
TQBR,2015-02-10,4.43,13000,56020
TQBR,2015-02-11,,0,0
TQBR,2015-02-12,4.38,78000,317000
TQBR,2015-02-13,,0,0
TQBR,2015-02-16,,0,0
TQBR,2015-02-17,4.29,2000,8410
TQBR,2015-02-18,4.1,38000,165990
TQBR,2015-02-19,4.05,25000,101640
TQBR,2015-02-20,4.2,2000,8400
TQBR,2015-02-24,4.04,14000,57260
TQBR,2015-02-25,4.05,1000,4050
TQBR,2015-02-26,,0,0
TQBR,2015-02-27,4.34,7000,29790
TQBR,2015-03-02,4.44,4000,17010
TQBR,2015-03-03,4.3,3000,12900
TQBR,2015-03-04,4.3,1000,4300
TQBR,2015-03-05,4.11,34000,144460
TQBR,2015-03-06,,0,0
TQBR,2015-03-10,,0,0
TQBR,2015-03-11,4.48,60000,269070
TQBR,2015-03-12,,0,0
TQBR,2015-03-13,,0,0
TQBR,2015-03-16,,0,0
TQBR,2015-03-17,,0,0
TQBR,2015-03-18,,0,0
TQBR,2015-03-19,,0,0
TQBR,2015-03-20,4.4,1000,4400
TQBR,2015-03-23,,0,0
TQBR,2015-03-24,,0,0
TQBR,2015-03-25,4.4,1000,4400
TQBR,2015-03-26,,0,0
TQBR,2015-03-27,,0,0
TQBR,2015-03-30,,0,0
TQBR,2015-03-31,,0,0
TQBR,2015-04-01,,0,0
TQBR,2015-04-02,,0,0
TQBR,2015-04-03,,0,0
TQBR,2015-04-06,,0,0
TQBR,2015-04-07,,0,0
TQBR,2015-04-08,4.75,6000,28340
TQBR,2015-04-09,4.75,155000,733290
TQBR,2015-04-10,4.4,138000,601460
TQBR,2015-04-13,,0,0
TQBR,2015-04-14,4.15,11000,45830
TQBR,2015-04-15,,0,0
TQBR,2015-04-16,,0,0
TQBR,2015-04-17,,0,0
TQBR,2015-04-20,4.25,24000,103040
TQBR,2015-04-21,4.2,1000,4200
TQBR,2015-04-22,,0,0
TQBR,2015-04-23,,0,0
TQBR,2015-04-24,4.2,5000,20800
TQBR,2015-04-27,,0,0
TQBR,2015-04-28,4.45,1000,4450
TQBR,2015-04-29,,0,0
TQBR,2015-04-30,,0,0
TQBR,2015-05-05,,0,0
TQBR,2015-05-06,,0,0
TQBR,2015-05-07,,0,0
TQBR,2015-05-08,,0,0
TQBR,2015-05-12,,0,0
TQBR,2015-05-13,,0,0
TQBR,2015-05-14,,0,0
TQBR,2015-05-15,4.69,8000,33690
TQBR,2015-05-18,,0,0
TQBR,2015-05-19,,0,0
TQBR,2015-05-20,4.19,11000,44460
TQBR,2015-05-21,4.25,3000,12700
TQBR,2015-05-22,,0,0
TQBR,2015-05-25,4.14,6000,24760
TQBR,2015-05-26,4.11,26000,106820
TQBR,2015-05-27,4.15,6000,24680
TQBR,2015-05-28,4.18,1000,4180
TQBR,2015-05-29,4.0,40000,160790
TQBR,2015-06-01,3.89,11000,43450
TQBR,2015-06-02,3.99,13000,52210
TQBR,2015-06-03,4.06,101000,404060
TQBR,2015-06-04,,0,0
TQBR,2015-06-05,4.08,1000,4080
TQBR,2015-06-08,4.01,5000,19880
TQBR,2015-06-09,4.14,1000,4140
TQBR,2015-06-10,,0,0
TQBR,2015-06-11,4.35,9000,38280
TQBR,2015-06-15,4.22,3000,12380
TQBR,2015-06-16,4.27,15000,63890
TQBR,2015-06-17,,0,0
TQBR,2015-06-18,4.25,33000,136780
TQBR,2015-06-19,3.99,28000,110960
TQBR,2015-06-22,4.18,6000,24990
TQBR,2015-06-23,4.14,2000,8190
TQBR,2015-06-24,4.11,4000,16240
TQBR,2015-06-25,4.0,3000,12020
TQBR,2015-06-26,3.9,5000,19560
TQBR,2015-06-29,,0,0
TQBR,2015-06-30,,0,0
TQBR,2015-07-01,,0,0
TQBR,2015-07-02,,0,0
TQBR,2015-07-03,4.06,3000,12120
TQBR,2015-07-06,,0,0
TQBR,2015-07-07,3.83,6000,23120
TQBR,2015-07-08,,0,0
TQBR,2015-07-09,3.98,2000,7950
TQBR,2015-07-10,3.98,10000,39800
TQBR,2015-07-13,,0,0
TQBR,2015-07-14,3.8,4000,15270
TQBR,2015-07-15,3.9,17000,64460
TQBR,2015-07-16,3.83,236000,903880
TQBR,2015-07-17,3.96,1000,3960
TQBR,2015-07-20,3.8,1000,3800
TQBR,2015-07-21,,0,0
TQBR,2015-07-22,3.85,4000,15400
TQBR,2015-07-23,,0,0
TQBR,2015-07-24,,0,0
TQBR,2015-07-27,,0,0
TQBR,2015-07-28,,0,0
TQBR,2015-07-29,,0,0
TQBR,2015-07-30,,0,0
TQBR,2015-07-31,3.82,9000,34380
TQBR,2015-08-03,3.9,4000,15580
TQBR,2015-08-04,3.91,11000,42880
TQBR,2015-08-05,,0,0
TQBR,2015-08-06,3.95,43000,168700
TQBR,2015-08-07,3.7,57000,215030
TQBR,2015-08-10,3.77,287000,1088410
TQBR,2015-08-11,3.75,18000,68270
TQBR,2015-08-12,3.79,27000,101440
TQBR,2015-08-13,3.77,10000,38270
TQBR,2015-08-14,4.14,176000,725310
TQBR,2015-08-17,4.0,427000,1678120
TQBR,2015-08-18,4.0,25000,99880
TQBR,2015-08-19,3.95,46000,183920
TQBR,2015-08-20,3.93,7000,27860
TQBR,2015-08-21,3.98,9000,35700
TQBR,2015-08-24,3.88,65000,247890
TQBR,2015-08-25,3.93,270000,1048360
TQBR,2015-08-26,3.93,14000,54970
TQBR,2015-08-27,3.99,36000,143930
TQBR,2015-08-28,3.95,7000,27660
TQBR,2015-08-31,,0,0
TQBR,2015-09-01,,0,0
TQBR,2015-09-02,,0,0
TQBR,2015-09-03,3.95,80000,302370
TQBR,2015-09-04,4.0,39000,155720
TQBR,2015-09-07,3.85,54000,205950
TQBR,2015-09-08,3.9,5000,19440
TQBR,2015-09-09,,0,0
TQBR,2015-09-10,3.89,21000,80240
TQBR,2015-09-11,3.95,2000,7890
TQBR,2015-09-14,3.9,3000,11790
TQBR,2015-09-15,3.9,203000,788820
TQBR,2015-09-16,3.93,1000,3930
TQBR,2015-09-17,3.83,13000,49900
TQBR,2015-09-18,3.93,1000,3930
TQBR,2015-09-21,,0,0
TQBR,2015-09-22,3.88,11000,42000
TQBR,2015-09-23,3.88,5000,19240
TQBR,2015-09-24,3.81,1000,3810
TQBR,2015-09-25,3.85,4000,15360
TQBR,2015-09-28,3.82,3000,11490
TQBR,2015-09-29,3.84,17000,64860
TQBR,2015-09-30,3.81,1000,3810
TQBR,2015-10-01,3.89,6000,23230
TQBR,2015-10-02,3.85,71000,273400
TQBR,2015-10-05,,0,0
TQBR,2015-10-06,3.83,1000,3830
TQBR,2015-10-07,3.85,21000,80060
TQBR,2015-10-08,3.9,5000,19410
TQBR,2015-10-09,3.9,5000,19480
TQBR,2015-10-12,3.94,1000,3940
TQBR,2015-10-13,3.88,1000,3880
TQBR,2015-10-14,3.94,8000,31290
TQBR,2015-10-15,3.9,2000,7840
TQBR,2015-10-16,4.0,19000,75950
TQBR,2015-10-19,,0,0
TQBR,2015-10-20,,0,0
TQBR,2015-10-21,,0,0
TQBR,2015-10-22,,0,0
TQBR,2015-10-23,4.1,8000,32740
TQBR,2015-10-26,3.88,4000,15580
TQBR,2015-10-27,3.96,4000,15500
TQBR,2015-10-28,,0,0
TQBR,2015-10-29,3.95,1000,3950
TQBR,2015-10-30,,0,0
TQBR,2015-11-02,4.0,5000,19980
TQBR,2015-11-03,3.99,17000,67550
TQBR,2015-11-05,4.04,2000,8040
TQBR,2015-11-06,,0,0
TQBR,2015-11-09,4.01,14000,56120
TQBR,2015-11-10,4.0,12000,47500
TQBR,2015-11-11,4.0,45000,182180
TQBR,2015-11-12,3.93,73000,288950
TQBR,2015-11-13,3.93,10000,39370
TQBR,2015-11-16,3.96,4000,15950
TQBR,2015-11-17,4.13,19000,77290
TQBR,2015-11-18,4.21,32000,136910
