BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,3.318,124500,414997.4
TQBR,2014-06-10,3.388,153200,509237.8
TQBR,2014-06-11,3.432,88300,299826.1
TQBR,2014-06-16,3.52,563000,2003421.4
TQBR,2014-06-17,3.594,136200,491585.4
TQBR,2014-06-18,3.48,184000,650590.2
TQBR,2014-06-19,3.465,93100,324780.3
TQBR,2014-06-20,3.457,34700,115482.3
TQBR,2014-06-23,3.405,514400,1749001.6
TQBR,2014-06-24,3.414,58700,199600.6
TQBR,2014-06-25,3.36,72100,241986.1
TQBR,2014-06-26,3.298,102900,339386.9
TQBR,2014-06-27,3.149,344500,1108190.8
TQBR,2014-06-30,3.179,496900,1587343.4
TQBR,2014-07-01,3.22,88200,280916.2
TQBR,2014-07-02,3.125,171600,541862.2
TQBR,2014-07-03,3.169,48100,149931.0
TQBR,2014-07-04,3.15,67100,212751.7
TQBR,2014-07-07,3.15,143700,451827.1
TQBR,2014-07-08,3.13,78000,243804.5
TQBR,2014-07-09,3.139,32600,101069.5
TQBR,2014-07-10,3.079,58300,177715.6
TQBR,2014-07-11,2.998,100800,303409.9
TQBR,2014-07-14,2.976,55600,166432.3
TQBR,2014-07-15,2.974,18100,53589.5
TQBR,2014-07-16,2.991,21800,64499.3
TQBR,2014-07-17,2.97,40800,120500.6
TQBR,2014-07-18,2.899,110900,322311.0
TQBR,2014-07-21,2.888,70700,204910.0
TQBR,2014-07-22,2.865,140200,400898.1
TQBR,2014-07-23,2.899,20500,59416.2
TQBR,2014-07-24,2.862,15400,44167.7
TQBR,2014-07-25,2.859,21500,61453.0
TQBR,2014-07-28,2.85,4000,11433.3
TQBR,2014-07-29,2.895,30300,85200.7
TQBR,2014-07-30,2.799,180600,510852.1
TQBR,2014-07-31,2.899,90900,257914.9
TQBR,2014-08-01,2.844,103600,280353.7
TQBR,2014-08-04,2.8,56000,156212.5
TQBR,2014-08-05,2.766,19600,54540.6
TQBR,2014-08-06,2.78,23500,65254.4
TQBR,2014-08-07,2.707,21300,57280.6
TQBR,2014-08-08,2.7,31900,86360.6
TQBR,2014-08-11,2.72,84200,230200.6
TQBR,2014-08-12,2.744,33400,91009.4
TQBR,2014-08-13,2.79,113300,317157.0
TQBR,2014-08-14,2.72,116400,320804.7
TQBR,2014-08-15,2.768,50600,139495.2
TQBR,2014-08-18,2.72,40300,110190.1
TQBR,2014-08-19,2.8,299300,831356.6
TQBR,2014-08-20,2.851,484400,1432338.6
TQBR,2014-08-21,2.833,178100,508321.9
TQBR,2014-08-22,2.827,151000,424457.7
TQBR,2014-08-25,2.85,14200,40774.8
TQBR,2014-08-26,2.85,22300,63942.2
TQBR,2014-08-27,2.88,48200,138288.9
TQBR,2014-08-28,2.85,70200,199175.4
TQBR,2014-08-29,2.824,58200,163394.3
TQBR,2014-09-01,2.82,78200,222183.0
TQBR,2014-09-02,2.803,40400,113388.1
TQBR,2014-09-03,2.88,159000,450523.8
TQBR,2014-09-04,2.927,439200,1242094.6
TQBR,2014-09-05,2.904,35900,102528.3
TQBR,2014-09-08,2.889,70800,203708.7
TQBR,2014-09-09,2.851,1053300,3053596.7
TQBR,2014-09-10,2.865,20000,57721.1
TQBR,2014-09-11,2.805,15800,45067.7
TQBR,2014-09-12,2.809,24300,67861.0
TQBR,2014-09-15,2.808,7600,21230.3
TQBR,2014-09-16,2.85,39100,110641.2
TQBR,2014-09-17,2.78,45200,125132.7
TQBR,2014-09-18,2.784,8000,22217.2
TQBR,2014-09-19,2.758,43900,122017.5
TQBR,2014-09-22,2.79,1200,3352.7
TQBR,2014-09-23,2.755,152300,410591.9
TQBR,2014-09-24,2.809,55500,151396.3
TQBR,2014-09-25,2.733,12700,35280.1
TQBR,2014-09-26,2.735,17300,47327.9
TQBR,2014-09-29,2.811,153100,430579.5
TQBR,2014-09-30,2.845,27400,77397.1
TQBR,2014-10-01,3.12,1062200,3215059.0
TQBR,2014-10-02,2.93,156000,460895.0
TQBR,2014-10-03,3.01,1231000,3801706.0
TQBR,2014-10-06,2.95,175900,523740.5
TQBR,2014-10-07,2.915,184100,532544.5
TQBR,2014-10-08,2.99,223500,660462.5
TQBR,2014-10-09,2.925,32800,96781.5
TQBR,2014-10-10,2.815,197400,554348.0
TQBR,2014-10-13,2.87,137900,395043.0
TQBR,2014-10-14,2.88,154900,441961.5
TQBR,2014-10-15,2.89,162500,483892.5
TQBR,2014-10-16,2.825,336800,946029.5
TQBR,2014-10-17,2.845,31200,89039.5
TQBR,2014-10-20,2.9,47700,136193.0
TQBR,2014-10-21,2.85,115600,326636.5
TQBR,2014-10-22,2.805,9000,25472.0
TQBR,2014-10-23,2.83,60300,170142.0
TQBR,2014-10-24,2.86,126300,362864.5
TQBR,2014-10-27,2.86,429000,1252894.0
TQBR,2014-10-28,2.96,124200,371804.0
TQBR,2014-10-29,3.0,415400,1228018.0
TQBR,2014-10-30,3.09,291400,883900.0
TQBR,2014-10-31,3.06,62700,189829.0
TQBR,2014-11-03,3.265,461400,1481898.0
TQBR,2014-11-05,4.19,2098200,8081482.0
TQBR,2014-11-06,3.85,1170500,4757160.0
TQBR,2014-11-07,4.11,2140800,8907261.0
TQBR,2014-11-10,4.245,714300,2997614.5
TQBR,2014-11-11,4.195,181400,747134.5
TQBR,2014-11-12,4.395,1394300,6047165.0
TQBR,2014-11-13,4.3,453700,2016001.5
TQBR,2014-11-14,4.48,738400,3345402.5
TQBR,2014-11-17,4.365,1006600,4520518.5
TQBR,2014-11-18,4.3,1300400,5749480.5
TQBR,2014-11-19,4.435,656200,2883062.0
TQBR,2014-11-20,4.8,976700,4631803.0
TQBR,2014-11-21,4.85,286500,1387411.0
TQBR,2014-11-24,4.87,2124000,10393135.0
TQBR,2014-11-25,5.1,1070200,5402757.5
TQBR,2014-11-26,5.25,454400,2351733.5
TQBR,2014-11-27,5.3,669300,3495680.5
TQBR,2014-11-28,5.2,405600,2093274.0
TQBR,2014-12-01,5.185,470100,2425980.5
TQBR,2014-12-02,5.655,732600,3906534.0
TQBR,2014-12-03,5.8,389300,2229614.5
TQBR,2014-12-04,6.005,1229400,7292498.5
TQBR,2014-12-05,5.295,335800,1925275.5
TQBR,2014-12-08,5.05,727700,3813286.0
TQBR,2014-12-09,4.77,1038200,4807046.5
TQBR,2014-12-10,4.77,619000,3017757.5
TQBR,2014-12-11,4.65,1003700,4713342.5
TQBR,2014-12-12,4.4,2789300,12307897.5
TQBR,2014-12-15,4.25,876200,3884151.0
TQBR,2014-12-16,3.245,1039100,3795840.5
TQBR,2014-12-17,3.6,568400,1872624.0
TQBR,2014-12-18,3.2,2521000,8366602.0
TQBR,2014-12-19,3.725,1845500,6818106.5
TQBR,2014-12-22,3.85,772400,3011057.5
TQBR,2014-12-23,3.58,609300,2152340.5
TQBR,2014-12-24,3.41,557300,1913114.5
TQBR,2014-12-25,3.51,460800,1546318.0
TQBR,2014-12-26,3.38,688600,2354479.0
TQBR,2014-12-29,3.295,795000,2680435.0
TQBR,2014-12-30,3.365,1180100,3710433.5
TQBR,2015-01-05,3.25,327300,1061212.0
TQBR,2015-01-06,3.39,1303700,4356053.0
TQBR,2015-01-08,3.52,829200,2893383.0
TQBR,2015-01-09,3.515,303400,1042337.5
TQBR,2015-01-12,3.42,84800,289446.5
TQBR,2015-01-13,3.44,250700,847547.0
TQBR,2015-01-14,3.415,182400,618451.5
TQBR,2015-01-15,3.45,325700,1153740.5
TQBR,2015-01-16,3.475,217000,753544.5
TQBR,2015-01-19,3.5,86000,297162.5
TQBR,2015-01-20,3.51,93300,328012.0
TQBR,2015-01-21,3.48,114800,397870.0
TQBR,2015-01-22,3.665,969000,3508207.5
TQBR,2015-01-23,3.57,1358000,5055171.5
TQBR,2015-01-26,3.5,642300,2227308.0
TQBR,2015-01-27,3.7,844300,3082345.5
TQBR,2015-01-28,3.72,786300,3012154.5
TQBR,2015-01-29,3.74,580000,2206713.0
TQBR,2015-01-30,3.995,857900,3326716.0
TQBR,2015-02-02,3.975,925300,3750174.5
TQBR,2015-02-03,3.88,429800,1688821.0
TQBR,2015-02-04,3.9,341000,1308219.0
TQBR,2015-02-05,4.05,798800,3157253.5
TQBR,2015-02-06,4.165,1320300,5382583.0
TQBR,2015-02-09,4.115,939400,3862671.5
TQBR,2015-02-10,4.06,408000,1630119.5
TQBR,2015-02-11,3.97,1117100,4378714.0
TQBR,2015-02-12,3.935,592800,2307983.5
TQBR,2015-02-13,4.05,1009300,4113615.0
TQBR,2015-02-16,4.365,1533500,6591305.0
TQBR,2015-02-17,4.335,1354500,5809101.0
TQBR,2015-02-18,4.47,742400,3358837.0
TQBR,2015-02-19,4.4,771500,3486104.0
TQBR,2015-02-20,4.435,511100,2240325.0
TQBR,2015-02-24,4.505,567000,2511046.5
TQBR,2015-02-25,4.365,212900,938244.5
TQBR,2015-02-26,4.635,629700,2859742.5
TQBR,2015-02-27,4.64,923000,4321126.5
TQBR,2015-03-02,4.765,574300,2713496.5
TQBR,2015-03-03,5.2,1746500,8785723.5
TQBR,2015-03-04,4.95,1369000,7135834.5
TQBR,2015-03-05,5.09,722500,3575663.0
TQBR,2015-03-06,4.875,363600,1801524.5
TQBR,2015-03-10,4.455,1513600,6805933.5
TQBR,2015-03-11,4.56,836000,3729312.5
TQBR,2015-03-12,4.2,2135400,9248539.5
TQBR,2015-03-13,3.9,1416600,5745902.5
