BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,38.5,12720,490141.7
TQBR,2014-06-10,38.79,59220,2295639.7
TQBR,2014-06-11,39.49,132150,5152521.1
TQBR,2014-06-16,40.39,86620,3438277.4
TQBR,2014-06-17,40.0,111570,4465415.6
TQBR,2014-06-18,40.05,34610,1384926.3
TQBR,2014-06-19,40.25,20650,832692.5
TQBR,2014-06-20,40.11,5360,215134.1
TQBR,2014-06-23,40.05,5180,207322.6
TQBR,2014-06-24,40.39,3240,130687.6
TQBR,2014-06-25,40.1,17160,686983.5
TQBR,2014-06-26,39.0,34120,1340502.4
TQBR,2014-06-27,38.01,47820,1847150.5
TQBR,2014-06-30,38.59,41660,1590325.3
TQBR,2014-07-01,39.2,3260,127757.9
TQBR,2014-07-02,38.85,18570,717560.4
TQBR,2014-07-03,38.9,8870,340171.2
TQBR,2014-07-04,39.35,19970,789918.7
TQBR,2014-07-07,39.29,2970,116672.9
TQBR,2014-07-08,39.23,17040,659812.3
TQBR,2014-07-09,38.79,6240,241288.7
TQBR,2014-07-10,38.0,13970,535838.0
TQBR,2014-07-11,37.95,2820,106943.8
TQBR,2014-07-14,37.1,11680,435177.6
TQBR,2014-07-15,36.24,40520,1479644.7
TQBR,2014-07-16,35.49,34490,1233291.7
TQBR,2014-07-17,35.0,82960,2878340.5
TQBR,2014-07-18,33.63,79630,2679406.1
TQBR,2014-07-21,32.91,29200,967122.8
TQBR,2014-07-22,34.02,84100,2841652.0
TQBR,2014-07-23,34.22,61060,2089456.7
TQBR,2014-07-24,33.9,12770,434079.5
TQBR,2014-07-25,34.01,120120,4086404.3
TQBR,2014-07-28,33.15,6610,219330.5
TQBR,2014-07-29,33.4,24230,807501.4
TQBR,2014-07-30,33.78,18080,608923.4
TQBR,2014-07-31,34.01,74430,2527804.4
TQBR,2014-08-01,35.0,130250,4478958.0
TQBR,2014-08-04,34.9,63720,2222463.9
TQBR,2014-08-05,34.35,23960,818227.5
TQBR,2014-08-06,33.9,92840,3164974.7
TQBR,2014-08-07,32.7,41590,1356230.8
TQBR,2014-08-08,33.15,42160,1387163.1
TQBR,2014-08-11,33.44,37840,1265830.2
TQBR,2014-08-12,33.33,42330,1413148.4
TQBR,2014-08-13,33.52,46520,1560663.7
TQBR,2014-08-14,33.81,31630,1066557.0
TQBR,2014-08-15,33.98,8790,297992.6
TQBR,2014-08-18,33.65,16370,550760.3
TQBR,2014-08-19,34.16,15940,540847.4
TQBR,2014-08-20,35.52,40240,1412227.6
TQBR,2014-08-21,34.46,106800,3728293.4
TQBR,2014-08-22,34.93,17600,607688.4
TQBR,2014-08-25,35.0,10780,376706.9
TQBR,2014-08-26,34.66,22030,766035.7
TQBR,2014-08-27,34.21,16200,560762.4
TQBR,2014-08-28,33.81,8320,283645.8
TQBR,2014-08-29,33.59,28670,960890.0
TQBR,2014-09-01,32.99,23490,781259.0
TQBR,2014-09-02,33.21,17590,579605.9
TQBR,2014-09-03,34.0,17200,581021.8
TQBR,2014-09-04,34.4,34410,1177308.1
TQBR,2014-09-05,34.01,43320,1483318.7
TQBR,2014-09-08,34.0,79960,2719211.9
TQBR,2014-09-09,34.17,141710,4818943.5
TQBR,2014-09-10,33.52,29830,1010152.5
TQBR,2014-09-11,32.71,70910,2347504.4
TQBR,2014-09-12,32.56,59070,1921992.4
TQBR,2014-09-15,31.15,83150,2645407.5
TQBR,2014-09-16,31.65,116370,3666031.2
TQBR,2014-09-17,31.45,39120,1225576.0
TQBR,2014-09-18,31.39,34570,1081538.8
TQBR,2014-09-19,31.12,32350,1004800.2
TQBR,2014-09-22,30.23,105350,3283820.5
TQBR,2014-09-23,30.8,35810,1101669.4
TQBR,2014-09-24,32.19,77220,2453702.5
TQBR,2014-09-25,33.34,105900,3520159.9
TQBR,2014-09-26,33.1,17330,575173.6
TQBR,2014-09-29,31.4,63960,2038915.6
TQBR,2014-09-30,31.5,82200,2587516.8
TQBR,2014-10-01,31.35,11720,366777.5
TQBR,2014-10-02,30.6,41240,1260804.0
TQBR,2014-10-03,30.55,22330,685559.5
TQBR,2014-10-06,30.65,205050,6282346.0
TQBR,2014-10-07,30.85,16330,500434.0
TQBR,2014-10-08,30.6,59940,1836367.5
TQBR,2014-10-09,30.85,22810,704750.5
TQBR,2014-10-10,30.45,59700,1827137.5
TQBR,2014-10-13,30.95,44840,1380802.5
TQBR,2014-10-14,31.05,17120,529747.0
TQBR,2014-10-15,30.9,30640,950043.5
TQBR,2014-10-16,30.85,41340,1271847.5
TQBR,2014-10-17,31.05,53350,1664523.0
TQBR,2014-10-20,31.0,29750,916497.5
TQBR,2014-10-21,31.25,32380,1002362.5
TQBR,2014-10-22,31.0,14030,436176.0
TQBR,2014-10-23,31.1,32940,1020144.0
TQBR,2014-10-24,31.1,7600,235706.0
TQBR,2014-10-27,31.3,19520,607847.5
TQBR,2014-10-28,31.9,38650,1225923.5
TQBR,2014-10-29,31.55,18130,577159.0
TQBR,2014-10-30,32.2,23260,747607.0
TQBR,2014-10-31,32.7,34540,1121147.0
TQBR,2014-11-03,32.0,2770,89735.5
TQBR,2014-11-05,32.1,70050,2274187.0
TQBR,2014-11-06,33.0,44840,1470058.0
TQBR,2014-11-07,32.8,22840,740864.0
TQBR,2014-11-10,33.65,61050,2035392.0
TQBR,2014-11-11,34.0,76170,2603297.5
TQBR,2014-11-12,34.25,15470,521673.5
TQBR,2014-11-13,33.3,78640,2636564.0
TQBR,2014-11-14,34.0,5740,194901.5
TQBR,2014-11-17,34.5,19550,672118.5
TQBR,2014-11-18,34.8,33230,1148293.5
TQBR,2014-11-19,34.7,26880,939780.0
TQBR,2014-11-20,35.0,16640,582253.0
TQBR,2014-11-21,34.8,15760,544336.0
TQBR,2014-11-24,34.3,25330,871310.5
TQBR,2014-11-25,34.15,5280,179815.5
TQBR,2014-11-26,33.6,18590,627132.0
TQBR,2014-11-27,34.4,25790,890453.5
TQBR,2014-11-28,33.05,91790,3035365.0
TQBR,2014-12-01,33.95,41560,1366302.5
TQBR,2014-12-02,33.15,26050,857816.5
TQBR,2014-12-03,33.6,44150,1485341.5
TQBR,2014-12-04,33.5,89730,2991414.0
TQBR,2014-12-05,32.7,59390,1957921.0
TQBR,2014-12-08,31.0,38550,1227250.0
TQBR,2014-12-09,30.25,35080,1072757.0
TQBR,2014-12-10,30.65,16650,514775.0
TQBR,2014-12-11,29.5,165990,4915883.5
TQBR,2014-12-12,28.1,110480,3175237.5
TQBR,2014-12-15,26.65,207260,5693535.5
TQBR,2014-12-16,25.05,122780,3107966.5
TQBR,2014-12-17,26.0,194850,5059713.0
TQBR,2014-12-18,26.05,173170,4620122.0
TQBR,2014-12-19,25.75,37910,992016.5
TQBR,2014-12-22,25.2,83240,2126547.0
TQBR,2014-12-23,25.1,18280,457451.0
TQBR,2014-12-24,24.25,58060,1417859.5
TQBR,2014-12-25,24.3,65260,1586251.0
TQBR,2014-12-26,24.05,29480,715315.5
TQBR,2014-12-29,24.9,26940,662623.5
TQBR,2014-12-30,24.45,15490,377125.5
TQBR,2015-01-05,24.6,2680,65968.0
TQBR,2015-01-06,25.6,9840,247206.0
TQBR,2015-01-08,26.5,14090,369311.0
TQBR,2015-01-09,26.15,42410,1102771.5
TQBR,2015-01-12,25.7,12150,316664.5
TQBR,2015-01-13,25.55,15500,390876.5
TQBR,2015-01-14,25.4,52820,1319676.5
TQBR,2015-01-15,24.9,132190,3327020.5
TQBR,2015-01-16,24.85,70740,1761779.5
TQBR,2015-01-19,24.75,56020,1397460.5
TQBR,2015-01-20,24.6,54940,1349890.5
TQBR,2015-01-21,25.8,159050,3964108.0
TQBR,2015-01-22,26.45,76080,2029693.5
TQBR,2015-01-23,26.25,212940,5642644.5
TQBR,2015-01-26,25.05,34870,883144.0
TQBR,2015-01-27,25.5,104030,2635110.0
TQBR,2015-01-28,26.0,130170,3350973.0
TQBR,2015-01-29,25.5,31610,814292.5
TQBR,2015-01-30,26.1,38520,991169.5
TQBR,2015-02-02,25.5,42220,1090957.5
TQBR,2015-02-03,25.25,132360,3324734.5
TQBR,2015-02-04,25.15,51530,1296645.0
TQBR,2015-02-05,25.3,112470,2824511.0
TQBR,2015-02-06,25.2,171640,4328491.0
TQBR,2015-02-09,24.95,167450,4216314.0
TQBR,2015-02-10,25.15,93010,2342131.0
TQBR,2015-02-11,25.5,243810,6212861.5
TQBR,2015-02-12,26.45,401930,10522609.5
TQBR,2015-02-13,28.75,600620,16725083.0
TQBR,2015-02-16,29.55,144430,4267528.5
TQBR,2015-02-17,30.25,220830,6663507.0
TQBR,2015-02-18,31.15,138460,4287047.0
TQBR,2015-02-19,31.5,201010,6247312.5
TQBR,2015-02-20,32.4,62680,2002492.5
TQBR,2015-02-24,32.0,75640,2382908.5
TQBR,2015-02-25,31.3,122480,3893397.0
TQBR,2015-02-26,32.45,141090,4676263.5
TQBR,2015-02-27,33.25,30000,978772.0
TQBR,2015-03-02,34.3,31720,1084716.5
TQBR,2015-03-03,35.6,107880,3811870.5
TQBR,2015-03-04,35.65,160210,5707351.5
TQBR,2015-03-05,34.7,123140,4251457.5
TQBR,2015-03-06,34.85,40450,1403208.0
TQBR,2015-03-10,31.55,76060,2455222.0
TQBR,2015-03-11,32.15,33150,1041074.5
TQBR,2015-03-12,32.85,44100,1418982.5
TQBR,2015-03-13,32.95,93620,3123154.5
TQBR,2015-03-16,32.3,82020,2690556.0
TQBR,2015-03-17,31.35,68550,2206424.0
TQBR,2015-03-18,31.25,42560,1324895.5
TQBR,2015-03-19,31.05,76020,2422589.5
TQBR,2015-03-20,31.15,50080,1551229.0
TQBR,2015-03-23,31.5,13560,425401.5
TQBR,2015-03-24,31.8,25960,812568.5
TQBR,2015-03-25,32.35,23010,749064.5
TQBR,2015-03-26,31.5,186430,5892434.0
TQBR,2015-03-27,31.8,64170,2005041.0
TQBR,2015-03-30,32.0,71340,2245688.5
TQBR,2015-03-31,31.55,32690,1034759.5
TQBR,2015-04-01,31.75,13540,428663.5
TQBR,2015-04-02,31.65,112060,3562876.5
