BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2023-07-03,3.318,1033508900,3372166523.95
TQBR,2023-07-04,3.024,532654500,1672752841.25
TQBR,2023-07-05,2.89,104841900,306541926.35
TQBR,2023-07-06,2.7,105392900,288548212.05
TQBR,2023-07-07,2.805,123229700,346207507.0
TQBR,2023-07-10,2.8,47103400,134526950.0
TQBR,2023-07-11,2.801,25014500,70574571.6
TQBR,2023-07-12,2.805,15251400,42814896.8
TQBR,2023-07-13,2.77,14812500,41229447.35
TQBR,2023-07-14,2.743,23732800,65036560.5
TQBR,2023-07-17,2.7085,19146800,51880699.95
TQBR,2023-07-18,2.735,28095200,76179705.0
TQBR,2023-07-19,2.728,15412000,41900141.35
TQBR,2023-07-20,2.7215,14701600,40174568.75
TQBR,2023-07-21,2.7245,8148400,22192479.75
TQBR,2023-07-24,2.7565,15817300,43510047.6
TQBR,2023-07-25,2.8995,62250800,177674616.85
TQBR,2023-07-26,2.882,36183300,105099642.5
TQBR,2023-07-27,2.907,12567200,36393009.75
TQBR,2023-07-28,2.867,13093700,37642462.9
TQBR,2023-07-31,2.902,18565800,53961293.9
TQBR,2023-08-01,2.88,12045100,34882835.3
TQBR,2023-08-02,2.938,36933700,108198860.35
TQBR,2023-08-03,2.955,23391500,69219124.25
TQBR,2023-08-04,2.8495,35267000,102488184.25
TQBR,2023-08-07,2.907,33602800,98698039.95
TQBR,2023-08-08,2.89,17399900,50142031.05
TQBR,2023-08-09,2.9025,9975400,29020080.6
TQBR,2023-08-10,2.888,11233000,32562272.15
TQBR,2023-08-11,2.9005,12311800,35914770.3
TQBR,2023-08-14,2.869,19038300,55172781.9
TQBR,2023-08-15,2.884,13548500,38853064.95
TQBR,2023-08-16,2.825,13349400,37910259.5
TQBR,2023-08-17,2.84,11694900,33225071.95
TQBR,2023-08-18,2.933,18970100,54900211.7
TQBR,2023-08-21,2.925,41207000,121041217.6
TQBR,2023-08-22,2.8805,16195800,47029970.65
TQBR,2023-08-23,2.866,14929400,42928679.55
TQBR,2023-08-24,2.845,6999100,19925263.25
TQBR,2023-08-25,2.8865,16077500,46157534.95
TQBR,2023-08-28,2.8805,8037200,23206886.2
TQBR,2023-08-29,2.8585,7132500,20465710.3
TQBR,2023-08-30,2.852,6537200,18639175.15
TQBR,2023-08-31,2.826,12346400,34978733.75
TQBR,2023-09-01,2.823,7814200,22085430.5
TQBR,2023-09-04,2.8285,10468400,29639006.45
TQBR,2023-09-05,2.791,20986300,58829500.1
TQBR,2023-09-06,2.7535,21716800,59736746.35
TQBR,2023-09-07,2.7195,13056600,35652498.0
TQBR,2023-09-08,2.7265,8237400,22353960.2
TQBR,2023-09-11,2.7005,10845300,29378419.3
TQBR,2023-09-12,2.705,5804700,15746963.25
TQBR,2023-09-13,2.696,7058400,19025394.2
TQBR,2023-09-14,2.669,18192700,47741249.5
TQBR,2023-09-15,2.717,9834500,26461401.55
TQBR,2023-09-18,2.701,10697000,29175487.75
TQBR,2023-09-19,2.6665,6132300,16322946.2
TQBR,2023-09-20,2.6625,10453300,27311204.85
TQBR,2023-09-21,2.6455,17755100,47716946.25
TQBR,2023-09-22,2.6675,5451100,14517790.35
TQBR,2023-09-25,2.621,10729600,28340980.35
TQBR,2023-09-26,2.617,4523600,11826073.55
TQBR,2023-09-27,2.626,9052200,23943452.3
TQBR,2023-09-28,2.6235,4580300,12056056.25
TQBR,2023-09-29,2.6305,215823200,596218578.85
TQBR,2023-10-02,2.646,48715500,131001824.25
TQBR,2023-10-03,2.642,13728100,36418992.35
TQBR,2023-10-04,2.6095,15370900,40271168.2
TQBR,2023-10-05,2.5925,10974900,28600556.45
TQBR,2023-10-06,2.5675,9583000,24642743.65
TQBR,2023-10-09,2.55,10151900,25986330.15
TQBR,2023-10-10,2.558,8715600,22377020.45
TQBR,2023-10-11,2.54,9556000,24327695.7
TQBR,2023-10-12,2.524,8708200,22050506.55
