BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,11.399,100,1139.9
TQBR,2014-06-10,11.3,100,1130.0
TQBR,2014-06-11,11.001,900,9928.1
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,11.4,1100,12141.1
TQBR,2014-06-20,11.2,1600,17784.7
TQBR,2014-06-23,11.001,4700,51700.1
TQBR,2014-06-24,10.904,1600,17476.5
TQBR,2014-06-25,10.802,1200,13061.2
TQBR,2014-06-26,11.0,1000,10999.3
TQBR,2014-06-27,10.81,4900,53747.4
TQBR,2014-06-30,10.65,100,1065.0
TQBR,2014-07-01,11.201,4200,46219.7
TQBR,2014-07-02,11.2,300,3359.8
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,11.15,48200,538600.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,11.1,2600,28836.4
TQBR,2014-07-11,11.291,800,8994.6
TQBR,2014-07-14,11.0,600,6613.9
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,11.0,1000,11000.0
TQBR,2014-07-17,11.19,600,6620.0
TQBR,2014-07-18,11.251,800,9173.3
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,12.0,6100,72753.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,11.4,300,3460.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,11.2,100,1120.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,11.0,1600,17697.8
TQBR,2014-08-07,11.799,1100,11537.8
TQBR,2014-08-08,11.0,5700,62291.9
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,11.0,200,2223.0
TQBR,2014-08-14,11.277,200,2255.2
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,11.5,100,1150.0
TQBR,2014-08-19,11.5,100,1150.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,11.2,200,2250.0
TQBR,2014-08-22,10.12,100,1012.0
TQBR,2014-08-25,11.5,100,1150.0
TQBR,2014-08-26,11.57,200,2315.7
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,,0,0.0
TQBR,2014-08-29,11.02,100,1102.0
TQBR,2014-09-01,11.011,1800,19823.4
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,11.601,400,4639.1
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,11.739,400,4621.9
TQBR,2014-09-08,11.635,300,3423.5
TQBR,2014-09-09,11.0,3500,38723.5
TQBR,2014-09-10,10.7,200,2150.1
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,10.789,100,1078.9
TQBR,2014-09-15,,0,0.0
TQBR,2014-09-16,10.79,200,2158.0
TQBR,2014-09-17,10.9,500,5476.0
TQBR,2014-09-18,10.9,200,2190.0
TQBR,2014-09-19,,0,0.0
TQBR,2014-09-22,,0,0.0
TQBR,2014-09-23,,0,0.0
TQBR,2014-09-24,10.811,400,4325.4
TQBR,2014-09-25,11.3,20300,226950.3
TQBR,2014-09-26,11.3,1400,15464.8
TQBR,2014-09-29,10.95,300,3283.3
TQBR,2014-09-30,11.3,10100,113749.0
TQBR,2014-10-01,10.95,1700,18625.0
TQBR,2014-10-02,,0,0.0
TQBR,2014-10-03,,0,0.0
TQBR,2014-10-06,10.8,500,5400.0
TQBR,2014-10-07,10.9,200,2180.0
TQBR,2014-10-08,10.8,2400,26075.0
TQBR,2014-10-09,,0,0.0
TQBR,2014-10-10,10.65,4300,45830.0
TQBR,2014-10-13,10.7,500,5350.0
TQBR,2014-10-14,10.8,5100,55145.0
TQBR,2014-10-15,11.0,100,1100.0
TQBR,2014-10-16,10.3,6500,68225.0
TQBR,2014-10-17,10.65,4500,48380.0
TQBR,2014-10-20,,0,0.0
TQBR,2014-10-21,11.0,100,1100.0
TQBR,2014-10-22,11.2,6300,71345.0
TQBR,2014-10-23,,0,0.0
TQBR,2014-10-24,,0,0.0
TQBR,2014-10-27,11.0,500,5570.0
TQBR,2014-10-28,11.1,3300,36570.0
TQBR,2014-10-29,,0,0.0
TQBR,2014-10-30,,0,0.0
TQBR,2014-10-31,,0,0.0
TQBR,2014-11-03,,0,0.0
TQBR,2014-11-05,11.0,1000,11000.0
TQBR,2014-11-06,,0,0.0
TQBR,2014-11-07,10.9,2900,31560.0
TQBR,2014-11-10,10.85,1400,15195.0
TQBR,2014-11-11,10.9,500,5455.0
TQBR,2014-11-12,10.95,1300,14265.0
TQBR,2014-11-13,10.95,1100,12045.0
TQBR,2014-11-14,11.3,300,3315.0
TQBR,2014-11-17,11.2,17600,195885.0
TQBR,2014-11-18,,0,0.0
TQBR,2014-11-19,11.15,100,1115.0
TQBR,2014-11-20,10.25,18000,187300.0
TQBR,2014-11-21,10.75,31300,342290.0
TQBR,2014-11-24,11.0,100,1100.0
TQBR,2014-11-25,10.55,900,9495.0
TQBR,2014-11-26,10.55,800,8455.0
TQBR,2014-11-27,,0,0.0
TQBR,2014-11-28,10.55,1000,10550.0
TQBR,2014-12-01,10.45,500,5250.0
TQBR,2014-12-02,11.7,20700,237765.0
TQBR,2014-12-03,11.65,10600,123950.0
TQBR,2014-12-04,11.1,2000,22745.0
TQBR,2014-12-05,11.1,17800,197580.0
TQBR,2014-12-08,11.5,5600,62765.0
TQBR,2014-12-09,10.75,8600,92290.0
TQBR,2014-12-10,,0,0.0
TQBR,2014-12-11,11.0,200,2215.0
TQBR,2014-12-12,10.35,16400,175130.0
TQBR,2014-12-15,,0,0.0
TQBR,2014-12-16,12.0,30400,350415.0
TQBR,2014-12-17,12.0,3900,46820.0
TQBR,2014-12-18,12.9,31700,373530.0
TQBR,2014-12-19,12.3,1200,14630.0
TQBR,2014-12-22,,0,0.0
TQBR,2014-12-23,,0,0.0
TQBR,2014-12-24,12.5,600,7450.0
