BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,5.851,27200,155156.8
TQBR,2014-06-10,5.8,23000,131818.6
TQBR,2014-06-11,5.769,5000,28759.1
TQBR,2014-06-16,5.844,5500,31706.0
TQBR,2014-06-17,5.781,51900,297278.5
TQBR,2014-06-18,5.973,47700,276843.9
TQBR,2014-06-19,5.751,20800,120730.7
TQBR,2014-06-20,5.872,63700,371022.7
TQBR,2014-06-23,5.398,94100,506174.0
TQBR,2014-06-24,5.311,73500,386898.0
TQBR,2014-06-25,5.287,14800,77156.2
TQBR,2014-06-26,5.351,1000,5260.0
TQBR,2014-06-27,5.443,5900,32008.9
TQBR,2014-06-30,5.379,3900,20739.1
TQBR,2014-07-01,5.339,10200,53920.4
TQBR,2014-07-02,5.397,500,2613.3
TQBR,2014-07-03,5.15,1200,6242.4
TQBR,2014-07-04,5.273,2300,12079.9
TQBR,2014-07-07,5.294,2700,14050.0
TQBR,2014-07-08,5.322,2800,14734.7
TQBR,2014-07-09,5.248,300,1575.0
TQBR,2014-07-10,5.189,7300,38177.0
TQBR,2014-07-11,5.397,6500,33905.9
TQBR,2014-07-14,,0,0.0
TQBR,2014-07-15,5.2,3000,15658.9
TQBR,2014-07-16,5.281,6200,32751.9
TQBR,2014-07-17,5.2,1700,8759.9
TQBR,2014-07-18,5.2,20900,109182.7
TQBR,2014-07-21,5.29,100,529.0
TQBR,2014-07-22,5.242,5100,25900.2
TQBR,2014-07-23,5.15,122200,629335.7
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,5.043,19600,99283.7
TQBR,2014-07-28,5.02,15500,77936.5
TQBR,2014-07-29,5.01,2800,14042.3
TQBR,2014-07-30,5.06,7600,38104.1
TQBR,2014-07-31,5.048,31700,156523.3
TQBR,2014-08-01,5.049,700,3524.2
TQBR,2014-08-04,4.977,8600,42385.1
TQBR,2014-08-05,4.977,13300,64172.8
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,4.9,5500,26495.9
TQBR,2014-08-08,5.049,1700,8548.3
TQBR,2014-08-11,4.995,500,2498.9
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,4.985,3100,15455.1
TQBR,2014-08-14,5.134,14700,74182.2
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,5.132,12600,60828.8
TQBR,2014-08-21,5.299,18900,99906.6
TQBR,2014-08-22,5.0,100,500.0
TQBR,2014-08-25,5.342,500,2583.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,,0,0.0
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,,0,0.0
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,5.352,100,535.2
TQBR,2014-09-04,4.974,15500,77091.3
TQBR,2014-09-05,5.238,100,523.8
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,,0,0.0
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,,0,0.0
TQBR,2014-09-16,,0,0.0
TQBR,2014-09-17,5.001,9800,48215.3
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,4.926,3600,17729.1
TQBR,2014-09-22,,0,0.0
TQBR,2014-09-23,4.937,2700,13342.5
TQBR,2014-09-24,,0,0.0
TQBR,2014-09-25,4.94,10000,49400.0
TQBR,2014-09-26,4.904,17000,83398.4
TQBR,2014-09-29,4.899,1800,8828.1
TQBR,2014-09-30,4.888,1600,7825.3
TQBR,2014-10-01,,0,0.0
TQBR,2014-10-02,5.22,100,522.0
TQBR,2014-10-03,5.0,300,1500.0
TQBR,2014-10-06,4.87,26500,129175.0
TQBR,2014-10-07,4.86,2100,10217.0
TQBR,2014-10-08,4.97,100,497.0
TQBR,2014-10-09,4.99,100,499.0
TQBR,2014-10-10,5.19,100,519.0
TQBR,2014-10-13,5.14,100,514.0
TQBR,2014-10-14,4.99,75700,382789.0
TQBR,2014-10-15,5.11,100,511.0
TQBR,2014-10-16,4.99,100,499.0
TQBR,2014-10-17,4.91,10600,53201.0
TQBR,2014-10-20,5.12,100,512.0
TQBR,2014-10-21,5.05,9400,47470.0
TQBR,2014-10-22,5.25,50000,262142.0
TQBR,2014-10-23,,0,0.0
TQBR,2014-10-24,5.0,6100,30165.0
TQBR,2014-10-27,5.02,500,2510.0
TQBR,2014-10-28,,0,0.0
TQBR,2014-10-29,5.2,14800,76960.0
TQBR,2014-10-30,5.1,200,1020.0
TQBR,2014-10-31,5.09,33600,171066.0
TQBR,2014-11-03,5.2,200,994.0
TQBR,2014-11-05,5.09,300,1527.0
TQBR,2014-11-06,5.1,56000,285110.0
TQBR,2014-11-07,4.87,35400,176953.0
TQBR,2014-11-10,,0,0.0
TQBR,2014-11-11,,0,0.0
TQBR,2014-11-12,5.13,100,513.0
TQBR,2014-11-13,5.16,100,516.0
TQBR,2014-11-14,5.17,100,517.0
TQBR,2014-11-17,5.01,3000,15030.0
TQBR,2014-11-18,,0,0.0
TQBR,2014-11-19,5.19,100,519.0
TQBR,2014-11-20,5.19,100,519.0
TQBR,2014-11-21,5.1,1400,7150.0
TQBR,2014-11-24,5.33,1000,5274.0
TQBR,2014-11-25,5.25,5600,29909.0
TQBR,2014-11-26,,0,0.0
TQBR,2014-11-27,5.49,100,549.0
TQBR,2014-11-28,5.54,1000,5509.0
TQBR,2014-12-01,5.09,2500,12582.0
TQBR,2014-12-02,,0,0.0
TQBR,2014-12-03,5.5,2000,10945.0
TQBR,2014-12-04,,0,0.0
TQBR,2014-12-05,5.08,1200,6110.0
TQBR,2014-12-08,,0,0.0
TQBR,2014-12-09,5.03,12000,60462.0
TQBR,2014-12-10,5.03,1400,7151.0
TQBR,2014-12-11,5.0,12400,62008.0
TQBR,2014-12-12,5.0,3400,17000.0
TQBR,2014-12-15,,0,0.0
TQBR,2014-12-16,4.26,17000,74136.0
TQBR,2014-12-17,4.92,2300,10096.0
TQBR,2014-12-18,4.98,11900,57315.0
TQBR,2014-12-19,5.13,1500,7518.0
TQBR,2014-12-22,5.1,57600,287512.0
TQBR,2014-12-23,4.4,12400,57364.0
TQBR,2014-12-24,4.89,100,489.0
TQBR,2014-12-25,5.1,77800,389727.0
TQBR,2014-12-26,5.3,28000,145671.0
TQBR,2014-12-29,5.26,500,2630.0
TQBR,2014-12-30,5.0,1000,5002.0
TQBR,2015-01-05,5.0,100,500.0
TQBR,2015-01-06,,0,0.0
TQBR,2015-01-08,4.94,12600,54951.0
TQBR,2015-01-09,5.29,1300,6940.0
TQBR,2015-01-12,,0,0.0
TQBR,2015-01-13,5.0,700,3566.0
TQBR,2015-01-14,5.0,100,500.0
TQBR,2015-01-15,5.37,200,1074.0
TQBR,2015-01-16,,0,0.0
TQBR,2015-01-19,5.29,800,4232.0
TQBR,2015-01-20,,0,0.0
TQBR,2015-01-21,,0,0.0
TQBR,2015-01-22,,0,0.0
TQBR,2015-01-23,,0,0.0
TQBR,2015-01-26,4.7,800,3817.0
TQBR,2015-01-27,4.86,400,1927.0
TQBR,2015-01-28,,0,0.0
