BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-02-06,,0,0.0
TQBR,2024-02-07,282.9,5698090,1647307001.25
TQBR,2024-02-08,277.6,1235135,346379218.15
TQBR,2024-02-09,272.8,593006,162218102.0
TQBR,2024-02-12,269.45,777206,208599280.6
TQBR,2024-02-13,266.8,727633,195102086.1
TQBR,2024-02-14,282.8,1439873,402370572.95
TQBR,2024-02-15,282.0,530396,149331985.6
TQBR,2024-02-16,280.15,369127,103767477.1
TQBR,2024-02-19,283.95,480809,134587745.05
TQBR,2024-02-20,282.15,1044280,301180082.1
TQBR,2024-02-21,272.05,537722,147074993.05
TQBR,2024-02-22,273.5,197314,54441802.15
TQBR,2024-02-26,275.0,242413,66928027.7
TQBR,2024-02-27,275.0,223754,62025646.65
TQBR,2024-02-28,283.75,403474,113563280.35
TQBR,2024-02-29,280.0,210331,59409968.05
TQBR,2024-03-01,282.7,404433,114983552.8
TQBR,2024-03-04,285.1,569588,162344416.4
TQBR,2024-03-05,296.9,1002592,292410569.9
TQBR,2024-03-06,292.0,725528,215181338.55
TQBR,2024-03-07,286.7,700164,203513950.35
TQBR,2024-03-11,284.9,555412,159119109.9
TQBR,2024-03-12,286.15,656989,188257111.5
TQBR,2024-03-13,288.7,422506,121894396.2
TQBR,2024-03-14,282.75,395311,112608269.4
TQBR,2024-03-15,282.3,266674,75612232.8
TQBR,2024-03-18,290.0,430810,122730115.0
TQBR,2024-03-19,285.0,842101,242273739.95
TQBR,2024-03-20,291.1,639762,184134686.9
TQBR,2024-03-21,302.0,1697317,512119745.5
TQBR,2024-03-22,296.05,1003353,305908435.8
TQBR,2024-03-25,299.9,817654,246982896.6
TQBR,2024-03-26,301.25,340095,102645003.4
TQBR,2024-03-27,330.95,5020787,1654912891.4
TQBR,2024-03-28,321.0,1470419,473101891.2
TQBR,2024-03-29,315.4,1877081,615039659.4
TQBR,2024-04-01,320.0,622769,198442292.7
