BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-02-13,6300.0,142062,894990600.0
TQBR,2024-02-14,5866.0,1078382,6694629406.0
TQBR,2024-02-15,5900.0,132083,778193499.5
TQBR,2024-02-16,5956.0,139153,833992506.0
TQBR,2024-02-19,5891.0,41038,243369065.0
TQBR,2024-02-20,5768.5,57653,334612107.5
TQBR,2024-02-21,5599.0,75897,424881203.5
TQBR,2024-02-22,5697.5,34344,195896027.5
TQBR,2024-02-26,5923.5,46259,272206884.5
TQBR,2024-02-27,5895.0,28580,167636405.5
TQBR,2024-02-28,5872.5,13805,80804042.0
TQBR,2024-02-29,5860.5,25916,151969480.5
TQBR,2024-03-01,5867.5,23056,135540656.0
TQBR,2024-03-04,6055.0,57042,340464802.0
TQBR,2024-03-05,6130.0,83035,510099004.5
TQBR,2024-03-06,6054.5,35495,214803666.0
TQBR,2024-03-07,6069.0,14750,89501551.0
TQBR,2024-03-11,6070.0,24836,151718320.0
TQBR,2024-03-12,6011.0,25523,153891937.5
TQBR,2024-03-13,6014.0,17101,103189984.5
TQBR,2024-03-14,5934.0,44054,262375056.5
TQBR,2024-03-15,5950.0,13085,78126609.5
TQBR,2024-03-18,5953.0,24856,146905525.0
TQBR,2024-03-19,5912.0,26427,157709690.5
TQBR,2024-03-20,5979.0,31455,188171792.5
TQBR,2024-03-21,5900.5,38707,229218843.5
TQBR,2024-03-22,5891.5,12399,73219284.0
TQBR,2024-03-25,5962.0,33610,197872489.0
TQBR,2024-03-26,6125.0,99114,610190114.0
TQBR,2024-03-27,6284.5,99630,619524843.0
TQBR,2024-03-28,6109.0,76045,475241859.5
TQBR,2024-03-29,6142.5,24797,152987776.0
TQBR,2024-04-01,6120.5,26628,163640301.5
TQBR,2024-04-02,6178.5,47329,289885579.0
TQBR,2024-04-03,6210.5,37334,233350920.0
TQBR,2024-04-04,6272.0,53896,339397432.0
TQBR,2024-04-05,6220.0,14018,87366897.0
TQBR,2024-04-08,6323.5,44218,280767010.0
TQBR,2024-04-09,6290.0,23007,145407839.5
TQBR,2024-04-10,6210.0,22056,136902831.5
TQBR,2024-04-11,6127.5,18041,111212429.5
TQBR,2024-04-12,6187.5,16557,102725903.5
TQBR,2024-04-15,6300.0,25974,163517892.5
TQBR,2024-04-16,6355.0,27772,175065997.0
TQBR,2024-04-17,6410.0,60342,389341322.5
TQBR,2024-04-18,6290.0,28598,179967346.5
TQBR,2024-04-19,6345.0,15464,97757974.0
TQBR,2024-04-22,6278.0,26984,169609505.5
TQBR,2024-04-23,6186.0,16534,103047302.5
TQBR,2024-04-24,6115.0,30911,188837915.0
TQBR,2024-04-25,6181.0,9792,60189494.5
TQBR,2024-04-26,6202.5,14207,88399986.5
TQBR,2024-04-27,6187.0,7998,49388663.0
TQBR,2024-04-29,6200.0,5313,32899440.0
TQBR,2024-04-30,6246.5,12078,75404193.5
TQBR,2024-05-02,6176.5,6908,42847211.5
TQBR,2024-05-03,6120.0,11148,68266653.0
TQBR,2024-05-06,6124.0,6760,41454762.0
