BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,850.0,13,11050.0
TQBR,2014-06-10,,0,0.0
TQBR,2014-06-11,910.0,22,20019.4
TQBR,2014-06-16,944.2,2,1888.2
TQBR,2014-06-17,1064.0,30,29998.6
TQBR,2014-06-18,1083.0,32,34450.9
TQBR,2014-06-19,1080.0,16,17651.7
TQBR,2014-06-20,1130.0,1,1130.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,1142.0,20,22711.8
TQBR,2014-06-25,1149.9,1,1149.9
TQBR,2014-06-26,1123.8,30,33352.6
TQBR,2014-06-27,1222.1,1,1222.1
TQBR,2014-06-30,1000.0,110,108247.7
TQBR,2014-07-01,999.0,117,104884.7
TQBR,2014-07-02,877.5,3,2631.5
TQBR,2014-07-03,999.9,2,1999.8
TQBR,2014-07-04,1050.0,11,11149.5
TQBR,2014-07-07,1105.1,2,1955.2
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,1105.1,7,7735.6
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,1100.0,14,15466.2
TQBR,2014-07-15,1100.0,37,40479.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,,0,0.0
TQBR,2014-07-18,950.0,77,62869.2
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,1000.0,4,3999.9
TQBR,2014-07-29,1000.0,10,9999.9
TQBR,2014-07-30,1000.0,9,8999.8
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,840.1,2,1690.1
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,820.0,1,820.0
TQBR,2014-08-12,,0,0.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,,0,0.0
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,850.0,2,1700.0
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,,0,0.0
