BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2017-09-07,10.2,490500,4870270.8
TQBR,2017-09-08,9.885,535800,5291608.3
TQBR,2017-09-11,10.329,457700,4669833.5
TQBR,2017-09-12,10.5,136000,1400289.4
TQBR,2017-09-13,10.499,523500,5381923.4
TQBR,2017-09-14,10.526,191500,1980149.9
TQBR,2017-09-15,10.447,371600,3811837.8
TQBR,2017-09-18,10.24,246700,2513440.0
TQBR,2017-09-19,10.475,304800,3102775.5
TQBR,2017-09-20,10.208,226000,2323073.8
TQBR,2017-09-21,10.291,190500,1900211.7
TQBR,2017-09-22,10.75,221600,2304515.9
TQBR,2017-09-25,10.57,488500,5041881.9
TQBR,2017-09-26,10.795,533900,5586788.9
TQBR,2017-09-27,10.886,498500,5291405.9
TQBR,2017-09-28,10.92,481900,5170877.8
TQBR,2017-09-29,11.017,468700,5123146.6
TQBR,2017-10-02,11.012,397200,4371445.4
TQBR,2017-10-03,10.999,255400,2829512.2
TQBR,2017-10-04,11.218,558500,6148474.0
TQBR,2017-10-05,11.05,458000,5095164.8
TQBR,2017-10-06,11.099,464100,5114001.7
TQBR,2017-10-09,11.289,484400,5399036.4
TQBR,2017-10-10,11.418,643500,7213671.3
TQBR,2017-10-11,11.505,651300,7473246.7
TQBR,2017-10-12,11.591,644100,7399055.8
TQBR,2017-10-13,11.9,799500,9413800.0
TQBR,2017-10-16,11.5,791800,9228364.2
TQBR,2017-10-17,11.482,323900,3768797.4
TQBR,2017-10-18,11.419,780300,8805350.3
TQBR,2017-10-19,11.449,1662000,18548102.2
TQBR,2017-10-20,11.472,365400,4185930.0
TQBR,2017-10-23,11.488,646800,7359226.3
TQBR,2017-10-24,11.991,697100,8250727.4
TQBR,2017-10-25,11.985,413800,4956564.7
TQBR,2017-10-26,12.05,289800,3456440.6
TQBR,2017-10-27,11.885,470900,5592162.3
TQBR,2017-10-30,11.949,527200,6286596.8
TQBR,2017-10-31,11.94,469100,5593405.2
TQBR,2017-11-01,11.96,573100,6883450.0
TQBR,2017-11-02,11.99,404200,4843028.0
TQBR,2017-11-03,12.0,439600,5250083.0
TQBR,2017-11-07,12.05,416400,5023238.0
TQBR,2017-11-08,11.91,974200,11587501.0
TQBR,2017-11-09,11.84,509000,6006686.0
TQBR,2017-11-10,11.96,1392000,16608908.0
TQBR,2017-11-13,11.88,463700,5504268.0
TQBR,2017-11-14,11.8,509500,6045731.0
TQBR,2017-11-15,11.82,553500,6486049.0
TQBR,2017-11-16,11.95,731200,8635410.0
TQBR,2017-11-17,11.65,1082200,12696799.0
TQBR,2017-11-20,11.72,634200,7436740.0
TQBR,2017-11-21,11.94,826200,9739424.0
TQBR,2017-11-22,11.87,417400,5001298.0
TQBR,2017-11-23,11.94,512000,6080633.0
TQBR,2017-11-24,11.83,1393700,16408885.0
TQBR,2017-11-27,12.3,1206500,14494373.0
TQBR,2017-11-28,12.93,3794600,48225709.0
TQBR,2017-11-29,12.84,978800,12583775.0
TQBR,2017-11-30,12.85,766300,9811597.0
TQBR,2017-12-01,12.74,725200,9227603.0
TQBR,2017-12-04,12.61,898000,11377703.0
TQBR,2017-12-05,12.67,620800,7846449.0
TQBR,2017-12-06,12.49,799400,10006050.0
TQBR,2017-12-07,12.59,595900,7503265.0
TQBR,2017-12-08,12.5,1122800,14138413.0
TQBR,2017-12-11,12.52,890600,11149909.0
TQBR,2017-12-12,12.85,628400,7968926.0
TQBR,2017-12-13,12.65,853200,10952721.0
TQBR,2017-12-14,12.76,828400,10538034.0
TQBR,2017-12-15,12.99,1023200,13143150.0
TQBR,2017-12-18,12.85,846900,10903542.0
TQBR,2017-12-19,12.87,685000,8831219.0
TQBR,2017-12-20,12.94,668700,8572079.0
TQBR,2017-12-21,12.76,536800,6904555.0
TQBR,2017-12-22,12.71,620200,7918402.0
TQBR,2017-12-25,12.62,440200,5582856.0
TQBR,2017-12-26,12.48,1126300,14136094.0
TQBR,2017-12-27,12.58,408200,5109484.0
TQBR,2017-12-28,12.85,979600,12433021.0
TQBR,2017-12-29,12.74,411900,5286596.0
TQBR,2018-01-03,12.81,140500,1797303.0
TQBR,2018-01-04,12.87,153100,1965741.0
TQBR,2018-01-05,12.85,187300,2403057.0
TQBR,2018-01-09,12.89,250900,3236580.0
TQBR,2018-01-10,12.88,274800,3548485.0
TQBR,2018-01-11,12.88,203500,2630098.0
TQBR,2018-01-12,12.84,257900,3316147.0
TQBR,2018-01-15,13.01,570000,7348281.0
TQBR,2018-01-16,12.92,815500,10530004.0
TQBR,2018-01-17,12.87,836400,10768526.0
TQBR,2018-01-18,12.88,528200,6767003.0
TQBR,2018-01-19,12.8,411100,5266908.0
TQBR,2018-01-22,13.15,871700,11284715.0
TQBR,2018-01-23,13.15,412700,5422210.0
TQBR,2018-01-24,13.15,1419900,18628053.0
TQBR,2018-01-25,13.12,963200,12609535.0
TQBR,2018-01-26,13.2,1015000,13326158.0
TQBR,2018-01-29,13.0,1592300,20822476.0
TQBR,2018-01-30,13.3,1513000,19979085.0
TQBR,2018-01-31,13.05,754000,9894783.0
TQBR,2018-02-01,12.9,658300,8550812.0
TQBR,2018-02-02,12.78,509400,6541162.0
TQBR,2018-02-05,13.24,775000,10197544.0
TQBR,2018-02-06,13.07,1364300,17603418.0
TQBR,2018-02-07,13.18,653100,8593349.0
TQBR,2018-02-08,13.23,348000,4571188.0
TQBR,2018-02-09,13.2,189600,2496619.0
TQBR,2018-02-12,13.29,402700,5297298.0
TQBR,2018-02-13,13.32,495100,6578267.0
TQBR,2018-02-14,13.8,2024800,27247140.0
TQBR,2018-02-15,14.39,2963200,42249980.0
TQBR,2018-02-16,14.03,742400,10587817.0
TQBR,2018-02-19,14.06,1324400,18853823.0
TQBR,2018-02-20,14.19,800700,11280880.0
TQBR,2018-02-21,14.26,364900,5152596.0
TQBR,2018-02-22,14.23,536500,7607666.0
TQBR,2018-02-26,13.91,420200,5890081.0
TQBR,2018-02-27,13.74,790300,10935081.0
TQBR,2018-02-28,13.9,638400,8832648.0
TQBR,2018-03-01,13.8,355400,4937705.0
TQBR,2018-03-02,13.58,636000,8737593.0
TQBR,2018-03-05,13.88,561900,7724921.0
TQBR,2018-03-06,13.78,464200,6461862.0
TQBR,2018-03-07,13.61,652500,8918159.0
TQBR,2018-03-09,13.88,743000,10176506.0
TQBR,2018-03-12,13.67,928400,12922801.0
TQBR,2018-03-13,13.49,1156200,15650271.0
TQBR,2018-03-14,13.8,929800,12698388.0
TQBR,2018-03-15,13.95,338200,4690046.0
TQBR,2018-03-16,13.68,484100,6664083.0
TQBR,2018-03-19,13.54,784200,10708509.0
TQBR,2018-03-20,13.38,764300,10270701.0
TQBR,2018-03-21,13.39,1142900,15391034.0
TQBR,2018-03-22,13.61,700100,9480083.0
TQBR,2018-03-23,13.44,1247200,16799579.0
TQBR,2018-03-26,13.2,1251100,16770872.0
TQBR,2018-03-27,13.48,1456300,19477459.0
TQBR,2018-03-28,13.32,987400,13322696.0
TQBR,2018-03-29,13.66,1951000,25991993.0
TQBR,2018-03-30,13.76,1489900,20650952.0
TQBR,2018-04-02,13.65,323500,4423958.0
TQBR,2018-04-03,13.4,486800,6581220.0
TQBR,2018-04-04,13.48,1933300,25629640.0
TQBR,2018-04-05,13.69,1383000,19107224.0
TQBR,2018-04-06,13.46,731100,9933101.0
TQBR,2018-04-09,13.17,1113300,14855573.0
TQBR,2018-04-10,13.33,1444100,18881067.0
TQBR,2018-04-11,13.42,1505100,20243526.0
TQBR,2018-04-12,13.12,2137900,28153321.0
TQBR,2020-07-23,9.08,2712330,24013187.6
TQBR,2020-07-24,8.9,1265590,11518769.0
TQBR,2020-07-27,8.82,318240,2797633.6
TQBR,2020-07-28,8.64,111850,969483.6
TQBR,2020-07-29,8.54,169260,1429225.0
TQBR,2020-07-30,8.6,153250,1340355.2
TQBR,2020-07-31,8.38,139560,1181974.4
TQBR,2020-08-03,8.36,24590,205833.2
TQBR,2020-08-04,8.36,33240,277707.0
TQBR,2020-08-05,8.3,45930,379141.8
TQBR,2020-08-06,8.38,719720,5850036.2
TQBR,2020-08-07,8.3,32720,271736.0
TQBR,2020-08-10,8.22,26720,220272.4
TQBR,2020-08-11,8.14,94570,769314.2
TQBR,2020-08-12,8.18,817120,6549749.0
TQBR,2020-08-13,8.12,40730,331789.6
TQBR,2020-08-14,8.14,22380,182627.4
TQBR,2020-08-17,8.12,80050,649952.8
TQBR,2020-08-18,8.16,20710,167332.0
TQBR,2020-08-19,8.16,56170,454711.0
TQBR,2020-08-20,8.06,23520,190407.4
TQBR,2020-08-21,8.1,11680,94506.8
TQBR,2020-08-24,8.08,6310,51124.6
TQBR,2020-08-25,8.3,306720,2508345.0
TQBR,2020-08-26,8.14,86710,708779.0
TQBR,2020-08-27,8.14,16610,135092.8
TQBR,2020-08-28,8.18,46580,382266.2
TQBR,2020-08-31,8.06,234570,1903220.2
TQBR,2020-09-01,8.0,202900,1630848.0
TQBR,2020-09-02,8.0,37170,297547.0
TQBR,2020-09-03,7.96,11640,92919.8
TQBR,2020-09-04,7.96,20030,159306.0
TQBR,2020-09-07,7.98,5950,47111.6
TQBR,2020-09-08,7.9,39100,312694.4
TQBR,2020-09-09,7.84,40060,315810.2
TQBR,2020-09-10,7.72,20590,158604.4
TQBR,2020-09-11,7.84,14920,116527.0
TQBR,2020-09-14,7.76,13700,106487.8
TQBR,2020-09-15,7.9,6730,53469.2
TQBR,2020-09-16,7.84,3840,30154.0
TQBR,2020-09-17,7.76,88800,692598.8
TQBR,2020-09-18,7.7,22920,176754.2
TQBR,2020-09-21,7.6,68930,525370.8
TQBR,2020-09-22,7.6,4680,35072.8
TQBR,2020-09-23,7.46,25340,188116.0
TQBR,2020-09-24,7.4,114110,852539.8
TQBR,2020-09-25,7.46,2500,18651.0
TQBR,2020-09-28,7.46,2310,17166.2
TQBR,2020-09-29,7.4,7240,53637.2
TQBR,2020-09-30,7.42,5430,40449.4
TQBR,2020-10-01,7.28,14780,107914.0
TQBR,2020-10-02,7.28,151600,1097087.4
TQBR,2020-10-05,7.22,4910,35507.2
TQBR,2020-10-06,7.88,1549920,12112223.6
TQBR,2020-10-07,7.72,186180,1441160.2
TQBR,2020-10-08,8.1,1790430,14053855.4
TQBR,2020-10-09,8.1,269490,2164222.4
TQBR,2020-10-12,8.12,48650,392866.4
TQBR,2020-10-13,8.14,511190,4104223.4
TQBR,2020-10-14,8.06,9120,73606.2
TQBR,2020-10-15,8.02,24170,193584.4
TQBR,2020-10-16,8.1,4340040,34730705.8
TQBR,2020-10-19,8.02,32150,260348.8
TQBR,2020-10-20,8.1,26770,216816.2
TQBR,2020-10-21,8.16,1327980,10628409.8
TQBR,2020-10-22,8.1,15930,129587.2
TQBR,2020-10-23,8.16,522540,4254083.8
TQBR,2020-10-26,8.58,294380,2551013.8
TQBR,2020-10-27,8.28,36080,304271.0
TQBR,2020-10-28,8.38,20820,174560.8
TQBR,2020-10-29,8.14,103560,854019.0
TQBR,2020-10-30,8.34,17310,143490.8
TQBR,2020-11-02,8.3,421100,3503816.0
TQBR,2020-11-03,8.32,11640,96594.0
TQBR,2020-11-05,8.36,33570,279045.8
TQBR,2020-11-06,8.38,24530,204767.2
TQBR,2020-11-09,8.4,49430,414307.2
TQBR,2020-11-10,8.38,45170,377440.2
TQBR,2020-11-11,8.32,4312950,35386995.2
TQBR,2020-11-12,8.34,33800,282465.8
TQBR,2020-11-13,8.4,60160,503461.4
TQBR,2020-11-16,8.48,115440,971893.0
TQBR,2020-11-17,8.5,58190,493653.2
TQBR,2020-11-18,8.66,315080,2705836.6
TQBR,2020-11-19,8.6,483410,4247162.6
TQBR,2020-11-20,8.08,3674160,30481206.4
TQBR,2020-11-23,8.14,166220,1367108.2
TQBR,2020-11-24,7.96,121930,975256.4
TQBR,2020-11-25,7.64,3229540,24227236.2
TQBR,2020-11-26,7.62,87870,669292.8
TQBR,2020-11-27,7.66,139930,1067447.4
TQBR,2020-11-30,7.6,33540,254371.4
TQBR,2020-12-01,7.62,27240,207426.6
TQBR,2020-12-02,7.6,45310,343379.2
TQBR,2020-12-03,7.6,25150,191445.8
TQBR,2020-12-04,7.66,18780,143292.2
TQBR,2020-12-07,7.6,37480,287149.0
TQBR,2020-12-08,7.54,37910,287420.8
TQBR,2020-12-09,7.56,10370,78651.0
TQBR,2020-12-10,7.52,32590,246222.0
TQBR,2020-12-11,7.48,74520,558970.0
TQBR,2020-12-14,7.44,70230,522371.0
TQBR,2020-12-15,7.4,100650,743666.4
TQBR,2020-12-16,7.38,31830,234355.8
TQBR,2020-12-17,7.38,92810,684127.2
TQBR,2020-12-18,7.36,19230,141154.8
TQBR,2020-12-21,7.3,126460,919169.0
TQBR,2020-12-22,7.3,10300,75140.8
TQBR,2020-12-23,7.3,27560,201002.2
TQBR,2020-12-24,7.38,40890,299288.6
TQBR,2020-12-25,7.36,17420,128467.2
TQBR,2020-12-28,7.4,30520,224033.8
TQBR,2020-12-29,7.4,15600,114431.2
TQBR,2020-12-30,7.4,3770,27780.2
TQBR,2021-01-04,7.4,32920,243477.8
TQBR,2021-01-05,7.44,18830,138563.8
TQBR,2021-01-06,7.48,20430,152487.0
TQBR,2021-01-08,7.56,163560,1257962.0
TQBR,2021-01-11,7.54,35670,268479.8
TQBR,2021-01-12,7.44,235820,1755408.4
TQBR,2021-01-13,7.46,18210,135951.6
TQBR,2021-01-14,7.4,332390,2444970.4
TQBR,2021-01-15,7.4,27910,206593.6
TQBR,2021-01-18,7.44,38360,284316.6
TQBR,2021-01-19,7.36,16200,119826.8
TQBR,2021-01-20,7.36,14870,109676.0
TQBR,2021-01-21,7.38,70160,513636.8
TQBR,2021-01-22,7.48,289030,2152971.6
TQBR,2021-01-25,7.5,134500,1003703.6
TQBR,2021-01-26,7.5,38970,290349.0
TQBR,2021-01-27,7.48,45720,342205.2
TQBR,2021-01-28,7.46,7470,55600.0
TQBR,2021-01-29,7.48,18650,138936.6
TQBR,2021-02-01,7.48,49230,367421.4
TQBR,2021-02-02,7.48,29090,217534.6
TQBR,2021-02-03,7.48,39060,292171.8
TQBR,2021-02-04,7.4,40400,299523.6
TQBR,2021-02-05,7.46,11780,87763.2
TQBR,2021-02-08,7.4,9550,70916.6
TQBR,2021-02-09,7.42,7900,58823.8
TQBR,2021-02-10,7.4,7020,52215.8
TQBR,2021-02-11,7.44,12890,95577.0
TQBR,2021-02-12,7.42,59950,444610.6
TQBR,2021-02-15,7.44,18460,136780.0
TQBR,2021-02-16,7.48,24200,180511.8
TQBR,2021-02-17,7.44,15860,117647.4
TQBR,2021-02-18,7.42,13580,100591.4
TQBR,2021-02-19,7.48,59790,444995.4
TQBR,2021-02-20,7.48,22050,164451.6
TQBR,2021-02-22,7.46,23610,175889.0
TQBR,2021-02-24,7.46,19410,144793.4
TQBR,2021-02-25,7.46,25690,191145.2
TQBR,2021-02-26,7.44,22790,168863.0
TQBR,2021-03-01,7.4,13130,97374.0
TQBR,2021-03-02,7.38,13380,98975.8
TQBR,2021-03-03,7.42,67510,497834.0
TQBR,2021-03-04,7.36,6390,47293.4
TQBR,2021-03-05,7.34,44240,325046.0
TQBR,2021-03-09,7.4,3240,24009.2
TQBR,2021-03-10,7.38,26530,197755.2
TQBR,2021-03-11,7.4,7490,55401.6
TQBR,2021-03-12,7.36,21930,161600.2
TQBR,2021-03-15,7.36,32650,240633.6
TQBR,2021-03-16,7.38,7910,58413.6
TQBR,2021-03-17,7.42,8830,65433.4
TQBR,2021-03-18,7.4,40920,299956.6
TQBR,2021-03-19,7.4,6140,45286.6
TQBR,2021-03-22,7.38,16930,124731.4
TQBR,2021-03-23,7.34,8950,65856.8
TQBR,2021-03-24,7.3,27560,201632.4
TQBR,2021-03-25,7.32,24210,177621.6
TQBR,2021-03-26,7.36,3930,28802.0
TQBR,2021-03-29,7.34,43210,314348.4
TQBR,2021-03-30,7.34,6020,43858.6
TQBR,2021-03-31,7.34,6220,45454.2
TQBR,2021-04-01,7.34,6680,48886.0
TQBR,2021-04-02,7.34,27090,198089.8
TQBR,2021-04-05,7.38,30640,225536.8
TQBR,2021-04-06,7.32,6610,48397.8
TQBR,2021-04-07,7.34,14790,108844.4
TQBR,2021-04-08,7.36,13800,101166.0
TQBR,2021-04-09,7.38,7290,53498.8
TQBR,2021-04-12,7.4,10630,78241.6
TQBR,2021-04-13,7.32,36200,266877.6
TQBR,2021-04-14,7.36,42300,311105.8
TQBR,2021-04-15,7.44,56260,419383.2
TQBR,2021-04-16,7.46,51770,388560.0
TQBR,2021-04-19,7.58,80650,611930.2
TQBR,2021-04-20,7.6,78390,593618.6
TQBR,2021-04-21,7.7,1040600,8108295.2
TQBR,2021-04-22,7.78,39510,304054.4
TQBR,2021-04-23,7.62,39410,302265.0
TQBR,2021-04-26,7.62,37680,289339.4
TQBR,2021-04-27,7.78,57060,442775.6
TQBR,2021-04-28,7.66,51870,399180.8
TQBR,2021-04-29,7.6,19290,147597.2
TQBR,2021-04-30,7.44,39990,296409.2
