BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-06-06,0.21706,310579000,68068467.24
TQBR,2024-06-07,0.21724,346501000,75278078.56
TQBR,2024-06-10,0.21204,135729000,29149849.68
TQBR,2024-06-11,0.21054,76984000,16288234.34
TQBR,2024-06-13,0.207,126489000,26123080.02
TQBR,2024-06-14,0.21,75682000,15698812.36
TQBR,2024-06-17,0.20748,77146000,16083221.46
TQBR,2024-06-18,0.20738,80459000,16665562.64
TQBR,2024-06-19,0.2028,46940000,9594059.92
TQBR,2024-06-20,0.20142,85738000,17318121.7
TQBR,2024-06-21,0.20028,94393000,18942088.18
TQBR,2024-06-24,0.19996,96606000,19340737.18
TQBR,2024-06-25,0.20064,47059000,9373851.18
TQBR,2024-06-26,0.2,55750000,11166568.22
TQBR,2024-06-27,0.2,81261000,16263904.34
TQBR,2024-06-28,0.202,249963000,50157868.4
TQBR,2024-07-01,0.1995,79103000,15893248.16
TQBR,2024-07-02,0.19828,136757000,26909121.44
TQBR,2024-07-03,0.1949,68571000,13407463.96
TQBR,2024-07-04,0.18796,164298000,31161944.42
TQBR,2024-07-05,0.1833,114932000,21067338.16
TQBR,2024-07-08,0.18014,71910000,13196993.86
TQBR,2024-07-09,0.17374,102959000,18160568.26
TQBR,2024-07-10,0.16716,118650000,19926678.36
TQBR,2024-07-11,0.17542,134788000,23217342.32
TQBR,2024-07-12,0.17666,63825000,11275722.32
TQBR,2024-07-15,0.17954,107012000,19308721.38
TQBR,2024-07-16,0.18024,91426000,16338273.48
TQBR,2024-07-17,0.18076,118361000,21198186.28
TQBR,2024-07-18,0.17704,105891000,18724471.54
TQBR,2024-07-19,0.17878,62434000,10996960.54
TQBR,2024-07-22,0.1798,69196000,12453680.88
TQBR,2024-07-23,0.1812,60475000,10922907.76
TQBR,2024-07-24,0.18124,70003000,12639833.78
TQBR,2024-07-25,0.1832,80633000,14774192.48
TQBR,2024-07-26,0.1835,92112000,16901597.68
TQBR,2024-07-29,0.17988,95631000,16974966.66
TQBR,2024-07-30,0.18096,52146000,9392094.12
TQBR,2024-07-31,0.18198,58853000,10713123.82
TQBR,2024-08-01,0.1855,64989000,11920360.76
TQBR,2024-08-02,0.18834,83689000,15715140.98
TQBR,2024-08-05,0.1839,89153000,16460481.06
TQBR,2024-08-06,0.1842,59513000,10965983.32
TQBR,2024-08-07,0.1845,34662000,6363556.54
TQBR,2024-08-08,0.18426,21914000,4032113.66
TQBR,2024-08-09,0.18398,18015000,3309457.12
TQBR,2024-08-12,0.18206,60272000,10942728.32
TQBR,2024-08-13,0.1843,32796000,6036074.24
TQBR,2024-08-14,0.18186,87098000,15948685.28
TQBR,2024-08-15,0.18216,36438000,6608418.1
TQBR,2024-08-16,0.18298,49430000,9049603.64
TQBR,2024-08-19,0.18102,51015000,9284118.76
TQBR,2024-08-20,0.1817,46399000,8409413.56
TQBR,2024-08-21,0.1814,83039000,15087172.6
TQBR,2024-08-22,0.1791,55765000,10063359.38
TQBR,2024-08-23,0.17894,78359000,13989469.4
TQBR,2024-08-26,0.1801,57796000,10418583.18
TQBR,2024-08-27,0.1777,77510000,13879005.98
TQBR,2024-08-28,0.1754,34075000,5995694.42
TQBR,2024-08-29,0.17778,74512000,13242169.86
TQBR,2024-08-30,0.1781,117697000,21061408.28
TQBR,2024-09-02,0.1718,50126000,8712775.9
TQBR,2024-09-03,0.1724,67533000,11709673.56
TQBR,2024-09-04,0.1742,22832000,3967595.76
TQBR,2024-09-05,0.175,54089000,9481702.66
TQBR,2024-09-06,0.17526,18086000,3165285.96
TQBR,2024-09-09,0.17542,35303000,6175732.0
TQBR,2024-09-10,0.17472,23323000,4094316.08
TQBR,2024-09-11,0.1744,16312000,2851405.84
TQBR,2024-09-12,0.17242,30249000,5237029.74
