BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2020-02-18,,0,0.0
TQBR,2020-02-19,,0,0.0
TQBR,2020-02-20,814.0,5552,4738171.3
TQBR,2020-02-21,800.0,5769,4739039.3
TQBR,2020-02-25,763.2,2812,2190671.9
TQBR,2020-02-26,755.0,5149,3845026.5
TQBR,2020-02-27,736.3,1967,1472132.1
TQBR,2020-02-28,721.0,4766,3448134.4
TQBR,2020-03-02,731.0,4377,3181306.3
TQBR,2020-03-03,739.7,2004,1494711.3
TQBR,2020-03-04,736.0,799,586116.7
TQBR,2020-03-05,720.3,1597,1154658.9
TQBR,2020-03-06,679.9,5244,3565450.7
TQBR,2020-03-10,636.0,6515,4067032.8
TQBR,2020-03-11,641.4,1074,685704.8
TQBR,2020-03-12,582.0,9107,5225867.0
TQBR,2020-03-13,589.9,4936,2842659.8
TQBR,2020-03-16,566.6,3107,1770462.3
TQBR,2020-03-17,566.3,4909,2723051.4
TQBR,2020-03-18,540.8,7489,4077430.5
TQBR,2020-03-19,542.3,2722,1462894.5
TQBR,2020-03-20,564.6,18319,10320499.8
TQBR,2020-03-23,560.2,10228,5707197.8
TQBR,2020-03-24,580.0,14447,8195936.2
TQBR,2020-03-25,590.0,43429,25662992.3
TQBR,2020-03-26,581.7,8881,5192071.0
TQBR,2020-03-27,561.7,14788,8424391.0
TQBR,2020-03-30,553.0,18208,10072630.6
TQBR,2020-03-31,552.2,25988,14300681.7
TQBR,2020-04-01,551.9,33513,18449894.8
TQBR,2020-04-02,550.5,26439,14524358.7
TQBR,2020-04-03,548.0,62079,34040065.7
TQBR,2020-04-06,550.7,41318,22710633.4
TQBR,2020-04-07,555.7,55287,30699752.3
TQBR,2020-04-08,568.8,39116,21752419.6
TQBR,2020-04-09,559.7,43993,24517938.0
TQBR,2020-04-10,553.8,17097,9556153.8
TQBR,2020-04-13,549.5,46972,25859469.6
TQBR,2020-04-14,557.0,24969,13815492.9
TQBR,2020-04-15,561.0,80063,44200852.9
TQBR,2020-04-16,572.1,36359,20504124.0
TQBR,2020-04-17,572.0,33685,19031476.0
TQBR,2020-04-20,568.9,6109,3470542.0
TQBR,2020-04-21,553.9,14806,8240945.4
TQBR,2020-04-22,577.0,21777,12354354.9
TQBR,2020-04-23,597.4,39003,22964446.6
TQBR,2020-04-24,618.8,46545,28523031.2
TQBR,2020-04-27,660.0,49044,31736144.2
TQBR,2020-04-28,636.0,11460,7423612.4
TQBR,2020-04-29,628.5,11366,7196594.5
TQBR,2020-04-30,620.0,18188,11386152.8
TQBR,2020-05-04,655.0,48823,31520230.5
TQBR,2020-05-05,648.0,6689,4349782.5
TQBR,2020-05-06,644.0,2150,1389220.0
TQBR,2020-05-07,637.0,10882,6960521.0
TQBR,2020-05-08,630.0,2501,1581378.0
TQBR,2020-05-12,620.5,3813,2392453.0
TQBR,2020-05-13,615.0,23331,14329208.5
TQBR,2020-05-14,607.0,14182,8644418.5
TQBR,2020-05-15,604.5,14266,8586245.0
TQBR,2020-05-18,605.0,9304,5635849.5
TQBR,2020-05-19,600.0,7363,4429596.0
TQBR,2020-05-20,605.0,31064,19020958.5
TQBR,2020-05-21,601.0,5091,3070235.5
TQBR,2020-05-22,594.0,53714,31923031.5
TQBR,2020-05-25,616.0,39723,24292489.0
TQBR,2020-05-26,612.0,39333,24323663.0
TQBR,2020-05-27,612.5,116099,70945707.0
TQBR,2020-05-28,620.0,22436,13805307.5
TQBR,2020-05-29,618.0,48116,29744984.5
TQBR,2020-06-01,622.0,27574,17066105.5
TQBR,2020-06-02,626.5,19019,11891772.0
TQBR,2020-06-03,622.5,14042,8793395.5
TQBR,2020-06-04,593.0,125388,75867607.5
TQBR,2020-06-05,609.0,8688,5271835.5
TQBR,2020-06-08,611.0,7047,4324191.5
TQBR,2020-06-09,618.0,39166,24044949.5
TQBR,2020-06-10,621.0,21047,13032379.5
TQBR,2020-06-11,603.0,14335,8707182.0
TQBR,2020-06-15,598.5,11269,6720451.0
TQBR,2020-06-16,605.5,8936,5402261.0
TQBR,2020-06-17,604.5,2902,1761426.5
TQBR,2020-06-18,604.5,3761,2263120.0
TQBR,2020-06-19,605.0,5468,3316136.0
TQBR,2020-06-22,598.0,23775,14259823.0
TQBR,2020-06-23,599.5,9247,5520189.0
TQBR,2020-06-25,585.0,25572,14963951.5
TQBR,2020-06-26,592.0,34399,20393190.5
TQBR,2020-06-29,595.0,17473,10303720.5
TQBR,2020-06-30,585.5,91537,53626387.0
TQBR,2020-07-02,590.0,4040,2394425.0
TQBR,2020-07-03,592.0,3571,2118455.0
TQBR,2020-07-06,587.5,12307,7337454.0
TQBR,2020-07-07,588.5,15968,9427536.5
TQBR,2020-07-08,587.5,5755,3377109.0
TQBR,2020-07-09,583.5,5535,3230486.0
TQBR,2020-07-10,585.5,4912,2873551.5
TQBR,2020-07-13,580.5,8669,5051422.0
TQBR,2020-07-14,590.5,26111,15222942.0
TQBR,2020-07-15,587.5,9792,5799565.5
TQBR,2020-07-16,590.0,2044,1199479.5
TQBR,2020-07-17,597.5,13463,8007678.0
TQBR,2020-07-20,591.5,34505,20584358.0
TQBR,2020-07-21,592.5,46044,27305635.5
TQBR,2020-07-22,632.0,95441,58254133.5
TQBR,2020-07-23,662.5,92298,60292591.5
TQBR,2020-07-24,686.0,53485,36041510.5
TQBR,2020-07-27,731.5,67673,48885627.0
TQBR,2020-07-28,747.5,94764,68284933.0
TQBR,2020-07-29,744.0,67566,50116171.0
TQBR,2020-07-30,751.0,72664,54283246.5
TQBR,2020-07-31,751.5,73313,55432558.5
TQBR,2020-08-03,735.0,19767,14722908.5
TQBR,2020-08-04,704.5,32846,23520120.0
TQBR,2020-08-05,706.0,36619,25910852.0
TQBR,2020-08-06,687.5,27269,19055336.5
TQBR,2020-08-07,693.0,9908,6840132.5
TQBR,2020-08-10,685.5,15035,10404928.0
TQBR,2020-08-11,688.5,13649,9398699.5
TQBR,2020-08-12,679.0,18637,12720461.0
TQBR,2020-08-13,670.0,20849,14028023.0
TQBR,2020-08-14,670.0,7179,4803998.0
TQBR,2020-08-17,668.5,17417,11775486.0
TQBR,2020-08-18,662.0,15306,10209255.0
TQBR,2020-08-19,670.0,12894,8604953.5
TQBR,2020-08-20,666.0,12809,8579944.5
TQBR,2020-08-21,672.0,22917,15472243.0
TQBR,2020-08-24,700.0,65862,46015378.0
TQBR,2020-08-25,702.5,29500,20718838.5
TQBR,2020-08-26,694.5,17388,12142932.0
TQBR,2020-08-27,684.5,18555,12760751.5
TQBR,2020-08-28,687.5,15180,10326241.0
TQBR,2020-08-31,691.0,6789,4705135.0
TQBR,2020-09-01,685.0,18498,12712122.0
TQBR,2020-09-02,670.0,24320,16463739.5
TQBR,2020-09-03,667.5,28591,19241569.5
TQBR,2020-09-04,659.0,23522,15562720.0
TQBR,2020-09-07,662.0,9379,6199788.5
TQBR,2020-09-08,650.5,9145,5976039.5
TQBR,2020-09-09,644.0,8112,5234425.0
TQBR,2020-09-10,642.0,12654,8097780.0
TQBR,2020-09-11,645.0,7576,4861698.0
TQBR,2020-09-14,650.5,24432,15920139.0
TQBR,2020-09-15,671.0,42253,28174844.0
TQBR,2020-09-16,668.0,9825,6559246.0
TQBR,2020-09-17,669.5,8737,5813353.0
TQBR,2020-09-18,661.0,21142,13940181.0
TQBR,2020-09-21,651.0,14811,9643525.0
TQBR,2020-09-22,687.0,64862,43738835.0
TQBR,2020-09-23,690.0,28339,19464554.0
TQBR,2020-09-24,697.5,36511,25303992.0
TQBR,2020-09-25,697.5,79721,55725235.0
TQBR,2020-09-28,704.5,203671,142635390.5
TQBR,2020-09-29,701.0,19882,13939071.0
TQBR,2020-09-30,707.0,76003,55082905.0
TQBR,2020-10-01,702.5,14043,9910068.5
TQBR,2020-10-02,705.5,26750,18771958.0
TQBR,2020-10-05,712.0,11333,8034147.5
TQBR,2020-10-06,705.0,9263,6585968.0
TQBR,2020-10-07,705.0,213666,149971087.0
TQBR,2020-10-08,700.0,4755,3343583.5
TQBR,2020-10-09,695.5,6513,4518848.5
TQBR,2020-10-12,696.0,4986,3476850.5
TQBR,2020-10-13,697.5,7356,5120010.5
TQBR,2020-10-14,705.5,201330,141129295.5
TQBR,2020-10-15,702.5,6296,4411759.5
TQBR,2020-10-16,703.0,22670,15918992.0
TQBR,2020-10-19,718.0,53658,38314485.5
TQBR,2020-10-20,713.5,55953,40201932.0
TQBR,2020-10-21,708.0,25873,18455739.0
TQBR,2020-10-22,700.0,52239,36753818.0
TQBR,2020-10-23,693.5,7462,5200416.5
TQBR,2020-10-26,697.0,22025,15393260.5
TQBR,2020-10-27,686.5,17775,12272184.5
TQBR,2020-10-28,639.0,123366,80170640.5
TQBR,2020-10-29,656.5,22392,14572337.0
TQBR,2020-10-30,660.0,10178,6655485.0
TQBR,2020-11-02,671.0,32091,21301569.0
TQBR,2020-11-03,677.5,19100,12917561.5
TQBR,2020-11-05,692.5,13161,9065021.5
TQBR,2020-11-06,698.0,9947,6898976.0
TQBR,2020-11-09,701.0,24010,16893537.0
TQBR,2020-11-10,692.0,23157,16230294.5
TQBR,2020-11-11,693.5,4860,3389910.0
TQBR,2020-11-12,698.5,4697,3268317.5
TQBR,2020-11-13,695.0,20461,14294264.5
TQBR,2020-11-16,703.5,18379,12950745.0
TQBR,2020-11-17,694.0,8555,5977832.0
TQBR,2020-11-18,699.0,40204,28113506.5
TQBR,2020-11-19,705.5,107406,76106789.0
TQBR,2020-11-20,705.5,38279,27167470.0
TQBR,2020-11-23,709.0,59766,42935887.5
TQBR,2020-11-24,716.5,26214,18645978.0
TQBR,2020-11-25,735.5,98796,71726168.0
TQBR,2020-11-26,731.5,29610,21681453.0
TQBR,2020-11-27,727.0,19910,14514883.5
TQBR,2020-11-30,723.5,22860,16607653.5
TQBR,2020-12-01,755.0,208841,156217904.5
TQBR,2020-12-02,778.0,97717,75098163.5
TQBR,2020-12-03,763.5,63449,48440338.5
TQBR,2020-12-04,774.0,37544,28885445.5
TQBR,2020-12-07,770.0,44112,34040639.0
TQBR,2020-12-08,767.0,12060,9289818.5
TQBR,2020-12-09,776.0,32280,25128222.5
TQBR,2020-12-10,784.0,11943,9325662.5
TQBR,2020-12-11,788.5,12001,9436954.5
TQBR,2020-12-14,790.5,114057,91164293.5
TQBR,2020-12-15,790.0,23918,18738785.5
TQBR,2020-12-16,782.0,18557,14511011.0
TQBR,2020-12-17,751.0,37035,28368999.0
TQBR,2020-12-18,731.0,59224,44508004.5
TQBR,2020-12-21,696.0,31195,22184365.5
TQBR,2020-12-22,735.0,76385,54810123.0
TQBR,2020-12-23,730.0,17403,12680254.5
TQBR,2020-12-24,755.0,30068,22307082.0
TQBR,2020-12-25,756.0,4455,3358005.0
TQBR,2020-12-28,748.0,8384,6275944.0
TQBR,2020-12-29,778.0,34871,26703513.0
TQBR,2020-12-30,770.0,4774,3694471.5
TQBR,2021-01-04,770.5,12599,9721073.0
TQBR,2021-01-05,783.0,16997,13205312.0
TQBR,2021-01-06,800.0,33290,26632404.0
TQBR,2021-01-08,827.5,24606,20135889.5
TQBR,2021-01-11,837.0,23963,19966810.5
TQBR,2021-01-12,839.0,20892,17713897.5
TQBR,2021-01-13,813.5,12126,10027592.5
TQBR,2021-01-14,812.5,9604,7872560.5
TQBR,2021-01-15,794.0,11362,9160719.5
TQBR,2021-01-18,816.0,15250,12437903.0
TQBR,2021-01-19,795.5,18464,15058867.0
TQBR,2021-01-20,800.0,6815,5463980.5
TQBR,2021-01-21,780.5,7923,6236278.0
TQBR,2021-01-22,755.5,21308,16158723.5
TQBR,2021-01-25,774.0,9974,7691688.0
TQBR,2021-01-26,771.0,4708,3619977.0
TQBR,2021-01-27,772.0,16831,13075189.5
TQBR,2021-01-28,772.0,10143,7780737.0
TQBR,2021-01-29,762.5,7960,6084124.5
TQBR,2021-02-01,759.5,21378,16119210.5
TQBR,2021-02-02,743.0,34816,26274980.5
TQBR,2021-02-03,741.0,19652,14703241.0
TQBR,2021-02-04,744.5,18259,13671324.5
TQBR,2021-02-05,747.0,9906,7417699.5
TQBR,2021-02-08,763.0,23948,18186041.5
TQBR,2021-02-09,762.0,55238,41677858.5
TQBR,2021-02-10,781.0,50158,38851239.5
TQBR,2021-02-11,784.0,32716,25474692.5
TQBR,2021-02-12,769.0,16865,12950091.0
TQBR,2021-02-15,772.0,17481,13584017.5
TQBR,2021-02-16,755.0,41759,31760414.0
TQBR,2021-02-17,760.5,20385,15706273.5
TQBR,2021-02-18,759.5,27425,20981136.5
TQBR,2021-02-19,761.5,25717,19593470.5
TQBR,2021-02-20,766.5,33686,25886624.0
TQBR,2021-02-22,766.0,32563,25091418.5
TQBR,2021-02-24,752.5,32980,24786902.5
TQBR,2021-02-25,759.0,13560,10280498.0
TQBR,2021-02-26,744.0,14909,11080924.0
TQBR,2021-03-01,749.0,7664,5738612.0
TQBR,2021-03-02,745.5,13535,10113812.5
TQBR,2021-03-03,751.0,10646,7989362.5
TQBR,2021-03-04,744.5,7560,5612303.0
TQBR,2021-03-05,748.0,6141,4554391.0
TQBR,2021-03-09,752.5,11079,8311303.5
TQBR,2021-03-10,772.0,18881,14290660.5
TQBR,2021-03-11,799.0,41712,32991031.0
TQBR,2021-03-12,794.5,19246,15367180.0
TQBR,2021-03-15,820.5,33083,26938457.5
TQBR,2021-03-16,801.0,44624,35690495.5
TQBR,2021-03-17,788.5,18743,14836740.0
TQBR,2021-03-18,794.5,44005,34934969.0
TQBR,2021-03-19,797.5,17743,14113570.5
TQBR,2021-03-22,807.0,18178,14671565.0
TQBR,2021-03-23,832.0,77103,64025559.5
TQBR,2021-03-24,800.0,37345,30287739.0
TQBR,2021-03-25,770.0,81560,63375089.5
TQBR,2021-03-26,792.5,26644,21109496.5
TQBR,2021-03-29,808.0,83541,67568967.5
TQBR,2021-03-30,820.5,70974,58501027.0
TQBR,2021-03-31,818.5,98064,80619945.5
TQBR,2021-04-01,809.5,32201,26396515.5
TQBR,2021-04-02,826.5,47320,39163767.0
TQBR,2021-04-05,838.0,205726,172962122.5
TQBR,2021-04-06,818.0,131264,107626868.0
TQBR,2021-04-07,842.0,97785,82752181.0
TQBR,2021-04-08,847.5,30891,26228509.0
TQBR,2021-04-09,838.5,32672,27650891.5
TQBR,2021-04-12,860.0,156098,132004690.5
TQBR,2021-04-13,854.5,116833,100687700.0
TQBR,2021-04-14,881.5,65571,57228825.5
TQBR,2021-04-15,861.5,122838,107647297.5
TQBR,2021-04-16,905.0,173619,155286616.0
TQBR,2021-04-19,906.5,75923,70109782.5
TQBR,2021-04-20,900.5,40966,37230543.0
TQBR,2021-04-21,920.0,28511,26267271.5
TQBR,2021-04-22,900.0,51710,47011558.5
TQBR,2021-04-23,906.5,21580,19536536.0
TQBR,2021-04-26,904.0,29869,27088161.5
TQBR,2021-04-27,890.5,55851,50157299.5
TQBR,2021-04-28,879.5,22685,20015948.0
TQBR,2021-04-29,879.0,19162,16969532.5
TQBR,2021-04-30,860.0,43102,37651842.0
TQBR,2021-05-04,884.0,63809,56584363.0
TQBR,2021-05-05,893.5,16693,14973293.0
TQBR,2021-05-06,920.5,40662,36904457.5
TQBR,2021-05-07,924.5,62029,57588908.0
TQBR,2021-05-10,962.0,42609,40338409.5
TQBR,2021-05-11,947.5,59932,56977135.0
TQBR,2021-05-12,951.5,80117,76865611.0
TQBR,2021-05-13,941.0,48074,45210234.0
TQBR,2021-05-14,950.5,61468,59186308.5
TQBR,2021-05-17,959.0,36414,34652791.0
TQBR,2021-05-18,935.0,156230,150530283.5
TQBR,2021-05-19,891.0,60541,55138907.5
TQBR,2021-05-20,897.5,93918,84153761.0
TQBR,2021-05-21,899.0,72008,64875860.0
TQBR,2021-05-24,889.5,42862,38277960.5
TQBR,2021-05-25,890.5,32766,29331971.5
TQBR,2021-05-26,881.0,41702,37061274.0
TQBR,2021-05-27,880.0,72776,64138729.5
TQBR,2021-05-28,882.5,52064,46085731.0
TQBR,2021-05-31,905.0,44306,40126123.0
TQBR,2021-06-01,893.5,80192,72170517.0
TQBR,2021-06-02,901.5,38824,34782687.5
TQBR,2021-06-03,886.0,154595,137881827.5
TQBR,2021-06-04,877.0,98654,87333603.0
TQBR,2021-06-07,887.0,70408,62447015.5
TQBR,2021-06-08,893.5,174161,155660879.0
TQBR,2021-06-09,882.0,113253,100220055.0
TQBR,2021-06-10,886.0,57229,50663101.0
TQBR,2021-06-11,885.0,55579,49429875.0
TQBR,2021-06-14,887.0,25394,22582759.0
TQBR,2021-06-15,878.0,36643,32323796.5
TQBR,2021-06-16,877.5,20916,18384872.0
TQBR,2021-06-17,870.0,105002,91265780.0
TQBR,2021-06-18,860.5,33553,28905452.0
TQBR,2021-06-21,867.0,38960,33308347.0
TQBR,2021-06-22,877.5,28535,24983692.0
TQBR,2021-06-23,890.0,385053,342270990.0
TQBR,2021-06-24,855.0,519817,455378204.5
TQBR,2021-06-25,840.5,73455,62092228.5
TQBR,2021-06-28,825.0,97806,81537177.5
TQBR,2021-06-29,795.0,198504,159078190.0
TQBR,2021-06-30,788.5,354569,277362174.5
TQBR,2021-07-01,788.5,77420,61446793.5
TQBR,2021-07-02,810.0,60072,48153722.5
TQBR,2021-07-05,830.0,58543,48300667.5
TQBR,2021-07-06,800.0,44968,36812427.0
TQBR,2021-07-07,804.5,39863,32358478.0
TQBR,2021-07-08,793.5,52712,41978355.0
TQBR,2021-07-09,797.5,36124,28952094.5
TQBR,2021-07-12,800.0,24476,19582721.5
TQBR,2021-07-13,793.0,40584,32501930.0
TQBR,2021-07-14,793.0,23301,18556257.0
TQBR,2021-07-15,780.0,46435,36603998.0
TQBR,2021-07-16,789.0,100775,79091599.0
TQBR,2021-07-19,757.5,168456,127932604.0
TQBR,2021-07-20,754.5,50182,38040177.0
TQBR,2021-07-21,759.5,20375,15518515.5
TQBR,2021-07-22,757.0,61784,46946272.5
TQBR,2021-07-23,762.0,52420,40080692.0
TQBR,2021-07-26,750.0,51821,39183786.0
TQBR,2021-07-27,738.0,74004,54965136.5
TQBR,2021-07-28,730.0,241237,177254993.5
TQBR,2021-07-29,736.5,353244,259393176.5
TQBR,2021-07-30,742.5,333936,247374711.0
TQBR,2021-08-02,740.0,228845,171001469.0
TQBR,2021-08-03,733.0,102499,75494796.5
TQBR,2021-08-04,735.5,84709,62186574.0
TQBR,2021-08-05,735.0,62500,46036197.0
TQBR,2021-08-06,722.0,75917,55757181.5
TQBR,2021-08-09,729.0,107782,78923752.0
TQBR,2021-08-10,729.0,134743,98387018.5
TQBR,2021-08-11,723.5,158492,114865662.5
TQBR,2021-08-12,724.5,55933,40568013.5
TQBR,2021-08-13,733.5,178103,130204573.5
TQBR,2021-08-16,731.5,66854,48765252.0
TQBR,2021-08-17,723.5,73764,53631211.5
TQBR,2021-08-18,739.0,137921,100026368.5
TQBR,2021-08-19,725.0,95136,69590444.5
TQBR,2021-08-20,721.5,43758,31577282.5
TQBR,2021-08-23,728.0,75345,54807042.5
TQBR,2021-08-24,727.0,95410,69660025.0
TQBR,2021-08-25,728.0,49955,36390693.0
TQBR,2021-08-26,727.5,102198,74467985.0
TQBR,2021-08-27,731.0,88261,64378899.5
TQBR,2021-08-30,737.5,112680,82408740.5
TQBR,2021-08-31,740.0,365946,274348679.0
TQBR,2021-09-01,745.0,216203,161666202.5
TQBR,2021-09-02,755.0,1152863,877280095.5
TQBR,2021-09-03,770.5,815725,626431927.5
TQBR,2021-09-06,780.5,1195896,941743101.5
TQBR,2021-09-07,814.0,611856,494472359.5
TQBR,2021-09-08,852.0,754018,637584482.5
TQBR,2021-09-09,838.0,405372,342348439.0
TQBR,2021-09-10,842.5,370970,312259055.0
TQBR,2021-09-13,835.5,421213,356635432.5
TQBR,2021-09-14,805.5,458955,373514591.5
TQBR,2021-09-15,796.0,228977,184558872.5
TQBR,2021-09-16,775.0,195145,153044613.0
TQBR,2021-09-17,801.0,253651,202678802.5
TQBR,2021-09-20,781.0,238656,186565815.5
TQBR,2021-09-21,794.5,163310,131027478.5
TQBR,2021-09-22,815.0,209186,171218041.0
TQBR,2021-09-23,815.0,143362,117202195.5
TQBR,2021-09-24,793.5,89581,71500457.5
TQBR,2021-09-27,818.5,241704,194993639.0
TQBR,2021-09-28,813.5,357344,293792473.5
TQBR,2021-09-29,823.5,222426,182867644.0
TQBR,2021-09-30,826.0,125685,104306501.0
TQBR,2021-10-01,827.0,148510,122038954.5
TQBR,2021-10-04,836.0,266366,223071218.5
TQBR,2021-10-05,834.5,413099,348138546.5
TQBR,2021-10-06,832.0,171266,143544827.5
TQBR,2021-10-07,833.0,455956,379913919.0
TQBR,2021-10-08,830.0,663728,552405118.5
TQBR,2021-10-11,857.0,1157407,988029697.5
TQBR,2021-10-12,907.5,640248,570292435.0
TQBR,2021-10-13,892.0,388292,350263283.0
TQBR,2021-10-14,945.0,838992,778111605.0
TQBR,2021-10-15,967.5,620367,595410463.5
TQBR,2021-10-18,967.0,430334,419349614.0
TQBR,2021-10-19,930.0,681281,645159196.0
TQBR,2021-10-20,973.5,420087,403322361.5
TQBR,2021-10-21,935.5,327628,311137888.5
TQBR,2021-10-22,936.5,294776,275073498.5
TQBR,2021-10-25,969.5,304417,292400049.5
TQBR,2021-10-26,960.0,279924,269932681.0
TQBR,2021-10-27,922.5,268645,249369866.0
TQBR,2021-10-28,891.5,505679,449231600.5
TQBR,2021-10-29,870.0,228343,201117479.0
TQBR,2021-11-01,910.5,367832,332245395.5
TQBR,2021-11-02,867.5,306545,272674863.0
TQBR,2021-11-03,850.0,572762,488752241.5
TQBR,2021-11-05,821.0,363275,300707784.5
TQBR,2021-11-08,841.0,238270,201049605.0
TQBR,2021-11-09,858.0,542707,462075861.5
TQBR,2021-11-10,896.0,471232,415204619.0
TQBR,2021-11-11,880.0,258959,230539282.5
TQBR,2021-11-12,894.5,419928,371542855.5
TQBR,2021-11-15,879.5,201533,179096335.0
TQBR,2021-11-16,880.5,145490,128426088.5
TQBR,2021-11-17,876.0,174053,153274715.5
TQBR,2021-11-18,845.5,142155,121833855.0
TQBR,2021-11-19,813.5,436961,358053826.5
TQBR,2021-11-22,789.5,628959,490650646.5
TQBR,2021-11-23,824.5,354625,289798997.5
TQBR,2021-11-24,829.0,180657,151246145.5
TQBR,2021-11-25,843.5,113115,94768137.0
TQBR,2021-11-26,810.0,247786,200808165.0
TQBR,2021-11-29,833.0,103996,86074466.0
TQBR,2021-11-30,840.5,246485,208108169.0
TQBR,2021-12-01,882.0,205774,179133511.5
TQBR,2021-12-02,872.5,135404,118112171.0
TQBR,2021-12-03,853.5,85669,73701206.5
TQBR,2021-12-06,829.0,101297,84618438.5
TQBR,2021-12-07,853.0,144818,122029870.5
