BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2023-11-21,223.0,1254804,292037623.25
TQBR,2023-11-22,222.5,719827,157526999.65
TQBR,2023-11-23,241.25,515712,118443952.65
TQBR,2023-11-24,248.95,1232772,304024705.0
TQBR,2023-11-27,234.05,607492,146524497.8
TQBR,2023-11-28,245.0,205050,48857881.95
TQBR,2023-11-29,249.95,160654,39326633.55
TQBR,2023-11-30,245.5,83315,20402781.55
TQBR,2023-12-01,241.9,84210,20427457.85
TQBR,2023-12-04,241.95,91934,22264390.65
TQBR,2023-12-05,241.75,82886,20062192.4
TQBR,2023-12-06,233.25,145196,34666244.55
TQBR,2023-12-07,240.0,175973,41870530.85
TQBR,2023-12-08,248.0,209469,49774547.65
TQBR,2023-12-11,240.0,96953,23228597.2
TQBR,2023-12-12,239.0,34403,8160568.65
TQBR,2023-12-13,236.55,65917,15503630.2
TQBR,2023-12-14,235.8,47663,11217553.55
TQBR,2023-12-15,238.0,63498,14980966.25
TQBR,2023-12-18,238.3,111140,26448199.0
TQBR,2023-12-19,236.6,26282,6228791.35
TQBR,2023-12-20,237.0,25120,5947673.15
TQBR,2023-12-21,234.1,29121,6839199.6
TQBR,2023-12-22,234.85,144769,33916944.05
TQBR,2023-12-25,233.4,74500,17426131.65
TQBR,2023-12-26,231.55,59513,13756656.05
TQBR,2023-12-27,231.25,32912,7610790.7
TQBR,2023-12-28,236.8,119161,27590560.5
TQBR,2023-12-29,269.0,246985,61651291.8
TQBR,2024-01-03,260.0,353066,91868424.95
TQBR,2024-01-04,255.8,176213,44879412.5
TQBR,2024-01-05,264.0,126141,32348349.85
TQBR,2024-01-08,262.5,99520,25966275.85
TQBR,2024-01-09,365.4,1084895,312498724.8
TQBR,2024-01-10,395.0,7295744,2975219409.6
TQBR,2024-01-11,362.7,2692226,985532929.8
TQBR,2024-01-12,347.0,1463023,506350470.0
TQBR,2024-01-15,333.0,1006068,337515215.0
TQBR,2024-01-16,352.8,6884588,2520699101.05
TQBR,2024-01-17,350.85,1408971,492465142.55
TQBR,2024-01-18,344.0,607488,209593254.55
TQBR,2024-01-19,339.9,730218,248364069.6
TQBR,2024-01-22,340.0,1402342,483378796.95
TQBR,2024-01-23,340.5,632561,214311477.3
TQBR,2024-01-24,346.6,1112528,381786374.4
TQBR,2024-01-25,344.8,708848,243116094.85
TQBR,2024-01-26,340.2,1035659,356826416.75
TQBR,2024-01-29,337.0,420416,141907685.95
TQBR,2024-01-30,332.0,665747,220614221.1
TQBR,2024-01-31,321.95,1230837,398711756.35
TQBR,2024-02-01,307.8,1084466,338796287.7
TQBR,2024-02-02,320.0,3330867,1070969427.05
TQBR,2024-02-05,322.4,1440057,461963162.4
TQBR,2024-02-06,316.15,811570,257792541.15
TQBR,2024-02-07,325.8,1398981,446385936.25
TQBR,2024-02-08,315.5,1373960,437971194.25
TQBR,2024-02-09,307.2,605535,187419674.55
