BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.05968,3624980000,218097782.1
TQBR,2014-06-10,0.05965,3298900000,197383415.2
TQBR,2014-06-11,0.06015,5055990000,304270812.4
TQBR,2014-06-16,0.0592,4395110000,260901331.0
TQBR,2014-06-17,0.05808,3746530000,220435706.3
TQBR,2014-06-18,0.05875,5270550000,309804053.2
TQBR,2014-06-19,0.059,4480050000,265752367.6
TQBR,2014-06-20,0.05725,5107330000,298984323.4
TQBR,2014-06-23,0.0583,3247370000,188686402.6
TQBR,2014-06-24,0.05982,4284700000,253916267.0
TQBR,2014-06-25,0.05919,3029350000,179009694.7
TQBR,2014-06-26,0.0598,4491260000,267364200.0
TQBR,2014-06-27,0.059,2025570000,120122788.0
TQBR,2014-06-30,0.05886,1848470000,108991776.0
TQBR,2014-07-01,0.05895,1726200000,101348827.9
TQBR,2014-07-02,0.05954,2972800000,176191033.9
TQBR,2014-07-03,0.06097,6462680000,392875492.8
TQBR,2014-07-04,0.05929,3779560000,228052960.0
TQBR,2014-07-07,0.06024,2078820000,124102735.4
TQBR,2014-07-08,0.05913,3279760000,196068865.4
TQBR,2014-07-09,0.05882,2790660000,164432814.8
TQBR,2014-07-10,0.05766,3720100000,217630915.3
TQBR,2014-07-11,0.05837,2048850000,118832006.2
TQBR,2014-07-14,0.05797,2328320000,134947780.4
TQBR,2014-07-15,0.05724,2352710000,134947442.6
TQBR,2014-07-16,0.05706,2133670000,122744249.3
TQBR,2014-07-17,0.05608,3296710000,183783677.4
TQBR,2014-07-18,0.05451,3742570000,203728223.9
TQBR,2014-07-21,0.05413,3864640000,210176940.4
TQBR,2014-07-22,0.05481,2301010000,125962461.5
TQBR,2014-07-23,0.05428,4908350000,264558236.7
TQBR,2014-07-24,0.0536,1595250000,85233718.3
TQBR,2014-07-25,0.0534,2983580000,160289546.3
TQBR,2014-07-28,0.05143,3563310000,184754748.7
TQBR,2014-07-29,0.0518,4343400000,225448670.2
TQBR,2014-07-30,0.05284,2609030000,137279344.8
TQBR,2014-07-31,0.05259,1814720000,95926156.6
TQBR,2014-08-01,0.05379,2622770000,138802913.3
TQBR,2014-08-04,0.055,3866230000,211807800.5
TQBR,2014-08-05,0.05437,2424860000,131207794.7
TQBR,2014-08-06,0.05302,2156440000,115232404.5
TQBR,2014-08-07,0.05221,3562510000,185391607.4
TQBR,2014-08-08,0.05333,3372530000,178211792.3
TQBR,2014-08-11,0.05411,1376840000,74563245.1
TQBR,2014-08-12,0.05381,1557820000,83757182.7
TQBR,2014-08-13,0.05416,2458500000,133460661.7
TQBR,2014-08-14,0.05426,2148270000,116501413.2
TQBR,2014-08-15,0.05466,2319770000,126939611.7
TQBR,2014-08-18,0.05417,1706870000,93235153.4
TQBR,2014-08-19,0.05589,3146340000,173780466.1
TQBR,2014-08-20,0.05568,2752810000,154104699.9
TQBR,2014-08-21,0.05527,2306750000,128491156.4
TQBR,2014-08-22,0.05498,2051000000,112491038.0
TQBR,2014-08-25,0.05608,2296130000,127762249.3
TQBR,2014-08-26,0.05471,2340620000,130457873.5
TQBR,2014-08-27,0.05511,1821860000,100535407.0
TQBR,2014-08-28,0.0549,3545460000,193334168.8
TQBR,2014-08-29,0.054,2126950000,116081191.6
TQBR,2014-09-01,0.05383,3125390000,169180411.5
TQBR,2014-09-02,0.05431,1968950000,106500136.7
TQBR,2014-09-03,0.0562,4500930000,248910904.3
TQBR,2014-09-04,0.05522,4827220000,264420523.9
TQBR,2014-09-05,0.05505,3744120000,205762490.2
TQBR,2014-09-08,0.0547,1550990000,85143356.0
TQBR,2014-09-09,0.05575,4684290000,260838036.6
TQBR,2014-09-10,0.05569,3078880000,172348867.4
TQBR,2014-09-11,0.05568,3046410000,170476300.0
TQBR,2014-09-12,0.05622,1556380000,87137989.8
TQBR,2014-09-15,0.0558,2974490000,167535475.8
TQBR,2014-09-16,0.05618,2259900000,126201144.5
TQBR,2014-09-17,0.05538,2001570000,110908207.1
TQBR,2014-09-18,0.05593,1332210000,74469914.9
TQBR,2014-09-19,0.0567,3150130000,177481239.9
TQBR,2014-09-22,0.05761,4582120000,262898536.5
TQBR,2014-09-23,0.05721,2201860000,126489762.5
TQBR,2014-09-24,0.05683,1264170000,72463045.6
TQBR,2014-09-25,0.0569,1833160000,104753075.8
TQBR,2014-09-26,0.057,2197140000,124247278.8
TQBR,2014-09-29,0.0574,2508260000,144765247.3
TQBR,2014-09-30,0.05645,1891920000,107854635.5
TQBR,2014-10-01,0.05545,1404730000,78746341.3
TQBR,2014-10-02,0.0541,1818760000,99136842.1
TQBR,2014-10-03,0.05469,1092020000,59650203.9
TQBR,2014-10-06,0.05601,1343800000,74761405.0
TQBR,2014-10-07,0.05597,604460000,33743426.5
TQBR,2014-10-08,0.0547,1210950000,66616703.8
TQBR,2014-10-09,0.0552,1313800000,72511531.4
TQBR,2014-10-10,0.05471,2387750000,129876101.9
TQBR,2014-10-13,0.05523,1305990000,72140778.9
TQBR,2014-10-14,0.0563,1650840000,91984630.4
TQBR,2014-10-15,0.05508,872330000,48232803.5
TQBR,2014-10-16,0.05555,1574910000,86782338.3
TQBR,2014-10-17,0.05571,1138770000,63555745.5
TQBR,2014-10-20,0.05565,883820000,49216435.5
TQBR,2014-10-21,0.0558,1304890000,72160474.1
TQBR,2014-10-22,0.05461,1388500000,76446184.6
TQBR,2014-10-23,0.0538,2323750000,124848954.1
TQBR,2014-10-24,0.0538,734090000,39521755.0
TQBR,2014-10-27,0.05381,1904100000,103041894.6
TQBR,2014-10-28,0.0539,987130000,53417191.1
TQBR,2014-10-29,0.05402,2508930000,135056968.4
TQBR,2014-10-30,0.05422,1161640000,62633146.6
TQBR,2014-10-31,0.05361,1627820000,88093400.1
TQBR,2014-11-03,0.05488,1872570000,102001525.9
TQBR,2014-11-05,0.05452,1621320000,88348800.5
TQBR,2014-11-06,0.05408,2067550000,112982462.5
TQBR,2014-11-07,0.05407,1849900000,99849590.6
TQBR,2014-11-10,0.05458,1465940000,79658716.3
TQBR,2014-11-11,0.05509,2390340000,131580095.0
TQBR,2014-11-12,0.05475,1011060000,55512834.3
TQBR,2014-11-13,0.05397,1058870000,57545252.9
TQBR,2014-11-14,0.05373,993960000,53457173.6
TQBR,2014-11-17,0.05364,724680000,38936386.3
TQBR,2014-11-18,0.05406,1201310000,64957909.8
TQBR,2014-11-19,0.05378,870070000,46860339.2
