BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,3.345,14100,47537.1
TQBR,2014-06-10,3.4,9200,30817.6
TQBR,2014-06-11,3.395,20200,68458.9
TQBR,2014-06-16,3.467,147700,497261.0
TQBR,2014-06-17,3.427,25300,86309.4
TQBR,2014-06-18,3.453,145200,508310.1
TQBR,2014-06-19,3.361,87700,295913.5
TQBR,2014-06-20,3.37,41800,143836.5
TQBR,2014-06-23,3.437,2900,9815.6
TQBR,2014-06-24,3.469,8200,28237.3
TQBR,2014-06-25,3.45,35000,120188.0
TQBR,2014-06-26,3.418,102200,350944.5
TQBR,2014-06-27,3.409,201700,689057.5
TQBR,2014-06-30,3.352,12900,43332.5
TQBR,2014-07-01,3.333,46500,159807.2
TQBR,2014-07-02,3.396,37100,123411.5
TQBR,2014-07-03,3.301,19900,66689.9
TQBR,2014-07-04,3.3,53700,178153.0
TQBR,2014-07-07,3.372,178000,601609.2
TQBR,2014-07-08,3.305,87800,289549.5
TQBR,2014-07-09,3.3,48000,158986.3
TQBR,2014-07-10,3.26,74900,242279.3
TQBR,2014-07-11,3.165,148000,460769.7
TQBR,2014-07-14,3.192,6800,21514.8
TQBR,2014-07-15,3.147,6300,19666.0
TQBR,2014-07-16,3.094,175000,539505.8
TQBR,2014-07-17,3.019,121500,364977.8
TQBR,2014-07-18,3.004,102900,307723.3
TQBR,2014-07-21,2.926,203500,599157.6
TQBR,2014-07-22,3.09,665200,2016740.6
TQBR,2014-07-23,3.17,426900,1343603.8
TQBR,2014-07-24,3.18,180500,570105.8
TQBR,2014-07-25,3.133,39700,124364.5
TQBR,2014-07-28,3.04,42100,127968.0
TQBR,2014-07-29,3.119,217700,671178.9
TQBR,2014-07-30,3.121,607100,1906321.6
TQBR,2014-07-31,3.181,259800,825578.0
TQBR,2014-08-01,3.18,53300,169575.5
TQBR,2014-08-04,3.185,74300,236710.5
TQBR,2014-08-05,3.19,191700,611691.2
TQBR,2014-08-06,3.17,196000,621036.1
TQBR,2014-08-07,3.147,320700,1011847.7
TQBR,2014-08-08,3.16,65200,205769.4
TQBR,2014-08-11,3.165,26900,85130.0
TQBR,2014-08-12,3.15,161500,508336.5
TQBR,2014-08-13,3.145,12200,38366.5
TQBR,2014-08-14,3.15,20800,64888.2
TQBR,2014-08-15,3.148,23500,73289.4
TQBR,2014-08-18,3.172,3300,10433.6
TQBR,2014-08-19,3.246,61600,197753.9
