BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0
TQBR,2014-06-10,621.0,10,6210
TQBR,2014-06-11,,0,0
TQBR,2014-06-16,621.6,30,19406
TQBR,2014-06-17,620.3,120,74637
TQBR,2014-06-18,,0,0
TQBR,2014-06-19,649.8,8990,5798881
TQBR,2014-06-20,,0,0
TQBR,2014-06-23,,0,0
TQBR,2014-06-24,605.2,70,43093
TQBR,2014-06-25,639.8,10,6398
TQBR,2014-06-26,,0,0
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,,0,0
TQBR,2014-07-02,,0,0
TQBR,2014-07-03,,0,0
TQBR,2014-07-04,637.5,10,6375
TQBR,2014-07-07,,0,0
TQBR,2014-07-08,,0,0
TQBR,2014-07-09,614.0,80,49450
TQBR,2014-07-10,602.8,110,66328
TQBR,2014-07-11,602.5,50,30126
TQBR,2014-07-14,600.0,310,186671
TQBR,2014-07-15,,0,0
TQBR,2014-07-16,600.0,130,78001
TQBR,2014-07-17,,0,0
TQBR,2014-07-18,,0,0
TQBR,2014-07-21,,0,0
TQBR,2014-07-22,,0,0
TQBR,2014-07-23,,0,0
TQBR,2014-07-24,,0,0
TQBR,2014-07-25,,0,0
TQBR,2014-07-28,599.8,20,11759
TQBR,2014-07-29,600.0,20,12000
TQBR,2014-07-30,,0,0
TQBR,2014-07-31,,0,0
TQBR,2014-08-01,644.7,10,6447
TQBR,2014-08-04,580.0,20,11600
TQBR,2014-08-05,580.0,110,63800
TQBR,2014-08-06,,0,0
TQBR,2014-08-07,,0,0
TQBR,2014-08-08,,0,0
TQBR,2014-08-11,,0,0
TQBR,2014-08-12,575.0,630,341254
TQBR,2014-08-13,550.5,550,298762
TQBR,2014-08-14,540.0,60,32510
TQBR,2014-08-15,532.0,100,52768
TQBR,2014-08-18,,0,0
TQBR,2014-08-19,,0,0
TQBR,2014-08-20,530.0,1250,668972
TQBR,2014-08-21,531.0,100,52844
TQBR,2014-08-22,520.0,60,31200
TQBR,2014-08-25,,0,0
TQBR,2014-08-26,,0,0
TQBR,2014-08-27,520.0,300,156000
TQBR,2014-08-28,530.0,3680,1902873
TQBR,2014-08-29,520.0,120,62550
TQBR,2014-09-01,510.3,30,15309
TQBR,2014-09-02,512.0,70,35840
TQBR,2014-09-03,515.0,1650,832490
TQBR,2014-09-04,514.9,20,10201
TQBR,2014-09-05,488.0,420,207195
TQBR,2014-09-08,480.0,500,242922
TQBR,2014-09-09,499.9,20,9999
TQBR,2014-09-10,499.9,10,4999
TQBR,2014-09-11,499.0,30,14970
TQBR,2014-09-12,504.9,430,217054
TQBR,2014-09-15,,0,0
TQBR,2014-09-16,504.9,140,70682
TQBR,2014-09-17,,0,0
TQBR,2014-09-18,476.1,70,33327
TQBR,2014-09-19,,0,0
TQBR,2014-09-22,504.9,220,109028
TQBR,2014-09-23,476.3,10,4763
TQBR,2014-09-24,,0,0
TQBR,2014-09-25,480.0,70,33600
TQBR,2014-09-26,476.0,30,14281
TQBR,2014-09-29,450.0,230,107760
TQBR,2014-09-30,445.0,300,133939
TQBR,2014-10-01,445.0,220,98640
TQBR,2014-10-02,,0,0
TQBR,2014-10-03,445.0,310,137950
TQBR,2014-10-06,413.0,720,326700
TQBR,2014-10-07,405.0,1100,449610
TQBR,2014-10-08,429.0,110,47200
TQBR,2014-10-09,,0,0
TQBR,2014-10-10,393.0,380,154440
TQBR,2014-10-13,384.0,150,57800
TQBR,2014-10-14,400.0,110,44120
TQBR,2014-10-15,382.0,30,11800
TQBR,2014-10-16,,0,0
TQBR,2014-10-17,410.0,160,62210
TQBR,2014-10-20,,0,0
TQBR,2014-10-21,397.0,20,7940
TQBR,2014-10-22,399.0,20,7980
TQBR,2014-10-23,,0,0
TQBR,2014-10-24,354.0,10,3540
TQBR,2014-10-27,377.0,430,152680
TQBR,2014-10-28,358.0,70,25780
TQBR,2014-10-29,,0,0
TQBR,2014-10-30,390.0,50,18500
TQBR,2014-10-31,375.0,20,7700
TQBR,2014-11-03,392.0,10,3920
TQBR,2014-11-05,369.0,410,146840
TQBR,2014-11-06,386.0,10,3860
TQBR,2014-11-07,406.0,510,200930
TQBR,2014-11-10,405.0,620,233250
TQBR,2014-11-11,409.0,20,8180
TQBR,2014-11-12,376.0,70,26360
TQBR,2014-11-13,370.0,140,51830
TQBR,2014-11-14,372.0,40,15390
TQBR,2014-11-17,399.0,40,15940
TQBR,2014-11-18,,0,0
TQBR,2014-11-19,397.0,110,42520
TQBR,2014-11-20,,0,0
TQBR,2014-11-21,400.0,440,174850
TQBR,2014-11-24,400.0,110,44170
TQBR,2014-11-25,,0,0
TQBR,2014-11-26,,0,0
TQBR,2014-11-27,,0,0
TQBR,2014-11-28,400.0,20,8200
TQBR,2014-12-01,377.0,580,218710
TQBR,2014-12-02,349.0,980,353190
TQBR,2014-12-03,354.0,2000,693580
TQBR,2014-12-04,355.0,290,104240
TQBR,2014-12-05,353.0,20,7070
TQBR,2014-12-08,357.0,320,118080
TQBR,2014-12-09,353.0,80,29890
TQBR,2014-12-10,355.0,610,217000
TQBR,2014-12-11,350.0,830,290500
TQBR,2014-12-12,,0,0
TQBR,2014-12-15,,0,0
TQBR,2014-12-16,362.0,1070,383550
TQBR,2014-12-17,,0,0
TQBR,2014-12-18,330.0,1890,622530
TQBR,2014-12-19,338.0,340,111210
TQBR,2014-12-22,335.0,520,177070
TQBR,2014-12-23,340.0,6950,2377600
TQBR,2014-12-24,356.0,110,39200
TQBR,2014-12-25,354.0,30,10500
TQBR,2014-12-26,340.0,3250,1110640
TQBR,2014-12-29,341.0,30,10770
TQBR,2014-12-30,319.0,2520,844940
TQBR,2015-01-05,325.0,30,9760
TQBR,2015-01-06,339.0,170,56910
TQBR,2015-01-08,349.0,190,66260
TQBR,2015-01-09,353.0,290,100610
TQBR,2015-01-12,349.0,20,7040
TQBR,2015-01-13,327.0,3630,1160380
TQBR,2015-01-14,321.0,510,163720
TQBR,2015-01-15,321.0,430,138030
TQBR,2015-01-16,,0,0
TQBR,2015-01-19,323.0,230,78320
TQBR,2015-01-20,323.0,130,42020
TQBR,2015-01-21,316.0,1160,374200
TQBR,2015-01-22,320.0,3890,1247540
TQBR,2015-01-23,320.0,210,67500
TQBR,2015-01-26,319.0,500,159860
TQBR,2015-01-27,314.0,1350,429490
TQBR,2015-01-28,306.0,230,70380
TQBR,2015-01-29,,0,0
TQBR,2015-01-30,325.0,150,48100
TQBR,2015-02-02,329.0,10,3290
TQBR,2015-02-03,335.0,290,96890
TQBR,2015-02-04,325.0,740,244220
TQBR,2015-02-05,320.0,920,295070
TQBR,2015-02-06,331.0,2200,727250
TQBR,2015-02-09,350.0,2360,832800
TQBR,2015-02-10,366.0,1120,402530
TQBR,2015-02-11,380.0,1610,610990
TQBR,2015-02-12,389.0,1560,607120
TQBR,2015-02-13,397.0,450,177000
TQBR,2015-02-16,417.0,1050,427830
TQBR,2015-02-17,424.0,2210,934870
TQBR,2015-02-18,459.0,890,412890
TQBR,2015-02-19,440.0,590,260950
TQBR,2015-02-20,440.0,70,30950
TQBR,2015-02-24,416.0,460,198660
TQBR,2015-02-25,438.0,3180,1431800
TQBR,2015-02-26,429.0,320,135820
TQBR,2015-02-27,447.0,300,127230
TQBR,2015-03-02,509.0,3700,1947320
TQBR,2015-03-03,495.0,3390,1623910
TQBR,2015-03-04,490.0,1130,579400
TQBR,2015-03-05,457.0,230,108300
TQBR,2015-03-06,475.0,950,430570
TQBR,2015-03-10,430.0,1730,761340
TQBR,2015-03-11,434.0,120,52380
TQBR,2015-03-12,423.0,260,111590
TQBR,2015-03-13,443.0,50,21710
TQBR,2015-03-16,450.0,410,177910
TQBR,2015-03-17,416.0,510,217350
TQBR,2015-03-18,416.0,390,166770
TQBR,2015-03-19,414.0,840,349330
TQBR,2015-03-20,438.0,30,13140
TQBR,2015-03-23,435.0,20,8710
TQBR,2015-03-24,432.0,670,287040
TQBR,2015-03-25,414.0,330,137000
TQBR,2015-03-26,409.0,40,16610
TQBR,2015-03-27,392.0,640,252910
TQBR,2015-03-30,390.0,190,74520
TQBR,2015-03-31,410.0,440,175480
TQBR,2015-04-01,444.0,3620,1593740
TQBR,2015-04-02,425.0,2610,1165160
TQBR,2015-04-03,436.0,270,118050
TQBR,2015-04-06,439.0,740,317600
TQBR,2015-04-07,443.0,180,80190
TQBR,2015-04-08,440.0,90,39800
TQBR,2015-04-09,438.0,630,276360
TQBR,2015-04-10,439.0,90,38210
TQBR,2015-04-13,440.0,640,283930
TQBR,2015-04-14,422.0,80,34050
TQBR,2015-04-15,441.0,990,435420
TQBR,2015-04-16,430.0,50,21410
TQBR,2015-04-17,439.0,120,52300
TQBR,2015-04-20,441.0,1770,792950
TQBR,2015-04-21,439.0,3350,1487150
TQBR,2015-04-22,439.0,140,60890
