BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2013-09-02,521.2,21,12059.4
TQBR,2013-09-03,529.6,342,178540.0
TQBR,2013-09-04,532.0,2,1064.0
TQBR,2013-09-05,540.9,2,1081.8
TQBR,2013-09-06,520.0,497,258064.7
TQBR,2013-09-09,515.0,2403,1233649.4
TQBR,2013-09-10,520.0,532,279820.6
TQBR,2013-09-11,529.0,73,37769.1
TQBR,2013-09-12,528.5,46,24215.6
TQBR,2013-09-13,501.0,1973,1004759.0
TQBR,2013-09-16,500.1,1000,499558.8
TQBR,2013-09-17,495.0,1740,867734.5
TQBR,2013-09-18,490.0,113,55574.5
TQBR,2013-09-19,485.0,486,238420.2
TQBR,2013-09-20,490.2,258,128737.2
TQBR,2013-09-23,499.8,43,21414.7
TQBR,2013-09-24,523.0,3168,1552584.5
TQBR,2013-09-25,500.3,2064,1030161.7
TQBR,2013-09-26,501.1,3,1510.7
TQBR,2013-09-27,513.9,1,513.9
TQBR,2013-09-30,500.0,274,137099.7
TQBR,2013-10-01,497.0,55,27331.2
TQBR,2013-10-02,499.8,75,37276.4
TQBR,2013-10-03,477.0,2894,1389067.2
TQBR,2013-10-04,490.2,209,103436.2
TQBR,2013-10-07,499.0,151,75411.2
TQBR,2013-10-08,504.9,1526,764916.6
TQBR,2013-10-09,505.0,1004,512556.7
TQBR,2013-10-10,500.2,3793,1896506.1
TQBR,2013-10-11,507.4,11,5507.4
TQBR,2013-10-14,500.5,73,36546.7
TQBR,2013-10-15,511.8,300,152552.1
TQBR,2013-10-16,519.0,364,187569.0
TQBR,2013-10-17,511.0,128,64753.3
TQBR,2013-10-18,520.4,705,351636.0
TQBR,2013-10-21,500.0,181,90526.4
TQBR,2013-10-22,499.0,285,142401.9
TQBR,2013-10-23,503.8,2,1007.3
TQBR,2013-10-24,504.8,5,2502.7
TQBR,2013-10-25,,0,0.0
TQBR,2013-10-28,510.0,3661,1830884.4
TQBR,2013-10-29,510.0,573,286612.9
TQBR,2013-10-30,496.0,335,173995.7
TQBR,2013-10-31,530.0,663,352117.6
TQBR,2013-11-01,532.2,1113,592038.7
TQBR,2013-11-05,542.7,5,2713.2
TQBR,2013-11-06,528.3,114,61456.2
TQBR,2013-11-07,535.0,291,154792.8
TQBR,2013-11-08,544.9,4,2179.6
TQBR,2013-11-11,541.6,170,92712.7
TQBR,2013-11-12,537.4,85,46222.5
TQBR,2013-11-13,535.0,570,307452.1
TQBR,2013-11-14,531.0,2239,1187233.3
TQBR,2013-11-15,538.0,219,115272.1
TQBR,2013-11-18,533.8,78,41612.2
TQBR,2013-11-19,524.8,580,302679.2
TQBR,2013-11-20,518.0,502,261614.3
TQBR,2013-11-21,518.0,72,37302.9
TQBR,2013-11-22,515.0,1738,901735.7
TQBR,2013-11-25,519.9,10556,5477486.5
TQBR,2013-11-26,526.7,4737,2443800.2
TQBR,2013-11-27,520.2,2451,1275745.8
TQBR,2013-11-28,526.8,85,44977.5
TQBR,2013-11-29,527.3,8,4132.3
TQBR,2013-12-02,510.0,361,186813.3
TQBR,2013-12-03,519.8,1,519.8
TQBR,2013-12-04,520.6,41,20769.0
TQBR,2013-12-05,554.1,5891,3222527.1
TQBR,2013-12-06,558.0,1454,812003.4
TQBR,2013-12-09,567.1,7651,4286289.6
TQBR,2013-12-10,561.0,194,108850.4
TQBR,2013-12-11,564.8,1281,715969.4
TQBR,2013-12-12,569.9,1033,590986.0
TQBR,2013-12-13,575.0,577,325683.5
TQBR,2013-12-16,565.0,609,345211.9
TQBR,2013-12-17,568.0,3089,1730074.4
TQBR,2013-12-18,568.4,232,129909.8
TQBR,2013-12-19,584.0,1023,592612.5
TQBR,2013-12-20,582.0,812,473901.9
TQBR,2013-12-23,576.5,279,159099.6
TQBR,2013-12-24,581.0,378,214579.2
TQBR,2013-12-25,576.8,171,97595.9
TQBR,2013-12-26,571.4,5149,2933170.7
TQBR,2013-12-27,581.0,1268,736741.4
TQBR,2013-12-30,583.8,58,33459.6
TQBR,2014-01-06,584.9,513,300251.4
TQBR,2014-01-08,563.0,159,91422.6
TQBR,2014-01-09,569.9,116,66206.8
TQBR,2014-01-10,579.6,2599,1481324.4
TQBR,2014-01-13,557.1,2150,1204482.8
TQBR,2014-01-14,578.3,942,539848.1
TQBR,2014-01-15,580.0,1690,978598.2
TQBR,2014-01-16,588.0,119,69922.7
TQBR,2014-01-17,592.1,3664,2161607.2
TQBR,2014-01-20,605.0,6516,3902377.0
TQBR,2014-01-21,610.7,8523,5144168.5
TQBR,2014-01-22,612.0,5715,3479141.9
TQBR,2014-01-23,615.0,4332,2673891.7
TQBR,2014-01-24,619.7,572,355868.5
TQBR,2014-01-27,614.8,31,18834.9
TQBR,2014-01-28,595.0,7062,4254999.7
TQBR,2014-01-29,613.0,18364,10995830.7
TQBR,2014-01-30,600.0,117,70713.2
TQBR,2014-01-31,592.8,155,92584.7
TQBR,2014-02-03,590.8,57,33670.3
TQBR,2014-02-04,603.7,1844,1080481.7
TQBR,2014-02-05,608.1,1076,661710.1
TQBR,2014-02-06,605.1,22,13775.3
TQBR,2014-02-07,617.8,10,6101.1
TQBR,2014-02-10,628.8,92,57120.9
TQBR,2014-02-11,617.8,71,44003.4
TQBR,2014-02-12,611.3,150,92300.5
TQBR,2014-02-13,609.6,157,95642.5
TQBR,2014-02-14,613.2,473,284727.4
TQBR,2014-02-17,611.7,130,79280.5
TQBR,2014-02-18,596.0,294,176433.4
TQBR,2014-02-19,640.6,2,1277.6
TQBR,2014-02-20,607.6,201,121401.8
TQBR,2014-02-21,613.0,249,150805.6
TQBR,2014-02-24,609.2,1,609.2
TQBR,2014-02-25,604.0,343,205950.5
TQBR,2014-02-26,609.9,344,208259.8
TQBR,2014-02-27,607.2,589,357310.6
TQBR,2014-02-28,606.2,687,416889.8
TQBR,2014-03-03,520.0,2939,1639977.3
TQBR,2014-03-04,550.0,48,25878.9
TQBR,2014-03-05,564.6,3,1671.3
TQBR,2014-03-06,550.3,64,35499.6
TQBR,2014-03-07,565.3,22,12202.7
TQBR,2014-03-11,566.8,11,6153.2
TQBR,2014-03-12,559.4,388,211955.9
TQBR,2014-03-13,540.0,466,245680.2
TQBR,2014-03-14,528.0,1265,659162.5
TQBR,2014-03-17,614.1,1366,807723.4
TQBR,2014-03-18,617.8,769,469843.0
TQBR,2014-03-19,630.0,2936,1775945.9
TQBR,2014-03-20,630.0,718,457435.4
TQBR,2014-03-21,633.0,30,18967.6
TQBR,2014-03-24,618.0,503,313431.6
TQBR,2014-03-25,610.1,1060,646150.7
TQBR,2014-03-26,619.5,1176,716913.2
TQBR,2014-03-27,590.0,1050,635214.9
TQBR,2014-03-28,560.3,678,392078.5
TQBR,2014-03-31,581.1,414,238153.1
TQBR,2014-04-01,561.1,813,464043.3
TQBR,2014-04-02,555.6,455,254268.3
TQBR,2014-04-03,554.3,211,119214.6
TQBR,2014-04-04,574.7,81,46107.6
TQBR,2014-04-07,567.0,529,296462.0
TQBR,2014-04-08,558.0,549,307001.8
TQBR,2014-04-09,575.0,1023,578528.2
TQBR,2014-04-10,558.4,3869,2199496.7
TQBR,2014-04-11,574.9,355,209853.1
TQBR,2014-04-14,557.0,278,153513.1
TQBR,2014-04-15,554.2,1684,933489.2
TQBR,2014-04-16,566.2,1143,628836.2
TQBR,2014-04-17,550.1,19,10471.9
TQBR,2014-04-18,564.0,1159,649053.7
TQBR,2014-04-21,567.9,288,161280.0
TQBR,2014-04-22,560.0,538,301058.2
TQBR,2014-04-23,560.0,353,197460.0
TQBR,2014-04-24,579.3,394,229856.9
TQBR,2014-04-25,560.0,303,169815.6
TQBR,2014-04-28,600.0,259,152901.7
TQBR,2014-04-29,580.1,244,137673.7
TQBR,2014-04-30,600.0,620,371640.9
TQBR,2014-05-02,571.2,19,11179.7
TQBR,2014-05-05,609.7,1263,755633.2
TQBR,2014-05-06,612.8,3624,2175246.3
TQBR,2014-05-07,612.0,4896,2938018.2
TQBR,2014-05-08,613.0,881,530838.2
TQBR,2014-05-12,600.0,140,84200.8
TQBR,2014-05-13,586.2,193,115383.5
TQBR,2014-05-14,584.9,738,421109.8
TQBR,2014-05-15,573.6,149,84460.8
TQBR,2014-05-16,573.2,38,21835.1
TQBR,2014-05-19,578.2,42,24292.8
TQBR,2014-05-20,574.0,287,162947.0
TQBR,2014-05-21,574.0,381,217909.9
TQBR,2014-05-22,570.0,426,242118.4
TQBR,2014-05-23,592.2,336,191597.6
TQBR,2014-05-26,580.0,1228,715377.4
TQBR,2014-05-27,585.0,1909,1112712.5
TQBR,2014-05-28,586.7,24,14457.6
TQBR,2014-05-29,593.0,2451,1472894.9
TQBR,2014-05-30,590.3,1885,1117742.6
TQBR,2014-06-02,600.0,1066,639419.0
TQBR,2014-06-03,605.0,20104,12061415.3
TQBR,2014-06-04,600.1,748,451545.3
TQBR,2014-06-05,607.7,1158,704536.3
TQBR,2014-06-06,624.2,774,477493.8
TQBR,2014-06-09,607.7,2719,1653141.5
TQBR,2014-06-10,615.0,2506,1525624.6
TQBR,2014-06-11,607.9,1503,915289.3
TQBR,2014-06-16,627.0,7199,4661199.6
TQBR,2014-06-17,620.3,357,220359.6
TQBR,2014-06-18,642.7,559,361315.0
TQBR,2014-06-19,650.5,782,507161.3
TQBR,2014-06-20,641.5,62,39774.2
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,639.0,1987,1317663.7
TQBR,2014-06-25,634.7,41,26107.7
TQBR,2014-06-26,635.0,390,247732.7
TQBR,2014-06-27,623.0,630,395770.5
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,617.0,13,8019.5
TQBR,2014-07-02,617.0,1814,1120806.4
TQBR,2014-07-03,614.9,2608,1610878.9
TQBR,2014-07-04,610.5,1248,767912.7
TQBR,2014-07-07,619.8,2,1239.7
TQBR,2014-07-08,617.5,207,127727.3
TQBR,2014-07-09,617.0,419,258578.9
TQBR,2014-07-10,601.1,88,53390.1
TQBR,2014-07-11,612.7,55,33741.0
TQBR,2014-07-14,603.9,1257,746385.4
TQBR,2014-07-15,634.6,3581,2150734.6
TQBR,2014-07-16,619.9,1127,696322.9
TQBR,2014-07-17,638.9,344,214688.7
TQBR,2014-07-18,626.1,207,129504.9
TQBR,2014-07-21,620.7,306,189732.2
TQBR,2014-07-22,620.0,349,216711.7
TQBR,2014-07-23,654.8,1441,894485.3
TQBR,2014-07-24,638.1,887,554764.7
TQBR,2014-07-25,622.3,265,165864.8
TQBR,2014-07-28,630.0,181,112128.2
TQBR,2014-07-29,615.2,537,334356.5
TQBR,2014-07-30,628.9,68,42537.7
