BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2021-07-15,926.0,1835212,1696048767.92
TQBR,2021-07-16,925.5,205549,190268871.05
TQBR,2021-07-19,924.0,612325,564702709.3
TQBR,2021-07-20,923.0,240123,220923846.68
TQBR,2021-07-21,918.56,117890,108386401.42
TQBR,2021-07-22,918.0,152753,140171277.73
TQBR,2021-07-23,916.0,92316,84442576.53
TQBR,2021-07-26,919.01,85876,78691815.37
TQBR,2021-07-27,919.0,117849,108310467.56
TQBR,2021-07-28,918.0,35504,32589942.35
TQBR,2021-07-29,911.0,112356,102477263.5
TQBR,2021-07-30,900.0,35315,31550577.92
TQBR,2021-08-02,895.0,31586,27658506.22
TQBR,2021-08-03,900.0,31679,28363275.62
TQBR,2021-08-04,880.0,19194,16980752.0
TQBR,2021-08-05,890.0,24360,21555360.16
TQBR,2021-08-06,885.0,12735,11289968.19
TQBR,2021-08-09,870.79,31895,27863673.66
TQBR,2021-08-10,865.49,15058,13039899.99
TQBR,2021-08-11,870.0,14549,12687174.3
TQBR,2021-08-12,865.6,5982,5187911.05
TQBR,2021-08-13,874.6,17847,15551724.33
TQBR,2021-08-16,870.19,12860,11199093.31
TQBR,2021-08-17,877.3,19359,16875133.04
TQBR,2021-08-18,881.0,38137,33863986.42
TQBR,2021-08-19,869.55,41594,36748234.82
TQBR,2021-08-20,889.99,84110,74801579.23
TQBR,2021-08-23,925.0,72210,65290846.6
TQBR,2021-08-24,969.0,99917,94611109.23
TQBR,2021-08-25,994.62,256975,254379262.51
TQBR,2021-08-26,981.0,49464,48749072.92
TQBR,2021-08-27,1030.01,198360,199536526.72
TQBR,2021-08-30,1011.2,149033,154327952.7
TQBR,2021-08-31,1014.0,70399,70916705.12
TQBR,2021-09-01,1022.99,46554,47740531.54
TQBR,2021-09-02,1026.0,38111,39448642.07
TQBR,2021-09-03,1029.41,21713,22427755.66
TQBR,2021-09-06,1027.0,36379,37462282.18
TQBR,2021-09-07,1027.9,81997,83481342.09
TQBR,2021-09-08,1142.85,267441,293551061.17
TQBR,2021-09-09,1107.23,105467,116269368.69
TQBR,2021-09-10,1100.74,28816,31805731.05
TQBR,2021-09-13,1102.01,21112,23367601.9
TQBR,2021-09-14,1104.97,38555,42416409.9
TQBR,2021-09-15,1098.0,22798,25087087.35
TQBR,2021-09-16,1084.5,37549,40956936.96
TQBR,2021-09-17,1047.0,39087,41607238.33
TQBR,2021-09-20,1035.0,60302,62447568.58
TQBR,2021-09-21,1028.0,61392,63587187.71
TQBR,2021-09-22,1068.3,65763,69915118.59
TQBR,2021-09-23,1110.0,78047,85785514.76
TQBR,2021-09-24,1071.0,35379,37769161.62
TQBR,2021-09-27,1035.0,25677,27420268.78
TQBR,2021-09-28,1027.9,39311,40595667.99
TQBR,2021-09-29,1000.03,52736,52933148.7
TQBR,2021-09-30,995.02,44079,43977559.21
TQBR,2021-10-01,1019.75,32607,33124383.95
TQBR,2021-10-04,1003.74,38207,38280170.48
TQBR,2021-10-05,1023.15,55534,56162138.23
TQBR,2021-10-06,1038.0,104366,107285627.77
TQBR,2021-10-07,1051.81,57595,61234806.68
TQBR,2021-10-08,1069.95,13536,14432302.35
TQBR,2021-10-11,1076.18,29341,31456367.8
TQBR,2021-10-12,1071.68,27589,29605006.12
TQBR,2021-10-13,1073.0,47555,51347705.57
TQBR,2021-10-14,1035.2,106186,111000842.64
TQBR,2021-10-15,1018.0,46271,47204680.56
TQBR,2021-10-18,1023.98,47456,48947852.17
TQBR,2021-10-19,1050.0,42519,43974122.93
TQBR,2021-10-20,1063.0,49216,52230560.73
TQBR,2021-10-21,1051.0,40787,42863131.14
TQBR,2021-10-22,1042.37,24288,25461551.43
TQBR,2021-10-25,1053.6,28198,29472353.99
TQBR,2021-10-26,1054.67,33325,34833379.2
TQBR,2021-10-27,1051.98,28488,29765616.88
TQBR,2021-10-28,1054.0,47711,50212595.17
TQBR,2021-10-29,1045.0,41335,43611889.21
TQBR,2021-11-01,1035.0,48996,50648514.8
TQBR,2021-11-02,1035.0,30918,31965440.5
TQBR,2021-11-03,1028.05,10747,11031080.45
TQBR,2021-11-05,1046.9,18768,19438083.55
TQBR,2021-11-08,1035.0,40326,41704682.7
TQBR,2021-11-09,1039.0,16032,16602392.55
TQBR,2021-11-10,1045.9,38945,40581840.05
TQBR,2021-11-11,1042.0,55661,58264064.7
TQBR,2021-11-12,1110.0,220515,240867035.85
TQBR,2021-11-15,1119.9,173166,192687013.2
TQBR,2021-11-16,1102.0,52572,58509228.45
TQBR,2021-11-17,1115.0,39008,43398169.9
TQBR,2021-11-18,1122.95,22328,24940894.6
TQBR,2021-11-19,1105.55,41550,45956741.6
TQBR,2021-11-22,1124.0,52228,58355283.45
TQBR,2021-11-23,1137.0,53469,60312772.25
TQBR,2021-11-24,1170.0,100918,116622827.8
TQBR,2021-11-25,1195.0,81498,97138805.5
TQBR,2021-11-26,1198.0,113969,138242006.6
TQBR,2021-11-29,1275.0,116170,146881026.4
TQBR,2021-11-30,1184.85,291426,349806780.6
TQBR,2021-12-01,1100.0,190153,214733766.3
TQBR,2021-12-02,1145.65,142893,163354755.1
TQBR,2021-12-03,1113.05,45180,50958417.5
TQBR,2021-12-06,1129.85,38284,43424898.3
TQBR,2021-12-07,1139.1,70707,79928594.1
TQBR,2021-12-08,1127.75,57157,64224108.95
TQBR,2021-12-09,1122.0,56821,64669148.7
TQBR,2021-12-10,1092.5,49460,54439223.25
TQBR,2021-12-13,1066.9,56169,60147801.6
TQBR,2021-12-14,1026.0,49840,51062665.9
TQBR,2021-12-15,1041.15,20707,21811333.0
TQBR,2021-12-16,1049.9,15363,16255794.9
TQBR,2021-12-17,1028.8,11785,12338305.95
TQBR,2021-12-20,1002.0,75316,76062038.95
TQBR,2021-12-21,987.05,83099,82485145.6
TQBR,2021-12-22,1010.55,34323,34361436.6
TQBR,2021-12-23,1002.0,14864,14849845.65
TQBR,2021-12-24,995.15,9665,9643164.55
TQBR,2021-12-27,999.9,18140,18191975.9
TQBR,2021-12-28,1056.7,27527,27909430.55
TQBR,2021-12-29,1007.35,22421,22737100.4
TQBR,2021-12-30,1000.1,40174,40267703.3
TQBR,2022-01-03,1014.3,18693,19003972.9
TQBR,2022-01-04,1023.95,17463,17966089.0
TQBR,2022-01-05,1008.0,10342,10507389.2
TQBR,2022-01-06,1009.45,7800,7873168.4
TQBR,2022-01-07,,0,0.0
TQBR,2022-01-10,1006.75,29766,30229787.75
TQBR,2022-01-11,1012.75,6959,7021310.75
TQBR,2022-01-12,1014.95,10632,10746243.65
TQBR,2022-01-13,1000.25,16757,16842759.6
TQBR,2022-01-14,1003.45,30411,30082135.0
TQBR,2022-01-17,997.0,21847,21856599.2
TQBR,2022-01-18,967.0,51786,50236019.65
TQBR,2022-01-19,974.95,26214,25531807.65
TQBR,2022-01-20,975.0,46427,44874415.35
TQBR,2022-01-21,970.0,12291,11934300.05
TQBR,2022-01-24,950.1,37022,35370406.65
TQBR,2022-01-25,956.0,14863,14323145.0
TQBR,2022-01-26,968.9,13641,13211697.35
TQBR,2022-01-27,970.75,14446,14077444.8
TQBR,2022-01-28,972.4,10782,10500696.25
TQBR,2022-01-31,977.5,33374,32723045.35
