BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2017-10-23,,0,0.0
TQBR,2017-10-24,,0,0.0
TQBR,2017-10-25,,0,0.0
TQBR,2017-10-26,,0,0.0
TQBR,2017-10-27,,0,0.0
TQBR,2017-10-30,,0,0.0
TQBR,2017-10-31,,0,0.0
TQBR,2017-11-01,,0,0.0
TQBR,2017-11-02,,0,0.0
TQBR,2017-11-03,133.25,5420,722586.4
TQBR,2017-11-07,132.0,103090,13588045.8
TQBR,2017-11-08,133.0,6990,922890.0
TQBR,2017-11-09,132.0,77050,10170581.2
TQBR,2017-11-10,132.0,25290,3338319.8
TQBR,2017-11-13,132.99,147800,19279606.1
TQBR,2017-11-14,132.47,10100,1323149.8
TQBR,2017-11-15,130.0,294460,37843046.3
TQBR,2017-11-16,132.49,2760,358824.9
TQBR,2017-11-17,130.0,27090,3523812.3
TQBR,2017-11-20,132.0,1120,147830.0
TQBR,2017-11-21,131.11,25250,3333080.9
TQBR,2017-11-22,132.49,32610,4297319.5
TQBR,2017-11-23,132.0,29940,3957875.0
TQBR,2017-11-24,133.0,200,26450.0
TQBR,2017-11-27,132.0,25470,3362442.7
TQBR,2017-11-28,131.0,95540,12590802.2
TQBR,2017-11-29,132.0,65450,8639480.1
TQBR,2017-11-30,132.0,63950,8442781.9
TQBR,2017-12-01,132.0,60010,7921348.2
TQBR,2017-12-04,132.0,100,13200.0
TQBR,2017-12-05,136.0,250,33400.0
TQBR,2017-12-06,,0,0.0
TQBR,2017-12-07,134.92,20,2698.5
TQBR,2017-12-08,133.59,400,53436.0
TQBR,2017-12-11,141.0,940,125500.0
TQBR,2017-12-12,133.0,1010,134601.0
TQBR,2017-12-13,132.0,2070,273242.0
TQBR,2017-12-14,133.0,3970,531505.2
TQBR,2017-12-15,134.2,3000,402600.0
TQBR,2017-12-18,133.0,360,47859.1
TQBR,2017-12-19,132.5,1500,198065.9
TQBR,2017-12-20,133.0,620,82092.0
TQBR,2017-12-21,,0,0.0
TQBR,2017-12-22,133.32,1140,150493.2
TQBR,2017-12-25,134.0,50,6700.0
TQBR,2017-12-26,133.0,20,2660.0
TQBR,2017-12-27,133.0,3450,458850.0
TQBR,2017-12-28,133.0,8710,1166424.3
TQBR,2017-12-29,134.2,210,27956.9
TQBR,2018-01-03,133.0,140,18620.0
TQBR,2018-01-04,,0,0.0
TQBR,2018-01-05,133.0,100,13300.0
TQBR,2018-01-09,134.2,2470,329229.7
TQBR,2018-01-10,,0,0.0
TQBR,2018-01-11,,0,0.0
TQBR,2018-01-12,132.01,50,6609.4
TQBR,2018-01-15,133.51,20,2670.1
TQBR,2018-01-16,,0,0.0
TQBR,2018-01-17,133.45,2570,341469.8
TQBR,2018-01-18,132.95,23040,3047224.0
TQBR,2018-01-19,133.0,1510,201356.8
TQBR,2018-01-22,133.5,60,8011.9
TQBR,2018-01-23,133.75,16230,2172052.0
TQBR,2018-01-24,133.5,20,2670.0
TQBR,2018-01-25,136.0,2240,300608.7
TQBR,2018-01-26,134.67,3000,404010.0
TQBR,2018-01-29,,0,0.0
TQBR,2018-01-30,136.0,200,27200.0
TQBR,2018-01-31,135.98,170,23104.8
TQBR,2018-02-01,135.0,420,57110.0
TQBR,2018-02-02,136.0,1010,137360.0
TQBR,2018-02-05,136.0,50,6800.0
TQBR,2018-02-06,134.0,3830,514093.0
TQBR,2018-02-07,133.0,1770,239443.0
TQBR,2018-02-08,,0,0.0
TQBR,2018-02-09,,0,0.0
TQBR,2018-02-12,,0,0.0
TQBR,2018-02-13,136.0,7500,1017000.0
TQBR,2018-02-14,136.0,730,98920.0
TQBR,2018-02-15,,0,0.0
TQBR,2018-02-16,137.0,10,1370.0
TQBR,2018-02-19,137.0,3050,413911.0
TQBR,2018-02-20,138.0,4950,683100.0
TQBR,2018-02-21,140.0,5800,806300.0
TQBR,2018-02-22,139.0,3460,480068.0
TQBR,2018-02-26,138.9,2880,391981.0
TQBR,2018-02-27,139.0,870,120190.0
TQBR,2018-02-28,,0,0.0
TQBR,2018-03-01,139.0,30,4155.0
TQBR,2018-03-02,139.0,20,2780.0
TQBR,2018-03-05,138.5,1550,214495.0
TQBR,2018-03-06,137.8,5110,707470.0
TQBR,2018-03-07,138.0,10330,1430940.0
TQBR,2018-03-09,,0,0.0
TQBR,2018-03-12,,0,0.0
TQBR,2018-03-13,139.0,10,1390.0
TQBR,2018-03-14,139.0,116840,16237063.0
TQBR,2018-03-15,140.0,5650,787784.0
TQBR,2018-03-16,138.5,1170,162767.0
TQBR,2018-03-19,139.0,6320,871132.0
TQBR,2018-03-20,138.0,100,13800.0
TQBR,2018-03-21,139.0,8190,1143210.0
TQBR,2018-03-22,139.0,6470,887055.0
TQBR,2018-03-23,137.5,60,8267.0
TQBR,2018-03-26,137.2,50,6932.0
TQBR,2018-03-27,137.2,30,4116.0
TQBR,2018-03-28,138.0,710,97350.0
TQBR,2018-03-29,139.0,10,1390.0
TQBR,2018-03-30,138.6,2530,348496.0
TQBR,2018-04-02,140.2,230,32246.0
TQBR,2018-04-03,140.2,7410,1033730.0
TQBR,2018-04-04,140.0,6070,846775.0
TQBR,2018-04-05,138.0,21140,2947075.0
TQBR,2018-04-06,,0,0.0
TQBR,2018-04-09,135.0,9140,1250738.0
TQBR,2018-04-10,133.6,9010,1194807.0
TQBR,2018-04-11,132.0,280,37046.0
TQBR,2018-04-12,131.1,4450,589991.0
TQBR,2018-04-13,131.5,10250,1323426.0
TQBR,2018-04-16,131.5,7680,1015139.0
TQBR,2018-04-17,,0,0.0
TQBR,2018-04-18,131.6,10,1316.0
TQBR,2018-04-19,,0,0.0
TQBR,2018-04-20,133.0,88220,11689390.0
TQBR,2018-04-23,134.0,10,1340.0
TQBR,2018-04-24,,0,0.0
TQBR,2018-04-25,131.5,100,13150.0
TQBR,2018-04-26,131.5,200,26300.0
TQBR,2018-04-27,131.5,1640,215661.0
TQBR,2018-04-28,134.0,150,20100.0
TQBR,2018-04-30,,0,0.0
TQBR,2018-05-02,134.0,110,14740.0
TQBR,2018-05-03,,0,0.0
TQBR,2018-05-04,132.0,10,1320.0
TQBR,2018-05-07,131.5,2900,381650.0
