BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,18.0,25000,450100.1
TQBR,2014-06-11,,0,0.0
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,,0,0.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,18.001,2000,36002.1
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,18.501,1100,20351.1
TQBR,2014-06-26,18.0,13000,234003.0
TQBR,2014-06-27,,0,0.0
TQBR,2014-06-30,18.501,5000,92505.9
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,19.2,9600,181901.9
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,18.0,300,5400.1
TQBR,2014-07-07,18.0,17300,312557.9
TQBR,2014-07-08,18.5,1000,18500.1
TQBR,2014-07-09,20.0,79000,1566199.7
TQBR,2014-07-10,20.0,20700,414200.0
TQBR,2014-07-11,19.5,500,9837.0
TQBR,2014-07-14,18.102,22500,450014.8
TQBR,2014-07-15,18.51,1400,24854.4
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,18.4,10000,184000.0
TQBR,2014-07-18,18.457,7000,135122.3
TQBR,2014-07-21,19.007,8400,171064.6
TQBR,2014-07-22,18.45,10000,184500.0
TQBR,2014-07-23,21.0,34400,685849.9
TQBR,2014-07-24,20.001,19100,382012.7
TQBR,2014-07-25,22.988,24100,508134.9
TQBR,2014-07-28,20.501,8000,166666.5
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,19.751,5000,98904.8
TQBR,2014-07-31,21.399,100,2139.9
TQBR,2014-08-01,22.0,16600,357645.0
TQBR,2014-08-04,22.0,10000,220000.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,22.01,2300,50623.1
TQBR,2014-08-07,22.01,22400,501919.8
TQBR,2014-08-08,,0,0.0
