BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0.0
TQBR,2014-06-10,17.652,40000,645713.2
TQBR,2014-06-11,19.827,25800,454302.7
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,19.091,15500,267907.3
TQBR,2014-06-18,18.94,8100,153083.2
TQBR,2014-06-19,18.99,14700,273541.9
TQBR,2014-06-20,,0,0.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,18.3,182700,3289410.0
TQBR,2014-06-25,19.8,11800,220061.7
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,19.0,20000,380000.0
TQBR,2014-06-30,,0,0.0
TQBR,2014-07-01,,0,0.0
TQBR,2014-07-02,,0,0.0
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,18.501,4500,83251.5
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,18.45,3200,59040.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,17.701,2900,51734.6
TQBR,2014-07-15,19.8,2000,39600.0
TQBR,2014-07-16,18.1,50000,905000.0
TQBR,2014-07-17,19.888,1900,37727.4
TQBR,2014-07-18,19.0,500,9899.5
TQBR,2014-07-21,19.999,5800,115499.8
TQBR,2014-07-22,,0,0.0
TQBR,2014-07-23,20.0,10600,204020.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,20.5,13200,270567.1
TQBR,2014-07-28,19.107,12700,247615.9
TQBR,2014-07-29,19.556,4100,85955.5
TQBR,2014-07-30,21.0,24600,493131.2
TQBR,2014-07-31,20.01,11300,236949.4
TQBR,2014-08-01,20.5,1300,26650.0
TQBR,2014-08-04,20.501,26600,568634.1
TQBR,2014-08-05,21.297,94100,1942329.0
TQBR,2014-08-06,22.5,13200,287630.4
TQBR,2014-08-07,22.5,500,11250.0
TQBR,2014-08-08,21.999,5000,108750.1
TQBR,2014-08-11,20.501,18200,399764.9
TQBR,2014-08-12,22.569,20000,436379.8
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,25.0,19500,454865.9
TQBR,2014-08-15,24.05,59000,1416632.7
TQBR,2014-08-18,23.113,12300,305992.8
TQBR,2014-08-19,25.0,13500,336734.1
