BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,112.0,940,105642.0
TQBR,2014-06-10,114.0,670,76841.8
TQBR,2014-06-11,115.1,1520,179164.1
TQBR,2014-06-16,,0,0.0
TQBR,2014-06-17,117.99,1050,129842.0
TQBR,2014-06-18,130.0,1740,225501.9
TQBR,2014-06-19,128.99,30,3869.9
TQBR,2014-06-20,121.0,100,12100.0
TQBR,2014-06-23,120.51,10,1205.1
TQBR,2014-06-24,135.0,1590,208410.8
TQBR,2014-06-25,140.0,3820,523830.3
TQBR,2014-06-26,149.83,2770,411238.5
TQBR,2014-06-27,147.91,10,1479.1
TQBR,2014-06-30,138.0,560,76371.2
TQBR,2014-07-01,133.01,20,2800.0
TQBR,2014-07-02,133.01,140,18620.1
TQBR,2014-07-03,,0,0.0
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,120.14,140,17952.7
TQBR,2014-07-08,125.0,250,31250.3
TQBR,2014-07-09,122.1,390,45218.4
TQBR,2014-07-10,122.0,450,54912.8
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,130.0,1100,135617.4
TQBR,2014-07-15,125.0,3120,389886.5
TQBR,2014-07-16,125.0,500,62500.0
TQBR,2014-07-17,125.0,1580,197712.4
TQBR,2014-07-18,137.72,80,10992.9
TQBR,2014-07-21,124.99,770,96247.6
TQBR,2014-07-22,123.89,1010,126239.0
TQBR,2014-07-23,125.0,590,73859.8
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,,0,0.0
TQBR,2014-07-28,,0,0.0
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,125.0,30,3570.2
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,125.0,100,12500.1
TQBR,2014-08-04,140.16,650,90198.9
TQBR,2014-08-05,138.0,1130,152734.1
TQBR,2014-08-06,133.01,1640,235608.5
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,,0,0.0
TQBR,2014-08-12,137.01,30,4190.1
TQBR,2014-08-13,145.0,3080,453122.6
TQBR,2014-08-14,,0,0.0
TQBR,2014-08-15,150.0,1210,181490.0
TQBR,2014-08-18,,0,0.0
TQBR,2014-08-19,130.01,60,7801.2
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,150.0,50,7459.8
TQBR,2014-08-25,140.0,170,23999.9
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,137.0,910,116094.3
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,,0,0.0
TQBR,2014-09-02,135.01,620,82063.7
TQBR,2014-09-03,,0,0.0
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,149.48,110,15494.8
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,135.0,140,19396.2
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,147.99,10,1479.9
TQBR,2014-09-15,135.01,90,12151.1
TQBR,2014-09-16,135.02,10,1350.2
TQBR,2014-09-17,145.0,30,4349.9
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,148.0,10,1480.0
TQBR,2014-09-22,,0,0.0
TQBR,2014-09-23,,0,0.0
TQBR,2014-09-24,,0,0.0
TQBR,2014-09-25,140.51,10,1405.1
TQBR,2014-09-26,,0,0.0
TQBR,2014-09-29,,0,0.0
TQBR,2014-09-30,,0,0.0
TQBR,2014-10-01,,0,0.0
TQBR,2014-10-02,,0,0.0
TQBR,2014-10-03,,0,0.0
TQBR,2014-10-06,,0,0.0
TQBR,2014-10-07,141.0,50,7050.0
TQBR,2014-10-08,,0,0.0
TQBR,2014-10-09,139.0,80,11150.0
TQBR,2014-10-10,,0,0.0
TQBR,2014-10-13,,0,0.0
TQBR,2014-10-14,,0,0.0
TQBR,2014-10-15,,0,0.0
TQBR,2014-10-16,,0,0.0
TQBR,2014-10-17,,0,0.0
TQBR,2014-10-20,137.5,10,1375.0
TQBR,2014-10-21,,0,0.0
TQBR,2014-10-22,,0,0.0
TQBR,2014-10-23,131.0,30,3975.0
TQBR,2014-10-24,128.5,80,10295.0
TQBR,2014-10-27,130.0,120,15600.0
TQBR,2014-10-28,,0,0.0
TQBR,2014-10-29,,0,0.0
TQBR,2014-10-30,130.0,2260,293730.0
TQBR,2014-10-31,,0,0.0
TQBR,2014-11-03,127.0,70,8905.0
TQBR,2014-11-05,,0,0.0
TQBR,2014-11-06,127.0,2300,292245.0
TQBR,2014-11-07,126.5,180,22865.0
TQBR,2014-11-10,127.0,10,1270.0
TQBR,2014-11-11,132.0,1060,139890.0
TQBR,2014-11-12,,0,0.0
TQBR,2014-11-13,136.5,10,1365.0
TQBR,2014-11-14,132.0,450,59400.0
TQBR,2014-11-17,132.0,480,63655.0
TQBR,2014-11-18,,0,0.0
TQBR,2014-11-19,134.5,1450,194875.0
TQBR,2014-11-20,140.0,1090,150745.0
TQBR,2014-11-21,146.0,790,114500.0
TQBR,2014-11-24,150.0,5870,880100.0
TQBR,2014-11-25,150.0,1650,247500.0
TQBR,2014-11-26,153.0,1000,153000.0
TQBR,2014-11-27,153.0,3120,477275.0
TQBR,2014-11-28,153.0,2000,306000.0
TQBR,2014-12-01,,0,0.0
TQBR,2014-12-02,,0,0.0
TQBR,2014-12-03,,0,0.0
TQBR,2014-12-04,,0,0.0
TQBR,2014-12-05,,0,0.0
TQBR,2014-12-08,160.0,290,46235.0
TQBR,2014-12-09,150.0,760,114005.0
TQBR,2014-12-10,150.0,10,1500.0
TQBR,2014-12-11,150.0,10,1500.0
TQBR,2014-12-12,150.0,420,62960.0
TQBR,2014-12-15,110.0,256190,24021855.0
TQBR,2014-12-16,103.0,9170,964390.0
TQBR,2014-12-17,105.0,1290,127980.0
TQBR,2014-12-18,111.0,440,46945.0
TQBR,2014-12-19,120.0,3950,465950.0
TQBR,2014-12-22,115.0,240,27600.0
TQBR,2014-12-23,115.0,510,58455.0
TQBR,2014-12-24,104.5,140,14845.0
